input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_subject_org_,tls_mismatched,final_url,csp_domains_,location,tls_self_signed
account-details-ui-pqa.np.digital.business.comcast.com,Account Details,200,1587,account-details-ui-pqa.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=account-details-ui-pqa.np.digital.business.comcast.com,account-details-ui-pqa.np.digital.business.comcast.com,*.or.account-details-ui-pqa.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,70085e0d9277acf873965c0f0745740d,067cff5616fea6d8b762d4dd691eed6bb60d222077b8bf259cece2dff9d5c68d,ctls,account-details-ui-pqa.np.digital.business.comcast.com,443,https://account-details-ui-pqa.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,143.204.215.55,/,-1043113177,143.204.215.8,Amazon Web Services,3,False,True,cloudfront,True,,,,,,,
account-details-ui-prod-va.digital.business.comcast.com,Account Details,200,1588,account-details-ui-prod-va.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=account-details-ui-prod-va.digital.business.comcast.com,account-details-ui-prod-va.digital.business.comcast.com,*.account-details-ui-prod-va.digital.business.comcast.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9a54395dc0443ad71f94e1d7a0597eaf,51f82bb9c5f68b30a88f166475dcba8cea25077d98f73626fe1011a2cf2696bd,ctls,account-details-ui-prod-va.digital.business.comcast.com,443,https://account-details-ui-prod-va.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,18.66.122.47,/,1976041082,18.66.122.123,Amazon Web Services,3,False,True,cloudfront,True,,,,,,,
acquisition-ui-prod.digital.business.comcast.com,,404,308,acquisition-ui-prod.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-05-07T23:59:59Z,CN=acquisition-ui-prod.digital.business.comcast.com,acquisition-ui-prod.digital.business.comcast.com,*.acquisition-ui-prod.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,da5a362d1f5e9cd7f77f7a0fdb5da360,9854ae66829710287cb6ac26a313beb7e845e1506bae34ba40680b8457e2a8f7,ctls,acquisition-ui-prod.digital.business.comcast.com,443,https://acquisition-ui-prod.digital.business.comcast.com:443,https,AmazonS3,application/xml,GET,52.222.214.37,/,963448807,52.222.214.104,Amazon Web Services,2,False,True,cloudfront,True,,,,,,,
acquisition-ui-stg.np.digital.business.comcast.com,,404,307,acquisition-ui-stg.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-05-07T23:59:59Z,CN=acquisition-ui-stg.np.digital.business.comcast.com,acquisition-ui-stg.np.digital.business.comcast.com,*.acquisition-ui-stg.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,657818419a3637f3b930f4140fce9045,58d7705d9f419526a79d76de34bc24b75601f8874fd15ac92a35ccaebebed080,ctls,acquisition-ui-stg.np.digital.business.comcast.com,443,https://acquisition-ui-stg.np.digital.business.comcast.com:443,https,AmazonS3,application/xml,GET,108.138.7.81,/,1268383741,108.138.7.9,Amazon Web Services,2,False,True,cloudfront,True,,,,,,,
activecore-ui-assets-stg-va.np.digital.business.comcast.com,,404,309,activecore-ui-assets-stg-va.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-05-13T23:59:59Z,CN=activecore-ui-assets-stg-va.np.digital.business.comcast.com,activecore-ui-assets-stg-va.np.digital.business.comcast.com,*.va.activecore-ui-assets-stg-va.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,025990b74f76597462d7534f3a4025a4,49eee587ebea82f1b639b501bd439e23041109448703a9fba9df24bbab651f98,ctls,activecore-ui-assets-stg-va.np.digital.business.comcast.com,443,https://activecore-ui-assets-stg-va.np.digital.business.comcast.com:443,https,AmazonS3,application/xml,GET,13.32.99.7,/,-14121906,13.32.99.41,Amazon Web Services,2,False,True,cloudfront,True,,,,,,,
activecore.ch2.prd.comcast.com,VIP HAS FAILED,504,82,activecore.ch2.prd.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-05-14T00:00:00Z,2022-05-14T23:59:59Z,"CN=api.comcast.com, OU=NSO, O=Comcast Corporation, street=1 Comcast Center, L=Philadelphia, ST=Pennsylvania, postalCode=19103, C=US",api.comcast.com,xapi.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,af766f6314738881fbedd6fdd1431367,207789209939e40ee6f518ef5f1735e6e1b1dda432d3ae02eb523e1ce9d656b3,ctls,activecore.ch2.prd.comcast.com,443,https://activecore.ch2.prd.comcast.com:443,https,,text/html,GET,96.114.21.114,/,1200495206,96.114.21.114,,1,False,,,,True,Comcast Corporation,True,,,,
activecore.ch2.stg.comcast.com,VIP HAS FAILED,504,82,activecore.ch2.stg.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-05-14T00:00:00Z,2022-05-14T23:59:59Z,"CN=api.stg.comcast.com, OU=NSO, O=Comcast Corporation, street=1 Comcast Center, L=Philadelphia, ST=Pennsylvania, postalCode=19103, C=US",api.stg.comcast.com,xapi.wcdc.stg.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,c04f2915350149f0d9aea8fe801b23f0,5eb0f9eb25a68814b03b9578b90e7ab9df7ed5822639671d45bd530962f475a4,ctls,activecore.ch2.stg.comcast.com,443,https://activecore.ch2.stg.comcast.com:443,https,,text/html,GET,96.114.21.113,/,1200495206,96.114.21.113,,1,False,,,,True,Comcast Corporation,True,,,,
activecore.comcast.com,Comcast - Sign In,200,37289,login.business.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-25T01:03:34Z,2023-09-23T01:03:33Z,CN=login.business.comcast.com,login.business.comcast.com,login.business.comcast.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79cd3938650947f2d415fee10d6b46e2,f065c60ae31c8598469f438f366e2e7bfe70e5fc9b9706c72181d5fa2676f4ea,ctls,login.business.comcast.com,443,https://activecore.comcast.com:443,https,nginx,text/html,GET,2.16.241.152,/,-1840324437,2a02:26f0:480:22::1726:62f7,Nginx,635,False,,,,,,,https://login.business.comcast.com/oauth2/aus1i619wubWlF4lT0h8/v1/authorize?client_id=0oa1i4p4w14GdHeZf0h8&redirect_uri=https%3A%2F%2Factivecore.comcast.com%2Fokta-oidc&response_type=code&scope=openid%20profile%20email%20offline_access&code_challenge=AzvncuSwL48wiAXd1C1E4OylDltZuA3eMl0d8YWwzC4&code_challenge_method=S256&response_mode=form_post&nonce=638246393398346929.NjNhYjVmOTgtOWIwNi00NTc2LTg0MTItMGZjZTc4ZWUzODAzZDdkYTU5N2UtMmM2ZC00Y2E4LWI3YmItNDZmY2RlZGQxYTlj&state=CfDJ8Go1wrAt1JlDiBHdnlaexKiprKXbq3r6X_3R7Q4y3sDW_fKGD5qTKhrq-wn265scPx_kNfaOqQmKl3v4MMsWIuyvkE7Iez_OFMM6LjLkQX69cWNKFK0PN3-FXCr4aTVAPNSZ0BQs1kIQBNZB61SBLurDMr22X01FCQ6CE25Zi6lOaLrOtNJlmd17Yt06qe8RJDluIA6AR_yhRLQ0qgabu8j3fsKXTUE7s_VFnFw1ZH56GA_lXDtmcZ9CF4pgTM-iPgsjALPRYuYuWMbclk3qce8KjBICtecUwlJjDaREMHQa1aEqiMXTF-hZWJOgRZdbaPYILiMMBWYmMrB71XrOS8R-ff78SPJ1pGOXs15obHa9elJx7uMudZh7psA0qR_unFg1dgtxLXX2yesD94tV9sw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=5.5.0.0,,,
activecore.int.comcast.com,Comcast - Sign In,200,29998,login-dev.business.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-25T00:50:43Z,2023-09-23T00:50:42Z,CN=login-dev.business.comcast.com,login-dev.business.comcast.com,login-dev.business.comcast.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,87f6cf0460a4c4152225fc043fc36667,b14679f3f35d08760811b142ded061b209310ce8d461d5cce5416cc85449f91c,ctls,login-dev.business.comcast.com,80,http://activecore.int.comcast.com:80,http,nginx,text/html,GET,2.16.241.152,/,,2a02:26f0:480:22::1726:62f7,Nginx,306,False,,,,,,,https://login-dev.business.comcast.com/oauth2/auspfww55tWNlx5O20h7/v1/authorize?client_id=0oaoazl0062VccBWw0h7&redirect_uri=https%3A%2F%2Factivecore.int.comcast.com%2Fokta-oidc&response_type=code&scope=openid%20profile%20email%20offline_access&code_challenge=Zp7Y8x6m0fyaEoOjJFQY1GLFGZcbw7AuvzLSusgUfUs&code_challenge_method=S256&response_mode=form_post&nonce=638246393482506945.Mzc0ZTc3ZWYtNTYwYS00YzdmLWEwMGMtMWEwYWJjYTkwYTNkM2JkMWY2MjQtOGY0MS00MDU2LWE4YmYtZmZjMDNhNjc5OTli&state=CfDJ8OO3f3TXHaBBnLj_K7ynact0d3PImO9tzK5K0U8xfupEjoEVlGj98-1KrpaBD8FDLO4wJeh9zI71u08hiQm6vRKTlV4h3yqNNvs2eejPt93oCfNRUxdHaj47mUfa2SzWWJEfKPSISVKSq7qWHCoK4IH5nP-bySz3XY9Cp-LF8RfTQ5uzga_X9QLXRCENs-8J4M-2QdnMqODDJSbsTvRpkl3zdjTFwHX7uhpF4zmtQDKcBWVXp2h29F54NjX5M5kxjd--ZyCTFyyWcQk_7GkPCyhegXy_M9x7wXPFh_QJng1wdbgDnrjM0DdcC81M-cdyYswEGu0ddzOOTGric2c3bOom_0Ne94OFtICSARId05bAZH-NFfrgTinP0-jz3cZDlH_BGXeRRHTkAnEsYppeQwE&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=5.5.0.0,,,
activecore.pdc.int.comcast.com,VIP HAS FAILED,504,82,activecore.pdc.int.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-05-14T00:00:00Z,2022-05-14T23:59:59Z,"CN=api.int.comcast.com, OU=NSO, O=Comcast Corporation, street=1 Comcast Center, L=Philadelphia, ST=Pennsylvania, postalCode=19103, C=US",api.int.comcast.com,xapi.wcdc.int.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,800e28c63729a3d3bb7368f8f957e6a3,4d442f78b2071171ba294292c8fb24d0892cf33094560152759ed3c3ca7f60ad,ctls,activecore.pdc.int.comcast.com,443,https://activecore.pdc.int.comcast.com:443,https,,text/html,GET,96.114.14.212,/,1200495206,96.114.14.212,,1,False,,,,True,Comcast Corporation,True,,,,
activecore.pdc.prd.comcast.com,VIP HAS FAILED,504,82,activecore.pdc.prd.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-05-14T00:00:00Z,2022-05-14T23:59:59Z,"CN=api.comcast.com, OU=NSO, O=Comcast Corporation, street=1 Comcast Center, L=Philadelphia, ST=Pennsylvania, postalCode=19103, C=US",api.comcast.com,xapi.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,af766f6314738881fbedd6fdd1431367,207789209939e40ee6f518ef5f1735e6e1b1dda432d3ae02eb523e1ce9d656b3,ctls,activecore.pdc.prd.comcast.com,443,https://activecore.pdc.prd.comcast.com:443,https,,text/html,GET,96.114.14.214,/,1200495206,96.114.14.214,,1,False,,,,True,Comcast Corporation,True,,,,
activecore.pdc.stg.comcast.com,VIP HAS FAILED,504,82,activecore.pdc.stg.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-05-14T00:00:00Z,2022-05-14T23:59:59Z,"CN=api.stg.comcast.com, OU=NSO, O=Comcast Corporation, street=1 Comcast Center, L=Philadelphia, ST=Pennsylvania, postalCode=19103, C=US",api.stg.comcast.com,xapi.wcdc.stg.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,c04f2915350149f0d9aea8fe801b23f0,5eb0f9eb25a68814b03b9578b90e7ab9df7ed5822639671d45bd530962f475a4,ctls,activecore.pdc.stg.comcast.com,443,https://activecore.pdc.stg.comcast.com:443,https,,text/html,GET,96.114.14.213,/,1200495206,96.114.14.213,,1,False,,,,True,Comcast Corporation,True,,,,
activecore.qa.comcast.com,Access Denied,403,279,activecore.qa.comcast.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=*.activecore.stg.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",*.activecore.stg.comcast.com,activecore.stg.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,81ebc010c7c6e12086f18284d6a44938,eafec8249208d22e68522045468b3a303231a8c7626934a03a7843ff1f230553,ctls,activecore.qa.comcast.com,443,https://activecore.qa.comcast.com:443,https,,text/html,GET,2.16.241.141,/,1159341710,2.16.241.154,,10,False,True,,,,Comcast Corporation,,,,,
ad-platform-service-reports.svc-dev.thor.comcast.com,,503,19,ad-platform-service-reports.svc-dev.thor.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2021-09-27T22:45:32Z,2021-12-26T22:45:31Z,CN=ad-platform-service-reports.svc-dev.thor.comcast.com,ad-platform-service-reports.svc-dev.thor.comcast.com,ad-platform-service-reports.svc-dev.thor.comcast.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9854d4a7713e6fd0b36af8dcad873ffa,01c31db0855b48bba0e5eee689f066a461d7f1fa60b3c3c400756f86472d71ae,ctls,ad-platform-service-reports.svc-dev.thor.comcast.com,443,https://ad-platform-service-reports.svc-dev.thor.comcast.com:443,https,istio-envoy,text/plain,GET,34.233.31.34,/,87638684,2406:da00:ff00::36cd:5f7e,,1,False,,,,True,,,,,,
ad-platform-service-reports.svc-qa.thor.comcast.com,401 Unauthorized,401,381,ad-platform-service-reports.svc-qa.thor.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T14:46:55Z,2023-09-23T14:46:54Z,CN=ad-platform-service-reports.svc-qa.thor.comcast.com,ad-platform-service-reports.svc-qa.thor.comcast.com,ad-platform-service-reports.svc-qa.thor.comcast.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,63aeda71e01194489674a5ef8b26d3e7,532110ab47db9e916c23f51dd9ebd25875c219c15e666b9f698d30bc6242a463,ctls,ad-platform-service-reports.svc-qa.thor.comcast.com,443,https://ad-platform-service-reports.svc-qa.thor.comcast.com:443,https,istio-envoy,text/html,GET,52.207.92.76,/,-392200610,2600:1f18:62d1:fb03:77ff:bc82:6fb8:f3f9,Envoy,13,False,,,,,,,,,,
ad-platform-service.svc-dev.thor.comcast.com,,415,40,ad-platform-service.svc-dev.thor.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T06:37:12Z,2023-08-12T06:37:11Z,CN=ad-platform-service.svc-dev.thor.comcast.com,ad-platform-service.svc-dev.thor.comcast.com,ad-platform-service.svc-dev.thor.comcast.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,36ae6a21355fb24981f1bd4d9804b095,5c3e65dd690eea1a17bb2ddcd3fbbda03be03c0b2493c31c9730bba9b6ff4456,ctls,ad-platform-service.svc-dev.thor.comcast.com,443,https://ad-platform-service.svc-dev.thor.comcast.com:443,https,istio-envoy,text/plain,GET,52.207.92.76,/,-160903034,2600:1f18:62d1:fb05:40e1:fc2b:c444:b89d,Envoy,1,False,,,,,,,,,,
adsalesdocusign.comcast.com,,204,,adsalesdocusign.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-07T00:00:00Z,2024-06-06T23:59:59Z,"CN=adsalesdocusign.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",adsalesdocusign.comcast.com,adsalesdocusign.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,14e130eefd80ac921eef06f3d044fb4c,537d73c3f4675758aa3cfbb60ba019fbfb959d3a1b9ea5a551010dbcfc1a7191,ctls,adsalesdocusign.comcast.com,443,https://adsalesdocusign.comcast.com:443,https,,,GET,96.99.224.114,/,-1840324437,96.99.224.114,,1,False,,,,,Comcast Corporation,,,,,
