new,host,a,soa,status_code,caa,cname,mx,ns,txt,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
,labs.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,archive.sidefx.com,,,,,,,,
,license.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,archive.sidefx.com,,,,,,,,
,licenses.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,archive.sidefx.com,,,,,,,,
,lists.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,archive.sidefx.com,,,,,,,,
,mail.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,mailproxy.sidefx.com,206.223.178.168,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,mg.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,v=spf1 include:mailgun.org -all,,,,,
,newvpn.sidefx.com,38.140.221.82,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,peter.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,phish.sidefx.com,3.138.63.169,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,pipe.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,servgate.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,service.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,archive.sidefx.com,,,,,,,,
,sesinet.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,sidefx.com,206.223.178.168,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-978.awsdns-58.net, ns-337.awsdns-42.com, ns-1574.awsdns-04.co.uk, ns-1354.awsdns-41.org","hostmaster@sidefx.com +1 416 504 9876, Side Effects Software Inc, MS=ms61042170, v=spf1 mx ip4:76.9.215.90/32 ip4:38.140.221.82/32 ip4:206.223.178.168/32 ip4:74.123.188.162/32 a:mail.psigate.com  include:_spf.google.com include:servers.mcsv.net -all, google-site-verification=XUH02tc8QIabJdsHlI1ZctC-ClrDNt71ljRjIMbcyA8",,,,,
,sidefx1.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,static.sidefx.com,"13.249.39.7, 13.249.39.38, 13.249.39.35, 13.249.39.129","ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,cloudfront,,
,teacher.sidefx.com,206.223.178.164,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,ftp.sidefx.com,,,,,,,,
,tony.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,videoclick.static.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,vpn.sidefx.com,206.223.178.163,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,nat.sidefx.com,,,,,,,,
,ww1.sidefx.com,206.223.178.168,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,sidefx.com,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","ns-1574.awsdns-04.co.uk, ns-337.awsdns-42.com, ns-978.awsdns-58.net, ns-1354.awsdns-41.org","hostmaster@sidefx.com +1 416 504 9876, v=spf1 mx ip4:76.9.215.90/32 ip4:38.140.221.82/32 ip4:206.223.178.168/32 ip4:74.123.188.162/32 a:mail.psigate.com  include:_spf.google.com include:servers.mcsv.net -all, MS=ms61042170, Side Effects Software Inc, google-site-verification=XUH02tc8QIabJdsHlI1ZctC-ClrDNt71ljRjIMbcyA8",,,,,
,www.sidefx.com,206.223.178.168,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
