input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,webserver,final_url,tls_mismatched,cdn_name,cdn,tls_expired,tls_self_signed,location
abwsd.att.com,,404,48,abwsd.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T00:00:00Z,2024-07-23T23:59:59Z,"CN=abwsd.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",abwsd.att.com,"AT&T Services, Inc.",abwsd.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7abb379db61158fe23da9357e0223430,14e16dd90e67a0803a02021342a2ccaf1c35c36640af86e937e2169602d6993f,,ctls,abwsd.att.com,443,https://abwsd.att.com:443,https,application/json,GET,144.160.117.82,/,834205737,144.160.117.82,,1,False,,,,,,,,,
acc-npwt.att.com,AT&T Portal,200,2980,acc-npwt.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,acc-npwt.att.com,443,https://acc-npwt.att.com:443,https,text/html,GET,72.246.169.113,/,796802659,2a02:26f0:1700:394::2db1,HSTS,1,False,,,,,,,,,
accbusinesspricing.att.com,ACC Business Login,200,9284,accbusinesspricing.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-16T05:07:35Z,2023-09-14T05:07:34Z,CN=accbusinesspricing.att.com,accbusinesspricing.att.com,,accbusinesspricing.att.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,107bd7fc1030aae94019df9050f16744,371a86bb602609e2f0834dcc597beef55f9b112bf0d3854241d9523445f6e5b5,,ctls,accbusinesspricing.att.com,443,https://accbusinesspricing.att.com:443,https,text/html,GET,95.101.111.157,/,-886796562,95.101.111.147,PHP,164,False,,Apache,,,,,,,
access.att.com,AT&T HR Access,200,5010,hraccess.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,hraccess.att.com,443,https://access.att.com:443,https,text/html,GET,104.111.217.97,/,-1255347784,2a02:26f0:1700:38e::2db1,HSTS,23,False,,,https://hraccess.att.com/,,,,,,
accessibility.att.com,Error,503,176,accessibility.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,accessibility.att.com,443,https://accessibility.att.com:443,https,text/html,GET,72.246.169.113,/,718476940,2a02:26f0:1700:394::2db1,,5,False,,,,,,,,,
accesspartners.att.com,,404,10,accesspartners.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,accesspartners.att.com,443,https://accesspartners.att.com:443,https,,GET,72.246.169.113,/,1864250944,2a02:26f0:1700:394::2db1,,2,False,,AkamaiNetStorage,,,,,,,
accessportal.att.com,ATT Login Redirect,200,2033,accessportal.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T00:00:00Z,2024-05-31T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d44b5b40bb953d40b2213d9eeff18f19,5f598d91b9097dc5667ebbaafbcb04e3f30cf130064d1135ccbb8dc3109480e4,True,ctls,accessportal.att.com,443,https://accessportal.att.com:443,https,text/html,GET,144.161.106.122,/,-500878765,2001:1890:1286:221::4:1050,HSTS,67,False,,,,,,,,,
acconesource.att.com,Power2Motivate | Loyalty Programs & Employee Reward & Recognition,200,119581,www.power2motivate.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-19T10:59:35Z,2023-09-17T10:59:34Z,CN=www.power2motivate.com,www.power2motivate.com,,www.power2motivate.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,03d97ce028d41580165fd542c2c127bb,1ce2a2e07d5065bf79c3ba418382c9c23d683faf3b7ca4f20cb8df5945ce47a3,,ctls,www.power2motivate.com,443,https://acconesource.att.com:443,https,text/html,GET,70.33.230.86,/,-13316781,70.33.230.86,Nginx,1285,False,,nginx,https://www.power2motivate.com/,,,,,,
accounts-officeathand.att.com,Multi-Account Access,200,4707,accounts-officeathand.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,accounts-officeathand.att.com,443,https://accounts-officeathand.att.com:443,https,text/html,GET,72.246.169.113,/,619165722,2a02:26f0:1700:394::2db1,HSTS,41,False,*.ringcentral.biz,,,,,,,,
accsupport.att.com,AT&T | Connected Communities Portal,200,5385,accsupport.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,accsupport.att.com,443,https://accsupport.att.com:443,https,text/html,GET,72.246.169.113,/,87212129,2a02:26f0:1700:38e::2db1,HSTS,3,False,,,,,,,,,
acctraining.att.com,IoT Solutions,200,25249,projectone.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-11-17T23:59:59Z,"CN=projectone.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",projectone.att.com,"AT&T Services, Inc.",projectone.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,0b9562cb0dd52dfa4debfd1c09ba1c40,37f338a1de62bd1d9a1bca39d8f388d2170b664c6629c59bc7ed7c8ad0ed1b93,,ctls,projectone.att.com,443,https://acctraining.att.com:443,https,text/html,GET,72.246.169.113,/,-1840324437,2a02:26f0:1700:38e::2db1,Windows Server,544,False,,Microsoft-IIS/10.0,https://projectone.att.com,,,,,,
ace.att.com,ACE,200,308,ace.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-03T00:00:00Z,2024-04-17T23:59:59Z,"CN=ace.att.com, O=AT and T Services\, Inc., L=Dallas, ST=Texas, C=US",ace.att.com,"AT and T Services, Inc.",ace.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b52340effd67010603c3b4451d50a7ff,ca848e24cbbe4ca5fe2b4180570c12f23b25f5e3fdabb0af454ca72abe155255,,ctls,ace.att.com,443,https://ace.att.com:443,https,text/html,GET,12.183.31.3,/,1581622905,12.183.31.3,Java,11,False,URL=https://ace.att.com/share/page/,Apache,,,,,,,
acedev.att.com,AT&T Security Server: Error,200,6118,saml.stage.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=saml.stage.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",saml.stage.att.com,"AT&T Services, Inc.",saml.stage.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f17fc5c1d09ccc78087e5dc540a90546,2213c048e9a1214302c85d1c973afe097c14ce586d3eb299bedd3305ae31c5c4,,ctls,saml.stage.att.com,443,https://acedev.att.com:443,https,text/html,GET,72.246.169.113,/,-1840324437,2a02:26f0:1700:38e::2db1,Java,214,False,,,https://saml.stage.att.com/lrr/attLRR/LrrError?ERROR_CODE=saml20_error_building_msg&REQ_ADDR=%2Fsps%2FATTIDPEntity%2Fsaml20%2Flogin&TIMESTAMP=2023-07-11T05%3A31%3A33Z&ERROR_MESSAGE=FBTSML224E%20Cannot%20find%20partner%20configuration%20for%20provider%20https%3A%2F%2Facedev.att.com.,,,,,,
acenpw.att.com,ATT Login Redirect,200,2429,saml.e-access.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=saml.e-access.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",saml.e-access.att.com,"AT&T Services, Inc.",saml.e-access.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,11391cc56839760035d38bceec3a4694,999b64f482d50ccb1e1a28bf46b5ba7fd09cad418879e76aa21fb6bf5d16dbf4,,ctls,saml.e-access.att.com,443,https://acenpw.att.com:443,https,text/html,GET,72.246.169.113,/,-1840324437,2a02:26f0:1700:394::2db1,HSTS,81,False,,,https://saml.e-access.att.com/isam/sps/ATTIDP_Lighthouse/saml20/login?SAMLRequest=fVJNj9owFLzzK1a5J04MW4QFSOnSDyQKaMn20AsyzoNYSmzX72Vp%2F32dZLvbVtu1fHqemTcz8hxlUzuRt1SZe%2FjeAtLoJpwfTW1Q9I%2BLqPVGWIkahZENoCAlDvmXjeBJKpy3ZJWto39ob7MkInjS1gy09WoR7bYfNrtP6%2B1Rnk48m0z5ZJJxeMdnSs2ybFqW0xTGk1s%2BLWf8PCtLPlC%2Fgsegs4iCbDQa1BBbWBskaSjMUz6O02mcZUV6K8ZZuN8G6iqE1UZST6%2BIHArGOu8JxFIpQEwkUaJsw3QYM3TI8qJYr%2FbHjb5UVNkWoSfwlNX2op%2FS7J8qea9Nqc3l7SZOAwjF56LYx%2FvdoRhE8t8N3VmDbQP%2BAP5RK3i437yYlQqMuz67vLpYWUNgiLm6DX6QWQO9s7izGSNaJmsC36V%2BhKNUmLjKRct%2B5bzDiL49v3x9xZz9iXlhObENyUIzttbqZz%2FvzkfrG0n%2FLyBLsn6iy%2FjcQ0Vr0IHSZw1l9CyT17W93nmQBIuIfAvRDVuOBi9%2F%2F93lLw%3D%3D&RelayState=%2F,,,,,,
acetest.att.com,IBM Security Access Manager: Certificate Authentication Failure,200,8150,acetest.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.stage.blogin.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.stage.blogin.att.com,"AT&T Services, Inc.",*.stage.blogin.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,41db73ad618704681cd2fca08fd92e77,f44ffdbdfad3982bab21ee3ea30d5702ffd4c7484e17d9b08821685d0274ffc5,True,ctls,acetest.att.com,443,https://acetest.att.com:443,https,text/html,GET,144.161.106.191,/,-858868648,144.161.106.191,HSTS,182,False,,,,True,,,,,
acetng.att.com,ATT Login Redirect,200,2429,saml.e-access.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=saml.e-access.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",saml.e-access.att.com,"AT&T Services, Inc.",saml.e-access.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,11391cc56839760035d38bceec3a4694,999b64f482d50ccb1e1a28bf46b5ba7fd09cad418879e76aa21fb6bf5d16dbf4,,ctls,saml.e-access.att.com,443,https://acetng.att.com:443,https,text/html,GET,104.111.217.97,/,-1840324437,2a02:26f0:1700:394::2db1,HSTS,81,False,,,https://saml.e-access.att.com/isam/sps/ATTIDP_Lighthouse/saml20/login?SAMLRequest=fVNdb%2BIwEHznV6C8J04oBc6CSBzcBxIHCNI%2B3AsyZgFLie3zblr6789JaEGnHpaf1jO7M5PNEEWRWz4u6aTX8KcEpFbbn3ORa%2BT14ygoneZGoEKuRQHISfLN%2BNecd6KYW2fISJMH%2F9DuswQiOFJGN7TZdBQsF9%2Fmyx%2BzxXZwgF5n3%2B2LwSDux92kJ%2BEQ7%2BJd0vsCEPceu3FHdnti0FCfwaHvMwp826DVdEMsYaaRhCZfjzsPYdwPkySLH%2FlD4u%2Fvhjr1ZpUWVNNPRBY5Y5X2CEIhJSBGgiiSpmDKlxlaZOMsm01X27k6nuhkSoSa0IlZbo7q4mZ1ieSr0nulj%2FeT2DUg5D%2BzbBWulpusaTJ%2BT2hiNJYFuA24FyXhaT2%2FihUSSB8%2FVL7aUBpNoInZvPR6kBkNtbKwkhkiGiZyAle5foGtkBjZkw3SeuSwwvA6PZd%2BPmLIbjFXluUL78wnY3Il3%2Bp6db4bVwj6fwBJlNQVtQ8PNZSXGi1IdVCwDz7ajPPcvE4cCIJRQK6EoM3Sm9mXxYV9vcaTKoIztSemsMIprL4unIWki82r1Vv4JPc7uYZDendtJZcVzpdvhF5C%2BbRbExG7ozNtvT%2Ff%2FoTpXw%3D%3D&RelayState=%2F,,,,,,
action.att.com,Service Unavailable,503,268,action.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,action.att.com,443,https://action.att.com:443,https,text/html,GET,23.223.76.246,/,-1408571017,23.223.76.246,HSTS,9,False,,,,,,,,,
