input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_subject_org_,csp_domains_,tls_mismatched,final_url
devnet-explorer.helium.com,Application Error,503,874,devnet-explorer.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,devnet-explorer.helium.com,cloudflare,443,https://devnet-explorer.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,1923807226,2606:4700:3034::ac43:d1a5,HTTP/3,27,False,True,,,,,
docs.helium.com,Home | Helium Documentation,200,18634,docs.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T06:30:12Z,2023-08-24T06:30:11Z,CN=developer.helium.com,developer.helium.com,docs.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ade900d13e32e508cfacfb3effefac5,c026af3014354be8f24309cac61c589640ba6c76e2b3c68bcfdf5d162548c829,,ctls,docs.helium.com,google,443,https://docs.helium.com:443,https,Netlify,text/html,GET,34.159.75.132,/,-457982244,2a05:d014:275:cb00::c8,webpack,28,False,True,,,,,
engineering.helium.com,Helium Engineering Blog | Helium Documentation,200,742335,docs.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T06:30:12Z,2023-08-24T06:30:11Z,CN=developer.helium.com,developer.helium.com,docs.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ade900d13e32e508cfacfb3effefac5,c026af3014354be8f24309cac61c589640ba6c76e2b3c68bcfdf5d162548c829,,ctls,docs.helium.com,cloudflare,443,https://engineering.helium.com:443,https,Netlify,text/html,GET,172.67.209.165,/,-457982244,2606:4700:3034::ac43:d1a5,webpack,847,False,True,,,,,https://docs.helium.com/devblog/
explorer-api-v2.helium.com,Gigalixir - Default Backend,404,1379,explorer-api-v2.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,explorer-api-v2.helium.com,cloudflare,443,https://explorer-api-v2.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,1391058259,2606:4700:3034::6815:459c,HTTP/3,21,False,True,,,,,
explorer-api.helium.com,,200,5,explorer-api.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,explorer-api.helium.com,cloudflare,443,https://explorer-api.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,1165439330,2606:4700:3034::ac43:d1a5,Node.js,1,False,True,,,,,
explorer-v1.helium.com,Helium Hotspots Map,200,32342,explorer.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,explorer.helium.com,cloudflare,443,https://explorer-v1.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-228848549,2606:4700:3034::ac43:d1a5,webpack,2,False,True,,,,,https://explorer.helium.com/
explorer.helium.com,Helium Hotspots Map,200,32342,explorer.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,explorer.helium.com,cloudflare,443,https://explorer.helium.com:443,https,cloudflare,text/html,GET,172.67.209.165,/,627475751,2606:4700:3034::6815:459c,webpack,2,False,True,,,,,
helium.com,Helium – Introducing The People's Network,200,95914,www.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,www.helium.com,cloudflare,443,https://helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,895304151,2606:4700:3034::ac43:d1a5,webpack,12,False,True,,,,,https://www.helium.com/
heliumtrain.helium.com,Breakpoint 2022 Helium Train Hackathon,200,15563,heliumtrain.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-18T17:32:38Z,2023-09-16T17:32:37Z,CN=heliumtrain.helium.com,heliumtrain.helium.com,heliumtrain.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c3611254c59e58e4d53b7b912764fc4d,bf2ecf98c47057661fa8c3763f1356764757947d9a4dc59d1c6b612c84a14197,,ctls,heliumtrain.helium.com,,443,https://heliumtrain.helium.com:443,https,GitHub.com,text/html,GET,185.199.111.153,/,1181440715,2606:50c0:8001::153,Varnish,257,False,,,,,,
mappers.helium.com,Helium Mappers,200,2176,mappers.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,mappers.helium.com,cloudflare,443,https://mappers.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-1176695057,2606:4700:3034::ac43:d1a5,Heroku,36,False,True,,,,,
marketing-staging.helium.com,Helium – Introducing The People's Network,200,95914,marketing-staging.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,marketing-staging.helium.com,cloudflare,443,https://marketing-staging.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-1378089439,2606:4700:3034::6815:459c,webpack,12,False,True,,,,,
metaplex.helium.com,Helium NFT Marketplace,200,5432,metaplex.helium.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-22T21:10:14Z,2023-09-20T21:10:13Z,CN=metaplex.helium.com,metaplex.helium.com,metaplex.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4de05b97740ea900c30c51b44e7e85c8,c5ab8153e521b5f48a5acbeb8de55751526e04f5aaf332519091e417900b2ed8,,ctls,metaplex.helium.com,,443,https://metaplex.helium.com:443,https,Vercel,text/html,GET,76.76.21.142,/,562988183,76.76.21.241,Vercel,1,False,,,,,,
network.helium.com,Helium Hotspots Map,200,32342,explorer.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,explorer.helium.com,cloudflare,443,https://network.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-2035322623,2606:4700:3034::ac43:d1a5,webpack,2,False,True,,,,,https://explorer.helium.com
ota.helium.systems,,404,9,ota.helium.systems,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T15:37:25Z,2028-04-24T15:37:25Z,"emailAddress=jay@nova-labs.com, CN=ota.helium.systems, OU=Engineering, O=Nova Labs\, Inc., L=San Francisco, ST=California, C=US, emailAddress=jay@nova-labs.com",ota.helium.systems,,"emailAddress=jay@nova-labs.com, CN=ota.helium.systems, OU=Engineering, O=Nova Labs\, Inc., L=San Francisco, ST=California, C=US, emailAddress=jay@nova-labs.com",ota.helium.systems,"Nova Labs, Inc.",6666d7507460d7d995124b0c361cbc0e,5cb70d6cc07c8c42d50fac65c8afe76d8210c31c004a13e9b7e033f59aaecb37,,ctls,ota.helium.systems,,443,https://ota.helium.systems:443,https,Cowboy,,GET,52.21.227.162,/,-738705486,54.237.159.171,Heroku,1,False,,True,"Nova Labs, Inc.",,,
roaming-eu.helium.com,Helium Roaming Console,200,2038,roaming-eu.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,roaming-eu.helium.com,cloudflare,443,https://roaming-eu.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-738705486,2606:4700:3034::ac43:d1a5,Heroku,32,False,True,,,,,
roaming.helium.com,Helium Roaming Console,200,2038,roaming.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,roaming.helium.com,cloudflare,443,https://roaming.helium.com:443,https,cloudflare,text/html,GET,172.67.209.165,/,-738705486,2606:4700:3034::6815:459c,Heroku,32,False,True,,,,,
shop.helium.com,Helium Shop,200,86204,shop.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T21:11:48Z,2023-10-02T21:11:47Z,CN=shop.helium.com,shop.helium.com,shop.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b9fd8aa118af1b1d15484529a19945b1,65ece06d3171c2a18b7c5da17285cb2de47949b12649f3f74eca77d14b741134,,ctls,shop.helium.com,,443,https://shop.helium.com:443,https,cloudflare,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,Shopify,1792,False,,,,,,
solana-status.helium.com,,200,129,solana-status.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-08T23:19:48Z,2023-09-06T23:19:47Z,CN=solana-status.helium.com,solana-status.helium.com,solana-status.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,92646e9fc0c02d264a528e52244fbad6,4e593730a22674c1f37d9b0a590b8ca9eba38220ed7a8bb7bcc9184ff7568fec,,ctls,solana-status.helium.com,,443,https://solana-status.helium.com:443,https,Cowboy,application/json,GET,52.21.227.162,/,1593207841,54.237.159.171,Heroku,1,False,,,,https:,,
staging-console.helium.com,Helium Console,200,3933,staging-console.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T19:25:58Z,2023-09-10T19:25:57Z,CN=staging-console.helium.wtf,staging-console.helium.wtf,staging-console.helium.wtf,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c9db310d92083ae3fa999366c8b0a40e,486f4fb4d0e7fdf4a5b0d202fc832a9e32a5c504dac292a508f4ff816d65b799,,ctls,staging-console.helium.com,,443,https://staging-console.helium.com:443,https,nginx/1.25.0,text/html,GET,54.193.165.228,/,-738705486,54.193.165.228,Nginx:1.25.0,70,False,,,,,True,
status.helium.com,Helium Status,200,286931,status.helium.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T12:43:55Z,2023-09-26T12:43:54Z,CN=bancoitau-status.blip.ai,bancoitau-status.blip.ai,www.geibit-status.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5fd18910895a29439f0f797f7de5ce75,1974452b43c68f2e04644ed188f0b91498820b5aa16c8fce5aba241fe8a6f949,,ctls,status.helium.com,,443,https://status.helium.com:443,https,,text/html,GET,52.215.192.132,/,-1840324437,52.215.192.132,HSTS,3305,False,,,,,,
sxsw.helium.com,Application Error,503,874,sxsw.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,sxsw.helium.com,cloudflare,443,https://sxsw.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-1924497348,2606:4700:3034::ac43:d1a5,HTTP/3,27,False,True,,,,,
tabs.helium.com,Origin DNS error | tabs.helium.com | Cloudflare,530,6978,tabs.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,tabs.helium.com,cloudflare,443,https://tabs.helium.com:443,https,cloudflare,text/html,GET,172.67.209.165,/,1480329433,2606:4700:3034::ac43:d1a5,HTTP/3,94,False,True,,,,,
testnet-explorer.helium.com,Application Error,503,874,testnet-explorer.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,testnet-explorer.helium.com,cloudflare,443,https://testnet-explorer.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-329975255,2606:4700:3034::ac43:d1a5,HTTP/3,27,False,True,,,,,
wallet-api-v2.helium.com,Home,200,27169,wallet-api-v2.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T23:24:58Z,2023-09-28T23:24:57Z,CN=wallet-api-v2.helium.com,wallet-api-v2.helium.com,wallet-api-v2.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,47028c62ea99c5093ce729d75c8a2b26,ceff153b5e048e6f6bcbb32d2c9995f68eaa7029ced00fbbffe6c308c76de20f,,ctls,wallet-api-v2.helium.com,,443,https://wallet-api-v2.helium.com:443,https,Cowboy,text/html,GET,3.226.182.14,/,1230059564,54.237.159.171,webpack,1,False,,,,,,
wallet-api.helium.com,Application Error,503,874,wallet-api.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,wallet-api.helium.com,cloudflare,443,https://wallet-api.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,1650408862,2606:4700:3034::6815:459c,HTTP/3,27,False,True,,,,,
wallet.helium.com,Helium Wallet,200,7441,wallet.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,wallet.helium.com,cloudflare,443,https://wallet.helium.com:443,https,cloudflare,text/html,GET,172.67.209.165,/,1203709114,2606:4700:3034::ac43:d1a5,webpack,2,False,True,,,,,
www.blog.helium.com,The Helium Blog,200,352513,blog.helium.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-22T23:59:59Z,CN=blog.helium.com,blog.helium.com,blog.helium.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,fabd77d70a0e87b4df7f6db96545f1ce,e29a308f50cd5faad0299a08120867ca901f8d6b58235cd7ebe09c558530c0e3,,ctls,blog.helium.com,cloudflare,80,http://www.blog.helium.com:80,http,openresty,text/html,GET,104.21.69.156,/,-1485515534,2606:4700:3034::ac43:d1a5,PayPal,237,False,True,,,https://*.instapaper.com,,https://blog.helium.com/?gi=ff9c66d2d396
www.explorer.helium.com,Helium Hotspots Map,200,32342,explorer.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,explorer.helium.com,cloudflare,80,http://www.explorer.helium.com:80,http,cloudflare,text/html,GET,104.21.69.156,/,6695980,2606:4700:3034::ac43:d1a5,webpack,2,False,True,,,,,https://explorer.helium.com/
www.helium.com,Helium – Introducing The People's Network,200,95914,www.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,www.helium.com,cloudflare,443,https://www.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,855263068,2606:4700:3034::6815:459c,webpack,12,False,True,,,,,
zodiac.helium.com,Helium - Zodiac,200,4190,zodiac.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,zodiac.helium.com,cloudflare,443,https://zodiac.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-27917775,2606:4700:3034::ac43:d1a5,Heroku,2,False,True,,,,,
