input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,tls_expired,final_url,tls_mismatched,location
devhk.bitmex.com,,403,16,devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,devhk.bitmex.com,cloudflare,443,https://devhk.bitmex.com:443,https,cloudflare,text/plain,GET,172.64.146.66,/,1253481126,104.18.41.190,HTTP/3,1,False,True,True,,,,,
documents.devhk.bitmex.com,,403,16,documents.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,documents.devhk.bitmex.com,cloudflare,443,https://documents.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,True,,,,,
eu.onfido.devhk.bitmex.com,,403,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://eu.onfido.devhk.bitmex.com:80,http,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,,,,,,
eu.onfido.testnet.bitmex.com,Onfido API,200,269,eu.onfido.testnet.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-20T08:02:19Z,2023-09-18T08:02:18Z,CN=eu.onfido.testnet.bitmex.com,eu.onfido.testnet.bitmex.com,,eu.onfido.testnet.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ae8dc00c2ba0c81e21e05ca0c2b88f25,8ad657ce2fa93a3ddf2be9e51a38b2b5de8cd715743d2b96dcfe8caca354f51c,ctls,eu.onfido.testnet.bitmex.com,,443,https://eu.onfido.testnet.bitmex.com:443,https,nginx,text/html,GET,52.29.119.132,/,968070783,3.125.23.48,Nginx,16,False,,,,,,,
events-ingest.services.bitmex.com,,400,45,events-ingest.services.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-27T00:58:53Z,2023-09-25T00:58:52Z,CN=events-ingest.services.bitmex.com,events-ingest.services.bitmex.com,,events-ingest.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,08d1a9bd2f47694c57f78271eb10c5e6,c971279653da2e0a250a0c9b9fc1287fe14c75df36dfc754704210481a551948,ctls,events-ingest.services.bitmex.com,,443,https://events-ingest.services.bitmex.com:443,https,,application/json,GET,34.251.14.199,/,1776684608,52.211.112.159,Node.js,1,False,,,,,,,
events-ingest.testnet.services.bitmex.com,,400,45,events-ingest.testnet.services.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T02:00:48Z,2023-07-27T02:00:47Z,CN=events-ingest.testnet.services.bitmex.com,events-ingest.testnet.services.bitmex.com,,events-ingest.testnet.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cb1da73e67529502e8350db277fceeb7,c7824083ac1e02587e902f7d23e9db34b6803300b05311851fe7b2153c799c0a,ctls,events-ingest.testnet.services.bitmex.com,,443,https://events-ingest.testnet.services.bitmex.com:443,https,,application/json,GET,52.208.31.56,/,1776684608,34.253.138.209,Node.js,1,False,,,,,,,
fbnotify.dev.devhk.services.bitmex.com,,404,26,fbnotify.dev.devhk.services.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T21:35:08Z,2023-07-11T21:35:07Z,CN=fbnotify.dev.devhk.services.bitmex.com,fbnotify.dev.devhk.services.bitmex.com,,fbnotify.dev.devhk.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,81d4e392f1aca719a97d83923eb581c4,4852b6c05c4640b63d0b8e85f762d12703914e4a67b9478cc2ff05e6dca945b2,ctls,fbnotify.dev.devhk.services.bitmex.com,,443,https://fbnotify.dev.devhk.services.bitmex.com:443,https,gunicorn,application/json,GET,52.18.26.125,/,-1237272080,52.31.252.102,gunicorn,1,False,,,,,,,
fbnotify.devhk.services.bitmex.com,,404,26,fbnotify.devhk.services.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-04T17:09:03Z,2023-06-02T17:09:02Z,CN=fbnotify.devhk.services.bitmex.com,fbnotify.devhk.services.bitmex.com,,fbnotify.devhk.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f6185be9cafcd9dbcc6bc24081dfd7ba,d05dfa6a81473250ba5c1af33958bb54cb85c62ece785d90df51c8cc835c6c10,ctls,fbnotify.devhk.services.bitmex.com,,443,https://fbnotify.devhk.services.bitmex.com:443,https,gunicorn,application/json,GET,52.48.44.19,/,-1237272080,54.154.216.195,gunicorn,1,False,,,,True,,,
fbnotify.prod.services.bitmex.com,,404,26,fbnotify.prod.services.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-12T20:15:21Z,2023-09-10T20:15:20Z,CN=fbnotify.prod.services.bitmex.com,fbnotify.prod.services.bitmex.com,,fbnotify.prod.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,73839da72d40ccfc3004247e9daf4b0f,81149876fa982be68f2102150b4951b8ffdbbac32742c8cbb407746ad1cf1edd,ctls,fbnotify.prod.services.bitmex.com,,443,https://fbnotify.prod.services.bitmex.com:443,https,gunicorn,application/json,GET,108.128.105.207,/,-1237272080,54.171.188.145,gunicorn,1,False,,,,,,,
fbnotify.public.testnet.services.bitmex.com,,404,26,fbnotify.public.testnet.services.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T15:19:13Z,2023-08-07T15:19:12Z,CN=fbnotify.public.testnet.services.bitmex.com,fbnotify.public.testnet.services.bitmex.com,,fbnotify.public.testnet.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aca1a5b32989b68a131d96865b253dce,6b730ecfb6f0f9e87bbdec7f540a09486ccaddf3d76e9f1608360bf8919d8945,ctls,fbnotify.public.testnet.services.bitmex.com,,443,https://fbnotify.public.testnet.services.bitmex.com:443,https,gunicorn,application/json,GET,34.247.1.16,/,-1237272080,52.16.39.168,gunicorn,1,False,,,,,,,
freshdesk.services.bitmex.com,Security check,403,7833,support.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-20T00:17:11Z,2023-08-18T00:17:10Z,CN=support.bitmex.com,support.bitmex.com,,support.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f47473ee75d29ba83e3c6ac60703b24c,b4cd51b6fb11fcca60162d6e6254889a99a23fe4d41fa9dd831d58a0e2ca9f6b,ctls,support.bitmex.com,,443,https://freshdesk.services.bitmex.com:443,https,cloudflare,text/html,GET,34.247.75.91,/,-881823336,52.19.93.88,Cloudflare,104,False,,,,,https://support.bitmex.com/hc/en-gb,,
https://s3-eu-west-1.amazonaws.com,Cloud Object Storage – Amazon S3 – Amazon Web Services,200,75093,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,142203600fa2c4d1b20831103811f8d6,54108acd24884070f6280ba1133869ead976599d259f036c681587b6a5f081f5,ctls,aws.amazon.com,,443,https://s3-eu-west-1.amazonaws.com:443,https,Server,text/html,GET,52.218.41.251,/,-1893840474,52.218.80.36,Handlebars,815,False,,,https://website.spot.ec2.aws.a2z.com,,https://aws.amazon.com/s3/,,
l.m.bitmex.com,404 Not Found,404,162,l.m.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,l.m.bitmex.com,,443,https://l.m.bitmex.com:443,https,nginx,text/html,GET,167.89.123.54,/,190856733,167.89.123.124,Nginx,8,False,,True,,,,True,
l.m.testnet.bitmex.com,404 Not Found,404,162,l.m.testnet.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,l.m.testnet.bitmex.com,,443,https://l.m.testnet.bitmex.com:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.123.54,Nginx,8,False,,True,,,,True,
onfido.bitmex.com,Onfido API,200,269,onfido.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-30T08:05:11Z,2023-07-29T08:05:10Z,CN=onfido.bitmex.com,onfido.bitmex.com,,onfido.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8d3e2a2ea33366374d6e13cdf61bd0f9,2a5ce6e28da3fdf02073c3f2023a3f40dd21bb6821a6d40fde56a703215e0f28,ctls,onfido.bitmex.com,,443,https://onfido.bitmex.com:443,https,nginx,text/html,GET,52.29.119.132,/,968070783,3.120.167.53,Nginx,16,False,,,,,,,
onfido.devhk.bitmex.com,,403,16,onfido.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,onfido.devhk.bitmex.com,cloudflare,443,https://onfido.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,True,,,,,
onfido.devsf3.bitmex.com,,400,163,onfido.devsf3.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-01T08:01:01Z,2023-09-29T08:01:00Z,CN=onfido.devsf3.bitmex.com,onfido.devsf3.bitmex.com,,onfido.devsf3.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,da14f362cc5061d4cfb1fbe5edda1861,3161f05cfe26b152808532b65fecb97c15344711adf547d52456ce94d955cb89,ctls,onfido.devsf3.bitmex.com,,443,https://onfido.devsf3.bitmex.com:443,https,nginx,text/plain,GET,3.215.240.222,/,459806698,3.215.204.48,Nginx,1,False,,,,,,,
podcasts.academy.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,680602,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,cloudflare,443,https://podcasts.academy.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,-510280537,172.64.146.66,webpack,468,False,True,True,https://o1146016.ingest.sentry.io,,https://www.bitmex.com,,
public-testnet.bitmex.com,BitMEX Public Data,200,1269,public-testnet.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-09T23:59:59Z,CN=public-testnet.bitmex.com,public-testnet.bitmex.com,,public-testnet.bitmex.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1d86760563d2bd81cb9cf7957cded371,3a50717fa6890e18726fadc051774b67284156f216fa9851ef0d541befe30145,ctls,public-testnet.bitmex.com,cloudfront,443,https://public-testnet.bitmex.com:443,https,AmazonS3,text/html,GET,18.66.122.103,/,1037938604,18.66.122.26,Amazon Web Services,28,False,True,,https://s3-eu-west-1.amazonaws.com,,,,
public.bitmex.com,BitMEX Public Data,200,1245,public.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-08T23:59:59Z,CN=public.bitmex.com,public.bitmex.com,,public.bitmex.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d30811dc620a0b9c5390063e23b52c50,0f3c8cc1f9e605e9c4eed36e92618b9d9727618890432f21471b57b808a89abc,ctls,public.bitmex.com,cloudfront,443,https://public.bitmex.com:443,https,AmazonS3,text/html,GET,13.32.99.47,/,-1819403713,13.32.99.5,Amazon Web Services,28,False,True,,https://s3-eu-west-1.amazonaws.com,,,,
refer.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,680493,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,cloudflare,443,https://refer.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,-689373029,172.64.146.66,webpack,468,False,True,True,https://images.ctfassets.net,,https://www.bitmex.com/,,
refer.services.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,680493,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,,443,https://refer.services.bitmex.com:443,https,cloudflare,text/html,GET,34.252.235.234,/,-689373029,52.211.112.159,webpack,468,False,,True,https://dsp-ap.eskimi.com,,https://www.bitmex.com/,,
research.bitmex.com,BitMEX Research | BitMEX Blog,200,277719,blog.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,blog.bitmex.com,cloudfront,443,https://research.bitmex.com:443,https,cloudflare,text/html,GET,13.227.219.13,/,1923039477,13.227.219.33,wpBakery,4299,False,True,True,,,https://blog.bitmex.com/research/,,
securemail.bitmex.com,Forbidden,403,2200,securemail.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-27T00:00:00Z,2023-10-28T23:59:59Z,CN=securemail.bitmex.com,securemail.bitmex.com,,securemail.bitmex.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,cda17fccd4684ee60674b2698f7a3488,bb74273188a21cfdccce9c5c16e1cdf29698c13a9986c3ba87235dd30c6e0470,ctls,securemail.bitmex.com,,443,https://securemail.bitmex.com:443,https,,text/html,GET,148.163.141.209,/,942678640,148.163.141.209,HSTS,98,False,,,,,,,
static.bitmex.com,,403,243,static.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-06T23:59:59Z,CN=static.bitmex.com,static.bitmex.com,,testnet-static.bitmex.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ffd15391e40d22cdae4584a2ad2f600b,27041bf6dc5ea7ae58c87273366ca1fb5e23eac0996b17ec7b253dd8f34f9b11,ctls,static.bitmex.com,cloudfront,443,https://static.bitmex.com:443,https,AmazonS3,application/xml,GET,13.225.78.50,/,898846398,13.225.78.92,Amazon Web Services,2,False,True,,,,,,
