new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,caa,has_internal_ips,internal_ips
,insightvm.alasco.rocks,172.104.135.188,,cj57qbed2r.pzero.perimeter81.com,,NOERROR,,,,,"c1dns8.p81zero.safersoftware.net, sx-core-dns-public-lb-production.safersoftware.net, c1dns1.p81zero.safersoftware.net, c1dns2.p81zero.safersoftware.net, c1dns3.p81zero.safersoftware.net, c1dns6.p81zero.safersoftware.net, c1dns7.p81zero.safersoftware.net",,,
,internal.alasco.rocks,,,,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,l.alasco.de,52.72.49.79,,,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,login.alasco.de,"104.17.171.55, 104.17.235.88","2606:4700::6811:eb58, 2606:4700::6811:ab37",alasco-cd-enr90ilxh5kguc0t.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"letsencrypt.org, digicert.com",,
,lp.alasco.de,"199.60.103.227, 199.60.103.29","2606:2c40::c73c:67e3, 2606:2c40::c73c:671d","5181082.group32.sites.hubspot.net, group32.sites.hscoscdn30.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,maintenance.alasco.de,"104.22.74.141, 104.22.75.141, 172.67.21.239","2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,metabase.alasco.rocks,"172.67.69.253, 104.26.4.79, 104.26.5.79","2606:4700:20::681a:54f, 2606:4700:20::ac43:45fd, 2606:4700:20::681a:44f",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,metabase.internal.alasco.rocks,"10.101.89.154, 10.101.62.70, 10.101.64.252",,internal-metabase-alb-867601531.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.101.89.154, 10.101.62.70, 10.101.64.252"
,o1.n.alasco.de,149.72.79.54,,,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,rabbitmq.alasco.de,"18.198.141.16, 52.28.163.41, 18.185.146.204",,rabbitmq-web-console-1424781812.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,rabbitmq.alasco.rocks,"3.66.251.252, 3.123.126.183, 18.158.162.226",,rabbitmq-web-console-161358396.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,static-staging.alasco.rocks,"104.26.5.79, 172.67.69.253, 104.26.4.79","2606:4700:20::681a:44f, 2606:4700:20::681a:54f, 2606:4700:20::ac43:45fd",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,static.alasco.de,"104.22.74.141, 104.22.75.141, 172.67.21.239","2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,www.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::6816:4b8d, 2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,www.alasco.rocks,"104.26.4.79, 172.67.69.253, 104.26.5.79","2606:4700:20::681a:54f, 2606:4700:20::681a:44f, 2606:4700:20::ac43:45fd",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,zendesk1.alasco.de,"162.159.138.6, 162.159.128.7",,mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,,
,zendesk4.alasco.de,"162.159.138.6, 162.159.128.7",,mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,,
