new,host,a,aaaa,cname,mx,soa,ns,txt,status_code,cdn,cdn-name,caa
[x],ipv4-c021-fra002-ix.my.ncsc.gov.uk,"52.222.214.84, 52.222.214.123, 52.222.214.98, 52.222.214.45",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],ipv4-c318-dfw001-ix.my.ncsc.gov.uk,"18.161.97.18, 18.161.97.57, 18.161.97.67, 18.161.97.47",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],jgr-atv.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.123, 52.222.214.45, 52.222.214.84",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],linx.my.ncsc.gov.uk,"18.161.97.67, 18.161.97.47, 18.161.97.57, 18.161.97.18",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],lon3-identity2-a1.my.ncsc.gov.uk,"52.222.214.45, 52.222.214.98, 52.222.214.84, 52.222.214.123",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],lyncdiscover.ncsc.gov.uk,52.112.192.142,2603:1027:0:3::e,webdir.online.lync.com,,"admin.nsatc.net, dns.level3.net",,,NOERROR,,,
[x],manuals.my.ncsc.gov.uk,"18.66.248.26, 18.66.248.13, 18.66.248.72, 18.66.248.68",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],massacre.my.ncsc.gov.uk,"52.222.214.84, 52.222.214.45, 52.222.214.123, 52.222.214.98",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],mta-sts.ncsc.gov.uk,20.50.153.39,,"witty-pebble-0d752b703.1.azurestaticapps.net, azurestaticapps1.trafficmanager.net, msha-slice-1-am2-0.msha-slice-1-am2-0-ase.p.azurewebsites.net, waws-prod-am2-5ecab9f3.sip.p.azurewebsites.windows.net",,"ns1-05.azure-dns.com, msnhst.microsoft.com",,,NOERROR,True,azure,
[x],mx4-hio-sp1.my.ncsc.gov.uk,"52.222.214.84, 52.222.214.45, 52.222.214.123, 52.222.214.98",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],my.ncsc.gov.uk,,,,,,"ns-689.awsdns-22.net, ns-1391.awsdns-45.org, ns-1709.awsdns-21.co.uk, ns-184.awsdns-23.com",,NOERROR,True,cloudfront,
[x],ne1devxafdb-002.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns2.domaindiscount24.net, ns3.domaindiscount24.net, ns1.domaindiscount24.net","google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8, v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all",NOERROR,,,
[x],o1.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.84, 52.222.214.123, 52.222.214.45",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],ocsp.external.ncsc.gov.uk,51.140.188.180,,"aag.ncsc.trafficmanager.net, d6ab9bbf-42f6-4ead-b64a-ca6896c09d01.cloudapp.net",,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,NOERROR,True,azure,
[x],oms0bd01rh.my.ncsc.gov.uk,"52.222.214.45, 52.222.214.84, 52.222.214.98, 52.222.214.123",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],onboarding.cisp.ncsc.gov.uk,20.26.143.97,,"cisprequestportal.azurewebsites.net, ssl.cisprequestportal.azurewebsites.net",,"ns1-224.azure-dns.com, msnhst.microsoft.com",,,NOERROR,,,
[x],organisation.service.ncsc.gov.uk,"13.107.226.40, 13.107.253.40, 13.107.236.4, 150.171.21.4, 204.14.183.4, 208.84.5.4","2603:1061:0:700::4, 2620:1ec:8ec:700::4, 2a01:111:4000:700::4, 2620:1ec:bda:700::4",,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com","ns4-04.azure-dns.info, ns2-04.azure-dns.net, ns1-04.azure-dns.com, ns3-04.azure-dns.org",,NOERROR,,,
[x],origin-app-sj40.my.ncsc.gov.uk,"52.222.214.123, 52.222.214.45, 52.222.214.84, 52.222.214.98",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],p43-exportws.my.ncsc.gov.uk,,,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],p56-smtp.my.ncsc.gov.uk,"52.84.174.83, 52.84.174.67, 52.84.174.12, 52.84.174.55",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],pdnsdata.service.ncsc.gov.uk,20.77.252.9,,,,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com","ns3-08.azure-dns.org, ns4-08.azure-dns.info, ns1-08.azure-dns.com, ns2-08.azure-dns.net",,NOERROR,,,
[x],postmaster.my.ncsc.gov.uk,"99.86.114.94, 99.86.114.78, 99.86.114.61, 99.86.114.127",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com","ns-1391.awsdns-45.org, ns-1709.awsdns-21.co.uk, ns-184.awsdns-23.com, ns-689.awsdns-22.net",,NOERROR,True,cloudfront,
[x],prod.check-reports.ncsc.gov.uk,"18.66.97.71, 18.66.97.73, 18.66.97.109, 18.66.97.10",,,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],protectivedns.service.ncsc.gov.uk,18.130.212.157,,,"mx1.nominet.org.uk, mx2.nominet.org.uk","dns1.nominet.uk, hostmaster.protectivedns.service.ncsc.gov.uk","dns2.nominet.uk, dns1.nominet.uk","v=spf1 mx ip4:213.248.242.48/24 ip4:213.248.242.49/24 ip6:2a01:618:8009:0:264f:3ac4:83a1:f047/64 ip6:2a01:618:8009:0:20fa:1a15:82ff:e618/64 ?all, @ MS=ms24733758 3600, 19362c86386c47eda9476d1b8d51f019",NOERROR,,,digicert.com
[x],pubweb-dev-novarnish.my.ncsc.gov.uk,"108.157.229.112, 108.157.229.18, 108.157.229.71, 108.157.229.106",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],pxe-4-1-3.my.ncsc.gov.uk,"18.66.196.73, 18.66.196.102, 18.66.196.86, 18.66.196.90",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],qa.devops.ncsc.gov.uk,3.9.85.28,,,inbound-smtp.eu-west-1.amazonaws.com,"ns-644.awsdns-16.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,
[x],remote.tsc.ncsc.gov.uk,194.75.69.196,,,,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,
[x],review.check-reports.ncsc.gov.uk,"108.138.17.87, 108.138.17.92, 108.138.17.129, 108.138.17.65","2600:9000:2491:7a00:1:122b:cbc0:93a1, 2600:9000:2491:8400:1:122b:cbc0:93a1, 2600:9000:2491:8c00:1:122b:cbc0:93a1, 2600:9000:2491:9000:1:122b:cbc0:93a1, 2600:9000:2491:aa00:1:122b:cbc0:93a1, 2600:9000:2491:b200:1:122b:cbc0:93a1, 2600:9000:2491:d600:1:122b:cbc0:93a1, 2600:9000:2491:0:1:122b:cbc0:93a1",d355lmj9hgzpdb.cloudfront.net,,"ns-786.awsdns-34.net, awsdns-hostmaster.amazon.com","ns-429.awsdns-53.com, ns-786.awsdns-34.net, ns-1131.awsdns-13.org, ns-1793.awsdns-32.co.uk",,NOERROR,True,cloudfront,
[x],rsw4.my.ncsc.gov.uk,"18.154.63.61, 18.154.63.95, 18.154.63.107, 18.154.63.128",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],s100vlx.my.ncsc.gov.uk,"52.84.174.12, 52.84.174.83, 52.84.174.55, 52.84.174.67",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],s12vlx.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.84, 52.222.214.123, 52.222.214.45",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],sampleapp.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.84, 52.222.214.45, 52.222.214.123",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],sandiegostate.my.ncsc.gov.uk,"18.165.183.55, 18.165.183.41, 18.165.183.3, 18.165.183.113",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com","ns-1391.awsdns-45.org, ns-1709.awsdns-21.co.uk, ns-184.awsdns-23.com, ns-689.awsdns-22.net",,NOERROR,True,cloudfront,
