new,host,a,soa,status_code,caa,cname,txt,has_internal_ips,internal_ips,aaaa,ns,cdn,cdn-name,mx
[x],app40.rp.roblox.com,64.125.149.162,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app42.rp.roblox.com,64.125.149.167,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app43.rp.roblox.com,64.125.149.168,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app44.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app45.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app46.rp.roblox.com,64.125.149.42,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app47.rp.roblox.com,64.125.149.43,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app48.rp.roblox.com,64.125.149.44,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app49.rp.roblox.com,64.125.149.45,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app5.rp.roblox.com,64.125.149.104,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app50.rp.roblox.com,64.125.149.46,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app51.ra.roblox.com,10.21.0.41,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.21.0.41,,,,,
[x],app53.ra.roblox.com,10.21.1.41,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.21.1.41,,,,,
[x],app53.rp.roblox.com,64.125.149.158,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app54.ra.roblox.com,10.61.200.12,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.200.12,,,,,
[x],app54.rp.roblox.com,64.125.149.159,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app55.rp.roblox.com,64.125.149.201,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app56.ra.roblox.com,10.61.200.105,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.200.105,,,,,
[x],app59.ra.roblox.com,10.61.203.6,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.203.6,,,,,
[x],app59.rp.roblox.com,64.125.149.217,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app6.rp.roblox.com,64.125.149.105,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app60.rp.roblox.com,64.125.149.219,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app61.rp.roblox.com,64.125.149.220,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app64.ra.roblox.com,208.185.173.150,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app64.rp.roblox.com,64.125.149.227,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app65.ra.roblox.com,208.185.173.157,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app65.rp.roblox.com,216.200.230.36,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app66.ra.roblox.com,208.185.173.158,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app66.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app67.rp.roblox.com,216.200.230.38,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app69.ra.roblox.com,208.185.173.171,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app69.rp.roblox.com,216.200.230.42,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app7.rp.roblox.com,64.125.149.109,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app70.ra.roblox.com,208.185.173.168,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app70.rp.roblox.com,216.200.230.43,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app71.ra.roblox.com,208.185.173.173,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app72.ra.roblox.com,208.185.173.172,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app73.ra.roblox.com,208.185.173.174,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app73.rp.roblox.com,64.125.149.239,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app74.ra.roblox.com,208.185.173.181,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app74.rp.roblox.com,216.200.230.72,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app75.ra.roblox.com,208.185.173.183,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app75.rp.roblox.com,216.200.230.73,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app76.ra.roblox.com,208.185.173.184,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app76.rp.roblox.com,216.200.230.74,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app77.ra.roblox.com,208.185.173.167,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app77.rp.roblox.com,216.200.230.75,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app78.rp.roblox.com,216.200.230.76,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app80.rp.roblox.com,216.200.230.80,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app81.rp.roblox.com,216.200.230.81,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app82.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app83.rp.roblox.com,216.200.230.85,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app84.ra.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app85.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app86.ra.roblox.com,10.61.203.135,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.203.135,,,,,
[x],app86.rp.roblox.com,216.200.230.114,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app87.rp.roblox.com,216.200.230.221,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app88.ra.roblox.com,10.61.203.112,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.203.112,,,,,
[x],app88.rp.roblox.com,216.200.230.222,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app89.rp.roblox.com,216.200.230.223,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app9.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app90.ra.roblox.com,10.61.201.18,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.201.18,,,,,
[x],app91.ra.roblox.com,208.185.173.71,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app92.ra.roblox.com,10.61.204.31,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.204.31,,,,,
[x],appmail.rp.roblox.com,64.125.149.163,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,app41.rp.roblox.com,v=spf1 a -all,,,,,,,
[x],ash1-clientsettings.api.roblox.com,10.130.240.15,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"us-east-bd1-smoke.roblox.com, ash1-rlb-bd1.roblox.com",,True,10.130.240.15,,,,,
[x],ash1-clientsettings.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"us-east-bd1-smoke.roblox.com, ash1-rlb-bd1.roblox.com",,,,,,,,
[x],ash1-gameinstances.api.roblox.com,10.130.240.19,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"us-east-bd1-smoke.roblox.com, ash1-rlb-bd1.roblox.com",,True,10.130.240.19,,,,,
[x],ash1-games.api.roblox.com,10.130.240.21,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"us-east-bd1-smoke.roblox.com, ash1-rlb-bd1.roblox.com",,True,10.130.240.21,,,,,
[x],ash1-localization.api.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"us-east-bd1-smoke.roblox.com, ash1-rlb-bd1.roblox.com",,,,,,,,
[x],ash1-versioncompatibility.api.roblox.com,10.130.240.21,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"us-east-bd1-smoke.roblox.com, ash1-rlb-bd1.roblox.com",,True,10.130.240.21,,,,,
[x],assembliesproxy.api.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],assetdetailsquality.api.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],assetformats.api.roblox.com,10.128.240.200,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.200,,,,,
[x],assetinstances.api.roblox.com,10.128.240.66,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.66,,,,,
[x],autodiscover.cn.roblox.com,"40.99.157.56, 40.99.157.24, 40.99.155.232","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c0d:82c::8, 2603:1026:c0d:c29::8, 2603:1026:c0d:c06::8, 2603:1026:c0d:82a::8",,,,
[x],avatar.api.roblox.com,10.2.255.208,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,rlb-private-bd1-chi3.roblox.com,,True,10.2.255.208,,,,,
[x],avatarcatalogsearch.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],avataremotes.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],avatarpolicy.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],bcpsg-bgrm-nn.artifactory-edge1.rbx.com,"54.183.163.125, 13.56.67.11","ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,,artifactory-lb-edge01-985143120.us-west-1.elb.amazonaws.com,,,,,,,,
[x],broadcastnotifications.api.roblox.com,10.128.240.200,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.200,,,,,
[x],bundles.api.roblox.com,10.128.240.200,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.200,,,,,
[x],canonicalassets.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],confluenceweb-defaultproduction.github.rbx.com,"10.102.105.177, 10.102.105.218","ns-231.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,nlb-ghe-prod1-ebbf0adba095bcd4.elb.us-west-1.amazonaws.com,,True,"10.102.105.177, 10.102.105.218",,,,,
[x],contacts.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],contentfilter.api.roblox.com,10.128.240.9,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.9,,,,,
[x],currency.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],db10.rp.roblox.com,64.125.149.119,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db10.sm.roblox.com,172.17.252.25,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.17.252.25,,,,,
[x],db11.sm.roblox.com,172.17.252.35,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.17.252.35,,,,,
[x],db12.rp.roblox.com,64.125.149.120,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db12.sm.roblox.com,10.61.200.255,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.61.200.255,,,,,
[x],db13.rp.roblox.com,64.125.149.128,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db15.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db16.rp.roblox.com,64.125.149.63,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db17.sm.roblox.com,172.17.252.119,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.17.252.119,,,,,
[x],db18.rp.roblox.com,64.125.149.131,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db19.rp.roblox.com,64.125.149.98,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db2.ra.roblox.com,208.185.173.28,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db2.rp.roblox.com,64.125.149.111,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db21.rp.roblox.com,64.125.149.137,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db21.sm.roblox.com,172.16.0.43,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.16.0.43,,,,,
[x],db22.rp.roblox.com,64.125.149.121,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db25.rp.roblox.com,64.125.149.212,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db26.rp.roblox.com,64.125.149.229,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db32.rp.roblox.com,64.125.149.62,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db34.rp.roblox.com,64.125.149.164,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db35.rp.roblox.com,64.125.149.203,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db36.rp.roblox.com,64.125.149.166,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db38.rp.roblox.com,64.125.149.37,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db39.rp.roblox.com,64.125.149.25,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db4.ra.roblox.com,208.185.173.30,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db43.rp.roblox.com,64.125.149.192,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db44.rp.roblox.com,64.125.149.36,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db46.rp.roblox.com,64.125.149.215,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db47.rp.roblox.com,64.125.149.200,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db48.rp.roblox.com,64.125.149.218,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db49.rp.roblox.com,64.125.149.205,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db5.ra.roblox.com,208.185.173.37,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db5.rp.roblox.com,64.125.149.124,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db51.rp.roblox.com,64.125.149.231,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db53.rp.roblox.com,64.125.149.233,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db54.rp.roblox.com,64.125.149.234,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db55.rp.roblox.com,64.125.149.198,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db56.rp.roblox.com,64.125.149.236,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db58.rp.roblox.com,64.125.149.248,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db59.rp.roblox.com,64.125.149.249,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db6.ra.roblox.com,208.185.173.36,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db6.sm.roblox.com,172.17.252.72,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.17.252.72,,,,,
[x],db60.rp.roblox.com,64.125.149.250,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db62.rp.roblox.com,216.200.230.35,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db63.rp.roblox.com,216.200.230.31,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db66.rp.roblox.com,216.200.230.105,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db67.rp.roblox.com,10.60.36.6,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.60.36.6,,,,,
[x],db68.rp.roblox.com,216.200.230.46,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db71.rp.roblox.com,216.200.230.45,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db72.rp.roblox.com,216.200.230.197,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db75.rp.roblox.com,216.200.230.40,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db76.rp.roblox.com,216.200.230.89,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db77.rp.roblox.com,216.200.230.90,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db8.sm.roblox.com,172.17.252.101,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.17.252.101,,,,,
[x],db80.rp.roblox.com,216.200.230.93,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db81.rp.roblox.com,216.200.230.94,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db82.rp.roblox.com,216.200.230.102,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db83.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db84.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db87.rp.roblox.com,216.200.230.108,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db88.ra.roblox.com,10.21.0.31,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.21.0.31,,,,,
[x],db89.ra.roblox.com,10.21.0.33,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.21.0.33,,,,,
[x],db89.rp.roblox.com,216.200.230.113,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db90.ra.roblox.com,10.21.0.32,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.21.0.32,,,,,
[x],db92.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db93.rp.roblox.com,216.200.230.129,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db94.ra.roblox.com,208.185.116.31,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db95.ra.roblox.com,208.185.116.33,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db96.rp.roblox.com,216.200.230.132,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],db99.ra.roblox.com,10.21.2.38,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.21.2.38,,,,,
[x],dellrepo.rp.roblox.com,172.20.35.58,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.20.35.58,,,,,
[x],developerexchange.api.roblox.com,10.128.240.200,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.200,,,,,
[x],discussions.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],durablecounters.api.roblox.com,10.2.255.208,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,rlb-private-bd1-chi3.roblox.com,,True,10.2.255.208,,,,,
[x],email.marketing.roblox.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,u7157574.wl075.sendgrid.net,v=spf1 ip4:168.245.69.127 -all,,,,,,,
[x],environmenttest.api.roblox.com,10.128.240.190,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.190,,,,,
[x],ephemeralcounters.api.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,"gold.roblox.com, us-central-bd1.roblox.com",,,,,,,,
[x],events-test.rbx.com,"13.224.189.59, 13.224.189.35, 13.224.189.92, 13.224.189.38","ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,,"events.roblox.com, dlbam1dvhszns.cloudfront.net",,,,"2600:9000:20eb:e800:1c:4090:2200:93a1, 2600:9000:20eb:1a00:1c:4090:2200:93a1, 2600:9000:20eb:b600:1c:4090:2200:93a1, 2600:9000:20eb:6a00:1c:4090:2200:93a1, 2600:9000:20eb:e00:1c:4090:2200:93a1, 2600:9000:20eb:ea00:1c:4090:2200:93a1, 2600:9000:20eb:c000:1c:4090:2200:93a1, 2600:9000:20eb:da00:1c:4090:2200:93a1","ns-456.awsdns-57.com, ns-1315.awsdns-36.org, ns-818.awsdns-38.net, ns-2036.awsdns-62.co.uk",True,cloudfront,
