new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],api19-core-useast5.us.tiktokv.com,146.75.122.73,,bytedance.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,
[x],api31-normal-q-useast1a.tiktokv.com,147.160.187.241,,api39-va.gts.byteoversea.net,"ns.gts.byteoversea.net, admin.gts.byteoversea.net",NOERROR,,,,,,,,
[x],apiproxy-va.tiktokv.com,"88.221.24.82, 88.221.24.59, 88.221.24.104, 88.221.24.64, 88.221.24.58, 88.221.24.90, 88.221.24.122, 88.221.24.41, 88.221.24.66",,"apiproxy-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],bounce.service.tiktok.com,,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-304.awsdns-38.com, ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-775.awsdns-32.net",smtp.sparkpostmail.com,"google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,,
[x],bsync.us.tiktokv.com,"104.126.118.241, 104.126.118.226, 104.126.118.219, 104.126.118.210, 104.126.118.232, 104.126.118.217, 104.126.118.203, 104.126.118.225, 104.126.118.227",,"bsync.us.tiktokv.com.edgesuite.net, a2047.w185.akamai.net","n0w185.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],business-api.tiktok.com,"184.86.251.147, 184.86.251.151, 184.86.251.153, 184.86.251.148, 184.86.251.146, 184.86.251.149, 184.86.251.154, 184.86.251.152, 184.86.251.150",,"business-api-tiktok-com-lb.bytewlb.akadns.net, business-api.tiktok.com.edgesuite.net, business-api-tiktok-com-apix.bytewlb.akadns.net, a2047.api5.akamai.net, a2047.api3.akamai.net","n0api5.akamai.net, hostmaster.akamai.com, n0api3.akamai.net",NOERROR,,,,,,,,
[x],business-sso.us.tiktok.com,130.35.192.4,,"direct.ad-lb-texas.useast5.byteoversea.net, direct.ad-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],business-tips.tiktok.com,199.36.158.100,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],business.tiktok.com,"23.213.161.212, 23.213.161.219",,"business.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],careers.tiktok.com,"95.101.74.207, 95.101.74.200",,"careers.tiktok.com.edgesuite.net, a1881.r.akamai.net, a1881.r.akamai.net.0.1.cn.akamaitech.net","n0cn.akamaitech.net, hostmaster.akamai.com, n0r.akamai.net",NOERROR,,,,,,,,
[x],creatormarketplace.us.tiktok.com,"184.29.143.163, 184.29.143.186",,"creatormarketplace.us.tiktok.com.edgesuite.net, a551.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],crypta.hackerrank.com,23.2.229.170,"2a02:26f0:c900:291::22e9, 2a02:26f0:c900:280::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],dev.tiktok.com,209.127.230.3,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,mx01.dm.aliyun.com,"google-site-verification=gxFtnmAkqqeHIJhc5dU1an4BUv9bvwthMaoPt19l0Ws, v=spf1 include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn +include:_netblocks.mxem.larksuite.com -all, verification-code-site-edm-va=8V3wKW3hsOVZ4SMmmLIO",,,
[x],developer.tiktok.com,"130.44.212.133, 130.44.212.135, 130.44.212.136, 130.44.212.134",,tiktok-lb-maliva.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],developers.tiktok.com,"23.32.238.50, 23.32.238.58",,"developers.tiktok.com.edgesuite.net, a1851.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ec.partner-us.tiktok.com,"23.63.101.81, 23.63.101.83",,"ec.partner-us.tiktok.com.edgesuite.net, a306.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],fi-eca-fiserv.hackerrank.com,23.37.42.110,"2a02:26f0:1700:18f::22e9, 2a02:26f0:1700:181::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],fms.us.tiktok.com,130.35.72.6,,"direct.texas-normal-lb.useast5.byteoversea.net, direct.texas-normal-lb.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],fp.us.tiktok.com,150.136.15.0,,"direct.pipo-lb-texas.useast5.tiktoklb.net, direct.pipo-lb-texas.useast5.tiktoklb.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,True,oracle,"ns-1281.awsdns-32.org, ns-2039.awsdns-62.co.uk, ns-367.awsdns-45.com, ns-944.awsdns-54.net",,,,,
[x],frontier-ttp2.us.tiktokv.com,"2.16.107.9, 2.16.107.65",,"frontier-ttp2.us.tiktokv.com.edgesuite.net, a1594.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],googleproxy-66-249-80-50.hackerrank.com,23.197.134.162,"2a02:26f0:7100:581::22e9, 2a02:26f0:7100:584::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],hackerrank.com,"54.145.145.178, 3.222.92.123, 3.212.208.174, 54.234.222.225",,,"ns-431.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1314.awsdns-36.org, ns-1691.awsdns-19.co.uk, ns-431.awsdns-53.com, ns-525.awsdns-01.net","hackerrank-com.mx1.arsmtp.com, hackerrank-com.mx2.arsmtp.com","1vw55mykhxxf0f6f7p753jxl8p02dw28, 44qhxttw57r6kw807sn30m95w0sdxmpz, MS=ms62638846, apple-domain-verification=Q9LsrtsfeaP9Fvmt, asv=76507f2886f0bde3dc7f6bc304735b11, atlassian-domain-verification=6HiXk7huVCKZSNrsFlfPNRRtGZoLUlbzmYn8WeGrOmUE1fimj/0LkFp3FOdS660H, atlassian-domain-verification=rvTqWSSidT6MJjD7x6Jgdfmqit8tfGKyjQLgZHDEW56pzLW5hG0x9WJ/fs5vu7tn, cloudhealth=664f9188-b27f-42f1-b9a0-c7c57472b23c, detectify-verification=afb71156799ad032dc48cb8864950ee5, g55tm2k14jvdj504mj5fz2r25mg1d5jx, google-site-verification=P3J7z89nJOYhAlCgNnH6-bg5lSbP2rKqQtN59gVuhIc, google-site-verification=VP4O54gn3ucAn2Iu4TkbBzMToA-q4aQAENqQs5TQWH0, lg6pwcdf8n548r049d1k9c10g1nvvww9, loaderio=6d3df817ccc37b96c16c78e44b62f75e, nk1wrt1mdn7v2zyqwlhnh4xsp3l17v46, sdmbw4qsz2gjxr5562xvy9lv0pdbj41m, segment-site-verification=GoR0jI3TdN1IHkVdNrkpkymGD7X1ANNd, tc8w7zfyk60wv64hcn3hx49b6snlr8rk, v57kbwjpcw2s4lcwq093l9ryc873sw2k, v=spf1 include:spf1.hackerrank.com include:spf2.hackerrank.com include:mktomail.com include:mail.zendesk.com include:spf-mailgun.hackerrank.com  include:_spf.google.com include:amazonses.com,  ip4:202.234.163.66/31 ip4:202.234.163.68/30 ip4:202.234.163.72/31 ~all, ykxktt1zy45npjmm11mvvhb822y90mcm",,,"mailto:security@hackerrank.com, Digicert.com, amazon.com, letsencrypt.org, pki.goog, sectigo.com, symantec.com"
[x],hackerrank.com.edgekey.net,23.197.134.162,"2a02:26f0:7100:584::22e9, 2a02:26f0:7100:581::22e9",e8937.dscb.akamaiedge.net,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],hornbill.us.tiktok.com,130.35.72.6,,"direct.texas-normal-lb.useast5.byteoversea.net, direct.texas-normal-lb.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],hotapi16-platform-useast5.us.tiktokv.com,"184.29.143.250, 184.29.143.200, 184.29.143.203, 184.29.143.210, 184.29.143.234, 184.29.143.232, 184.29.143.242, 184.29.143.226, 184.29.143.201",,"hotapi16-platform-useast5.us.tiktokv.com.edgesuite.net, a2047.w185.akamai.net","n0w185.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],im-api.us.tiktok.com,"184.25.127.73, 184.25.127.82, 184.25.127.79, 184.25.127.75, 184.25.127.74, 184.25.127.77, 184.25.127.76, 184.25.127.78, 184.25.127.81",,"im-api.us.tiktok.com.edgesuite.net, a2047.w182.akamai.net","n0w182.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],im-ws.us.tiktok.com,"184.29.143.136, 184.29.143.185, 184.29.143.163, 184.29.143.139, 184.29.143.147, 184.29.143.179, 184.29.143.154, 184.29.143.160, 184.29.143.146",,"im-ws.us.tiktok.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],im16-platform-useast5.us.tiktokv.com,"23.37.123.219, 23.37.123.216, 23.37.123.224, 23.37.123.209, 23.37.123.218, 23.37.123.210, 23.37.123.208, 23.37.123.217, 23.37.123.211",,"im16-platform-useast5.us.tiktokv.com.edgesuite.net, a2047.w182.akamai.net","n0w182.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],image.us.tiktok.com,130.35.157.113,,"direct.image-cache-texas.useast5.byteoversea.net, direct.image-cache-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],infobip.service.tiktok.com,209.127.230.15,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,mx.email-messaging.com,v=spf1 include:email-messaging.com ~all,,,
[x],link.e.tiktok.com,"216.137.44.116, 216.137.44.98, 216.137.44.115, 216.137.44.60","2600:9000:2204:6c00:9:5024:d040:93a1, 2600:9000:2204:dc00:9:5024:d040:93a1, 2600:9000:2204:9800:9:5024:d040:93a1, 2600:9000:2204:e000:9:5024:d040:93a1, 2600:9000:2204:2e00:9:5024:d040:93a1, 2600:9000:2204:fe00:9:5024:d040:93a1, 2600:9000:2204:2200:9:5024:d040:93a1, 2600:9000:2204:b600:9:5024:d040:93a1",d3ix9fzuqbbrk1.cloudfront.net,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-104.awsdns-13.com, ns-1323.awsdns-37.org, ns-1820.awsdns-35.co.uk, ns-946.awsdns-54.net",,,,,
[x],location.us.tiktok.com,"23.2.13.11, 23.2.13.67",,"location.us.tiktok.com.edgesuite.net, a1505.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],location.us.tiktokv.com,"2.16.238.9, 2.16.238.17","2a02:26f0:480:9::210:ee09, 2a02:26f0:480:9::210:ee11","location.us.tiktokv.com.edgesuite.net, a321.dsct.akamai.net","n0dsct.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],log.tiktokv.com,"23.72.252.82, 23.72.252.83, 23.72.252.81, 23.72.252.50, 23.72.252.90, 23.72.252.80, 23.72.252.88, 23.72.252.89, 23.72.252.49",,"log.tiktokv.com.edgesuite.net, a2047.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],log.us.tiktokv.com,"104.126.37.147, 104.126.37.185",,"log.us.tiktokv.com.edgekey.net, e117933.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],mcs.us.tiktok.com,130.35.87.129,,"direct.applog-lb-texas.useast5.byteoversea.net, direct.applog-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mcs.us.tiktokv.com,"23.222.12.56, 23.222.12.50, 23.222.12.51, 23.222.12.8, 23.222.12.11, 23.222.12.19, 23.222.12.16, 23.222.12.18, 23.222.12.17",,"mcs.us.tiktokv.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],mon16-platform-useast5.us.tiktokv.com,"23.43.85.151, 23.43.85.152, 23.43.85.149, 23.43.85.155, 23.43.85.148, 23.43.85.154, 23.43.85.156, 23.43.85.150, 23.43.85.147",,"mon16-platform-useast5.us.tiktokv.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],mssdk.us.tiktok.com,130.35.75.83,,"direct.tiktok-platform-lb-texas.useast5.byteoversea.net, direct.tiktok-platform-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1281.awsdns-32.org, ns-2039.awsdns-62.co.uk, ns-367.awsdns-45.com, ns-944.awsdns-54.net",,,,,
[x],my792.hackerrank.com,23.197.134.162,"2a02:26f0:7100:581::22e9, 2a02:26f0:7100:584::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],newsroom.us.tiktok.com,"23.37.123.234, 23.37.123.241",,"newsroom.us.tiktok.com.edgesuite.net, a1006.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],notifications.tiktok.com,130.44.213.67,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,m1.larksuite.com,"v=spf1 include:_netblocks.m.feishu.cn include:spf.onlarksuite.com +include:_netblocks.mxem.larksuite.com ~all, verification-code-site-edm-va=24SgsdMAkogBled4gFEi",,,
[x],oec.us.tiktokv.com,"184.51.149.81, 184.51.149.83, 184.51.149.26",,"oec.us.tiktokv.com.edgekey.net, e117933.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],open-api.us.tiktok.com,"23.37.123.241, 23.37.123.226, 23.37.123.233, 23.37.123.201, 23.37.123.209, 23.37.123.225, 23.37.123.240, 23.37.123.250, 23.37.123.248",,"open-api.us.tiktok.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],partner-us.tiktok.com,"95.101.111.149, 95.101.111.153",,"partner-us.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],pitaya-task.us.tiktokv.com,"23.3.88.9, 23.3.88.10",,"pitaya-task.us.tiktokv.com.edgekey.net, e121995.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],private-attribution.us.tiktokv.com,"104.126.37.177, 104.126.37.147",,"private-attribution.us.tiktokv.com.edgekey.net, e117933.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],pv.hackerrank.com,,,"hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],rtc-access.us.tiktokv.com,"184.25.127.135, 184.25.127.137, 184.25.127.134, 184.25.127.132, 184.25.127.133, 184.25.127.136, 184.25.127.138, 184.25.127.155, 184.25.127.156",,"rtc-access.us.tiktokv.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],rtc-logger.us.tiktokv.com,"184.29.143.168, 184.29.143.169",,"rtc-logger.us.tiktokv.com.edgesuite.net, a1083.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],rtc2.us.tiktokv.com,"88.221.132.27, 88.221.132.18",,"rtc2.us.tiktokv.com.edgesuite.net, a680.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],rtcpc.us.tiktokv.com,130.35.75.83,,"direct.tiktok-platform-lb-texas.useast5.byteoversea.net, direct.tiktok-platform-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],scm-us.tiktok.com,130.35.95.82,,"direct.tiktok-ecom-lb-texas.byteoversea.net, direct.tiktok-ecom-lb-texas.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1281.awsdns-32.org, ns-2039.awsdns-62.co.uk, ns-367.awsdns-45.com, ns-944.awsdns-54.net",,,,,
[x],sdfp-va.tiktokv.com,"23.55.110.190, 23.55.110.207",,"sdfp-va.tiktokv.com.edgesuite.net, a1993.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],security-devops.hackerrank.com,23.37.42.110,"2a02:26f0:1700:181::22e9, 2a02:26f0:1700:18f::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],seller.eu.tiktok.com,"72.247.182.89, 72.247.182.72",,"seller.eu.tiktok.com.edgesuite.net, a1759.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],sergey2004.hackerrank.com,23.197.134.162,"2a02:26f0:1700:181::22e9, 2a02:26f0:1700:18f::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],service.tiktok.com,209.127.230.15,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,mx01.dm.aliyun.com,"google-site-verification=woQVhI4uIwr3K3Lh9A8auS8ruaUrYOQdfPCCdSTN7rE, v=spf1 include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn -all",,,
[x],shop.tiktok.com,"88.221.25.24, 88.221.25.73",,"shop.tiktok.com.ttdns1.com, shop.tiktok.com.default.ttdns1.com, shop.tiktok.com.edgekey.net, e35058.api1.akamaiedge.net","n0api1.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],suggestions.us.tiktok.com,130.35.192.4,,"direct.ad-lb-texas.useast5.byteoversea.net, direct.ad-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],test.tiktok.com,"88.221.110.75, 88.221.110.67",,"test.tiktok.com.edgesuite.net, a74.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ttlive.us.tiktok.com,"184.29.143.179, 184.29.143.163",,"ttlive.us.tiktok.com.edgesuite.net, a1454.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],tv.us.tiktok.com,"23.55.235.72, 23.55.235.81",,"tv.us.tiktok.com.edgesuite.net, a1534.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],url.e.tiktok.com,"108.138.17.58, 108.138.17.65, 108.138.17.5, 108.138.17.35","2600:9000:2491:e600:9:5024:d040:93a1, 2600:9000:2491:3a00:9:5024:d040:93a1, 2600:9000:2491:a400:9:5024:d040:93a1, 2600:9000:2491:f000:9:5024:d040:93a1, 2600:9000:2491:8000:9:5024:d040:93a1, 2600:9000:2491:600:9:5024:d040:93a1, 2600:9000:2491:7a00:9:5024:d040:93a1, 2600:9000:2491:c200:9:5024:d040:93a1",d3ix9fzuqbbrk1.cloudfront.net,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1323.awsdns-37.org, ns-104.awsdns-13.com, ns-1820.awsdns-35.co.uk, ns-946.awsdns-54.net",,,,,
[x],us.tiktok.com,"184.86.251.148, 184.86.251.149, 184.86.251.144, 184.86.251.147, 184.86.251.143, 184.86.251.150, 184.86.251.145, 184.86.251.142, 184.86.251.146",,"us.tiktok.com.edgesuite.net, a2047.api10.akamai.net","n0api10.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],v16-webapp-prime.us.tiktok.com,"2.16.91.19, 2.16.91.11",,"v16-webapp-prime.us.tiktok.com.edgesuite.net, a1461.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],vcs.us.tiktok.com,"184.25.127.135, 184.25.127.152, 184.25.127.154, 184.25.127.132, 184.25.127.155, 184.25.127.133, 184.25.127.134, 184.25.127.136, 184.25.127.156",,"vcs.us.tiktok.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],verification16-tmp-normal-useast1a.tiktokv.com,"104.126.37.161, 104.126.37.145, 104.126.37.160, 104.126.37.128, 104.126.37.185, 104.126.37.168, 104.126.37.153, 104.126.37.129, 104.126.37.139",,"verification16-tmp-normal-useast1a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],video-useast5.us.tiktok.com,130.35.194.77,,"direct.videoarch-origin-texas.useast5.byteoversea.net, direct.videoarch-origin-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],web-test.us.tiktok.com,10.113.7.75,,inner-all.tiktok-lb-ttp.useast5.tiktokd.net,"ns1.p201.dns.oraclecloud.net, hostmaster.tiktokd.net",NOERROR,,,,,,True,10.113.7.75,
[x],web.us.tiktok.com,"23.63.101.89, 23.63.101.98",,"web.us.tiktok.com.edgesuite.net, a1168.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],webcast.us.tiktok.com,"23.43.85.137, 23.43.85.132, 23.43.85.134, 23.43.85.155, 23.43.85.154, 23.43.85.153, 23.43.85.136, 23.43.85.133, 23.43.85.156",,"webcast.us.tiktok.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],webcast16-normal-useast5.us.tiktokv.com,"23.222.12.41, 23.222.12.19, 23.222.12.35, 23.222.12.25, 23.222.12.49, 23.222.12.42, 23.222.12.40, 23.222.12.24, 23.222.12.17",,"webcast16-normal-useast5.us.tiktokv.com.edgesuite.net, a2047.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
