input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,cdn_name,cdn,final_url,csp_domains_
enterpriseregistration.moviexchange.com,Service,404,1565,enterpriseregistration.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-17T10:06:53Z,2024-05-11T10:06:53Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 01, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 01,Microsoft Corporation,9c63f59aa24f3f22874d7ea3998b82bd,894d8730e2e4c7c06b0d207438c8957cbd4aaae151221772f9a4db78085bdfc6,True,ctls,enterpriseregistration.moviexchange.com,443,https://enterpriseregistration.moviexchange.com:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,Microsoft Corporation,azure,True,,
film-cdn-staging.moviexchange.com,,403,243,film-cdn-staging.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-cdn-staging.moviexchange.com,443,https://film-cdn-staging.moviexchange.com:443,https,cloudflare,application/xml,GET,104.16.201.18,/,-2096550136,2606:4700::6810:c912,Cloudflare,2,False,,"Cloudflare, Inc.",cloudflare,True,,
film-cdn.moviexchange.com,,403,243,film-cdn.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-09T23:59:59Z,CN=*.moviexchange.com,*.moviexchange.com,*.moviexchange.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7a868197c2729d60156ee014151350fd,18d869c04557f15db72269326f22040093c6c1293f35622b9c85449dfe762f17,True,ctls,film-cdn.moviexchange.com,443,https://film-cdn.moviexchange.com:443,https,AmazonS3,application/xml,GET,13.32.121.84,/,-1765175234,2600:9000:236e:da00:8:fccc:f540:93a1,Amazon Web Services,2,False,,,cloudfront,True,,
film-ci.moviexchange.com,movieXchange,200,8764,film-ci.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-ci.moviexchange.com,443,https://film-ci.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.200.18,/,-1255347784,2606:4700::6810:c912,Cloudflare,221,False,,"Cloudflare, Inc.",cloudflare,True,,
film-qa.moviexchange.com,movieXchange,200,8764,film-qa.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-qa.moviexchange.com,443,https://film-qa.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.200.18,/,-1255347784,2606:4700::6810:c912,Cloudflare,221,False,,"Cloudflare, Inc.",cloudflare,True,,
film-staging.moviexchange.com,movieXchange,200,8764,film-staging.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-staging.moviexchange.com,443,https://film-staging.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.201.18,/,-1255347784,2606:4700::6810:c812,Cloudflare,221,False,,"Cloudflare, Inc.",cloudflare,True,,
film-test.moviexchange.com,movieXchange,200,8764,film-test.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-test.moviexchange.com,443,https://film-test.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.200.18,/,-1255347784,2606:4700::6810:c912,Cloudflare,221,False,,"Cloudflare, Inc.",cloudflare,True,,
film.moviexchange.com,movieXchange,200,8764,film.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film.moviexchange.com,443,https://film.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.201.18,/,-1255347784,2606:4700::6810:c912,Cloudflare,221,False,,"Cloudflare, Inc.",cloudflare,True,,
links.moviexchange.com,,404,128,,,,,,,,,,,,,,,,,,,80,http://links.moviexchange.com:80,http,openresty/1.21.4.1,application/json,GET,54.156.128.221,/,72824039,3.90.123.2,OpenResty:1.21.4.1,7,False,,,,,,
lyncdiscover.moviexchange.com,,404,34,lyncdiscover.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,lyncdiscover.moviexchange.com,443,https://lyncdiscover.moviexchange.com:443,https,,application/json,GET,52.112.192.142,/,561381128,2603:1027::e,Azure,1,False,True,Microsoft Corporation,,,,
moviexchange.com,movieXchange | Home,200,27175,www.moviexchange.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T01:11:55Z,2023-07-03T01:11:54Z,CN=www.moviexchange.com,www.moviexchange.com,www.moviexchange.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1759fb0ca612360ce6ca60493d8cb38b,48be4c8812f80fa479013b7a5d3f08e69b8be4fe5291495f77939ea7d15e8747,,ctls,www.moviexchange.com,443,https://moviexchange.com:443,https,,text/html,GET,75.2.70.75,/,-24954067,99.83.190.102,Webflow,174,False,,,,,https://www.moviexchange.com/,
msoid.moviexchange.com,Sign in to your account,200,207442,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://msoid.moviexchange.com:443,https,,text/html,GET,40.126.32.72,/,-1840324437,20.190.160.14,HSTS,174,False,,Microsoft Corporation,azure,True,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638211537783918958.MDg3NWE5OGYtNDQ3Yy00NTQ0LWEyZDgtYTQxNTcxYWZhYzY5MTQ3MDRiYzAtOWE5OC00NGJjLWIwMmYtMjY5ODZlOGY1MTcz&ui_locales=en-US&mkt=en-US&state=JoB0H9tWPdxttiwSX01PJnWp0nj2eoPAgYa75P_KnPyWY12BqTJwKC0g02AgGDBUB0FU5rA9aCk1ykQcN1uzLRTEZYPGQYaYVZv9nnaXaEM1Ymqwf9nCF8Zlo6OOuWsP4r3hpbVoN9H65xZ7e_XVzSl9SABb9EdoHeJoTChBI5N-tfbjlgDTVZmv_vtUIEFm54gFKqGEhnFz2u0PvlOimCgLlrNaUw21Ozqg0GgihMa7wznN2yDf15L3F4Xv3L3hlh9DvuA6GAyfcPmMsHQELw&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0,
mxf-api.moviexchange.com,,404,103,mxf-api.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2023-11-16T23:59:59Z,CN=mxf-api.moviexchange.com,mxf-api.moviexchange.com,mxf-api.moviexchange.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",efa6ae90b218c8030589011b459b51c0,4dea5d0e8123567dfbf377f68409b8b24865766cd3ab1050d0e25cc25350094d,,ctls,mxf-api.moviexchange.com,443,https://mxf-api.moviexchange.com:443,https,Microsoft-IIS/10.0,text/html,GET,13.66.138.108,/,-20275242,13.66.138.108,Windows Server,1,False,,,azure,True,https://mxf-api.moviexchange.com//swagger,
ns2.moviexchange.com,,403,16,ns2.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,ns2.moviexchange.com,443,https://ns2.moviexchange.com:443,https,cloudflare,text/plain,GET,162.159.9.238,/,,2400:cb00:2049:1::a29f:9ee,Cloudflare,1,False,,"Cloudflare, Inc.",cloudflare,True,,
sip.moviexchange.com,,404,75,sip.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.moviexchange.com,443,https://sip.moviexchange.com:443,https,RTC/7.0,text/plain,GET,52.112.192.11,/,1697585588,2603:1027:0:48::20,HSTS,4,False,True,Microsoft Corporation,,,,
