input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,cdn_name,cdn
1-83-7.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://1-83-7.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.34,/,865891125,185.166.143.33,HSTS,1,False,https://og-frontend-static.us-west-2.prod.public.atl-paas.net,https://app.opsgenie.com/error-page/404,,
11-7-2-8.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://11-7-2-8.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.35,/,865891125,185.166.143.33,HSTS,1,False,https://remote-app-switcher.prod-east.frontend.public.atl-paas.net,https://app.opsgenie.com/error-page/404,,
114-7.app.opsgenie.com,,200,6467,114-7.app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,114-7.app.opsgenie.com,443,https://114-7.app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.35,/,865891125,185.166.143.33,HSTS,1,False,https://m.youtube.com,,,
116-6-2.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://116-6-2.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.35,/,865891125,185.166.143.34,HSTS,1,False,https://web-security-reports.services.atlassian.com/csp-report/opsgenie-prod-us-violations,https://app.opsgenie.com/error-page/404,,
130.mobileapp.opsgenie.com,,401,41,130.mobileapp.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,130.mobileapp.opsgenie.com,443,https://130.mobileapp.opsgenie.com:443,https,AtlassianEdge,text/plain,GET,185.166.143.35,/,180399894,185.166.143.34,HSTS,1,False,,,,
14-78-4.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://14-78-4.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.34,HSTS,1,False,https://og-customer-service-prod-california.s3.us-west-1.amazonaws.com/invoices/,https://app.opsgenie.com/error-page/404,,
15-2-43.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://15-2-43.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.34,/,865891125,185.166.143.35,HSTS,1,False,https://api.segment.io,https://app.opsgenie.com/error-page/404,,
15-72-2.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://15-72-2.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.35,HSTS,1,False,https://web-security-reports.services.atlassian.com/csp-report/opsgenie-prod-us-violations,https://app.opsgenie.com/error-page/404,,
152-2-9-6.app.opsgenie.com,,200,6467,152-2-9-6.app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,152-2-9-6.app.opsgenie.com,443,https://152-2-9-6.app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.35,HSTS,1,False,https://*.launchdarkly.com,,,
155-9-191-63.app.opsgenie.com,,200,6467,155-9-191-63.app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,155-9-191-63.app.opsgenie.com,443,https://155-9-191-63.app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.34,HSTS,1,False,https://og-postmortem-prod-ohio.s3.eu-central-1.amazonaws.com,,,
155-9-198-68.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://155-9-198-68.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.34,/,865891125,185.166.143.33,HSTS,1,False,https://og-postmortem-prod-california.s3.eu-central-1.amazonaws.com,https://app.opsgenie.com/error-page/404,,
155-9-202-2.app.opsgenie.com,,200,6467,155-9-202-2.app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,155-9-202-2.app.opsgenie.com,443,https://155-9-202-2.app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.34,HSTS,1,False,https://fonts.gstatic.com,,,
155-9-211-51.app-backup.opsgenie.com,,200,6467,155-9-211-51.app-backup.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-01T00:00:00Z,2024-01-01T23:59:59Z,"CN=*.app-backup.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app-backup.opsgenie.com,Atlassian Pty Ltd,app-backup.eu.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fe39a622e554244c2a39089847194f57,c8012e90049693bbfe54d16828f05cd78e352f0f12c30c689b72fdb5abfa52f2,True,ctls,155-9-211-51.app-backup.opsgenie.com,443,https://155-9-211-51.app-backup.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,1943658057,185.166.143.35,HSTS,1,False,https://cdnmc.global-cache.online,,,
155-9-52-90.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://155-9-52-90.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.35,HSTS,1,False,https://web-security-reports.services.atlassian.com/csp-report/opsgenie-prod-us-violations,https://app.opsgenie.com/error-page/404,,
155-9-57-52.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://155-9-57-52.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.34,HSTS,1,False,https://api.segment.io,https://app.opsgenie.com/error-page/404,,
155-9-64-21.app.opsgenie.com,,200,6467,155-9-64-21.app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,155-9-64-21.app.opsgenie.com,443,https://155-9-64-21.app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.35,/,865891125,185.166.143.33,HSTS,1,False,https://cdnmc.global-cache.online,,,
155-9-72-18.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://155-9-72-18.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.33,/,865891125,185.166.143.34,HSTS,1,False,https://api-iam.intercom.io,https://app.opsgenie.com/error-page/404,,
155-9-77-23.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://155-9-77-23.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.34,/,865891125,185.166.143.35,HSTS,1,False,https://og-postmortem-eu-ireland.s3.eu-central-1.amazonaws.com,https://app.opsgenie.com/error-page/404,,
16-766-8.atlassian-app.opsgenie.com,,200,6467,app.opsgenie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.app.opsgenie.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.app.opsgenie.com,Atlassian Pty Ltd,atlassian-app.opsgenie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ddb43051fe477abbe285ff3794b6179,80a1607bc7315bcf99ed3d4b8730903ea432b893c253aafae346c67273eb28d6,True,ctls,app.opsgenie.com,443,https://16-766-8.atlassian-app.opsgenie.com:443,https,AtlassianEdge,text/html,GET,185.166.143.35,/,865891125,185.166.143.34,HSTS,1,False,https://web-security-reports.services.atlassian.com/csp-report/opsgenie-prod-us-violations,https://app.opsgenie.com/error-page/404,,
