new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa,ptr
[x],aia.pki.abb.com,,,,"adns1.abb.com, dnsmaster.abb.com",NOERROR,True,google,,,,,,,
[x],algorithmapi.maintenancedata.motion.abb.com,52.138.218.121,,"midataalgorithmwebapi.azurewebsites.net, waws-prod-db3-107.sip.azurewebsites.windows.net, waws-prod-db3-107.northeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],almglobal.abb.com,"23.222.79.195, 23.222.79.200",,"almglobal.waf.abb, almglobal.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],almglobal.de.abb.com,138.224.12.58,,deportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],amer.multiscan.abb.com,"95.101.133.64, 80.239.254.25","2a02:26f0:e2::1732:3b83, 2a02:26f0:e2::687b:4430","amer.multiscan.waf.abb, amer.multiscan.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],amer01.multiscan.abb.com,"2.17.100.210, 2.17.100.251","2a02:26f0:3100::1735:2b8a, 2a02:26f0:3100::1735:2bba","amer01.multiscan.waf.abb, amer01.multiscan.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],amer02.multiscan.abb.com,"2.17.100.210, 2.17.100.251","2a02:26f0:ab00::214:8e42, 2a02:26f0:ab00::5c7a:d70b","amer02.multiscan.waf.abb, amer02.multiscan.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],americas.automotive-summit.events.abb.com,"3.220.54.114, 3.88.75.208, 3.223.116.177, 52.203.102.209, 52.203.156.114",,"sslevents.bizzabo.com, sslevents.ext.prod.bizzabo.com","ns-1093.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],americas.fiori.abb.com,"2.17.100.248, 2.17.100.185",,"americas.fiori.waf.abb, americas.fiori.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analyzer-slim.abb.com,20.52.134.77,,"analyzer-slim-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],analyzer.abb.com,138.227.185.230,,abacus-analyzer.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],annualreport2015.e.abb.com,"18.200.110.5, 63.35.63.17, 52.49.8.106",,"www115.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],annualreport2016.e.abb.com,"18.200.110.5, 63.35.63.17, 52.49.8.106",,"www115.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],annualreport2017.e.abb.com,"52.49.8.106, 63.35.63.17, 18.200.110.5",,"www115.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],annualreport2018.abb.com,"157.90.89.125, 157.90.182.79, 195.62.26.62",,abb.online-report.eu,"ns1.geber.at, postmaster.nexxar.com",NOERROR,,,,,"ns1.geber.at, ns2.geber.at, ns3.geber.at, ns4.geber.at, ns5.geber.at",,,,
[x],apc.abb.com,20.69.207.94,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api-ci-pink.dev.apm.enterprisesoftware.abb,13.74.33.96,,apm-haproxy-secops.dev.apm.enterprisesoftware.abb,"ns1-03.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api-ci01.abilityplatform02.abb.com.cn,124.70.36.167,,8149dce776f148049ebf7beae8f48afe.apic.cn-north-4.huaweicloudapis.com,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",NOERROR,,,,,,,,,
[x],api-ci02.abilityplatform01.abb.com.cn,40.73.122.116,,abilitycn02ce2prd.chinaeast2.cloudapp.chinacloudapi.cn,"ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],api-ci02.abilityplatform02.abb.com.cn,120.46.154.217,,cd7a13b0d8594d7495df46a488f088e3.apic.cn-north-4.huaweicloudapis.com,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",NOERROR,,,,,,,,,
[x],api-cr01.abilityplatform02.abb.com.cn,124.70.38.193,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api-cr02.abilityplatform01.abb.com.cn,40.73.122.116,,abilitycn02ce2prd.chinaeast2.cloudapp.chinacloudapi.cn,"ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],api-iot-ci01.abilityplatform02.abb.com.cn,121.36.29.172,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api-iot-ci02.abilityplatform02.abb.com.cn,119.3.210.201,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api-ri.renewableinsights.enterprisesoftware.abb,,,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],api.accept.evcharging.abb.com,52.157.234.207,,"eveconacc-api-tm.trafficmanager.net, accept-eve-we-sfc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.access.motion.abb.com.cn,"23.222.79.160, 23.222.79.194",,"api.access.motion.cn.waf.abb, api.access.motion.abb.com.cn.edgekey.net, api.access.motion.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.accessmanagement.motion.abb.com,"2.17.100.184, 2.17.100.129",,"api.accessmanagement.motion.waf.abb, api.accessmanagement.motion.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.accessmanagement.motion.abb.com.cn,163.228.232.141,,"abb-northstar-iam-prod-cn-apim-001.azure-api.cn, apimgmttm1zw6doalqjwmngsoahqdjbqczfqxvo4ov2eckfu5t.trafficmanager.cn, abb-northstar-iam-prod-cn-apim-001-chinanorth3-01.regional.azure-api.cn, apimgmthsindha0s51esbgzohgkb6p1ioemrim6cf493s8crc3.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],api.backoffice.evcharging.abb.com.cn,121.37.190.106,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api.buildings-maintenance.abb.com.cn,52.130.186.242,,"msp-cn-prod-apim.azure-api.cn, apimgmttmxrdcqbkvfikppnbck9qtqukaxmyyvei6i1dte4boh.trafficmanager.cn, msp-cn-prod-apim-chinaeast2-01.regional.azure-api.cn, apimgmths8p3efsctxqw46tedt63hmu5rbdpvd68inkar3jgyb.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],api.ccrp-light.abb.com,"2.16.241.135, 2.16.241.133",,"api.ccrp-light.waf.abb, api.ccrp-light.abb.com.edgekey.net, e119625.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.cloudapps02.abb.com.cn,"2.17.100.129, 2.17.100.243",,"api.cloudapps02.cn.waf.abb, api.cloudapps02.abb.com.cn.edgekey.net, api.cloudapps02.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.cloudapps03.abb.com.cn,139.217.8.104,,"apicloudapps03.chinacloudsites.cn, cnws-prod-bjb-003.vip.chinacloudsites.chinacloudapi.cn, cnws-prod-bjb-003.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],api.comfortplaner.de.abb.com,"95.101.74.159, 95.101.74.163",,"api.comfortplaner.de.waf.abb, api.comfortplaner.de.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.data.electricalsystems.myremotecare.abb.com.cn,"2.19.195.200, 104.110.240.25",,"api.data.electricalsystems.myremotecare.waf.abb, api.data.electricalsystems.myremotecare.abb.com.cn.edgekey.net, api.data.electricalsystems.myremotecare.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.cylon-planner-mechanical.abb.com,20.105.120.183,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api.dev.docweb.econfigure.abb.com,,,api.dev.docweb.econfigure.waf.abb,"a1-74.akam.net, hostmaster.waf.abb",NOERROR,,,,,,,,,
[x],api.dev.elacademy-is.coursefinder.abb.com,"23.36.162.215, 23.36.162.200",,"api.dev.elacademy-is.coursefinder.waf.abb, api.dev.elacademy-is.coursefinder.abb.com.edgekey.net, e95266.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.electrification.coursefinder.abb.com,"95.101.111.150, 95.101.111.184",,"api.dev.electrification.coursefinder.waf.abb, api.dev.electrification.coursefinder.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.electrification.trainingplanner.abb.com,"2.16.241.138, 2.16.241.136",,"api.dev.electrification.trainingplanner.waf.abb, api.dev.electrification.trainingplanner.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.evcharging.abb.com,20.93.255.155,,"evecondev-api-tm.trafficmanager.net, dev-eve-we-sfc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],api.dev.leveragecards.abb.com,"2.17.100.171, 2.17.100.169",,"api.dev.leveragecards.waf.abb, api.dev.leveragecards.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.low-voltage-application.configurator.abb.com,"95.101.74.138, 95.101.74.151",,"api.dev.low-voltage-application.configurator.waf.abb, api.dev.low-voltage-application.configurator.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.materialbarcode.motion.abb.com.cn,,,"bms-app-dev.chinacloudsites.cn, cnws-prod-sha20-005.sip.chinacloudsites.chinacloudapi.cn, cnws-prod-sha20-005-lice.chinaeast2.cloudapp.chinacloudapi.cn","ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],api.dev.otcweb.econfigure.abb.com,20.105.120.183,,api.dev.otcweb.econfigure.waf.abb,"a1-74.akam.net, hostmaster.waf.abb",NOERROR,,,,,,,,,
[x],api.dev.tripcurves.econfigure.abb.com,20.105.120.183,,api.dev.tripcurves.econfigure.waf.abb,"a1-74.akam.net, hostmaster.waf.abb",NOERROR,,,,,,,,,
[x],api.developers.connect.abb.com.cn,40.73.168.96,,"elsdkapi-aps-prod-01.chinacloudsites.cn, cnws-prod-sha20-003.sip.chinacloudsites.chinacloudapi.cn, cnws-prod-sha20-003.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],api.drivetune.motion.abb.com,"2.17.100.209, 2.17.100.169",,"api.drivetune.motion.waf.abb, api.drivetune.motion.abb.com.edgekey.net, e95266.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.drivetune.motion.abb.com.cn,"96.16.54.169, 96.16.54.112",,"api.drivetune.motion.abb.cn.waf.abb, api.drivetune.motion.abb.com.cn.edgekey.net, api.drivetune.motion.abb.com.cn.edgekey.net.globalredir.akadns88.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.easypro.mybuildings.abb.com,"23.36.162.209, 23.36.162.198",,"api.easypro.mybuildings.waf.abb, api.easypro.mybuildings.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.emergency-lighting-configurator.abb.com,,,"api.emergency-lighting-configurator.waf.abb, api.emergency-lighting-configurator.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.eu.mybuildings.abb.com,51.144.54.6,,,"ns1-05.azure-dns.com, de-bje-domain-admin.abb.com",NOERROR,True,azure,,,,,,,
[x],api.evcharging.abb.com.cn,52.130.183.247,,"prod-eve-api-tm.trafficmanager.cn, prod-eve-cet-sfc.chinaeast2.cloudapp.chinacloudapi.cn","ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],api.harmonicestimator.motion.abb.com,13.69.68.45,,"het-api-aps-prod.azurewebsites.net, waws-prod-am2-317.sip.azurewebsites.windows.net, waws-prod-am2-317.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.icareplus.motion.abb.com.cn,40.73.39.48,,"abbdatafactoryapi.chinacloudsites.cn, ssl.abbdatafactoryapi.chinacloudsites.cn","ns1-02.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],api.lite.apm.enterprisesoftware.abb,172.16.100.11,,lite.apm.enterprisesoftware.abb,"ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,True,172.16.100.11,,
[x],api.lodz1.apmlite.enterprisesoftware.abb,192.168.3.25,,lodz1.apmlite.enterprisesoftware.abb,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,True,192.168.3.25,,
[x],api.materialbarcode.motion.abb.com.cn,52.130.2.0,,"bms-app-prod.chinacloudsites.cn, cnws-prod-sha20-005.sip.chinacloudsites.chinacloudapi.cn, cnws-prod-sha20-005-lice.chinaeast2.cloudapp.chinacloudapi.cn","ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],api.measurementservice.abb.com,"95.101.133.16, 80.239.254.37",,"api.measurementservice.waf.abb, api.measurementservice.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.motorprojects.abb.com.cn,163.228.250.46,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api.msgraph.electrificationtools.abb.com,"2.17.100.169, 2.17.100.209",,"api.msgraph.electrificationtools.waf.abb, api.msgraph.electrificationtools.abb.com.edgekey.net, e95266.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.mybuildings.abb.com,51.144.54.6,,api.eu.mybuildings.abb.com,"ns1-05.azure-dns.com, de-bje-domain-admin.abb.com",NOERROR,True,azure,,,,,,,
[x],api.news.e.abb.com,"52.208.36.219, 54.216.255.201",,xc-elb-newsbank-new-1950539909.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.news.stage.e.abb.com,"34.240.93.139, 52.18.247.137",,xc-elb-newsbank-stage-1462394090.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.performance-optimization.hoist.ability.abb.com,,,performance-optimization.hoist.ability.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api.pre-demo.apm.enterprisesoftware.abb,,,pre-demo.apm.enterprisesoftware.abb,"ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.prod.workpackage-collaboration.abb.com,51.144.107.53,,"abb-collapp-web-prod.trafficmanager.net, abb-collapp-web-eu-prod.azurewebsites.net, waws-prod-am2-197.sip.azurewebsites.windows.net, waws-prod-am2-197.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.remote-service.motion.abb.com.cn,119.3.212.231,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],api.smartsensor.abb.com,,,smartsensor-ip-prod-02.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.smartsensor.abb.com.cn,40.73.45.240,,smartsensor-ip-prod-02.chinanorth2.cloudapp.chinacloudapi.cn,,NOERROR,,,,,,,,,
[x],api.stage.electrification.trainingplanner.abb.com,"95.101.74.138, 95.101.74.151",,"api.stage.electrification.trainingplanner.waf.abb, api.stage.electrification.trainingplanner.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.stage.leveragecards.abb.com,"95.101.74.138, 95.101.74.151",,"api.stage.leveragecards.waf.abb, api.stage.leveragecards.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.stage.low-voltage-application.configurator.abb.com,"2.17.100.171, 2.17.100.169",,"api.stage.low-voltage-application.configurator.waf.abb, api.stage.low-voltage-application.configurator.abb.com.edgekey.net, e103082.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.stage.workpackage-collaboration.abb.com,40.118.96.231,,"abb-collapp-api-stage.trafficmanager.net, abb-collapp-api-eu-stage.azurewebsites.net, waws-prod-am2-199.vip.azurewebsites.windows.net, waws-prod-am2-199.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.test.docweb.econfigure.abb.com,20.105.120.183,,api.test.docweb.econfigure.waf.abb,"a1-74.akam.net, hostmaster.waf.abb",NOERROR,,,,,,,,,
[x],api.testlab.evcharging.abb.com,51.144.188.110,,"testlab-eve-api-tm.trafficmanager.net, testlab-eve-we-sfc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.voicecontrol.eu.mybuildings.abb.com,,2a01:7c8:aabf:2af::5,api.vc.xxter.com,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,,,
[x],api.workpackage-collaboration.abb.com,51.144.107.53,,"abb-collapp-api-prod.trafficmanager.net, abb-collapp-api-eu-prod.azurewebsites.net, waws-prod-am2-197.sip.azurewebsites.windows.net, waws-prod-am2-197.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],apm.22.1.genix.abb.com,20.234.233.84,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],apm.enterprisesoftware.abb,40.69.71.126,,,"ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,"ns1-09.azure-dns.com, ns2-09.azure-dns.net, ns3-09.azure-dns.org, ns4-09.azure-dns.info",,,,
[x],app.moldmonitoring.it.abb.com,81.118.90.26,,moldmonitoring.it.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],applications.it.abb.com,81.118.90.64,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],apps.eu.mybuildings.abb.com,51.138.49.152,,,"ns1-05.azure-dns.com, de-bje-domain-admin.abb.com",NOERROR,True,azure,,,,,,,
