new,host,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,mx,txt,caa
[x],ckhanda.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns2.wordpress.com, ns1.wordpress.com",NOERROR,,,,,,
[x],cloud.steampowered.com,,,,,NOERROR,,,,,,
[x],cm.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm0.steamgames.com,"162.254.193.6, 162.254.195.44",cm0.steampowered.com,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-ams1.cm.steampowered.com,155.133.248.34,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-dfw1.cm.steampowered.com,155.133.253.34,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-eze1.cm.steampowered.com,155.133.255.100,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-jnb1.cm.steampowered.com,155.133.238.164,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-lax1.cm.steampowered.com,162.254.195.66,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-lhr1.cm.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-lim1.cm.steampowered.com,190.217.33.68,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-mad1.cm.steampowered.com,155.133.246.68,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-ord1.cm.steampowered.com,162.254.193.102,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-par1.cm.steampowered.com,185.25.182.76,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-scl1.cm.steampowered.com,155.133.249.196,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-sea1.cm.steampowered.com,205.196.6.214,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-sto1.cm.steampowered.com,162.254.198.130,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-sto2.cm.steampowered.com,155.133.252.39,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-syd1.cm.steampowered.com,103.10.125.164,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-tyo1.cm.steampowered.com,155.133.245.36,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-tyo2.cm.steampowered.com,155.133.239.20,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm1-vie1.cm.steampowered.com,146.66.155.38,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-ams1.cm.steampowered.com,155.133.248.35,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-atl1.cm.steampowered.com,162.254.199.181,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-fra1.cm.steampowered.com,162.254.197.54,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-fra2.cm.steampowered.com,155.133.226.78,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-jnb1.cm.steampowered.com,155.133.238.165,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-lax1.cm.steampowered.com,162.254.195.71,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-lhr1.cm.steampowered.com,162.254.196.83,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-lim1.cm.steampowered.com,190.217.33.69,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-mad1.cm.steampowered.com,155.133.246.69,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-sea1.cm.steampowered.com,205.196.6.215,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-seo1.cm.steampowered.com,146.66.152.44,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-sto1.cm.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-sto2.cm.steampowered.com,155.133.252.54,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-syd1.cm.steampowered.com,103.10.125.165,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-tyo1.cm.steampowered.com,155.133.245.37,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-tyo2.cm.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-vie1.cm.steampowered.com,146.66.155.54,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm2-waw1.cm.steampowered.com,155.133.230.50,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm3-ams1.cm.steampowered.com,155.133.248.36,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm3-lax1.cm.steampowered.com,162.254.195.82,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm3-sto1.cm.steampowered.com,162.254.198.132,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm4-ams1.cm.steampowered.com,155.133.248.37,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm4-lax1.cm.steampowered.com,162.254.195.83,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm4-lhr1.cm.steampowered.com,162.254.196.84,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm4-mad1.cm.steampowered.com,155.133.246.35,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm4-seo1.cm.steampowered.com,146.66.152.43,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm4-sto1.cm.steampowered.com,162.254.198.133,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm5-ams1.cm.steampowered.com,155.133.248.38,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm5-iad1.cm.steampowered.com,162.254.192.71,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm5-lax1.cm.steampowered.com,162.254.195.71,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm5-sto1.cm.steampowered.com,162.254.198.44,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm6-lax1.cm.steampowered.com,162.254.195.66,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cm6-sto1.cm.steampowered.com,162.254.198.104,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cn.blog.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],cn.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],compliance.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],content-origin.steampowered.com,"205.196.6.174, 205.196.6.144, 162.254.197.25, 162.254.197.9","origin-tier2.steampipe.steamcontent.com, steampipe-origin-tier2.steamcontent.com","ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],controller.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],counter-strike.net,184.25.217.226,,"ns1.valvesoftware.com, admin.valvesoftware.com","a2-64.akam.net, a7-66.akam.net, a9-66.akam.net, a1-194.akam.net, a22-67.akam.net, a24-64.akam.net",NOERROR,,,,"us-smtp-inbound-1.mimecast.com, us-smtp-inbound-2.mimecast.com",v=spf1 mx include:_netblocks.mimecast.com -all,"mailto:ssl-abuse@valvesoftware.com, digicert.com, letsencrypt.org"
[x],crash.steampowered.com,"208.64.203.173, 208.64.203.140",,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cser.steampowered.com,208.64.203.186,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],ctrobpy9x681tri9.beta.mallww.new.blog.counter-strike.net,,new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],deckgen.valvesoftware.com,"104.18.35.67, 172.64.152.189",,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::ac40:98bd, 2606:4700:4400::6812:2343",,,
[x],dev.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,v=spf1 ip4:104.239.157.30/32 ip6:2001:4800:7820:103:be76:4eff:fe04:3666/64 -all,
[x],dev.origin.dota2.com,104.239.157.30,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],developer.steamgames.com,"172.64.155.87, 104.18.32.169, 108.162.193.95, 172.64.33.95, 173.245.59.95, 108.162.192.71, 172.64.32.71, 173.245.58.71",developer.valvesoftware.com,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::6812:20a9, 2606:4700:4400::ac40:9b57, 2606:4700:58::adf5:3b5f, 2803:f800:50::6ca2:c15f, 2a06:98c1:50::ac40:215f, 2606:4700:50::adf5:3a47, 2803:f800:50::6ca2:c047, 2a06:98c1:50::ac40:2047",mx.developer.valvesoftware.com,v=spf1 mx -all,
[x],developer.valvesoftware.com,"104.18.32.169, 172.64.155.87",,"ashley.ns.cloudflare.com, dns.cloudflare.com","dale.ns.cloudflare.com, ashley.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::ac40:9b57, 2606:4700:4400::6812:20a9",mx.developer.valvesoftware.com,v=spf1 mx -all,
[x],deww-new.tw-b2-sc-tw-sb-webhosting.rhelbeta.beta.mallww.new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],dongle.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],en.blog.dota2.com,"188.114.99.229, 188.114.98.229",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],en.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],es.blog.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],es.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],forums.steamgames.com,"104.18.32.31, 172.64.155.225",forums.steampowered.com,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::6812:201f, 2606:4700:4400::ac40:9be1",,,
[x],forums.steampowered.com,"172.64.155.225, 104.18.32.31",,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::ac40:9be1, 2606:4700:4400::6812:201f",,,
[x],fr.blog.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],ftp.valvesoftware.com,208.64.203.157,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],gds1.steamgames.com,208.64.201.173,"gds1.steampowered.com, gds1.discovery.steamserver.net","sds.steam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],gds2.steamgames.com,,"gds2.steampowered.com, gds2.discovery.steamserver.net","sds.steam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],gds2.steampowered.com,208.64.201.173,gds2.discovery.steamserver.net,"sds.steam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],gds3.steampowered.com,208.64.201.173,gds1.discovery.steamserver.net,"sds.steam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],gds4.steampowered.com,208.64.201.173,gds2.discovery.steamserver.net,"sds.steam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],gw.valvesoftware.com,208.64.203.11,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],help.origin.steampowered.com,"208.64.202.113, 208.64.202.114, 208.64.202.111, 208.78.164.4, 208.78.164.6, 208.78.164.5, 208.64.202.112, 208.78.164.7",comweb.steam.akadns.net,"internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],help.steampowered.com,23.212.216.106,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],hl1master.steamgames.com,"208.64.200.117, 208.64.200.118",hl1master.steampowered.com,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],hl1master.steampowered.com,"208.64.200.118, 208.64.200.117",,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],it-it.en-gb.fbjspn.au.www.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns2.wordpress.com, ns1.wordpress.com",NOERROR,,,,,,
[x],it.blog.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],it.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],kr.dota2.com,"188.114.99.229, 188.114.98.229",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],ks0anuales-www.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],legacy.origin.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],list.valvesoftware.com,78.143.254.30,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,"mx2.simplelists.com, mx1.simplelists.com",v=spf1 include:simplelists.com -all,
[x],login.origin.steampowered.com,"208.64.202.113, 208.78.164.6, 208.78.164.4, 208.64.202.112, 208.64.202.111, 208.64.202.114, 208.78.164.7, 208.78.164.5",comweb.steam.akadns.net,"internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],login.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],lyncdiscover.valvesoftware.com,52.112.193.16,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",,NOERROR,,,2603:1027:0:2::e,,,
[x],m.valvesoftware.com,208.64.203.154,mobiledist.valvesoftware.com,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],mail.valvesoftware.com,208.64.203.25,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],mdata.ireland.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns1.wordpress.com, ns2.wordpress.com",NOERROR,,,,,,
[x],media.steamcommunity.com,,"cdn.akamai.steamstatic.com.edgesuite.net, a1843.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],media4.steampowered.com,,cdn.akamai.steamstatic.com.edgesuite.net,,,NOERROR,,,,,,
[x],merch-au.www.new.blog.counter-strike.net,,new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com",,NOERROR,,,,,,
[x],mobiledist.valvesoftware.com,,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],msoid.valvesoftware.com,"20.190.159.23, 20.190.159.75, 20.190.159.4, 40.126.31.73, 20.190.159.64, 20.190.159.71, 20.190.159.0, 20.190.159.68","clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,
[x],mw-trustpass.telapiwww.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns1.wordpress.com, ns2.wordpress.com",NOERROR,,,,,,
[x],mx.developer.valvesoftware.com,174.143.201.121,,"ashley.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,2001:4800:7821:101:be76:4eff:fe02:7b9b,,,
[x],my.ireland.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns1.wordpress.com, ns2.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24",,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns3.wordpress.com, ns1.wordpress.com",NOERROR,,,,,,
[x],ns1.valvesoftware.com,,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],old-blog.counter-strike.net,54.243.220.57,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],origin.dota2.com,"208.64.202.113, 208.78.164.7, 208.64.202.112, 208.64.202.111, 208.78.164.4, 208.78.164.6, 208.64.202.114, 208.78.164.5",comweb.steam.akadns.net,"internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],origin.playartifact.com,208.64.202.84,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],origin.steamcommunity.com,"208.64.202.111, 208.64.202.113, 208.78.164.6, 208.64.202.114, 208.78.164.4, 208.78.164.7, 208.64.202.112, 208.78.164.5",comweb.steam.akadns.net,"internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],origin.steamgames.com,208.64.202.68,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],partner.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],partner.origin.steampowered.com,208.64.203.142,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partner.steamgames.com,104.102.42.29,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],partner.steampowered.com,23.205.8.149,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerupload.origin.steampowered.com,208.64.200.18,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerupload.steampowered.com,208.64.200.18,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerupload0.origin.steampowered.com,208.64.200.18,partnerupload.origin.steampowered.com,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerupload0.steampowered.com,208.64.200.18,partnerupload.steampowered.com,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerupload2.steampowered.com,208.64.200.18,partnerupload.steampowered.com,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerupload3.steampowered.com,208.64.200.18,partnerupload.steampowered.com,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],partnerwiki.valvesoftware.com,208.64.203.130,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],playartifact.com,,,"ns1.valvesoftware.com, admin.valvesoftware.com","ns0056.secondary.cloudflare.com, ns0222.secondary.cloudflare.com",NOERROR,True,cloudflare,,"us-smtp-inbound-1.mimecast.com, us-smtp-inbound-2.mimecast.com",v=spf1 mx include:_netblocks.mimecast.com -all,"mailto:ssl-abuse@valvesoftware.com, digicert.com, letsencrypt.org"
[x],puppet.steampowered.com,208.64.203.137,puppet.valve.net,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],repo.steampowered.com,"104.17.152.86, 104.17.141.86",,"arch.ns.cloudflare.com, dns.cloudflare.com","arch.ns.cloudflare.com, cheryl.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6811:8d56, 2606:4700::6811:9856",,,
[x],rg4xhl9sgi77y7cr.telapiwww.new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns3.wordpress.com, ns1.wordpress.com",NOERROR,,,,,,
[x],ru.blog.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],ru.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
