new,host,a,aaaa,cname,soa,status_code,mx,txt,caa,ns,cdn,cdn-name
,temptation.parool.nl,,"2a02:26f0:7100::210:121, 2a02:26f0:7100::210:108","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,test-webwinkel.parool.nl,212.121.96.52,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
,unsubscribe.parool.nl,"2.16.241.163, 2.16.241.135","2a02:26f0:480:c::210:f187, 2a02:26f0:480:c::210:f1a3","prod.unsubscribe.tapp.dpgmedia.cloud, unsubscribe.tapp.dpgmedia.cloud.edgekey.net, e72151.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,video.parool.nl,"95.101.111.173, 95.101.111.135","2a02:26f0:3500:1c::1724:a379, 2a02:26f0:3500:1c::1724:a36d","video.dpp.edgekey.net, e12268.dscksd.akamaiedge.net","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,web.parool.nl,"185.136.64.7, 185.136.64.6, 185.136.65.7, 185.136.65.6",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,return.flowmailer.net,v=spf1 include:spf.flowmailer.net ~all,"digicert.com, letsencrypt.org, sectigo.com, quovadisglobal.com, mailto:abuse@flowmailer.com, entrust.net",,,
,webmail.parool.nl,146.185.54.144,,ssl20107.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
,webwinkel.parool.nl,"23.53.42.251, 23.53.43.26","2a02:26f0:480:23::1726:62ba, 2a02:26f0:480:23::1726:628d","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,wedstrijd.parool.nl,"178.33.129.44, 178.32.47.207, 51.77.37.192, 51.89.19.54",,"player.qualifio.com, varnish.qualifio.com","ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,"letsencrypt.org, digicert.com, globalsign.com",,,
,wijzigen.parool.nl,"2.16.241.162, 2.16.241.156","2a02:26f0:480:c::210:f1a2, 2a02:26f0:480:c::210:f19c","ret.tapp.dpgmedia.cloud.edgekey.net, e123828.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,winkel.parool.nl,51.124.81.192,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,True,azure
,www.abonnement.parool.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
