input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,csp_domains_,final_url
https://api.legendtrading.com,Treasure Box,200,2351,api.legendtrading.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T19:54:08Z,2023-09-06T19:33:48Z,"CN=*.legendtrading.com, O=Legend OTC Inc., L=Palo Alto, ST=California, C=US",*.legendtrading.com,legendtrading.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",fce8da68d7d5c29ecd941ecb85daea4a,0a3c6542bdcdd8020dc67a402a2fdd238191a5e0973a5efd61d1d81774772b04,True,ctls,api.legendtrading.com,,443,https://api.legendtrading.com:443,https,nginx,text/html,GET,18.211.95.134,/,2072816158,54.92.143.111,Nginx,87,False,,Legend OTC Inc.,,https:,
https://api.mobilum.com,Swagger UI,200,4822,api.mobilum.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-27T00:00:00Z,2023-12-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6d0255350644b5294e32a993d411d79c,c328ba229ac8b4de5e399adfd4d8c47a06556c4617e3b5e1a2becb429fc5e5db,True,ctls,api.mobilum.com,cloudflare,443,https://api.mobilum.com:443,https,cloudflare,text/html,GET,172.66.43.102,/,1772087922,2606:4700:3108::ac42:289a,Cloudflare,118,False,True,"Cloudflare, Inc.",,,https://api.mobilum.com/index.html
https://api.smooch.io,,200,3541,api.smooch.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-28T00:00:00Z,2023-09-21T23:59:59Z,"CN=api.smooch.io, O=Zendesk\, Inc., L=San Francisco, ST=California, C=US",api.smooch.io,api.smooch.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b4f4d29563674cbff1a060258ee4164,811e6611a92c9a69c40029046c8dfce612736ff15cdd716eec2a14aed8fdd4dc,,ctls,api.smooch.io,,443,https://api.smooch.io:443,https,nginx,text/html,GET,216.198.1.60,/,1494302000,216.198.1.62,Nginx,52,False,,"Zendesk, Inc.",,,
https://api.zopim.com,$zopim.livechat - Javascript API,200,51832,api.zopim.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zopim.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",76d64bdb992556c8b8f3d047dbf83e94,92adc8dc4e90dfc4f157b82be403af23b0654dc8b3fccedd59a545cf72bcec07,True,ctls,api.zopim.com,cloudflare,443,https://api.zopim.com:443,https,cloudflare,text/html,GET,104.16.21.164,/,190856733,104.16.20.164,Cloudflare,298,False,True,"Cloudflare, Inc.",,,https://api.zopim.com/files/meshim/widget/controllers/LiveChatAPI-js.html
https://assets.zopim.com,Top 13 Live-Chat-Softwares und -Apps 2023,200,142249,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,True,ctls,www.zendesk.de,cloudflare,443,https://assets.zopim.com:443,https,cloudflare,text/html,GET,104.16.17.164,/,1292260160,104.16.19.164,Cloudflare Bot Management,1695,False,True,"Cloudflare, Inc.",,*.zendesk.hk,https://www.zendesk.de/service/messaging/live-chat/?from=zp
https://at.alicdn.com,,403,259,at.alicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T02:26:12Z,2024-07-30T02:26:11Z,"CN=*.tbcdn.cn, O=Alibaba (China) Technology Co.\, Ltd., L=HangZhou, ST=ZheJiang, C=CN",*.tbcdn.cn,tbcdn.cn,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,81711aecb07b41ae3047a8881204839b,f6d4405cee28d009fd2111cea9134118dc99b03ef8d97ebe40fab6306f962130,True,ctls,at.alicdn.com,,443,https://at.alicdn.com:443,https,Tengine,application/xml,GET,163.181.92.173,/,-1628062943,2602:ffe4:c48:0:3::3fb,Tengine,9,False,,"Alibaba (China) Technology Co., Ltd.",True,,
https://bat.bing.com,MSN,200,38115,www.msn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-08T23:53:46Z,2023-09-08T23:53:46Z,CN=*.msn.com,*.msn.com,*.msn.com.cn,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,bcf3f3ae5488dc6542289238fda18e98,8506ab3f9b6c840bf43b944b046683ee305041011c476e05ca2c67cd454f2f7a,True,ctls,www.msn.com,,443,https://bat.bing.com:443,https,,text/html,GET,13.107.21.200,/,1274734426,2620:1ec:c11::200,,77,False,,,,www.bing.com,https://www.msn.com/de-de
https://bigdata-scfx-push.kucoin.plus,Welcome to nginx!,200,612,bigdata-scfx-push.kucoin.plus,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2024-06-11T23:59:59Z,"CN=kucoin.plus, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",kucoin.plus,*.kucoin.plus,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ff6bcda6137d2f20caf6f267d76907ea,66917f7156e12447ec539b4fbb68baf1c75960f00de7e97bd5f73ca0e6ad4e9f,True,ctls,bigdata-scfx-push.kucoin.plus,cloudflare,443,https://bigdata-scfx-push.kucoin.plus:443,https,cloudflare,text/html,GET,104.18.28.190,/,-50856932,2606:4700::6812:1dbe,Cloudflare Bot Management,26,False,True,"Cloudflare, Inc.",,,
https://cdn.aisecurius.com,403 Forbidden,403,162,cdn.aisecurius.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-09-27T23:59:59Z,CN=*.aisecurius.com,*.aisecurius.com,aisecurius.com,"CN=RapidSSL RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL RSA CA 2018,DigiCert Inc,2bf7ec4942947843318be344a3cf5dcb,bff12eccb780d53379f84db249731b72f9819e5b004ea47cbff90a160870cdc3,True,ctls,cdn.aisecurius.com,,443,https://cdn.aisecurius.com:443,https,nginx,text/html,GET,43.175.22.45,/,190856733,43.152.42.140,Nginx,8,False,,,,,
https://cdn.plaid.com,,403,243,cdn.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=secure.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",secure.plaid.com,cdn.plaid.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,8cf7c464091d2fcb9e12197b8e8726e0,9d497682982c70fe175c80d3b5604987d09b9f95a501cd7b429baf10ad3e4ceb,,ctls,cdn.plaid.com,cloudfront,443,https://cdn.plaid.com:443,https,AmazonS3,application/xml,GET,18.66.112.10,/,-1326521162,18.66.112.63,Amazon Web Services,2,False,True,Plaid Inc,,,
https://cdn.zopim.com,Top 13 Live-Chat-Softwares und -Apps 2023,200,142249,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,True,ctls,www.zendesk.de,cloudflare,443,https://cdn.zopim.com:443,https,cloudflare,text/html,GET,104.16.19.164,/,190856733,104.16.18.164,Cloudflare Bot Management,1695,False,True,"Cloudflare, Inc.",,*.zendesk.nl,https://www.zendesk.de/service/messaging/live-chat/?from=zp
https://connect.facebook.net,Facebook - log in or sign up,200,59027,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,e385e7f6d76ea2d85918c78f219c0a99,a009acdcdecd8732a0cf3b4c98a4f650ca04d66286acf3c27e06791966fe9af5,True,ctls,m.facebook.com,,443,https://connect.facebook.net:443,https,,text/html,GET,157.240.247.8,/,142313513,2a03:2880:f080:9:face:b00c:0:3,HTTP/3,19,False,,"Meta Platforms, Inc.",,https://*.giphy.com,https://m.facebook.com/?wtsid=rdr_0Csc0S1nQY08Tj7Wr
https://constid.aisecurius.com,"AISecurius - Business Security Leaders, Making the Digital World Risk-Free",200,42233,www.aisecurius.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-09-27T23:59:59Z,CN=*.aisecurius.com,*.aisecurius.com,aisecurius.com,"CN=RapidSSL RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL RSA CA 2018,DigiCert Inc,2bf7ec4942947843318be344a3cf5dcb,bff12eccb780d53379f84db249731b72f9819e5b004ea47cbff90a160870cdc3,True,ctls,www.aisecurius.com,,443,https://constid.aisecurius.com:443,https,nginx,text/html,GET,43.135.59.10,/,116323821,43.135.59.10,webpack,1,False,,,,,https://www.aisecurius.com/
https://d1wix2gc2cgqis.cloudfront.net,,200,44,d1wix2gc2cgqis.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d1wix2gc2cgqis.cloudfront.net,cloudfront,443,https://d1wix2gc2cgqis.cloudfront.net:443,https,,application/json,GET,108.138.24.31,/,1593207841,108.138.24.3,HSTS,1,False,True,,,,
https://d3in1te4fdays6.cloudfront.net,ERROR: The request could not be satisfied,502,951,d3in1te4fdays6.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d3in1te4fdays6.cloudfront.net,cloudfront,443,https://d3in1te4fdays6.cloudfront.net:443,https,CloudFront,text/html,GET,108.156.0.221,/,-46251542,2600:9000:2204:9200:2:7e55:e580:21,Amazon Web Services,20,False,True,,,,
https://dkupaw9ae63a8.cloudfront.net,,200,44,dkupaw9ae63a8.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,dkupaw9ae63a8.cloudfront.net,cloudfront,443,https://dkupaw9ae63a8.cloudfront.net:443,https,,application/json,GET,18.66.121.163,/,1593207841,18.66.121.132,HSTS,1,False,True,,,,
https://dn-staticdown.qbox.me,Welcome to nginx!,200,612,dn-staticdown.qbox.me,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-10T00:00:00Z,2024-08-09T23:59:59Z,"CN=*.qbox.me, O=上海七牛信息技术有限公司, ST=上海市, C=CN",*.qbox.me,qbox.me,"CN=GeoTrust RSA CN CA G2, O=DigiCert Inc, C=US",GeoTrust RSA CN CA G2,DigiCert Inc,bb7c5f6816c7e51792081a0806529c56,7e00813eccf099f568683ba40eaf6f8e7d9385c4dcded378b858b4f933fa8ebf,True,ctls,dn-staticdown.qbox.me,,443,https://dn-staticdown.qbox.me:443,https,Tengine,text/html,GET,101.226.26.137,/,-1840324437,240e:96c:1100:5a01:3::3e6,Tengine,26,False,,上海七牛信息技术有限公司,,,
https://ekr.zdassets.com,,404,9,ekr.zdassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-11-09T23:59:59Z,"CN=zdassets.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zdassets.com,*.zdassets.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",77aded12c2ec419c8953798f0ed56f4c,c30b9d6e82b472872ae120ed9387019dc5c720d392f4c9a6bc905190956f34a8,True,ctls,ekr.zdassets.com,cloudflare,443,https://ekr.zdassets.com:443,https,cloudflare,text/plain,GET,104.18.70.113,/,1257725933,104.18.72.113,HSTS,1,False,True,"Cloudflare, Inc.",,,
https://fastly.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,44662,www.jsdelivr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-26T15:08:04Z,2023-10-24T15:08:03Z,CN=www.jsdelivr.com,www.jsdelivr.com,www.jsdelivr.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7c9aa6d4acb2835a2ff15df65f1bc574,a987144dd21dd983b23b7e10bd8eaab02c7802adb499bcbdbc7de6f489a01a26,,ctls,www.jsdelivr.com,fastly,443,https://fastly.jsdelivr.net:443,https,cloudflare,text/html,GET,151.101.1.229,/,-2029005286,2a04:4e42:600::485,HTTP/3,55,False,True,,,,https://www.jsdelivr.com
https://font.googleapis.com,Error 404 (Not Found)!!1,404,1561,font.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:11Z,2023-10-02T08:21:10Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,cfdd2a66ea8991c3f2f91f40dc09979d,7d05a79814e48a6c7c101d22747c11252dd8bf06349505306f205a97d0a1ca85,True,ctls,font.googleapis.com,,443,https://font.googleapis.com:443,https,,text/html,GET,142.250.184.202,/,302920777,2a00:1450:4001:803::200a,HTTP/3,12,False,,,,,
https://fonts.gstatic.cn,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.cn,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,fonts.gstatic.cn,,443,https://fonts.gstatic.cn:443,https,sffe,text/html,GET,142.250.185.195,/,302920777,2a00:1450:4001:827::2003,HTTP/3,12,False,,,True,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.185.163,/,302920777,2a00:1450:4001:801::2003,HTTP/3,12,False,,,,,
https://frontend-helper.cloudtechnet.cn,,200,2,frontend-helper.cloudtechnet.cn,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-11-18T23:59:59Z,CN=kucoin.com,kucoin.com,pool-x.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2a654bc4e807b68eb1c8b7c982c6c17c,1f47c5213b93b3574a3fbf98e8b605d775397f263eae9d5f752edc6dca1c63f4,True,ctls,frontend-helper.cloudtechnet.cn,cloudfront,443,https://frontend-helper.cloudtechnet.cn:443,https,-,application/json,GET,18.66.112.61,/,-1206076886,2600:9000:21c7:c00:11:ce92:b440:93a1,HSTS,1,False,True,,,,
https://g.alicdn.com,,404,293,g.alicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T02:26:12Z,2024-07-30T02:26:11Z,"CN=*.tbcdn.cn, O=Alibaba (China) Technology Co.\, Ltd., L=HangZhou, ST=ZheJiang, C=CN",*.tbcdn.cn,tbcdn.cn,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,81711aecb07b41ae3047a8881204839b,f6d4405cee28d009fd2111cea9134118dc99b03ef8d97ebe40fab6306f962130,True,ctls,g.alicdn.com,,443,https://g.alicdn.com:443,https,Tengine,application/xml,GET,163.181.56.191,/,1836651466,2409:8c00:2421:1:3::3f4,Tengine,10,False,,"Alibaba (China) Technology Co., Ltd.",True,,
