input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,csp_domains_,tech_,tls_mismatched,final_url
ebike-non-prod.humo.be,Service Unavailable,503,269,ebike-non-prod.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,ebike-non-prod.humo.be,443,https://ebike-non-prod.humo.be:443,https,text/html,GET,95.101.111.178,/,1515855477,2a02:26f0:480:23::1726:62a2,9,False,,,,,
ebike.humo.be,Service Unavailable,503,269,ebike.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,ebike.humo.be,443,https://ebike.humo.be:443,https,text/html,GET,95.101.111.178,/,-2135890352,2a02:26f0:ab00::5c7a:d730,9,False,,,,,
esales-test.humo.be,Access Denied,403,273,esales-test.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,esales-test.humo.be,443,https://esales-test.humo.be:443,https,text/html,GET,95.101.111.178,/,-1008366246,2a02:26f0:ab00::5c7a:d730,10,False,,,,,
esales.humo.be,Access Denied,403,264,esales.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,esales.humo.be,443,https://esales.humo.be:443,https,text/html,GET,23.53.43.73,/,-326184360,2a02:26f0:ab00::5c7a:d708,10,False,,,,,
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,True,ctls,ssl.gstatic.com,443,https://ssl.gstatic.com:443,https,text/html,GET,142.250.186.35,/,302920777,2a00:1450:4001:827::2003,12,False,sffe,,HTTP/3,,
humo.be,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://humo.be:443,https,text/html,GET,95.101.111.178,/,-377599431,2a02:26f0:480:23::1726:62a2,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=ZdzTNfFnK26aD0JT&callbackUrl=https%3a%2f%2fwww.humo.be%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
img-acc.humo.be,,403,42,img-acc.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,img-acc.humo.be,443,https://img-acc.humo.be:443,https,application/json,GET,184.86.103.215,/,768769774,2a02:26f0:1700:7::17d5:a1dc,1,False,,,,,
img.humo.be,,403,42,img.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,img.humo.be,443,https://img.humo.be:443,https,application/json,GET,23.53.42.160,/,768769774,2a02:26f0:1700:7::17d5:a1dc,1,False,,,,,
ims.humo.be,,200,113,ims.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,ims.humo.be,443,https://ims.humo.be:443,https,text/html,GET,95.101.111.178,/,1631801191,2a02:26f0:480:23::1726:62a2,1,False,Microsoft-IIS/10.0,,Windows Server,,
landingpage.humo.be,DPG Media Branded Content -,200,16457,landingpage.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,landingpage.humo.be,443,https://landingpage.humo.be:443,https,text/html,GET,95.101.111.178,/,-1060082020,2a02:26f0:480:23::1726:6296,114,False,Apache,,Yoast SEO:19.12,,
login.humo.be,Inlogpoging geblokkeerd,406,3323,login.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T11:14:27Z,2023-08-08T11:14:26Z,CN=gigyaoidc.persgroep.net,gigyaoidc.persgroep.net,,login2.zozitdat.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e6731f5c8780af39ab0a2feb322d802a,618d1352e4ec6e40c938c4e5543419196cef0f88d909010d7fe44478991b6bcf,,ctls,login.humo.be,443,https://login.humo.be:443,https,text/html,GET,2.17.100.201,/,435354365,2a02:26f0:480:23::1726:6293,1,False,AkamaiGHost,,,,
m.humo.be,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://m.humo.be:443,https,text/html,GET,146.185.53.23,/,1889688503,146.185.53.23,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=ZdzTNfFnK26aD0JT&callbackUrl=https%3a%2f%2fwww.humo.be%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
magazine.humo.be,,200,483,magazine.humo.be,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-03-09T22:03:10Z,2023-09-04T21:59:00Z,CN=magazine.humo.be,magazine.humo.be,,magazine.humo.be,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,1f8745df0fc7f33623cfe2bfe84d6cc0,371d3182b5b3a693c0e16031e16ac42f395ae986a77e85cd58f04a85a0890648,,ctls,magazine.humo.be,443,https://magazine.humo.be:443,https,text/html,GET,46.30.126.156,/,190856733,46.30.126.147,4,False,nginx,,PHP,,https://magazine.humo.be/w/dpg2/?edition=HUMO&customer=humo&folder=8318&folder_key=3fe230348e9a12c13120749e3f9fa4cd&catalog=306&date=2023-06-27&user_ip=52.59.30.192&user_agent=Mozilla%2F5.0+%28iPhone%3B+CPU+iPhone+OS+15_5+like+Mac+OS+X%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F15.5+Mobile%2F15E148+Safari%2F604.1&client_url=https%3A%2F%2Fmagazine.humo.be%2F&secret=3442b3dfbb2a58aea41ec9b25327ca35
mijn.humo.be,DPG Media Privacy Gate,200,8813,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mijn.humo.be:443,https,text/html,GET,95.101.111.178,/,459172252,2a02:26f0:ab00::5c7a:d708,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Fmijn.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
mijnomgeving.humo.be,DPG Media Privacy Gate,200,8837,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mijnomgeving.humo.be:443,https,text/html,GET,95.101.111.140,/,459172252,2a02:26f0:ab00::5c7a:d708,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Fmijnomgeving.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
mobile2.humo.be,DPG Media Privacy Gate,200,8818,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mobile2.humo.be:443,https,text/html,GET,95.101.111.140,/,-377599431,2a02:26f0:ab00::5c7a:d708,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=ZdzTNfFnK26aD0JT&callbackUrl=https%3a%2f%2fwww.humo.be%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
myaccount.humo.be,DPG Media Privacy Gate,200,8828,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://myaccount.humo.be:443,https,text/html,GET,95.101.111.180,/,-882454948,2a02:26f0:480:23::1726:629a,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Fmyaccount.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
projecten.humo.be,DPG Media Privacy Gate,200,8828,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://projecten.humo.be:443,https,text/html,GET,2.17.100.242,/,-780928015,2a02:26f0:480:23::1726:62a2,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Fprojecten.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
rock-rally.humo.be,DPG Media Privacy Gate,200,8831,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://rock-rally.humo.be:443,https,text/html,GET,95.101.111.178,/,-1840324437,2a02:26f0:480:23::1726:6296,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Frock-rally.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
rockrally.humo.be,DPG Media Privacy Gate,200,8828,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://rockrally.humo.be:443,https,text/html,GET,95.101.111.140,/,-1840324437,2a02:26f0:ab00::5c7a:d708,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Frockrally.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
