new,host,soa,status_code,cdn,cdn-name,a,aaaa,txt,cname,mx,ns,caa
[x],20f0a1f16.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],3ww.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],3www.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],40.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40",,,,,,
[x],50.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],60.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],69sex.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],88b6fc262ce2.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],90ans.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],9183ead601472.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],91983c8609.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],a.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],a.lb-p.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],a.lb.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],a.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],a.smtp.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,184.106.138.144,,,,,,
[x],a1acarg03-oam.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],a4eb36318.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],aaa.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],abrtp2-cdn.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],ac30.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],admin.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],adtype.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],adultshowlive.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],akamai-test-origin.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],akamai.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],alb.live.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"185.23.214.2, 185.23.214.9, 185.23.214.3, 185.23.214.6, 185.23.214.12, 185.23.214.4, 185.23.214.10, 185.23.214.11, 185.23.214.13, 185.23.214.8, 185.23.214.7",,,,,,
[x],aliveboy.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],api-aa.chaturbate.com,,NOERROR,True,cloudflare,,"2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],api.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],app.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],app2.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],appdisqus.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.93.42, 104.16.94.42","2606:4700::6810:5d2a, 2606:4700::6810:5e2a",,,,,
[x],appimage.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.202.4, 104.16.92.18","2606:4700::6810:5c12, 2606:4700::6812:ca04",,,,,
[x],ar.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],archive.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.202.4, 104.16.92.18","2606:4700::6810:5c12, 2606:4700::6812:ca04",,,,,
[x],as.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],as400.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],ash.live.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,131.153.81.71,2607:6003:2303:0:cb:b00b:81:65,,,,,
[x],assetsdistrict51schools.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],atl.live.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,131.153.82.70,2607:6003:2305:0:cb:b00b:82:74,,,,,
[x],authrouterevent.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],autoconfig.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],autoconfig.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],autodiscover.chaturbate.com,"ns2.serverdata.net, hostmaster.intermedia.net",NOERROR,,,"64.78.48.176, 64.78.33.112",,,ar.exch082.serverdata.net,,,
[x],autodiscover.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],b.i10.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.42.196, 104.16.45.196, 104.16.43.196, 104.16.44.196, 104.16.41.196","2606:4700::6810:2dc4, 2606:4700::6810:2cc4, 2606:4700::6810:29c4, 2606:4700::6810:2bc4, 2606:4700::6810:2ac4",,,,,
[x],b.i40.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.45.196, 104.16.44.196, 104.16.43.196, 104.16.42.196, 104.16.41.196","2606:4700::6810:2bc4, 2606:4700::6810:2cc4, 2606:4700::6810:29c4, 2606:4700::6810:2dc4, 2606:4700::6810:2ac4",,,,,
[x],b.lb.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],b.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],b.smtp.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,184.106.130.46,,,,,,
[x],basic-nodejs-dev.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],basic.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ben10.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],beta.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],beta.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.121.143, 104.16.123.143, 104.16.122.143, 104.16.119.143, 104.16.120.143",,,,,,
[x],bi-arg02.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],bill.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],billingsupport.chaturbate.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.121.143, 104.16.123.143, 104.16.120.143, 104.16.119.143, 104.16.122.143",,,secure.securegatewayaccess.com,,,
[x],bitfinex67.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],blog.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],blog.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],blog.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],boards-latin-webproxy.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],bog.live.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,195.114.109.60,2a07:f980:1:b00b:cb:b00b:f:14,,,,,
[x],boysexcam.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],brumatex.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bucketsyphon-ws.web17010.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.44.196, 104.16.45.196, 104.16.41.196, 104.16.42.196, 104.16.43.196","2606:4700::6810:2cc4, 2606:4700::6810:2dc4, 2606:4700::6810:29c4, 2606:4700::6810:2ac4, 2606:4700::6810:2bc4",,,,,
[x],builder.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],c.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],c.lb.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],c.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],c10.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.101.40, 104.18.100.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],calloway.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],camaddicts.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],camnude.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],camo.mmcdn.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700::6810:5c12, 2606:4700::6812:ca04",,,,,
[x],camsdotmiami.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],cb1142e9f.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6528, 2606:4700::6812:6428",,,,,
[x],cbjpeg-serve.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cbjpeg.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,"131.153.88.95, 131.153.88.90, 131.153.88.92, 131.153.88.91, 131.153.88.93","2607:6003:2303:0:cb:b00b:81:175, 2607:6003:2303:0:cb:b00b:81:173, 2607:6003:2303:0:cb:b00b:81:168, 2607:6003:2303:0:cb:b00b:81:177, 2607:6003:2303:0:cb:b00b:81:171, 2607:6003:2303:0:cb:b00b:81:178, 2607:6003:2303:0:cb:b00b:81:165, 2607:6003:2303:0:cb:b00b:81:169, 2607:6003:2303:0:cb:b00b:81:172, 2607:6003:2303:0:cb:b00b:81:179, 2607:6003:2303:0:cb:b00b:81:174, 2607:6003:2303:0:cb:b00b:81:166, 2607:6003:2303:0:cb:b00b:81:167, 2607:6003:2303:0:cb:b00b:81:170, 2607:6003:2303:0:cb:b00b:81:176",,,,,
[x],cbjpegwww1.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,131.153.81.112,,,,,,
[x],cbjpegwww10.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cbjpegwww11.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cbjpegwww12.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cbjpegwww2.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,131.153.81.113,,,,,,
[x],cbjpegwww3.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cbjpegwww4.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,131.153.81.115,,,,,,
[x],cbjpegwww5.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,131.153.81.116,,,,,,
[x],cbjpegwww8.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,131.153.81.119,,,,,,
[x],cbjpegwww9.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,131.153.81.120,,,,,,
[x],ccstatic.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cdn-i.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cdn-s.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.93.42, 104.16.94.42","2606:4700::6810:5e2a, 2606:4700::6810:5d2a",,,,,
[x],cdn.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.94.42, 104.16.93.42","2606:4700::6810:5e2a, 2606:4700::6810:5d2a",,,,,
[x],cdn.securegatewayaccess.com,"ns1.securegatewayaccess.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:206.225.164.0/22 ip4:209.188.13.0/24 ip4:64.38.255.0/24 ip4:207.5.72.0/24 ip4:209.188.23.32/27 a mx ?all,,,,
[x],cdn2.highwebmedia.com,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,d2u3c54sco085l.cloudfront.net,,,
[x],celery.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],ceres79.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40","2606:4700::6812:6428, 2606:4700::6812:6528",,,,,
[x],chat.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,64.38.221.147,,,,,,
[x],chat.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],chat1.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,64.38.220.15,,,,,,
[x],chat1.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],chat19.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],chat25.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,64.38.238.195,,,,,,
[x],chat26.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,64.38.238.196,,,,,,
[x],chat28.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,64.38.238.198,,,,,,
[x],chat5.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,,,64.38.221.147,,,,,,
[x],chatandbate.chaturbate.com,"nsa.chaturbate.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.100.40, 104.18.101.40",,,,,,
[x],chatw-1.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-11.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f253, 2606:4700::6813:f153",,,,,
[x],chatw-14.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-2.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-20.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-21.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-22.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],chatw-24.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],chatw-25.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.242.83, 104.19.241.83","2606:4700::6813:f253, 2606:4700::6813:f153",,,,,
[x],chatw-26.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.242.83, 104.19.241.83","2606:4700::6813:f253, 2606:4700::6813:f153",,,,,
[x],chatw-29.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-3.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-30.stream.highwebmedia.com,,NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
[x],chatw-31.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.242.83, 104.19.241.83","2606:4700::6813:f253, 2606:4700::6813:f153",,,,,
[x],chatw-32.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f253, 2606:4700::6813:f153",,,,,
[x],chatw-33.stream.highwebmedia.com,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.19.241.83, 104.19.242.83","2606:4700::6813:f153, 2606:4700::6813:f253",,,,,
