input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,webserver,tls_wildcard_certificate,csp_domains_,tls_self_signed,final_url
blaisesupport.cbs.nl,Jira Service Management,200,204445,blaisecbs.atlassian.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=*.atlassian.net, O=Atlassian\, Inc., L=San Francisco, ST=California, C=US",*.atlassian.net,"Atlassian, Inc.",atlassian.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf580a615a18a6386f0995fe7cff01e5,e5e8d632c0b86f5bd5ef9a0d55c58ba1fd7776f6bb7c35ca23d85d23281ce58f,ctls,blaisecbs.atlassian.net,443,https://blaisesupport.cbs.nl:443,https,application/octet-stream,GET,87.213.43.244,/,-578772841,2001:67c:14b0:1816::244,HSTS,10,False,,,AtlassianEdge,True,*.atlassian.com,,https://blaisecbs.atlassian.net/servicedesk/customer/user/login?destination=portals
budgetonderzoek.test.cbs.nl,,404,19,budgetonderzoek.test.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:41:57Z,2024-01-05T08:36:00Z,"CN=*.test.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.test.cbs.nl,Centraal Bureau voor de Statistiek,test.cbs.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,3d1e7bbd2ca5de800d7c1f5141efc675,dcbf7ea0d60bc870f2cd9c8473a211234cd5b60f71ade298e8446d0926299fe2,ctls,budgetonderzoek.test.cbs.nl,443,https://budgetonderzoek.test.cbs.nl:443,https,text/plain,GET,87.213.43.244,/,-138391155,2001:67c:14b0:1816::244,HSTS,2,False,,,,True,,,
censushub.cbs.nl,censushub.cbs.nl - /,200,454,censushub.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:54:52Z,2024-01-05T10:49:00Z,"CN=censushub.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",censushub.cbs.nl,Centraal Bureau voor de Statistiek,censushub.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,2c9212075e0c95803bb291b129fe3964,b83b2028cda34afee9f421e3cf3a562b303ffd4b638f67c4c942e826ad065507,ctls,censushub.cbs.nl,443,https://censushub.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,Windows Server,3,False,,,Microsoft-IIS/10.0,,,,
cerberus.cbs.nl,CerBeruS,200,2369,cerberus.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:54:42Z,2024-01-05T10:49:00Z,"CN=cerberus.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",cerberus.cbs.nl,Centraal Bureau voor de Statistiek,cerberus.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,cea04c7c7fa1890eb6a60027033e29e2,41bdab8a89698faf9011e9b8af8a2d1a8d893bbbe454b245a006fda9c9ab5de2,ctls,cerberus.cbs.nl,443,https://cerberus.cbs.nl:443,https,text/html,GET,52.166.64.188,/,-253321811,52.166.64.188,,45,False,azure,True,,,,,
claircitydata.cbs.nl,Welcome - ClairCity data portal,200,45211,claircitydata.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:54:31Z,2024-01-05T10:49:00Z,"CN=claircitydata.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",claircitydata.cbs.nl,Centraal Bureau voor de Statistiek,claircitydata.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,17d2e33894b77127a0a9d9a344779ad7,2604f6dd1ba9a019c3101fd5d99603734a6fffebfb1b9b577710bc736d3ea484,ctls,claircitydata.cbs.nl,443,https://claircitydata.cbs.nl:443,https,text/html,GET,87.213.43.244,/,-366337701,2001:67c:14b0:1816::244,Solr,423,False,,,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,,,,
classificaties.cbs.nl,CBS classificaties en begrippen,200,10180,classificaties.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-05T10:22:08Z,2024-01-05T10:17:00Z,"CN=taxonomie.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",taxonomie.cbs.nl,Centraal Bureau voor de Statistiek,taxonomie.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,78005f0b9e6430077d832e96cdf3ca0a,1086f0f3ee5382e6573e5722968b264a4c96aaa5e17c5a27e90ede4f9633b74f,ctls,classificaties.cbs.nl,443,https://classificaties.cbs.nl:443,https,text/html,GET,185.34.136.30,/,-496406714,185.34.136.30,Bootstrap,177,False,,,Apache,,,,https://classificaties.cbs.nl/nl/
cn.cbs.nl,IIS Windows Server,200,703,cn.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:45:23Z,2024-01-05T10:40:00Z,"CN=cn.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",cn.cbs.nl,Centraal Bureau voor de Statistiek,cn.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,cb7061af60e2ed4079804675edb67fb2,8ee9e0d8520b5a98e9d2372dbd3f30fb1af02ea4f2dd2cddb80495fa2cc79dde,ctls,cn.cbs.nl,443,https://cn.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,Windows Server,32,False,,,Microsoft-IIS/10.0,,,,
content.cbs.nl,,404,,content.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2023-02-16T07:17:34Z,2024-02-16T07:12:00Z,"CN=tunnel.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",tunnel.cbs.nl,Centraal Bureau voor de Statistiek,content.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,4ccab0e38bc74ce7097ada5b7becd1f8,6ac3dfe8ad8e9a75627caa8da3853bfd001b1db855224f5dcebf9a3e73ecb942,ctls,content.cbs.nl,443,https://content.cbs.nl:443,https,,GET,87.213.43.215,/,-1840324437,87.213.43.215,HSTS,1,False,,,cg-relay,,,,
contentadapter.cbs.nl,401 Authorization Required,401,172,contentadapter.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-14T09:15:08Z,2023-07-13T09:15:07Z,CN=contentadapter.cbs.nl,contentadapter.cbs.nl,,contentadapter.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a9e80bff7f1b66679d5bbfa59eebd501,a0976462e40f4cf7504ab358f97b644bdb8acde613cf9ccf508c56a675a88986,ctls,contentadapter.cbs.nl,443,https://contentadapter.cbs.nl:443,https,text/html,GET,51.144.98.86,/,-1710455754,51.144.98.86,Nginx,8,False,azure,True,nginx,,,,
dashboards.cbs.nl,CBS Dashboards,200,2029,dashboards.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:44:18Z,2024-01-05T10:39:00Z,"CN=dashboards.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",dashboards.cbs.nl,Centraal Bureau voor de Statistiek,dashboards.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,2e5b216e1c72004985f5cc8ce2a326b5,2c913cd6a2493678cca8e2ef0adbfb59df2ef4af905817cb9fcf8c158e07efed,ctls,dashboards.cbs.nl,443,https://dashboards.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1197201457,2001:67c:14b0:1816::244,HSTS,44,False,,,,,,,
databestanden.cbs.nl,Inloggen,200,4122,login.databestanden.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:32:46Z,2024-01-05T10:27:00Z,"CN=login.databestanden.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",login.databestanden.cbs.nl,Centraal Bureau voor de Statistiek,login.databestanden.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,37077f8c1928d85198ec323e27233c3f,69fb58e137618b14cd65c263bc1a2e7ee2be44abb57a6b72305fe13192b08f0d,ctls,login.databestanden.cbs.nl,443,https://databestanden.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,HSTS,90,False,,,,,,,https://login.databestanden.cbs.nl/auth/realms/advuploadchannel-realm/protocol/openid-connect/auth?client_id=advanceduploadchannel.ui&redirect_uri=https%3A%2F%2Fdatabestanden.cbs.nl%2Fsignin-oidc&response_type=code&scope=openid%20profile%20offline_access%20roles%20audc_api%3Auser&code_challenge=wcG_zOPTZBl602z1VIv8yw95E--grqRa9-bc2Ks7r0w&code_challenge_method=S256&response_mode=form_post&nonce=638202904517674093.NjJjMjU4ZjQtNThkOC00NDU0LTgwMjEtZDRhOWM1NzQ5MTAxZWJmYWUzMjktNGMyOC00YTc1LWJhMWMtZDFmMTUwZjBjY2Ex&state=CfDJ8G7MuzsxAtpPg5hKrzyQtpN9UqDxAkz2w7qu_IK17fr9Xov8p5cfAjJrtU0BPUTiVdQIJf4hmF7ttr01OtJZ9PZU74fhSmDniCqejBNQ4SIksLA5OQvjufiUevmltg4igPQqt71wIwMlbwzeEYW-1xv1gC9k-sZycco9_LptlL4IJ8NVfUGG3syqPwFSldGIyGq-IzK0ZcD-5QM0U2_sW36ZhyuDwxTbwKmSKvr9uuO3wrbvpZ3TFGS00VIedZDOcDL80aTDlytTu7p5pgbtZ2WXco2IKxR6oOTzRx58APsHl6sqt0AxwQViNHcEy7yzRzjdDdQKXLVaFDMlGmo0nodp0nGSerN2J8enusbxCP8wZ0jBmDJfZMY3HxYS-0No9lZZWw1XdS_munHYik9GQbk&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.7.1.0
dataderden.cbs.nl,,503,62,dataderden.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:43:50Z,2024-01-05T10:38:00Z,"CN=dataderden.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",dataderden.cbs.nl,Centraal Bureau voor de Statistiek,dataderden.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,e3b0f590e3c19c5a9fea14865987c3ea,0eca4da5c1b81e7f7bfb1800586452d5cb436334d5a1c645e8c9acde780c5d7d,ctls,dataderden.cbs.nl,443,https://dataderden.cbs.nl:443,https,,GET,87.213.43.244,/,107704025,2001:67c:14b0:1816::244,,1,False,,,,,,,
dataportaal.cbs.nl,,503,62,dataportaal.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:45:56Z,2024-01-05T08:40:00Z,"CN=odata4.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",odata4.cbs.nl,Centraal Bureau voor de Statistiek,dataportaal.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ae932423c9402003283aac2ca822db73,f6100dfa226734ddc963a9613e4b1f8e657aeee50ef58d75bd92bad6f89a0469,ctls,dataportaal.cbs.nl,443,https://dataportaal.cbs.nl:443,https,,GET,87.213.43.244,/,107704025,2001:67c:14b0:1816::244,,1,False,,,,,,,
dataset.beta.cbs.nl,CCB OData Endpoints,200,1117301,dataset.beta.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:43:33Z,2024-01-05T08:38:00Z,"CN=*.beta.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.beta.cbs.nl,Centraal Bureau voor de Statistiek,beta.cbs.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,da43930d5e57e5d5fec361940efaa850,98cd91f3c3d8d85141e0c0f68f752bcdcf2149f8a82b93f4f69a688ff86995a5,ctls,dataset.beta.cbs.nl,443,https://dataset.beta.cbs.nl:443,https,text/html,GET,87.213.43.244,/,-1840324437,2001:67c:14b0:1816::244,HSTS,17444,False,,,,True,,,
datasets.cbs.nl,CCB OData Endpoints,200,1082352,datasets.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:47:46Z,2024-01-05T08:42:00Z,"CN=dataset.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",dataset.cbs.nl,Centraal Bureau voor de Statistiek,datasets.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,17bae17021651efbf504f2d1ebb1d365,3b4e39d8e4b231b3de4861669e7185bdb7d48e991091a831acf57b3114889557,ctls,datasets.cbs.nl,443,https://datasets.cbs.nl:443,https,text/html,GET,87.213.43.244,/,-1840324437,2001:67c:14b0:1816::244,HSTS,17444,False,,,,,,,
designsystem.cbs.nl,CBS Design System,200,39407,designsystem.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-22T07:07:34Z,2023-11-22T07:02:00Z,"CN=designsystem.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",designsystem.cbs.nl,Centraal Bureau voor de Statistiek,designsystem.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,cda329cceecceec4596fc91f6657c1d6,e863ae7ef389ad938917a073ad420449f12ca664101a0ae14b9dee57961b0ca6,ctls,designsystem.cbs.nl,443,https://designsystem.cbs.nl:443,https,text/html,GET,63.33.17.94,/,409104341,52.51.23.169,Ruby on Rails,259,False,,,nginx,,surveystats.hotjar.io,,
dev.cerberus.cbs.nl,GECKO Annotate,200,666,dev.cerberus.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:43:41Z,2024-01-05T10:38:00Z,"CN=dev.cerberus.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",dev.cerberus.cbs.nl,Centraal Bureau voor de Statistiek,dev.cerberus.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,f41234e197672355ab7baa451ba4a9d6,3543e6c51f2378a9742a316897975b3b0ac871c88b373b046a539ded4319b5d2,ctls,dev.cerberus.cbs.nl,443,https://dev.cerberus.cbs.nl:443,https,text/html,GET,20.71.35.184,/,1481693200,20.71.35.184,,3,False,,,,,,,
