input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,final_url,csp_domains_,tls_expired
api-inteks.soc.trellix.com,,401,119,api-inteks.soc.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-31T00:00:00Z,2023-10-31T23:59:59Z,"CN=ui-inteks.soc.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui-inteks.soc.trellix.com,Musarubra US LLC,supportgw-inteks.soc.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9eded1ae05ad5c4edba16b4c452fd931,0f0aac57b5b6abd59166c7c5e3d9d5456d97d27f80c1ee29d0c3863783ab9331,ctls,api-inteks.soc.trellix.com,,443,https://api-inteks.soc.trellix.com:443,https,kong/3.1.1,application/json,GET,54.212.64.145,/,1882365449,44.237.210.3,,1,False,,,,,,
api-lowerint.soc.trellix.com,,401,119,api-lowerint.soc.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-31T00:00:00Z,2023-10-31T23:59:59Z,"CN=ui-lowerint.soc.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui-lowerint.soc.trellix.com,Musarubra US LLC,supportgw-lowerint.soc.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a95cddecc85723d5c4e0584a5ff43d7e,5f6cd798b19275803afed644c34a6bc7711d9f9b6763272de00b6fcea7900f18,ctls,api-lowerint.soc.trellix.com,,443,https://api-lowerint.soc.trellix.com:443,https,kong/3.0.2,application/json,GET,34.213.190.189,/,-1717235634,54.70.227.14,,1,False,,,,,,
api-preeks.soc.trellix.com,,401,119,api-preeks.soc.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-31T00:00:00Z,2023-10-31T23:59:59Z,"CN=ui-preeks.soc.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui-preeks.soc.trellix.com,Musarubra US LLC,supportgw-preeks.soc.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4ddf96d31c1db3e7b9ce7e3e8ee1f518,68a0168381195e757f2fcc5c59fac1d8012cfac2c31c99466c110f40ed5f6f02,ctls,api-preeks.soc.trellix.com,,443,https://api-preeks.soc.trellix.com:443,https,kong/3.1.1,application/json,GET,54.148.245.224,/,-645068215,34.208.207.175,,1,False,,,,,,
api-vnext.soc.trellix.com,,403,42,api-vnext.soc.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-08T23:59:59Z,"CN=api-vnext.soc.trellix.com, O=Musarubra US LLC, ST=California, C=US",api-vnext.soc.trellix.com,Musarubra US LLC,www.api-vnext.soc.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1a91ae690f1fa6a7fbe15884b062bb6a,8f594a25b8c6ef2d7724abdd7e9d32c9a3ab705668359d3b0de3ddcb0ab60104,ctls,api-vnext.soc.trellix.com,,443,https://api-vnext.soc.trellix.com:443,https,,application/json,GET,44.241.46.95,/,768769774,52.88.87.106,,1,False,,,,,,
api.soc.ap-southeast-2.trellix.com,,401,119,api.soc.ap-southeast-2.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=ui.soc.ap-southeast-2.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui.soc.ap-southeast-2.trellix.com,Musarubra US LLC,api.soc.ap-southeast-2.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ae304310cc363aa1b728c4a93739e9a,362714e8358fd37ef90fd75d27f504f0185993c075dccc92485f2b39312c681b,ctls,api.soc.ap-southeast-2.trellix.com,,443,https://api.soc.ap-southeast-2.trellix.com:443,https,kong/3.1.1,application/json,GET,13.236.120.13,/,1882365449,3.24.37.19,,1,False,,,,,,
api.soc.ca-central-1.trellix.com,,401,119,api.soc.ca-central-1.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=ui.soc.ca-central-1.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui.soc.ca-central-1.trellix.com,Musarubra US LLC,api.soc.ca-central-1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,6d3283e8e804609170f1db777ba58ef7,606e19e8bf203b668dcc6585e0d391a38802e602d0f4e256f8a7e8aff484cc77,ctls,api.soc.ca-central-1.trellix.com,,443,https://api.soc.ca-central-1.trellix.com:443,https,kong/3.0.2,application/json,GET,15.222.202.211,/,-1841695134,15.222.132.242,,1,False,,,,,,
api.soc.eu-central-1.trellix.com,,401,119,api.soc.eu-central-1.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=ui.soc.eu-central-1.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui.soc.eu-central-1.trellix.com,Musarubra US LLC,api.soc.eu-central-1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,091fe581bd28a7e2881fa5592bb6ae27,ec787f5a796e995f2467fec099bc7e41cbec7ecdda218a91cdd7b9a224e4b791,ctls,api.soc.eu-central-1.trellix.com,,443,https://api.soc.eu-central-1.trellix.com:443,https,kong/3.0.2,application/json,GET,18.153.7.244,/,-1717235634,3.123.80.47,,1,False,,,,,,
api.soc.preprod.trellix.com,,401,119,api.soc.preprod.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-19T23:59:59Z,"CN=ui.soc.preprod.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui.soc.preprod.trellix.com,Musarubra US LLC,api.soc.preprod.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a8e3bddf4e81ac893497dab26f893851,db8c75bb8cc53d5e2d2a927a8831592cc8ff6f840779bc7b7ee59dad025c2f6c,ctls,api.soc.preprod.trellix.com,,443,https://api.soc.preprod.trellix.com:443,https,kong/3.1.1,application/json,GET,35.163.208.137,/,1071334689,52.13.221.103,,1,False,,,,,,
api.soc.us-east-1.trellix.com,,401,119,api.soc.us-east-1.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=ui.soc.us-east-1.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui.soc.us-east-1.trellix.com,Musarubra US LLC,api.soc.us-east-1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,98e99bb74310831f23a7d949cd074c6a,cc02918d5cd6b934eab7e316bbe21015c8692555227647561bec61431d93c8e0,ctls,api.soc.us-east-1.trellix.com,,443,https://api.soc.us-east-1.trellix.com:443,https,kong/3.0.2,application/json,GET,34.196.44.0,/,-1717235634,18.213.84.81,,1,False,,,,,,
api.vnext.xdrint.trellix.com,,403,23,api.vnext.xdrint.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T00:00:00Z,2024-06-30T23:59:59Z,CN=*.execute-api.us-west-2.amazonaws.com,*.execute-api.us-west-2.amazonaws.com,,*.execute-api.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8fd08293a9fa3ec462563207da471869,8931a2994280d41472ecb196995d2566339add6e548ac4739521fe674faabfe3,ctls,api.vnext.xdrint.trellix.com,,443,https://api.vnext.xdrint.trellix.com:443,https,,application/json,GET,44.233.77.11,/,968070783,44.230.89.225,,1,False,,True,True,,,
api.xdrpreeks.trellix.com,,401,119,api.xdrpreeks.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=xdrpreeks.trellix.com, O=Musarubra US LLC, ST=California, C=US",xdrpreeks.trellix.com,Musarubra US LLC,ui.xdrpreeks.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e8240670c92dd87c1a9589081a83e4aa,d081fb05adcc22fd7f07238fff603b711364a25abf48c88f284752e09260fa36,ctls,api.xdrpreeks.trellix.com,,443,https://api.xdrpreeks.trellix.com:443,https,kong/3.0.2,application/json,GET,44.242.91.192,/,1071334689,35.83.131.51,,1,False,,,,,,
atdupdate.trellix.com,McAfee ATD Detection Packages,200,253,atdupdate.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T07:26:07Z,2024-07-03T07:26:07Z,"CN=atdupdate.trellix.com, OU=Engineering, O=Musarubra US LLC, ST=California, C=US",atdupdate.trellix.com,Musarubra US LLC,atdupdate.trellix.com,"CN=Trellix Private Intermediate CA\ , O=Trellix, C=US",Trellix Private Intermediate CA ,Trellix,16e97e5f3c1e4ed2ae75ffc3741aa919,78c25b9dae558c7652e5a3e60ea5f5d10af170a0abbce6094ffdecda5aa7ea77,ctls,atdupdate.trellix.com,,443,https://atdupdate.trellix.com:443,https,Apache/2.2.15 (CentOS),text/html,GET,136.179.56.58,/,-1643099642,136.179.56.58,CentOS,10,False,,,,,,
auth.trellix.com,,200,1087,auth.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-21T23:59:59Z,"CN=auth.trellix.com, O=Musarubra US LLC, ST=California, C=US",auth.trellix.com,Musarubra US LLC,www.auth.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7a026ac0717c8791ad71be7d12f67bcf,e6105f340aab6a348e4f7db96010287359e89e9e869f98c320ac9c6caf00ffb6,ctls,auth.trellix.com,,443,https://auth.trellix.com:443,https,,text/html,GET,34.213.3.246,/,-1463124301,54.245.171.182,,31,False,,,,,,
auth.ui.trellix.com,,200,5021,auth.ui.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,"CN=auth.ui.trellix.com, O=Musarubra US LLC, ST=California, C=US",auth.ui.trellix.com,Musarubra US LLC,www.auth.ui.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1ce0cd98014ab1a482f4057e6fb42e3,cf999fa6d69d764590d2fcb81efff5f3424479831290c8da8cd0b47470e165c4,ctls,auth.ui.trellix.com,cloudfront,443,https://auth.ui.trellix.com:443,https,AmazonS3,text/html,GET,18.66.122.56,/,2116877167,18.66.122.112,Amazon Web Services,3,False,True,,,,,
autodiscover.skyhighsecurity.com,TRELLIX - Sign In,200,27155,trellix.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,trellix.okta.com,,80,http://autodiscover.skyhighsecurity.com:80,http,nginx,text/html,GET,40.99.155.232,/,-1249852061,2603:1026:c0d:72::8,Nginx,504,False,,True,,https://trellix.okta.com/app/office365/exkkmjienBuT16vOX696/sso/wsfed/passive?client-request-id=59924e71-b44f-031f-a999-9fb8fc6ee172&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjVFPaNNwGO2v6eI2pxsTwZsSPE3T_GmTNIUhydq1G_2_dVsnUpo0_5omvzZJm3Zj4FHwMjwo7iIIHtzBgyiMIep5px087bQhwhgI4mkwD7Z48bh3eDy-7_B9770ZhApT8bvkP9D4kHFSVSlcVobqPzjT41Pt3LNK_sNt5O3LV3t_7BNnB9xwzb5uaLqryB3H8PphGVq7ANM9r-XGCQJ2vCaEZhiqqiErEZYZ7gno14g9AA4BOAVgN8ixkRjNUnyUo3ia4yia5MNSLMrVSZXD1cEcjyqD3yRaVXFWJdVYPRKrSYp8FJzMCx1Pp4cEHWND-R0cU6FjVVvQ9XaQ5yBRcZmEm9WSgqDjZZfdSKWTRSvdzKz4EoyV5gS92ufIbK8c9cmmmOinE35qRfBL2UxupdSAOdIwhXZlSdK81aIoZBLkup0vOiktudgUtWUpR0FZZtc0xmFUm2MkXqK6LE9xmXWcZNLtiMv3lh2-4SxHIc63vMVGYa3ACf4ucqnA3yPoICwL2gcICluKbdQPQ-A4BM5CE2QwPjo6OTVyK3AncB4Cr0cG3bx49xTlPqdSjx_cPH7zTQwcjBCFukV4nlgS9Pm5lKhnBub72QWzYoqUvEjmla5nJNfa5AJRgLN8nNpGwTaK7qNjo8hUAEPmCtQpCn6h4MmVwP7YJSo9vAqOJqLjqNysGZY7PbOJGfWqB03FxuKbWM9yq7I8VN1as6O4WPwhNjiBPdra2vp6LXB-_eLTxx9fLr7_TJ9N3qeJPtMvw1ZZXPI3vG5ugRE1ienZuXv11cy8a7b5GmwkDcuKFGf_Ag2,http://localhost:65141,
autodiscover.trellix.com,TRELLIX - Sign In,200,27110,trellix.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,trellix.okta.com,,80,http://autodiscover.trellix.com:80,http,nginx,text/html,GET,52.97.188.72,/,-1249852061,2603:1026:c0d:6a::8,Nginx,504,False,,True,,https://trellix.okta.com/app/office365/exkkmjienBuT16vOX696/sso/wsfed/passive?client-request-id=f32f8e9e-05bd-1a5e-6a32-ad9923bba7e7&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZE9TBNxAMX777UnX0rDZJzM4YRe7-5_x921CSb0i0J7bYFWC0Yv1-tdr_S-ch-9UsLk4qQMDsrg4GJC4sJkMEZnJmZ0MDFEQjQhuGBcpHFx5De8vOQNL3lvCqHiVPIW-Q-IDxQnVZXCZWXg_sOZGIm9ekr8-hB9dGMNvn05-f7N920w6jmKrrd7cdkydgCmeZ7tJgnC8j3dsjpxS1XbskKz04OcsAKJeAfAAQDHAOyEOZbmIUslGI5KQJ5lOYaMQ4nmlGl-Gpdhk8EZmlFxvsGzuEryjCwxDVphG4fh8fKs72lwIJbT7itn4WHVcgzRtlxvG3kGMrKXylhCK5tNLUllcdnR01l5qVW3DXl1JdsThHS1BjVWLJY4VZVgzTcVuuq5Sq6ZrgbQSAlpWM7OVlaCRrYieCW343qtQCgZhVRB6i_NdzS_lbNwriuzPTWvJ0p-qu9AabkmVpWOsrbudytF08nrok3bC3gg7CCXWngXQS9WMixzH0EtWzHbzYMI-BoBJ5ExMpwcGhqPRa-HbobOI-B19OKMs8ex093l35kX7qTy48vd0H6UKJS6uduc5wTVIquxmVVyhdcK5Xu9udZsvg8XJUkoQK3jwlxJmKGS1BYKtlB0Dx0eQmIhDElXqGMUnKLgyZXQ3vAlvjwYBYdjzAgq61LbcCemNrB2U_SsjmJiyQ2sZ7iiLA9cV9J9xcWSD7CLCuzh5ubmp6uh82ufn-8dffzz7Wf-ZPxO2ZmvN_vM4mLxfs1P03MqZTKNtb5T7wZ1h6gvrM_5uQbpmwmbn_kL0,*.authenticatorlocalprod.com:65121,
