input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,webserver,tls_wildcard_certificate,tls_expired,tls_self_signed,csp_domains_,final_url
avatars.code.corp.creditkarma.com,403,403,134,avatars.code.corp.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.code.creditkarma.com, O=Credit Karma LLC, L=Oakland, ST=California, C=US",*.code.creditkarma.com,code.creditkarma.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,52b366cfa53127711afb257e29976e24,cf033d68147496440d5a46ac27364f716f958f3313d3203e35f00a2fbcfe14ea,ctls,avatars.code.corp.creditkarma.com,google,443,https://avatars.code.corp.creditkarma.com:443,https,text/html,GET,34.120.134.241,/,1723221432,34.120.134.241,HTTP/3,1,False,True,,Credit Karma LLC,,True,,,,
ax.apply.creditkarma.com,Error | Intuit Credit Karma,400,98174,ax.apply.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,"CN=*.apply.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.apply.creditkarma.com,apply.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17ad9ea3c8650ce169939bb899aad4d7,5679036387eb42b7cc54a308396295129b155a534ec116252ad9428b49bc2e1f,ctls,ax.apply.creditkarma.com,,443,https://ax.apply.creditkarma.com:443,https,text/html,GET,84.53.167.204,/,-2136863442,84.53.167.204,React,115,False,,,"Credit Karma, LLC",CK-FG-server,True,,,https://pixel.wp.com,
be.apply.creditkarma.com,Error | Intuit Credit Karma,400,98174,be.apply.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,"CN=*.apply.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.apply.creditkarma.com,apply.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17ad9ea3c8650ce169939bb899aad4d7,5679036387eb42b7cc54a308396295129b155a534ec116252ad9428b49bc2e1f,ctls,be.apply.creditkarma.com,,443,https://be.apply.creditkarma.com:443,https,text/html,GET,84.53.167.204,/,-2136863442,84.53.167.204,React,115,False,,,"Credit Karma, LLC",CK-FG-server,True,,,https://staticxx.facebook.com,
blog.creditkarma.com,Commentaries Archive - Intuit Credit Karma,200,221994,www.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T00:00:00Z,2024-06-04T23:59:59Z,"CN=www.creditkarma.com, O=Credit Karma LLC, L=Oakland, ST=California, C=US, serialNumber=7841076, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,84d9052aadc804f3f9f440965120c0b4,e43227820c866f0b5cd38cce04c3404debbf10818faf0b7b2ff04033f0c81d5d,ctls,www.creditkarma.com,,443,https://blog.creditkarma.com:443,https,text/html,GET,95.100.66.138,/,1274734426,95.100.66.138,WordPress,634,False,,,Credit Karma LLC,CK-FG-server,,,,https://www.googletagmanager.com,https://www.creditkarma.com/about/commentary
ca.apply.creditkarma.com,Error | Intuit Credit Karma,400,98174,ca.apply.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,"CN=*.apply.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.apply.creditkarma.com,apply.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17ad9ea3c8650ce169939bb899aad4d7,5679036387eb42b7cc54a308396295129b155a534ec116252ad9428b49bc2e1f,ctls,ca.apply.creditkarma.com,,443,https://ca.apply.creditkarma.com:443,https,text/html,GET,84.53.167.204,/,-2136863442,84.53.167.204,React,115,False,,,"Credit Karma, LLC",CK-FG-server,True,,,*.siteintercept.qualtrics.com,
capitalone.creditkarma.com,Access Denied,403,223,capitalone.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T00:00:00Z,2024-06-04T23:59:59Z,"CN=www.creditkarma.com, O=Credit Karma LLC, L=Oakland, ST=California, C=US, serialNumber=7841076, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,84d9052aadc804f3f9f440965120c0b4,e43227820c866f0b5cd38cce04c3404debbf10818faf0b7b2ff04033f0c81d5d,ctls,capitalone.creditkarma.com,,443,https://capitalone.creditkarma.com:443,https,text/html,GET,95.101.177.60,/,864646040,95.101.177.60,,10,False,,True,Credit Karma LLC,AkamaiGHost,,,,,
cdn.native.creditkarma.com,Credit Karma Native CDN,200,1724,cdn.native.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-03T21:23:38Z,2023-10-01T22:21:59Z,CN=www.medbuyer.com,www.medbuyer.com,app.interview.cards,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9531cb506306986eda68e1d808ac566d,a69f69e8772a0007cd0a4036967d5940037299f4bdcf707a1b79fdd81d122094,ctls,cdn.native.creditkarma.com,fastly,443,https://cdn.native.creditkarma.com:443,https,text/html,GET,151.101.1.195,/,-336973701,151.101.65.195,HTTP/3,70,False,True,,,,,,,,
ce.apply.creditkarma.com,Error | Intuit Credit Karma,400,98174,ce.apply.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,"CN=*.apply.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.apply.creditkarma.com,apply.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17ad9ea3c8650ce169939bb899aad4d7,5679036387eb42b7cc54a308396295129b155a534ec116252ad9428b49bc2e1f,ctls,ce.apply.creditkarma.com,,443,https://ce.apply.creditkarma.com:443,https,text/html,GET,23.67.132.87,/,-2136863442,23.67.132.87,React,115,False,,,"Credit Karma, LLC",CK-FG-server,True,,,https://ckgoprod-a.akamaihd.net,
cms.creditkarma.com,,200,,cms.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-14T00:00:00Z,2024-01-14T23:59:59Z,"CN=cms.creditkarma.com, O=Credit Karma LLC, L=Oakland, ST=California, C=US",cms.creditkarma.com,cms.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e4453e58d9c90873ccc801f62cc34cb1,26556f30d055594cfbdde41891093b45fef0b637f05162ed5a803dee0ca359d7,ctls,cms.creditkarma.com,,443,https://cms.creditkarma.com:443,https,text/html,GET,192.0.66.2,/,1274734426,192.0.66.2,WordPress,1,False,,,Credit Karma LLC,nginx,,,,,
cp.apply.creditkarma.com,Error | Intuit Credit Karma,400,98174,cp.apply.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,"CN=*.apply.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.apply.creditkarma.com,apply.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17ad9ea3c8650ce169939bb899aad4d7,5679036387eb42b7cc54a308396295129b155a534ec116252ad9428b49bc2e1f,ctls,cp.apply.creditkarma.com,,443,https://cp.apply.creditkarma.com:443,https,text/html,GET,84.53.167.204,/,-2136863442,84.53.167.204,React,115,False,,,"Credit Karma, LLC",CK-FG-server,True,,,https://socketbus.creditkarma.com:*,
creditkarma1.lightning.force.com,Credit Karma - Sign In,200,26670,creditkarma.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,creditkarma.okta.com,,443,https://creditkarma1.lightning.force.com:443,https,text/html,GET,13.110.41.2,/,1433417005,13.110.66.2,Nginx,504,False,,,"Okta, Inc.",nginx,True,,,*.tiles.mapbox.com,https://creditkarma.okta.com/app/salesforce/exk1ffi5od6xiIXia1d8/sso/saml?SAMLRequest=jZPbjtowEIZfJfJ9zoUctGGVA6SBZHcL4XiDHGNCSGJD7NAsT1%2F2pG6ratWRfGHNzP%2FPWJ%2Fv7ru6Ei64YQUlDlAlBQiYILorSO6AeToSTXA%2FuGOwrrST7bb8QKb43GLGhVsjYfZbxgFtQ2wKWcFsAmvMbI7smZvEtiYp9qmhnCJaAcFlDDf8ZuVTwtoaNzPcXAqE59PYAQfOT8yWZdTgXcFL2NRQlepnicEKsz1tEJYQre8ZdRQlUOfKazRupQMhuA1UEMhfl%2FiHjkRLDl%2B6ZXg6yb8FZdyV6n5f9Oiu3xXRqoDqzpQZo%2FLLXkCIAgdsNd%2B9xZpW6TFZJ4H78%2B%2Fzkra8Qw%2B1SVUvVeu8gW4uTsXmeXMcoot6ynImGpEebqN4Gav6DpXfhyPdjAPNCJARe%2F14bPS667L2R%2BGiz0QyUcikbdUwd4fIv1ShNhuXOYS8glf%2BGGT0VC3inVUOvXo9XJ2362ucKNNmteqLh2trZmK3mbnEqE3NSnCXnUd76M8RL3vpj8BahDMrH4fXIlWnB9HceDRtHrxvpa9avjlE1117NFvjga16fL%2BNw2OGRX2C0g7nyzQqaTSF6iQJx4%2FZsO918KIqRqJ7qpHfXouxFkeEcUi4AzRF00XFEDUjVTRbseyeIfU1awOEp3cevIK8cfYVPNlbEbO%2Fp%2BmT%2BPQ4S4Gw%2BOD1VgDe6bRf3ZvPWH4tDD9YBIP%2FI%2B9O%2Fmw0eL%2F%2B%2BSsGvwA%3D&RelayState=%2F&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=bocDAXxVsI1aogxM0fNBwgHGpTqO7SH7TxoFDHf%2B5HMAhoI2zJFZ41h94DWL2Rkdpj7uqpN%2BYAgq3kgVYCTiMHPIXW1AWD94qBRuu%2Bj2ePjH32r4Ujv3VYXgbIzf5QHF79PRKIbf7O5TFQ874csVi2LyN6HF4rAtDPIIJJ%2BPZfDPZVaTfld4oSOhpWZAW50eLA8wPiDfrH%2FPEc9NpCDs3d4EhCzI4Dw9yfBH2GkuTl24dvvqHxe78rrYKGUY6uBBPtKHmfv4fKGoAWm0GWcrFCnrSdqCLVrgyVYeb81ttROIMNYugjJLnCyJZlyQj9vannN9mq7T4bYzgKB2okWxww%3D%3D
eb3.creditkarma.com,,200,170,eb3.creditkarma.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-11-04T00:00:00Z,2023-12-05T23:59:59Z,"CN=*.ca.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.ca.creditkarma.com,eb5.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05218f3c13fdda41d002007840457f87,c7095db67dcfd49f42ba67adb8cddd9e669dee492a5664381a9f5e73ca9522a7,ctls,eb3.creditkarma.com,,443,https://eb3.creditkarma.com:443,https,text/html,GET,64.128.79.244,/,593259606,64.128.79.244,HSTS,4,False,,,"Credit Karma, LLC",,True,,,,
eb4.creditkarma.com,,200,170,eb4.creditkarma.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-11-04T00:00:00Z,2023-12-05T23:59:59Z,"CN=*.ca.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.ca.creditkarma.com,eb5.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05218f3c13fdda41d002007840457f87,c7095db67dcfd49f42ba67adb8cddd9e669dee492a5664381a9f5e73ca9522a7,ctls,eb4.creditkarma.com,,443,https://eb4.creditkarma.com:443,https,text/html,GET,206.169.134.29,/,-412060278,206.169.134.29,HSTS,4,False,,,"Credit Karma, LLC",,True,,,,
eb5.creditkarma.com,,200,170,eb5.creditkarma.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-04T00:00:00Z,2023-12-05T23:59:59Z,"CN=*.ca.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.ca.creditkarma.com,eb5.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05218f3c13fdda41d002007840457f87,c7095db67dcfd49f42ba67adb8cddd9e669dee492a5664381a9f5e73ca9522a7,ctls,eb5.creditkarma.com,,443,https://eb5.creditkarma.com:443,https,text/html,GET,52.215.217.252,/,-412060278,52.215.217.252,HSTS,4,False,,,"Credit Karma, LLC",,True,,,,
email.mail.creditkarma.com,,404,19,email.mail.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.mail.creditkarma.com,google,443,https://email.mail.creditkarma.com:443,https,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,True,,,,,,,
email.reminder.creditkarma.com,,404,19,email.reminder.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.reminder.creditkarma.com,google,443,https://email.reminder.creditkarma.com:443,https,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,True,,,,,,,
email.report.creditkarma.com,,404,19,email.report.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.report.creditkarma.com,google,443,https://email.report.creditkarma.com:443,https,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,True,,,,,,,
email.save.creditkarma.com,,404,19,email.save.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.save.creditkarma.com,google,443,https://email.save.creditkarma.com:443,https,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,True,True,,,,,,,
email.saving.creditkarma.com,,404,19,email.saving.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.saving.creditkarma.com,google,443,https://email.saving.creditkarma.com:443,https,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,True,True,,,,,,,
embedded-fg-origin.creditkarma.com,403,403,134,embedded-fg-origin.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,6997db1b3055e2c87b82492f36a1f974,a5ea2dcbbaf441c28a8120cda60bced8dc12b8742bafc4c5ce2976644779681f,ctls,embedded-fg-origin.creditkarma.com,google,443,https://embedded-fg-origin.creditkarma.com:443,https,text/html,GET,34.120.244.94,/,1723221432,34.120.244.94,HTTP/3,1,False,True,,"Credit Karma, LLC",,True,,,,
