new,host,a,soa,status_code,cdn,cdn-name,cname,txt,aaaa,ns,mx,caa,has_internal_ips,internal_ips,ptr
[x],1afnorth.region1.ang.af.mil,131.62.9.130,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],1b854-3-sv0250.osd.mil,,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],1ddmail4.dfas.mil,207.133.139.16,"dzu13.dfas.mil, hostmaster.dfas.mil",NOERROR,,,,,,,,,,,
[x],1qm2su.uscg.mil,152.121.188.84,"ns1.uscg.mil, hostmaster.uscg.mil",NOERROR,,,,"v=spf1 include:uscg.mil -all, identrust_validation=HQ237LsYchR9RZKrKKUeVupQo5cVbYPa750XGeS6SREa, identrust_validation=/jKzINj5t0LlzqxsAfeeuDsCg6Bg9YG5XJdv/ZnUrwIl, identrust_validation=pWBLRFjDzV8s/CpptKLtR21o/2UT1OLZvr+pLheLoGC9",,,,,,,
[x],1stmardiv.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],1stmaw.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],1stmlg.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],20owspass.yokota.af.mil,131.36.10.69,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],20owspassa.yokota.af.mil,131.36.10.67,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],21426170243.centcom.mil,214.26.170.243,"localhost, root.localhost.mil",NOERROR,,,,,,,,,,,
[x],21426170246.centcom.mil,214.26.170.246,"localhost, root.localhost.mil",NOERROR,,,,,,,,,,,
[x],2142677244.centcom.mil,,"localhost, root.localhost.mil",NOERROR,,,,,,,,,,,
[x],214279910.centcom.mil,214.27.99.10,"localhost, root.localhost.mil",NOERROR,,,,,,,,,,,
[x],214279911.centcom.mil,214.27.99.11,"localhost, root.localhost.mil",NOERROR,,,,,,,,,,,
[x],21427999.centcom.mil,214.27.99.9,"localhost, root.localhost.mil",NOERROR,,,,,,,,,,,
[x],2196-ext.yokota.af.mil,131.36.116.3,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],21ows.us.af.mil,214.48.252.104,"n0d.akamaiedge.akamai.csd.disa.mil, hostmaster.akamai.com",NOERROR,,,"21ows.us.af.mil.apps.gcds.disa.mil, gcdsaf3.af.mil.edgekey.dmz.akamai.csd.disa.mil, e1081.d.akamaiedge.akamai.csd.disa.mil",,,,,,,,
[x],21tsc.army.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],23ws.hurlburt.af.mil,151.166.10.21,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],24ddmail5.dfas.mil,204.34.111.16,"dzu13.dfas.mil, hostmaster.dfas.mil",NOERROR,,,,,,,,,,,
[x],24sow.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],24thmeu.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],25af.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],25afoctane.af.mil,,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],26thmeu.usmc.afpims.mil,,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],29palms.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],2k13nlyncwebext.jieddo.mil,214.16.248.68,"ns1.atac.mil, helpdesk.atac.mil",NOERROR,,,,,,,,,,,
[x],2ndmardiv.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],2ndmarines.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],2ndmaw.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],2ndmlg.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],2wx-jet-bomgar1.afwa.af.mil,131.7.251.184,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],301fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],307bw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],315aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],31stmeu.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],349amw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],360.intranet.dcma.mil,214.23.37.97,"ns3.dcma.mil, dcma.lee.it-dir.list.dcmait-f5-dl.mail.mil",NOERROR,,,,,,,,,,,
[x],37trw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],388fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],3dspacepilot.pica.hpc.mil,,"ns01.army.mil, usarmy\.huachuca\.netcom\.mesg\.epdns-global.army.mil",NOERROR,,,,,,,,,,,
[x],3maw.usmc.mil,192.156.68.100,"ns1-east.usmc.mil, mccog_nic_admins.usmc.mil",NOERROR,,,,,,"ns1-west.usmc.mil, ns1-east.usmc.mil, ns2-west.usmc.mil, ns2-east.usmc.mil",,,,,
[x],3rdmaw.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],403wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],409csb.army.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],41fab.army.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],433aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],445aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],446aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],459arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],474.ref.whs.mil,140.185.76.144,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],477fg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],492sow.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],514amw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],52arty-db-002v.afrc.af.mil,129.54.2.102,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52arty-ws-001v.afrc.af.mil,129.54.2.92,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52arty-ws-002v.afrc.af.mil,129.54.2.93,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52arty-ws-003v.afrc.af.mil,,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52arty-ws-004v.afrc.af.mil,129.54.2.95,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52arty-ws-005v.afrc.af.mil,129.54.2.96,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52arty-ws-006v.afrc.af.mil,129.54.2.97,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52lxezw-h5kb391.kadena.af.mil,132.15.45.29,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52prpx-vpn-001.us.af.mil,132.28.253.242,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52prpx-vpn-002.us.af.mil,132.28.253.243,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52qkkg-ble-c72p.misawa.af.mil,132.20.17.155,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52qkkg-bs-cv1v.misawa.af.mil,132.20.17.150,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52qkkg-bs-cv2v.misawa.af.mil,132.20.17.151,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52qkkg-vmh-esxp.misawa.af.mil,132.20.20.26,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52qkkg-ws-rwebv.misawa.af.mil,132.20.20.24,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52sgbp-ws-aflc1.offutt.af.mil,131.7.123.9,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52znrel3-240wtr.yokota.af.mil,131.36.15.98,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52znrel3-490kn4.yokota.af.mil,131.36.15.78,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],52znrel3-b4pn7v.yokota.af.mil,131.36.15.88,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],557.eim.acc.af.mil,199.124.71.135,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],59mdw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],5af.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],5ftp01.sces.dsca.mil,214.38.138.9,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,"DCorso TEST 2/13/18 FOR 5FTP01, JFOX TEST 2/13/18 FOR 5FTP01",,"dns-pub-f2-u.pentagon.mil, dns-pub-f3-u.pentagon.mil, dns-pub-f1-u.pentagon.mil",,,,,
[x],5meb.portal.marcent.usmc.mil,192.156.37.170,"ns1-east.usmc.mil, mccog_nic_admins.usmc.mil",NOERROR,,,,,,,,,,,
[x],6thmarines.usmc.afpims.mil,,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],6thmcd.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],7af.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],7atc.army.afpims.mil,,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],8af.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],8thmarines.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],908aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],913ag.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],916arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],919sow.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],931arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],944fw.usaf.afpims.mil,155.7.216.55,,NOERROR,,,,,,,,,,,
[x],9thmcd.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],a-pes.mmrp.usmc.mil,205.110.196.179,"ns1-east.usmc.mil, mccog_nic_admins.usmc.mil",NOERROR,,,,,,,,,,,
[x],a1.mdt.akamai.csd.disa.mil,,"n0g.akamaiedge.akamai.csd.disa.mil, hostmaster.akamai.com",NOERROR,,,"a1.mdt.akamai.csd.disa.mil.edgekey.akamai.csd.disa.mil, e2.g.akamaiedge.akamai.csd.disa.mil",,,,,,,,
[x],a1nfiir254.ha.osd.mil,199.208.0.2,"ns01-nsoc.mhsi.health.mil, usn\.jbcharleston\.niwcatlanticsc\.list\.dnsad.health.mil",NOERROR,,,ct.ha.osd.mil,,,,,,,,
[x],a1sei11650.tma.osd.mil,,"ns01-nsoc.mhsi.health.mil, usn\.jbcharleston\.niwcatlanticsc\.list\.dnsad.health.mil",NOERROR,,,,,,,,,,,
[x],a1sei11651.tma.osd.mil,159.133.170.151,"ns01-nsoc.mhsi.health.mil, usn\.jbcharleston\.niwcatlanticsc\.list\.dnsad.health.mil",NOERROR,,,,,,,,,,,
[x],a1vdc.us.af.mil,140.18.24.168,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],a2d1014pdapp1.dsca.mil,140.17.32.6,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,"identrust_validation=GMZXAO9XWwyfkgblqACxrljvt7hiS1fph+oI9eFFxMR7, identrust_validation=hBIR5EY/oCXZb+IfY0lsl0zj6PcycF2pyePIiywdU0L2",,,,,,,
[x],a4.netdeploy.akamai.csd.disa.mil,,"n0p110.akamaiedge.akamai.csd.disa.mil, hostmaster.akamai.com, n0cn.akamaiedge.akamai.csd.disa.mil",NOERROR,,,"netdeploy.akamai.csd.disa.mil.edgekey.akamai.csd.disa.mil, e5003.p110.akamaiedge.akamai.csd.disa.mil, e5003.p110.akamaiedge.akamai.csd.disa.mil.0.1.cn.akamaiedge.akamai.csd.disa.mil",,,,,,,,
[x],a445z1949321.wpafb.af.mil,134.136.237.122,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],a445z3583431.wpafb.af.mil,129.52.165.12,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],a4mxtng.adls.af.mil,,,NOERROR,,,a4mxtng.adls.af.mil.svapps.csd.disa.mil,,,,,,,,
[x],a4rns.hrmc.navy.mil,192.58.181.154,"ns1.csd.disa.mil, hostmaster.navy.mil",NOERROR,,,,,,,,,,,
[x],aa-mgmt.aws-dev6.aa.sd.spawar.navy.mil,128.34.245.67,"nsm.niwc.navy.mil, hostmmaster.niwc.navy.mil",NOERROR,,,,,,,,,,,
[x],aaa.ncis.navy.mil,,"ns19vmqvdns01, hostmaster.ncis.navy.mil",NOERROR,,,,,,,,,,,
[x],aaa.socom.mil,209.22.234.231,"ns1.socom.mil, hostmaster.socom.mil",NOERROR,,,,,,,,,,,
[x],aaa.stage.staging.dma.mil,155.7.216.44,"shepherd.dma.mil, hostmaster",NOERROR,,,,,,,,,,,
[x],aaoc.gw.army.pentagon.mil,134.11.67.46,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],aapp.deps.apps.mil,,"ns1.csd.disa.mil, root.csd.disa.mil",NOERROR,,,,,,,,,,,
[x],aausnas.donhq.navy.mil,,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],aausnas.ndcsd.nmci.navy.mil,205.85.14.155,"nmcinrfkdn01.nmci.navy.mil, hostmaster",NOERROR,,,,,,,,,,,
[x],ab41ce-dr.uscg.mil,152.121.220.20,"ns1.uscg.mil, hostmaster.uscg.mil",NOERROR,,,,,,,,,,,
[x],abacusmhs.health.mil,140.16.24.147,"ns01-nsoc.mhsi.health.mil, usn\.jbcharleston\.niwcatlanticsc\.list\.hsse-dnsad.health.mil",NOERROR,,,,,,,,,,,
[x],abqda.dtra.mil,214.38.156.204,"ns1.dtra.mil, hostmaster.dtra.mil",NOERROR,,,,,,,,,,,
[x],abqda1.dtra.mil,214.38.156.217,"ns1.dtra.mil, hostmaster.dtra.mil",NOERROR,,,,,,,,,,,
[x],abqvpn.dtra.mil,,"ns1.dtra.mil, hostmaster.dtra.mil",NOERROR,,,,,,,,,,,
[x],abss.misawa.af.mil,,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],abss.yokota.af.mil,131.36.132.41,"gunter-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],abw-b10.wpafb.af.mil,129.52.10.100,"lackland-ns2.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],ac.cto.mil,13.72.15.89,"ns1-02.azuregov-dns.us, msnhst.microsoft.com",NOERROR,,,f5ve0.usgovvirginia.cloudapp.usgovcloudapi.net,,,,,,,,
[x],acart.hrm.osd.mil,214.3.118.48,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],acas.dtra.mil,214.38.151.209,"ns1.dtra.mil, hostmaster.dtra.mil",NOERROR,,,,,,,,,,,
[x],acas.pacom.mil,199.32.131.10,"dns1.pacom.mil, joshua.smith.ctr.pacom.mil",NOERROR,,,,,,,,,,,
[x],acassc-ext.mda.mil,199.9.229.10,"ns01.mda.mil, named.ns01.mda.mil",NOERROR,,,,,,,,,,,
[x],acassc.southcom.mil,130.22.33.143,"ehuibdns02.southcom.mil, southcom\.miami\.7-sig-cmd\.mbx\.omb-nec-southcom-netmgt.mail.mil",NOERROR,,,,,,,,,,,
[x],acau-node1.dtic.mil,,"nsgm1.mgt.dtic.mil, dtic\.belvoir\.its\.list\.unix-admin.mail.mil",NOERROR,,,,v=spf1 mx a:ba1.mgt.dtic.mil a:ba2.mgt.dtic.mil a:dmg03.mgt.dtic.mil include:_spf.eemsg.mail.mil ~all,,,,,,,
