input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,csp_domains_,final_url
enterpriseregistration.silvergoldbull.com,Service,404,1565,enterpriseregistration.silvergoldbull.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.silvergoldbull.com,443,https://enterpriseregistration.silvergoldbull.com:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,True,azure,True,,
eu.sgb.co,Sign in ・ Cloudflare Access,200,30820,sgb.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,sgb.cloudflareaccess.com,443,https://eu.sgb.co:443,https,cloudflare,text/html,GET,104.26.12.172,/,-825073477,2606:4700:20::ac43:4482,HSTS,67,False,,True,cloudflare,True,https:,https://sgb.cloudflareaccess.com/cdn-cgi/access/login/eu.sgb.co?kid=5172473f68c17b9cf20be8cd6d93d694d130ecbb4b4099867b955fd25b16d58b&redirect_url=%2F&meta=eyJraWQiOiIxNjVmMGUyM2I2Y2JhYmJlMjg4ZGJhMjIzMzA2OGJlOWZhNzhlYThiYzllZmNmOWFiODYxZDExYzU0Zjg1ODkyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NDA5NTg1NCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjUxNzI0NzNmNjhjMTdiOWNmMjBiZThjZDZkOTNkNjk0ZDEzMGVjYmI0YjQwOTk4NjdiOTU1ZmQyNWIxNmQ1OGIiLCJob3N0bmFtZSI6ImV1LnNnYi5jbyIsImFwcF9zZXNzaW9uX2hhc2giOiIzNTA2ODMwMTE3ODYwNWU4ODUxMWFmNWQ5M2U3MmUyYzhjNGU5YTQzNmFkYjlhODBiY2NiM2UxZGYzNDg4Yzg3IiwibmJmIjoxNjg0MDk1ODU0LCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.On4V9TMIC-DZJwfV__ef9bt4q-cx7Y0N02W_SJwutZLlWZeBc8Wj_fQQF8KOp6ws1eE4AQ6v9JqoNdO6jMkuarZ4ZkBbnmumOaaACQ9wLGc8hQoltCmX834iSMUY0YFQAZbnW4lbDGhBEQeOa1vBXQJ0heKRZuwMcsDHApMvPXXlme70Q26eqJHzuDh-1WRIqNIccqfWzk99HBWbqrFXNnDD2UO0yKfH4jrRkbm5VwB3Qh90da9oJrPTG1yCDeyxd3QTxSmBInYmqK5MWZasvPJFabD6dCnRgciTLHayb57KyJMK_j48QOq5DNBvkKyKSeArpX3IDS4KoHUlrmEAxg
faq.silvergoldbull.ca,Silver Gold Bull Canada Knowledge Base,200,15486,faq.silvergoldbull.ca,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-08T14:35:10Z,2023-07-07T14:35:09Z,CN=faq.silvergoldbull.ca,faq.silvergoldbull.ca,,faq.silvergoldbull.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,22c6aeba66ced862db03bfbccce98ae0,716c9876811e37e2c91c496be966bb871b16e050c7a30ca88d14a7265b2f42fc,ctls,faq.silvergoldbull.ca,443,https://faq.silvergoldbull.ca:443,https,openresty,text/html,GET,50.16.45.169,/,-1530239662,54.81.149.43,Scala,340,False,,,,,,
faq.silvergoldbull.com,Silver Gold Bull USA Knowledge Base,200,14511,faq.silvergoldbull.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-09T14:37:15Z,2023-07-08T14:37:14Z,CN=faq.silvergoldbull.com,faq.silvergoldbull.com,,faq.silvergoldbull.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,31100ee44fbed860223580ea6bd957c7,b0329b5f15855bf27e9eb27f884ad77439e505d6c65ee074f6cc7434103bb359,ctls,faq.silvergoldbull.com,443,https://faq.silvergoldbull.com:443,https,openresty,text/html,GET,3.217.36.96,/,-1530239662,50.16.45.169,Scala,320,False,,,,,,
grpc.sgb.co,An Error Occurred: Not Found,404,768,grpc.sgb.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-04-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.sgb.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c272d384f3e45e593b9166b58b9294e0,cc2794b84edbfc5453afd3070262a488fb260d9e1b087bd4af6c81c9c4aa9ac0,ctls,grpc.sgb.co,443,https://grpc.sgb.co:443,https,cloudflare,text/html,GET,172.67.68.130,/,1756079490,2606:4700:20::681a:cac,HTTP/3,22,False,,True,cloudflare,True,,
h.sgb.co,Sign in ・ Cloudflare Access,200,30793,sgb.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,sgb.cloudflareaccess.com,443,https://h.sgb.co:443,https,cloudflare,text/html,GET,104.26.12.172,/,639600980,2606:4700:20::ac43:4482,HSTS,67,False,,True,cloudflare,True,https:,https://sgb.cloudflareaccess.com/cdn-cgi/access/login/h.sgb.co?kid=11a53d20f02ad8962de0b78fcac5663d08cfd91b31189bb045b7bdceb4a11753&redirect_url=%2F&meta=eyJraWQiOiIxNjVmMGUyM2I2Y2JhYmJlMjg4ZGJhMjIzMzA2OGJlOWZhNzhlYThiYzllZmNmOWFiODYxZDExYzU0Zjg1ODkyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NDA5NTg1NCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjExYTUzZDIwZjAyYWQ4OTYyZGUwYjc4ZmNhYzU2NjNkMDhjZmQ5MWIzMTE4OWJiMDQ1YjdiZGNlYjRhMTE3NTMiLCJob3N0bmFtZSI6Imguc2diLmNvIiwiYXBwX3Nlc3Npb25faGFzaCI6ImIxZGQ3OTE0NWExNTZiMjY0NGQ3NjRjNTg1MGQ5YzkyNmM2NjNiNzkzMTAzOWM5Mzk4ZjIwMmRmMjU3NGJiMWQiLCJuYmYiOjE2ODQwOTU4NTQsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.bW4U641GhhR8W9fGbQoim7i85JgD1NIOg95RtT-31psYcviXbKAChspEVg-Kf2SsOaL_p5VFJ0TVQsVoAuvZ5m4FT4AgHOjzvzV6WD-ZusqfhJNEpdT7Y9Odz6vQEenWo9AUhAlPCaINjlVq2ObZq0pcS-Eu-g1yUi64ZPEW-673WsWI8j_zXBDBYHst71ELLYb4nlzMD_VpsEwEh-LI2tfFClJwcwzz5aIXdMHz3htPuoOfaO006jLcxPJcho1sHM5WcEqoTCC0sQyTJbziE0PrdsG8DWd6oP6TfNl6jDdx0ML3SHi81q_SwyxUpqtVLzIM4hbqJdbCqw0J9TjXvw
ifaq.silvergoldbull.com,Silver Gold Bull General Knowledge Base,200,14066,ifaq.silvergoldbull.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-08T14:34:02Z,2023-07-07T14:34:01Z,CN=ifaq.silvergoldbull.com,ifaq.silvergoldbull.com,,ifaq.silvergoldbull.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8a44cbf04c06ebf4e9f72c6a16971c92,55404a6ed274972df8549ee1b92cb34b88de9dbb2c362df62f4fe1c954cec3bb,ctls,ifaq.silvergoldbull.com,443,https://ifaq.silvergoldbull.com:443,https,openresty,text/html,GET,54.81.149.43,/,-1530239662,3.217.36.96,Scala,309,False,,,,,,
ira.silvergoldbull.com,IRA - Silver Gold Bull,200,103974,ira.silvergoldbull.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T14:16:29Z,2023-08-02T14:16:28Z,CN=ira.silvergoldbull.com,ira.silvergoldbull.com,,ira.silvergoldbull.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c826b3f57bc1b2857b4b0d3e73eda33c,4415ed2fb90bdf39ebb3b3c0e7207e6f5d0c4c48f7a19e9edd949a55d0bc4cd9,ctls,ira.silvergoldbull.com,443,https://ira.silvergoldbull.com:443,https,cloudflare,text/html,GET,172.66.43.188,/,-1468854848,2606:4700:3108::ac42:2bbc,HTTP/3,694,False,,,cloudflare,True,,
jp.sgb.co,Sign in ・ Cloudflare Access,200,30820,sgb.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,sgb.cloudflareaccess.com,443,https://jp.sgb.co:443,https,cloudflare,text/html,GET,104.26.12.172,/,-137025329,2606:4700:20::ac43:4482,HSTS,67,False,,True,cloudflare,True,https:,https://sgb.cloudflareaccess.com/cdn-cgi/access/login/jp.sgb.co?kid=db2b560386f46b076f0178042259d1e07716f51ca5379cabf3695917da1e03b8&redirect_url=%2F&meta=eyJraWQiOiIxNjVmMGUyM2I2Y2JhYmJlMjg4ZGJhMjIzMzA2OGJlOWZhNzhlYThiYzllZmNmOWFiODYxZDExYzU0Zjg1ODkyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NDA5NTg1NCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImRiMmI1NjAzODZmNDZiMDc2ZjAxNzgwNDIyNTlkMWUwNzcxNmY1MWNhNTM3OWNhYmYzNjk1OTE3ZGExZTAzYjgiLCJob3N0bmFtZSI6ImpwLnNnYi5jbyIsImFwcF9zZXNzaW9uX2hhc2giOiJlNGFkZmZiMTYyNTFkY2M4NTZmNGU0NzdhZjgyYTU5NzY5ZDQ5ZGUzOWMwOTNiYmM2OGI4MmJjZmEyMjY3ZjY3IiwibmJmIjoxNjg0MDk1ODU0LCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.jn8-uUqEMZSk5aZaNfVkOVsCNCaVvOxLAhwio7LQ38-yB9PhFq8XCem5GygscYe3V4H_JdI3bN4aatGItbJLHNxtgg2EpkCuC7NlkUWtboKL25EQRA7vi4VTSYKjD1jHDYFevNAkeazIkl50f8mpOO2vH7WzEDd3pvMyAqz_lLVDgfDx5jmbOumvOGS4fsLjVEpz8BuY-vxma9mb5baoltoxZs-DfOHrDotWkyKwrWVQL2gTjCOWDoOusndG-1u-nOgXrj1c0yoC8BENkcYhR5OVdcpAgpupIzYIM9c6uwzODx5kz7nA5K246lfLSZKaAemQyh3CaCW3gzRzTASWFA
lyncdiscover.silvergoldbull.com,,200,375,lyncdiscover.silvergoldbull.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.silvergoldbull.com,443,https://lyncdiscover.silvergoldbull.com:443,https,,application/json,GET,52.112.192.142,/,846497393,2603:1027:0:48::21,Azure,1,False,True,True,,,,
pm-bounces.alterx.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.alterx.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,,,
refining.silvergoldbull.ca,Refining - Silver Gold Bull,200,92497,refining.silvergoldbull.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T14:17:36Z,2023-08-02T14:17:35Z,CN=refining.silvergoldbull.ca,refining.silvergoldbull.ca,,refining.silvergoldbull.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0d78049e325d3d6a6bfa58a88f3acbe,794a9d1a50e468cc42386381cce665d77797b046671db1cda03026c3696a3e66,ctls,refining.silvergoldbull.ca,443,https://refining.silvergoldbull.ca:443,https,cloudflare,text/html,GET,172.66.40.56,/,-1468854848,2606:4700:3108::ac42:2bc8,Typekit,655,False,,,cloudflare,True,,
