new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cname,cdn,cdn-name,aaaa,caa,mx,txt
[x],cinyour-92.bin-ext.sbb.ch,"18.156.205.46, 18.159.239.113, 18.198.186.199","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9",,,
[x],community.app.sbb.ch,"52.58.120.231, 18.195.142.222, 18.193.0.74","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],customers-salesuploadspanel.bin-ext.sbb.ch,"18.198.186.199, 18.159.239.113, 18.156.205.46","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2",,,
[x],data-temp-corporate.bin.sbb.ch,"10.241.17.5, 10.241.16.240, 10.241.16.150","ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.17.5, 10.241.16.240, 10.241.16.150",,,,"2a00:4bc0:2103:3:2ffb:b3b:9796:d4b6, 2a00:4bc0:2103:4:a003:9a37:1d07:2d3, 2a00:4bc0:2103:5:f558:2d48:9ae8:3d16",,,
[x],devopsadmin.bin-ext-i.sbb.ch,"18.197.82.217, 35.157.142.150, 18.157.54.50","ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1243.awsdns-27.org, ns-2042.awsdns-63.co.uk, ns-443.awsdns-55.com, ns-909.awsdns-49.net",,,,,,,,,
[x],drum-147-198-9-31.bin-ext.sbb.ch,"18.198.186.199, 18.156.205.46, 18.159.239.113","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2",,,
[x],f24eb78.bin-i.sbb.ch,"10.241.21.12, 10.241.20.134, 10.241.20.229","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.21.12, 10.241.20.134, 10.241.20.229",,,,"2a00:4bc0:2104:5:6b99:e329:c72b:e162, 2a00:4bc0:2104:4:5ab4:49b0:ee0:ec6, 2a00:4bc0:2104:3:f523:5381:c18e:ba3c",,,
[x],grafana-personalisation.bin.sbb.ch,"10.241.17.5, 10.241.16.240, 10.241.16.150","ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.17.5, 10.241.16.240, 10.241.16.150",,,,"2a00:4bc0:2103:3:2ffb:b3b:9796:d4b6, 2a00:4bc0:2103:4:a003:9a37:1d07:2d3, 2a00:4bc0:2103:5:f558:2d48:9ae8:3d16",,,
[x],hollisarchives.bin-ext.sbb.ch,"18.159.239.113, 18.198.186.199, 18.156.205.46","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2, 2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9",,,
[x],hwc-rbl-10.6.2023.event.sbb.ch,"34.65.78.110, 199.167.66.107, 104.37.178.107, 199.167.66.108, 104.37.178.108","ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns4.eurodns.com, ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com",,,evenito.site,True,google,2610:1c8:b002::108,"pki.goog, sectigo.com",,
[x],internal-uploadaws-slaveconfig.app.sbb.ch,"54.93.146.106, 18.185.7.179, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipv4-c088-iah001-ix.bin-ext.sbb.ch,"18.198.186.199, 18.156.205.46, 18.159.239.113","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1333.awsdns-38.org, ns-1864.awsdns-41.co.uk, ns-274.awsdns-34.com, ns-810.awsdns-37.net",,,,,,,,,
[x],lon3-sr-a4.bin.sbb.ch,"10.241.16.150, 10.241.17.5, 10.241.16.240","ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.16.150, 10.241.17.5, 10.241.16.240",,,,"2a00:4bc0:2103:3:2ffb:b3b:9796:d4b6, 2a00:4bc0:2103:5:f558:2d48:9ae8:3d16, 2a00:4bc0:2103:4:a003:9a37:1d07:2d3",,,
[x],lon3-wwwstaging-a1.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mijnpost.bin-i.sbb.ch,"10.241.21.12, 10.241.20.229, 10.241.20.134","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.21.12, 10.241.20.229, 10.241.20.134",,,,"2a00:4bc0:2104:4:5ab4:49b0:ee0:ec6, 2a00:4bc0:2104:3:f523:5381:c18e:ba3c, 2a00:4bc0:2104:5:6b99:e329:c72b:e162",,,
[x],mszw-winterthur-2023.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,,"sectigo.com, pki.goog",,
[x],mta01v6.bin-ext-i.sbb.ch,,"ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1243.awsdns-27.org, ns-2042.awsdns-63.co.uk, ns-443.awsdns-55.com, ns-909.awsdns-49.net",,,,,,"2a00:4bc0:2104:0:c190:633a:a364:29bf, 2a00:4bc0:2104:2:38f1:acc2:fed7:d695, 2a00:4bc0:2104:1:4206:927e:d64a:be84",,,
[x],mybitools.bin-ext-i.sbb.ch,"18.197.82.217, 35.157.142.150, 18.157.54.50","ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2104:2:38f1:acc2:fed7:d695, 2a00:4bc0:2104:1:4206:927e:d64a:be84, 2a00:4bc0:2104:0:c190:633a:a364:29bf",,,
[x],phspspapp16.bin-ext-i.sbb.ch,"18.197.82.217, 18.157.54.50, 35.157.142.150","ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2104:2:38f1:acc2:fed7:d695, 2a00:4bc0:2104:1:4206:927e:d64a:be84, 2a00:4bc0:2104:0:c190:633a:a364:29bf",,,
[x],playcrazy.bin-ext.sbb.ch,"18.159.239.113, 18.198.186.199, 18.156.205.46","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2",,,
[x],poesie.bin-ext.sbb.ch,"18.159.239.113, 18.198.186.199, 18.156.205.46","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2, 2a00:4bc0:2103:2:412f:4837:2217:54a0",,,
[x],preferencesalphaalpha.app.sbb.ch,"18.192.203.152, 54.93.146.106, 18.185.7.179","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],rettungsuebungsissle22.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns4.eurodns.com, ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com",,,evenito.site,True,google,,"sectigo.com, pki.goog",,
[x],rsw70-2-prd.bin-ext.sbb.ch,"18.198.186.199, 18.156.205.46, 18.159.239.113","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2",,,
[x],sancla.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com, ns1.eurodns.com",,,evenito.site,True,google,,"sectigo.com, pki.goog",,
[x],sbb.ch,194.150.245.142,"ns.sbb.ch, admin.sbb.ch",NOERROR,"ns-967.awsdns-56.net, ns.sbb.ch, ns-1739.awsdns-25.co.uk, ns-73.awsdns-09.com, ns-1254.awsdns-28.org",,,,,,2a00:4bc0:ffff:9::c296:f58e,,sbb-ch.mail.protection.outlook.com,"swisssign-check=anp307PO4oL3dZMY_KG2SvZuAT8, atlassian-domain-verification=eJF8QwwPrfZaX1DvzttHQjbR2vzNuRY9XWPRB4jAKfI0efc4hD42wW3bQXbC778a, asuid.qr.sbb.ch=373EB956F7203F05FA34B27B23539812AA5DAE1F6407C503EC3738BCD0C96172, 2D1536FF-63A4-4053-A747-EE28FD7E0233, QuoVadis=50b3a2e3-237b-4998-b8a6-768d3727d629, QuoVadis=437d307c-34b6-4fb4-9228-8c4688b797bb, facebook-domain-verification=b9o1v6a9ydhcnnw2rutndevdkw7viw, swisssign-check=Uue4uRyBdiC2TZox0GcLdniW0uBLUrnPWg0Cp8QXmw, google-site-verification=UspM2v7ffR7H82oWLaAhVDeOLA-2jZmEsVcpZhofQ-Y, apple-domain-verification=SCevAjT9ULPdpBd6, google-site-verification=KbfSC6HVZgVJSHudRBtIYhU2kQOKfyQLOQ4YfnKioLg, onetrust-domain-verification=9b90e2207ce444aaa6dbb0546c834206, miro-verification=8ea5e249de3b096034c8b76496024947d8c29918, MS=ms34590370, v=spf1 include:spf2.sbb.ch include:spf.mandrillapp.com include:amazonses.com a:c.spf.service-now.com include:spf.protection.outlook.com -all, VGdGi+G18rN9Uk0dsu65WCcK93yj1ikWw29cR6OkIZr81rt3Jfp3V/XngBczobZVA2qE5267qqJ9ot1NaqSVYA==, onetrust-domain-verification=de841a4e9aa7475db07070abd7f150e0, onetrust-domain-verification=42359ab1e53844569d3be24b5bdb6e26"
[x],scrm-uncover.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,,"pki.goog, sectigo.com",,
[x],swisspass.ch,193.203.121.166,"ns.sbb.ch, admin.sbb.ch",NOERROR,"ns-1021.awsdns-63.net, ns-1031.awsdns-00.org, ns-1587.awsdns-06.co.uk, ns-90.awsdns-11.com, ns.sbb.ch",,,,,,,,swisspass-ch.mail.protection.outlook.com,"v=spf1 include:spf2.sbb.ch include:spf.mandrillapp.com include:amazonses.com  include:spf.protection.outlook.com -all, UGrYO34a6oMG9zSYp9LYd5AmLzLhrQQuDXZ8keUgcJFu4n3ryUEy2srJG/ZR9XwR4OvAy1oBJ+algFgirun7hQ==, MS=ms97106722, swisssign-check=vUIVG47rMgQlFrS1VsWDYcUoORGZtekBxC56q9OmCU"
[x],sz.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],tor159-329-pdb.app.sbb.ch,"18.185.7.179, 54.93.146.106, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],tor18-38-pda.bin-i.sbb.ch,"10.241.20.229, 10.241.20.134, 10.241.21.12","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1492.awsdns-58.org, ns-1554.awsdns-02.co.uk, ns-234.awsdns-29.com, ns-891.awsdns-47.net",True,"10.241.20.229, 10.241.20.134, 10.241.21.12",,,,,,,
[x],tor21-29-pdd.bin-ext.sbb.ch,"18.198.186.199, 18.156.205.46, 18.159.239.113","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2",,,
[x],upload-altproduction.bin.sbb.ch,"10.241.17.5, 10.241.16.150, 10.241.16.240","ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1178.awsdns-19.org, ns-1955.awsdns-52.co.uk, ns-437.awsdns-54.com, ns-893.awsdns-47.net",True,"10.241.17.5, 10.241.16.150, 10.241.16.240",,,,"2a00:4bc0:2103:5:f558:2d48:9ae8:3d16, 2a00:4bc0:2103:3:2ffb:b3b:9796:d4b6, 2a00:4bc0:2103:4:a003:9a37:1d07:2d3",,,
[x],wcms-lb.test-www.sbb.ch,"35.156.68.121, 18.193.152.212, 18.196.205.145","ns-716.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-103.awsdns-12.com, ns-716.awsdns-25.net, ns-1413.awsdns-48.org, ns-1677.awsdns-17.co.uk",,,,,,,,,
[x],zoomnyn157mmr.bin-ext-i.sbb.ch,"18.157.54.50, 35.157.142.150, 18.197.82.217","ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2104:1:4206:927e:d64a:be84, 2a00:4bc0:2104:2:38f1:acc2:fed7:d695, 2a00:4bc0:2104:0:c190:633a:a364:29bf",,,
,000error.sbb.ch,193.203.120.188,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,shared-env.sbb.ch,,,,,,
,02v0-okta-sso.bin-i.sbb.ch,"10.241.20.229, 10.241.20.134, 10.241.21.12","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.20.229, 10.241.20.134, 10.241.21.12",,,,"2a00:4bc0:2104:4:5ab4:49b0:ee0:ec6, 2a00:4bc0:2104:3:f523:5381:c18e:ba3c, 2a00:4bc0:2104:5:6b99:e329:c72b:e162",,,
,155-9-172-39.event.sbb.ch,"34.65.78.110, 199.167.66.107, 199.167.66.108, 104.37.178.108","ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns3.eurodns.com, ns1.eurodns.com, ns2.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,2610:1c8:b002::108,"pki.goog, sectigo.com",,
,17-121-112-35.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-112-63.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns3.eurodns.com, ns1.eurodns.com, ns4.eurodns.com, ns2.eurodns.com",,,evenito.site,True,google,,,,
,17-121-114-66.app.sbb.ch,"54.93.146.106, 18.192.203.152, 18.185.7.179","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-114-74.app.sbb.ch,"18.192.203.152, 54.93.146.106, 18.185.7.179","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-115-39.app.sbb.ch,"54.93.146.106, 18.185.7.179, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-123-45.app.sbb.ch,"54.93.146.106, 18.185.7.179, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-124-9.app.sbb.ch,"18.192.203.152, 54.93.146.106, 18.185.7.179","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-125-27.app.sbb.ch,"18.185.7.179, 54.93.146.106, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,17-121-126-6.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com, ns1.eurodns.com",,,evenito.site,True,google,,"sectigo.com, pki.goog",,
,178-133-113-14.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns4.eurodns.com, ns2.eurodns.com, ns1.eurodns.com, ns3.eurodns.com",,,evenito.site,True,google,,"pki.goog, sectigo.com",,
,1ed5-c209.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,,"sectigo.com, pki.goog",,
,4765-ec38.event.sbb.ch,91.230.140.140,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns-1254.awsdns-28.org, ns-1739.awsdns-25.co.uk, ns-73.awsdns-09.com, ns-967.awsdns-56.net, ns.sbb.ch, ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,2a00:4bc0:130:333::1000,"sectigo.com, pki.goog",,
,4a68.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1304.awsdns-35.org, ns-1632.awsdns-12.co.uk, ns-233.awsdns-29.com, ns-650.awsdns-17.net",,,,,,,,,
,6ajhgg.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns4.eurodns.com, ns2.eurodns.com, ns3.eurodns.com",,,evenito.site,True,google,,"pki.goog, sectigo.com",,
,a-96-118-44-43.app.sbb.ch,"18.185.7.179, 18.192.203.152, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,a-96-119-41-15.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,a-96-119-41-15.bin-i.sbb.ch,"10.241.20.134, 10.241.21.12, 10.241.20.229","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.20.134, 10.241.21.12, 10.241.20.229",,,,"2a00:4bc0:2104:4:5ab4:49b0:ee0:ec6, 2a00:4bc0:2104:3:f523:5381:c18e:ba3c, 2a00:4bc0:2104:5:6b99:e329:c72b:e162",,,
,a.sbb.ch,40.68.126.219,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,log.sbb.ch,True,azure,,,,
,access-labs-cmsdb1-origin.app.sbb.ch,"18.185.7.179, 54.93.146.106, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,access-maark.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns2.eurodns.com, ns1.eurodns.com, ns4.eurodns.com, ns3.eurodns.com",,,evenito.site,True,google,,,,
,access.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,,"pki.goog, sectigo.com",,
,access.sbb.ch,193.203.120.164,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,accessi.sbb.ch,193.203.120.102,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,accessskyblock.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,accesssslvpnrouter.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,,"pki.goog, sectigo.com",,
,accesst.sbb.ch,193.203.120.60,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,account-int.swisspass.ch,193.203.121.116,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,account-private-meet-temp-examplestunnel-mx.app.sbb.ch,"18.192.203.152, 18.185.7.179, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,account.swisspass.ch,193.203.121.166,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,activesync.sbb.ch,194.150.244.124,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,ad1.app.sbb.ch,"54.93.146.106, 18.185.7.179, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1304.awsdns-35.org, ns-1632.awsdns-12.co.uk, ns-233.awsdns-29.com, ns-650.awsdns-17.net",,,,,,,,,
,adanalytics.app.sbb.ch,"18.185.7.179, 54.93.146.106, 18.192.203.152","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,adonis.sbb.ch,178.22.70.230,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"sbb-pp103476.boc-cloud.com, services01.boc-cloud.com",,,,,,
,alea-test.sbb.ch,193.203.121.52,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,anabel.app.sbb.ch,"18.193.243.116, 18.192.148.137, 18.195.45.163","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,analytics.sbb.ch,213.221.233.82,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,angular.app.sbb.ch,"52.58.120.231, 18.195.142.222, 18.193.0.74","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,anmeldung-zukunftstag-2023.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com",,,evenito.site,True,google,,"pki.goog, sectigo.com",,
,antikorruption-deve.sbb.ch,52.233.155.168,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-wak-dev.azurewebsites.net, waws-prod-am2-113.sip.azurewebsites.windows.net, waws-prod-am2-113.westeurope.cloudapp.azure.com",True,azure,,,,
,antikorruption-test.sbb.ch,13.69.68.8,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-wak-test.azurewebsites.net, waws-prod-am2-267.sip.azurewebsites.windows.net, waws-prod-am2-267.westeurope.cloudapp.azure.com",True,azure,,,,
,antikorruption.sbb.ch,13.69.68.13,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-wak.azurewebsites.net, waws-prod-am2-275.sip.azurewebsites.windows.net, waws-prod-am2-275.westeurope.cloudapp.azure.com",True,azure,,,,
,apfz.sbb.ch,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1341.awsdns-39.org, ns-336.awsdns-42.com, ns-1555.awsdns-02.co.uk, ns-941.awsdns-53.net",,,,,,,,,
,apfzp.sbb.ch,194.150.245.44,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,api-backend-dev.sbb.ch,193.203.120.57,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,api-backend-int.sbb.ch,193.203.120.94,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
