input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,tls_subject_org_,tls_wildcard_certificate,tls_expired,cdn_name,cdn
devmaximum.maximum.nl,418 I'm a teapot,200,1420,devmaximum.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,devmaximum.maximum.nl,443,https://devmaximum.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.105,/,1350920036,217.119.4.105,HSTS,56,False,,,,,,,
fileserver.capelle.maximum.nl,DSM mobile - Maximum Fileserver,200,1988,fileserver.capelle.maximum.nl,5001,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T21:45:40Z,2023-08-17T21:45:39Z,CN=fileserver.capelle.maximum.nl,fileserver.capelle.maximum.nl,servernl.maximum.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,82746e7efdffa1ceb0a581bfae586ad5,dbf5d75aaf8cc6917df4736a4f4faee08233a1d961e1b33a7e24a11269bf7718,ctls,fileserver.capelle.maximum.nl,443,https://fileserver.capelle.maximum.nl:443,https,nginx,text/html,GET,217.119.14.10,/,196702007,217.119.14.10,Nginx,34,False,https://*.synology.com,https://fileserver.capelle.maximum.nl:5001/,,,,,
fileserver.maximum.nl,DSM mobile - Maximum Fileserver,200,1988,fileserver.maximum.nl,5001,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T21:45:40Z,2023-08-17T21:45:39Z,CN=fileserver.capelle.maximum.nl,fileserver.capelle.maximum.nl,servernl.maximum.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,82746e7efdffa1ceb0a581bfae586ad5,dbf5d75aaf8cc6917df4736a4f4faee08233a1d961e1b33a7e24a11269bf7718,ctls,fileserver.maximum.nl,443,https://fileserver.maximum.nl:443,https,nginx,text/html,GET,217.119.14.10,/,196702007,217.119.14.10,Nginx,34,False,https://*.synology.com,https://fileserver.maximum.nl:5001/,,,,,
loadbalancer-test.maximum.nl,418 I'm a teapot,200,1420,loadbalancer-test.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,loadbalancer-test.maximum.nl,443,https://loadbalancer-test.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.189,/,1350920036,217.119.4.189,HSTS,56,False,,,,,,,
loadbalancer01.maximum.nl,418 I'm a teapot,200,1420,loadbalancer01.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,loadbalancer01.maximum.nl,443,https://loadbalancer01.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.151,/,1350920036,217.119.4.151,HSTS,56,False,,,,,,,
loadbalancer02.maximum.nl,418 I'm a teapot,200,1420,loadbalancer02.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,loadbalancer02.maximum.nl,443,https://loadbalancer02.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.155,/,1350920036,217.119.4.155,HSTS,56,False,,,,,,,
maximumcdn-nl-box02.maximum.nl,,200,15,maximumcdn-nl-box02.maximum.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,maximumcdn-nl-box02.maximum.nl,443,https://maximumcdn-nl-box02.maximum.nl:443,https,nginx,text/html,GET,217.119.4.171,/,1398248688,217.119.4.171,Nginx,3,False,,,,,,,
maximumcdn-nl-box03.maximum.nl,,200,15,maximumcdn-nl-box03.maximum.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,maximumcdn-nl-box03.maximum.nl,443,https://maximumcdn-nl-box03.maximum.nl:443,https,nginx,text/html,GET,217.119.4.174,/,1398248688,217.119.4.174,Nginx,3,False,,,,,,,
misc01.maximum.nl,418 I'm a teapot,200,1420,,,,,,,,,,,,,,,,,,,80,http://misc01.maximum.nl:80,http,,text/html,GET,217.119.4.160,/,1350920036,217.119.4.160,HSTS,56,False,,,,,,,
objectstore-proxy.maximum.nl,404 Not Found,404,1431,,,,,,,,,,,,,,,,,,,80,http://objectstore-proxy.maximum.nl:80,http,nginx,text/html,GET,217.119.4.67,/,1448624353,217.119.4.67,Nginx,56,False,,,,,,,
qics.maximum.nl,,200,389,qics.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T20:05:10Z,2023-08-28T20:05:09Z,CN=qics.maximum.nl,qics.maximum.nl,qics.maximum.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3ae5b45d61bc94028e80369afeaa4f17,cb9324c70c436978a8ead34aebac5b9c009abe69f84e905b43b0b89f44c5ec8d,ctls,qics.maximum.nl,443,https://qics.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.156,/,-1285597174,2a02:29b0:1013:1::4:156,HSTS,15,False,,,,,,,
webmail.maximum.nl,,200,5485,webmail.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-21T08:53:01Z,2023-10-19T08:53:00Z,CN=webmail.maximum.nl,webmail.maximum.nl,webmail.maximum.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,625eca3ae4f5ea3c3b91762327462d0a,e1c13961c07d535e211902a5bc76e217a6e8078bdd325ba622f48c65ae565ded,ctls,webmail.maximum.nl,443,https://webmail.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.156,/,-677167908,2a02:29b0:1013:1::4:156,,123,False,*.kerio.com,https://webmail.maximum.nl/webmail/login/,,,,,
wiki.maximum.nl,Maximum Wiki,200,8035,wiki.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-16T14:20:38Z,2023-10-14T14:20:37Z,CN=wiki.maximum.nl,wiki.maximum.nl,wiki.maximum.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d8b82211afe4343c7eefbd998f9d9b76,65baa5dbcce8e4c68dc3a44800f4c22300380dd7a267a915960c9fb33170ddd5,ctls,wiki.maximum.nl,443,https://wiki.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.156,/,-778412836,2a02:29b0:1013:1::4:156,PHP,174,False,https://*.youtube-nocookie.com,https://wiki.maximum.nl/login,,,,,
zendesk3.maximum.nl,,403,16,zendesk3.maximum.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-09T02:14:44Z,2023-09-07T02:14:43Z,CN=maximum.nl,maximum.nl,*.maximum.nl,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a7bdc8b86a5c57ca9d2df56838d1f270,2590ad5ead8b8facd3f471868e3fb9e5eafb41ce7e6561499404510a2f0b7af2,ctls,zendesk3.maximum.nl,443,https://zendesk3.maximum.nl:443,https,cloudflare,text/plain,GET,162.159.128.7,/,,162.159.138.6,HTTP/3,1,False,,,,True,,cloudflare,True
zendesk4.maximum.nl,,403,16,zendesk4.maximum.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-09T02:14:44Z,2023-09-07T02:14:43Z,CN=maximum.nl,maximum.nl,*.maximum.nl,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a7bdc8b86a5c57ca9d2df56838d1f270,2590ad5ead8b8facd3f471868e3fb9e5eafb41ce7e6561499404510a2f0b7af2,ctls,zendesk4.maximum.nl,443,https://zendesk4.maximum.nl:443,https,cloudflare,text/plain,GET,162.159.138.6,/,,162.159.128.7,HTTP/3,1,False,,,,True,,cloudflare,True
