new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,ns,cname,has_internal_ips,internal_ips,mx,caa,ptr
[x],104322bf-fa2f-4b55-81f5-6461ae66f717.ssb.data.gov,,,"ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],108-80.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],114-158-52.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],14518foia-dot-gov.app.cloud.gov,"3.32.106.131, 15.205.11.151","2600:1f12:18a:7d01:824e:517:fe84:322, 2600:1f12:18a:7d00:6382:82e2:5031:5a89","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],15149ba.app.cloud.gov,"3.32.106.131, 15.205.11.151","2600:1f12:18a:7d00:6382:82e2:5031:5a89, 2600:1f12:18a:7d01:824e:517:fe84:322","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-173-22.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-183-60.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],155-9-183-93.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],155-9-184-54.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],155-9-185-52.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-185-87.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-198-68.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],155-9-201-56.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-203-99.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-206-15.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-207-42.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],155-9-212-16.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-214-63.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],155-9-215-14.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-217-38.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-225-85.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],155-9-240-57.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],155-9-243-55.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],155-9-56-60.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-62-20.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-76-13.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-76-88.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],158-7-252-60.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],158-7-252-73.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],159-142-103-71.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],159-142-103-82.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-112-23.fr.cloud.gov,"160.1.93.218, 15.205.11.215",,,NOERROR,,,,,,,,,,
[x],17-121-112-36.fr.cloud.gov,"160.1.93.218, 15.205.11.215",,,NOERROR,,,,,,,,,,
[x],17-121-112-45.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-112-63.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-112-8.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-113-83.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-114-20.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-115-97.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-116-83.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-116-88.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-117-32.fr.cloud.gov,"160.1.93.218, 15.205.11.215",,,NOERROR,,,,,,,,,,
[x],17-121-117-35.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-117-65.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-117-99.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-118-27.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-118-41.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-118-43.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-118-60.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],17-121-118-88.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],17-121-119-75.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-120-61.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-120-64.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-120-66.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],17-121-120-84.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-120-97.fr.cloud.gov,"15.205.11.215, 160.1.93.218",,,NOERROR,,,,,,,,,,
[x],17-121-121-32.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-122-53.fr.cloud.gov,"15.205.11.215, 160.1.93.218",,,NOERROR,,,,,,,,,,
[x],17-121-122-8.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],17-121-122-94.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-123-27.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-123-68.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-123-81.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-124-17.fr.cloud.gov,,,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-124-33.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-124-83.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-125-19.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],17-121-125-21.fr.cloud.gov,"15.205.11.215, 160.1.93.218",,,NOERROR,,,,,,,,,,
[x],17-121-125-33.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-125-75.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-125-92.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-126-49.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-126-76.fr.cloud.gov,"160.1.93.218, 15.205.11.215",,,NOERROR,,,,,,,,,,
[x],17-121-126-78.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-126-80.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-126-90.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb",,NOERROR,,,,,,,,,,
[x],17-121-126-95.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],17-121-127-59.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-127-74.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-5.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-58-100-28.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-58-101-14.fr.cloud.gov,,"2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-58-101-48.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-58-99-44.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],18f.gov,"108.138.7.32, 108.138.7.8, 108.138.7.2, 108.138.7.91","2600:9000:2490:800:2:f026:6040:93a1, 2600:9000:2490:6e00:2:f026:6040:93a1, 2600:9000:2490:b400:2:f026:6040:93a1, 2600:9000:2490:2000:2:f026:6040:93a1, 2600:9000:2490:8400:2:f026:6040:93a1, 2600:9000:2490:3800:2:f026:6040:93a1, 2600:9000:2490:ca00:2:f026:6040:93a1, 2600:9000:2490:e400:2:f026:6040:93a1","ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"google-site-verification=HwR6BJFZpjma0wYRYRejCxvOSDuE_tycmgV2_h6y_TA, v=spf1 -all",,,,,,,
[x],18f.gsa.gov,"108.157.229.95, 108.157.229.28, 108.157.229.108, 108.157.229.60",,,NOERROR,True,cloudfront,,,d42vcigf8s480.cloudfront.net,,,,,
[x],19686mb-eregs-api-demo.app.cloud.gov,"15.205.11.151, 3.32.106.131","2600:1f12:18a:7d01:824e:517:fe84:322, 2600:1f12:18a:7d00:6382:82e2:5031:5a89","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],19gold19.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1bct82ad.fr.cloud.gov,,,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1c032b52-e3f2-418d-afb9-8f986298f8c0.ssb-dev.data.gov,,,"ns-1839.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],21268-pbaqa.app.cloud.gov,"3.32.106.131, 15.205.11.151","2600:1f12:18a:7d00:6382:82e2:5031:5a89, 2600:1f12:18a:7d01:824e:517:fe84:322","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],23gnl.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],241413test2.app.cloud.gov,"3.32.106.131, 15.205.11.151","2600:1f12:18a:7d01:824e:517:fe84:322, 2600:1f12:18a:7d00:6382:82e2:5031:5a89","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],253aaccount.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],253aadmin.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],253aalertmanager.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
