input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,lines,failed,cdn,tech_,tls_subject_org_,webserver,tls_mismatched
app.shipt.com,,403,16,,app.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,app.shipt.com,cloudflare,443,https://app.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
apply.shipt.com,,403,16,,apply.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,apply.shipt.com,cloudflare,443,https://apply.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
artifactory.shipt.com,,403,16,,artifactory.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,artifactory.shipt.com,cloudflare,443,https://artifactory.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
auth-staging.shipt.com,,403,16,,shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shipt.com,cloudflare,443,https://auth-staging.shipt.com:443,https,text/plain,GET,104.18.4.73,/,-738705486,https://shipt.com/,2606:4700::6812:449,1,False,True,Cloudflare Bot Management,,cloudflare,
blog.shipt.com,,403,16,,,,,,,,,,,,,,,,,,,,google,443,https://blog.shipt.com:443,https,text/plain,GET,146.148.55.211,/,1253481126,http://www.shipt.com/,146.148.55.211,1,False,True,Cloudflare Bot Management,,cloudflare,
captain-hook-staging.shipt.com,,200,,,captain-hook-staging.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,captain-hook-staging.shipt.com,fastly,443,https://captain-hook-staging.shipt.com:443,https,,GET,151.101.1.91,/,-1840324437,,151.101.193.91,1,False,True,HSTS,,,
captain-hook.shipt.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://captain-hook.shipt.com:80,http,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
cms-staging.shipt.com,Welcome to Shipt Content Management,200,2032,,cms-staging.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,cms-staging.shipt.com,fastly,443,https://cms-staging.shipt.com:443,https,text/html,GET,146.75.121.91,/,-1458176367,https://cms-staging.shipt.com/unauthorized,146.75.121.91,1,False,True,React,,,
cms.shipt.com,,403,16,,cms.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,cms.shipt.com,cloudflare,443,https://cms.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
corporate.shipt.com,Shipt - News,200,35400,,corporate.shipt.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-11T17:53:36Z,2024-06-11T17:53:36Z,CN=corporate.shipt.com,corporate.shipt.com,corporate.shipt.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5403d74955c7cc13ac9c9f61ba2c5325,26f230defd921a42d276ad8ca4557f9737f5d5224c3b0b96ead38c13a01987c8,,ctls,corporate.shipt.com,azure,443,https://corporate.shipt.com:443,https,text/html,GET,40.112.243.49,/,2137202449,https://corporate.shipt.com/news,40.112.243.49,519,False,True,Windows Server,,Microsoft-IIS/10.0,
credits.shipt.com,Sign in to GitHub · GitHub,200,32047,secured-user-images.githubusercontent.com/,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,,80,http://credits.shipt.com:80,http,text/html,GET,185.199.108.153,/,1869153924,https://github.com/login?return_to=%2Fpages%2Fauth%3Fnonce%3D60ce781a-8e6c-4c88-ac55-02fc9858b049%26page_id%3D17968238%26path%3DLw,2606:50c0:8002::153,417,False,,HSTS,"GitHub, Inc.",GitHub.com,
delivery.shipt.com,,403,16,,delivery.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,delivery.shipt.com,cloudflare,443,https://delivery.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
design-staging.shipt.com,Shipt - Prod - Sign In,200,17962,*.mtls.okta.com,shipt.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,shipt.okta.com,fastly,80,http://design-staging.shipt.com:80,http,text/html,GET,146.75.121.91,/,372717744,https://shipt.okta.com/login/login.htm?fromURI=/oauth2/v1/authorize/redirect?okta_key=giHtS3eYWEyZOY5fHvI_EmcF6AWrjdBh18eDTCGW9t8,146.75.121.91,464,False,True,Nginx,"Okta, Inc.",nginx,
design.shipt.com,,403,16,,design.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,design.shipt.com,cloudflare,443,https://design.shipt.com:443,https,text/plain,GET,162.159.135.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
developer-staging.shipt.com,Shipt Developer,200,20172,,developer-staging.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,developer-staging.shipt.com,fastly,443,https://developer-staging.shipt.com:443,https,text/html,GET,146.75.117.91,/,1051784649,,146.75.117.91,80,False,True,HSTS,,,
developer.shipt.com,,403,16,,developer.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,developer.shipt.com,cloudflare,443,https://developer.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
development-api-central-k8s.shipt.com,403,403,134,,development-api-central-k8s.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,development-api-central-k8s.shipt.com,google,443,https://development-api-central-k8s.shipt.com:443,https,text/html,GET,34.117.107.220,/,1723221432,,34.117.107.220,1,False,True,HTTP/3,,,
development-api-east-mesh.shipt.com,403,403,134,,development-api-east-mesh.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,development-api-east-mesh.shipt.com,google,443,https://development-api-east-mesh.shipt.com:443,https,text/html,GET,34.117.142.205,/,1723221432,,34.117.142.205,1,False,True,HTTP/3,,,
development-api.shipt.com,,403,60,,development-api.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,development-api.shipt.com,fastly,443,https://development-api.shipt.com:443,https,text/plain,GET,151.101.1.91,/,-635027106,,151.101.193.91,1,False,True,HSTS,,,
diversity.shipt.com,,403,16,,diversity.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,diversity.shipt.com,cloudflare,443,https://diversity.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
drivers.shipt.com,Shipt Driver Support,200,75423,,drivers.shipt.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,drivers.shipt.com,,443,https://drivers.shipt.com:443,https,text/html,GET,50.16.128.128,/,-1840324437,,50.16.128.128,981,False,,ZURB Foundation,,nginx,
dsom-imager-prod.shipt.com,ERROR: The request could not be satisfied,403,919,,dsom-imager-prod.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,dsom-imager-prod.shipt.com,cloudfront,443,https://dsom-imager-prod.shipt.com:443,https,text/html,GET,18.66.122.38,/,-476359520,,2600:9000:2250:9600:b:5c1f:240:93a1,20,False,True,Amazon Web Services,,CloudFront,
dsom-imager.development.shipt.com,ERROR: The request could not be satisfied,403,986,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://dsom-imager.development.shipt.com:80,http,text/html,GET,143.204.215.87,/,-1825793477,,2600:9000:214f:ee00:c:a814:57c0:93a1,20,False,True,Amazon Web Services,,CloudFront,
dsom-imager.staging.shipt.com,,403,341,,dsom-imager.staging.shipt.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T00:54:13Z,2023-08-10T00:54:12Z,CN=*.staging.shipt.com,*.staging.shipt.com,*.staging.shipt.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f20b87a573a6dce4db6f48c7dba66cf1,bee0b4f1be1002fa7b3cb3123bcec872304b84c196b43487226e9104207076d6,True,ctls,dsom-imager.staging.shipt.com,fastly,80,http://dsom-imager.staging.shipt.com:80,http,application/xml,GET,151.101.1.91,/,-2036548986,https://dsom-imager.staging.shipt.com/,151.101.193.91,1,False,True,HSTS,,,
enrichment-staging.shipt.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://enrichment-staging.shipt.com:80,http,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8654,1,False,True,Cloudflare Bot Management,,cloudflare,
envoy.shipt.com,,403,16,,envoy.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,envoy.shipt.com,cloudflare,443,https://envoy.shipt.com:443,https,text/plain,GET,162.159.135.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
ethicshotline.shipt.com,,403,16,,ethicshotline.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,ethicshotline.shipt.com,cloudflare,443,https://ethicshotline.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
ext-kafka-conductor.shipt.com,,404,,,ext-kafka-conductor.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,ext-kafka-conductor.shipt.com,fastly,443,https://ext-kafka-conductor.shipt.com:443,https,,GET,151.101.1.91,/,-1840324437,,151.101.193.91,1,False,True,HSTS,,,
external-onetimesecret.shipt.com,,404,,,external-onetimesecret.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,external-onetimesecret.shipt.com,fastly,443,https://external-onetimesecret.shipt.com:443,https,,GET,146.75.121.91,/,-1840324437,,146.75.121.91,1,False,True,HSTS,,,
graphql.shipt.com,,403,16,,graphql.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,graphql.shipt.com,cloudflare,443,https://graphql.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
