input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,csp_domains_,tls_expired,final_url,tls_self_signed,location,tls_emails_
ac-web.dce.harvard.edu,AC-WEB: Academic Computing,200,6246,ac-web.dce.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-31T00:00:00Z,2024-05-30T23:59:59Z,"CN=ac-web.dce.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",ac-web.dce.harvard.edu,President and Fellows of Harvard College,test-ac-web.dce.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,d56a88cc2796a6672c733e9c43c55a52,2987e18064b86afaab55a6955b38512a652f83718e60ca855923f3382c822e89,,ctls,ac-web.dce.harvard.edu,443,https://ac-web.dce.harvard.edu:443,https,Apache/2.4.41 (Ubuntu),text/html,GET,140.247.198.122,/,-421194272,140.247.198.122,Ubuntu,117,False,,,,,,,,,
academicpositions.harvard.edu,Harvard Academic Positions | Home,200,19289,academicpositions.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=edge-uc4.peopleadmin.com, O=Powerschool group llc, L=Austin, ST=Texas, C=US",edge-uc4.peopleadmin.com,Powerschool group llc,employment.citruscollege.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5c4e1767dc9227cefb8691e45b5da2e5,8ff28ce3af551dbcc96d18db190347c0f55bceb4719dfdf6b3079536ab52f347,,ctls,academicpositions.harvard.edu,443,https://academicpositions.harvard.edu:443,https,Apache,text/html,GET,45.60.14.165,/,-1840324437,45.60.14.165,Ruby on Rails,367,False,,incapsula,True,,,,,,
acc.bwh.harvard.edu,acc.bwh.harvard.edu - /,200,12395,acc.bwh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-14T00:00:00Z,2023-10-14T23:59:59Z,"CN=ecor.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",ecor.mgh.harvard.edu,President and Fellows of Harvard College,ragonapps.mgh.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6581cf7925045b85f92db86f3ec243cf,88cb224427c8044251a1f07413f4288b43aed6a3feabec41af55f1f355d9b3d3,,ctls,acc.bwh.harvard.edu,443,https://acc.bwh.harvard.edu:443,https,Microsoft-IIS/10.0,text/html,GET,170.223.191.141,/,1631801191,170.223.191.141,Windows Server,3,False,,,,,,,,,
accelerator.eecs.harvard.edu,Tutorials Based on Accelerator Research at Harvard,200,1283,accelerator.eecs.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-04T00:00:00Z,2024-06-03T23:59:59Z,"CN=eecs.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",eecs.harvard.edu,President and Fellows of Harvard College,cs.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,c34737fe901551f649ff15276169e2a1,6220171de1171167c4516b91b6e89b47a7050a4d6c398a9244a91079c830c4df,True,ctls,accelerator.eecs.harvard.edu,443,https://accelerator.eecs.harvard.edu:443,https,Apache/2.4.6 (CentOS),text/html,GET,52.2.16.86,/,848041302,52.2.16.86,CentOS,33,False,True,,,,,,,,
accellion-kw.sph.harvard.edu,,200,1896,accellion-kw.sph.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=filetransfer.sph.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",filetransfer.sph.harvard.edu,President and Fellows of Harvard College,filetransfer-h1.sph.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,7b4152f449d902d2fb20e814772cb1d1,0aeb9873672a8f19c8f4b5d4357f508688d51ec8edbc76a2df992bd50605aa21,,ctls,accellion-kw.sph.harvard.edu,443,https://accellion-kw.sph.harvard.edu:443,https,Apache,text/html,GET,134.174.190.172,/,-1215318992,134.174.190.172,HSTS,1,False,True,,,,,,,,
access.harvard.edu,Error,404,139,access.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,,ctls,access.harvard.edu,443,https://access.harvard.edu:443,https,,text/html,GET,52.205.173.103,/,1593207841,35.168.109.162,Node.js,11,False,True,,,,,,,,
access.lib.harvard.edu,Error,404,139,access.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,,ctls,access.lib.harvard.edu,443,https://access.lib.harvard.edu:443,https,,text/html,GET,35.168.109.162,/,1593207841,52.205.173.103,Node.js,11,False,,,,,,,,,
access2.hz.lib.harvard.edu,Error,404,139,access2.hz.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,,ctls,access2.hz.lib.harvard.edu,443,https://access2.hz.lib.harvard.edu:443,https,,text/html,GET,52.205.173.103,/,1593207841,3.224.117.222,Node.js,11,False,True,,,,,,,,
access2.lib.harvard.edu,Error,404,139,access2.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,,ctls,access2.lib.harvard.edu,443,https://access2.lib.harvard.edu:443,https,,text/html,GET,52.205.173.103,/,1593207841,3.224.117.222,Node.js,11,False,,,,,,,,,
accessibility.harvard.edu,University Disability Resources,200,43962,accessibility.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T22:16:15Z,2023-07-21T22:16:14Z,CN=accessibility.harvard.edu,accessibility.harvard.edu,,accessibility.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e243c5b32c9d1b8fba47fdf61cf923af,1662a04a22bf3a008a1b7de966284d48f524fbac749408cce1aa05daf2668570,,ctls,accessibility.harvard.edu,443,https://accessibility.harvard.edu:443,https,,text/html,GET,95.101.54.240,/,721301166,2.16.202.67,Red Hat Gluster,443,False,,,,,,,,,
accessibility.huit.harvard.edu,Digital Accessibility​,200,233056,accessibility.huit.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T19:22:10Z,2023-08-04T19:22:09Z,CN=*.huit.harvard.edu,*.huit.harvard.edu,,*.huit.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,50fe35e37e7c750d7c7d0d61135c4fbd,e21b7ed7e2e1e61920491c523509588c84cb46b89eb6c4997ce40b073cef0915,True,ctls,accessibility.huit.harvard.edu,443,https://accessibility.huit.harvard.edu:443,https,,text/html,GET,23.32.238.211,/,-869455937,23.32.238.203,Red Hat Gluster,3814,False,,,,,,,,,
accessibilityinitiative.library.harvard.edu,HarvardKey - Harvard University Authentication Service,200,23086,www.pin1.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=hk20-key-auth.iam.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",hk20-key-auth.iam.harvard.edu,President and Fellows of Harvard College,www.pin1.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3f63fcc5862e2a9dd4d7542171e1ea37,b508bb39e104348c89db50434ab75b8c2612830c2f562692eb86751850babe16,,ctls,www.pin1.harvard.edu,443,https://accessibilityinitiative.library.harvard.edu:443,https,Apereo CAS,text/html,GET,23.32.238.203,/,213478139,23.32.238.211,HSTS,357,False,,,,,,https://www.pin1.harvard.edu/cas/login?service=https%3A%2F%2Fwww.pin1.harvard.edu%2Fpin%2Fauthenticate%2FFAS_IQSS_SCHOLARSWEB_PROJECTS_ACQUIA,,,
account.rc.fas.harvard.edu,RC Portal,200,11515,account.rc.fas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-16T00:00:00Z,2024-04-15T23:59:59Z,"CN=portal.rc.fas.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",portal.rc.fas.harvard.edu,President and Fellows of Harvard College,portal.rc.fas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a1e9bd14e0b174bfaab4905f4cbc06a4,b2472ffdf473b7dfe0d76c1f2ea1a3b3623b5e8a641b4f6a64580f59793289d8,,ctls,account.rc.fas.harvard.edu,443,https://account.rc.fas.harvard.edu:443,https,nginx/1.14.2,text/html,GET,140.247.151.65,/,-2049473784,140.247.151.65,WordPress,221,False,True,,,,,https://account.rc.fas.harvard.edu/login/?next=/rcrt/submit_ticket,,,
accounts.fas.harvard.edu,Welcome to HarvardKey,200,5363,accounts.fas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-02T00:00:00Z,2024-01-02T23:59:59Z,"CN=key.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",key.harvard.edu,President and Fellows of Harvard College,prm.university.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,06e60c10f1c4675abf511dc905636814,6c8b4d8d38eb16ab517af58f88c674e72cf0e340922f8a4fd4c82e722beee870,,ctls,accounts.fas.harvard.edu,443,https://accounts.fas.harvard.edu:443,https,,text/html,GET,54.242.94.106,/,1306052266,34.235.79.161,Amazon Web Services,105,False,,,,,,,,,
accounts.hcs.harvard.edu,,503,107,accounts.hcs.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-04-26T00:00:00Z,2023-04-26T23:59:59Z,"CN=hcs.harvard.edu, OU=Harvard Computer Society, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",hcs.harvard.edu,President and Fellows of Harvard College,www.hcs.harvard.edu,"CN=InCommon ECC Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon ECC Server CA,Internet2,5897247020123980f344c6eb97c25df2,04cbeec2b398450b30efc5db7c640f7f3437cabf327e3f1082745e456418a1be,True,ctls,accounts.hcs.harvard.edu,443,https://accounts.hcs.harvard.edu:443,https,,text/html,GET,3.226.65.77,/,-1654418437,2600:1f18:4055::10,,4,False,,,,,True,,,,
ackerman.harvard.edu,ackermanprogram,200,26501,ackerman.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-27T21:32:28Z,2023-08-25T21:32:27Z,CN=ackerman.harvard.edu,ackerman.harvard.edu,,ackerman.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6ca42bf128e757f0664969a5729fbdf3,9814622620d85dd40633e00932aba10bfb8ac8af6a0dff7baa60f2f0aaa1095a,,ctls,ackerman.harvard.edu,443,https://ackerman.harvard.edu:443,https,,text/html,GET,2.16.202.122,/,1072313676,95.101.54.209,Red Hat Gluster,209,False,,,,,,,,,
acmg.seas.harvard.edu,acmg,200,63245,acmg.seas.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-03T19:08:42Z,2023-09-01T19:08:41Z,CN=acmg.seas.harvard.edu,acmg.seas.harvard.edu,,acmg.seas.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7bd35ec704fb390d7ba77eedb44b4d92,21fe97ac82c9604f6a159fb5527f9f71318a75c3a7c4725cb99ca7ef5934e7ce,,ctls,acmg.seas.harvard.edu,443,https://acmg.seas.harvard.edu:443,https,,text/html,GET,2.16.238.139,/,-410196039,2.16.238.150,Red Hat Gluster,849,False,,,,,,,,,
acquia.projects.iq.harvard.edu,Web Site Not Found,404,970,acquia.projects.iq.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-12T23:59:59Z,"CN=*.prod.acquia-sites.com, O=Acquia Inc, L=Boston, ST=Massachusetts, C=US",*.prod.acquia-sites.com,Acquia Inc,prod.acquia-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d671bac9a15ab6e5c53b306149c83c6,cbea1b40d41f4f1b4edbe253e32bba76ec1378b18fd966ccc6e35f619885f5aa,True,ctls,acquia.projects.iq.harvard.edu,443,https://acquia.projects.iq.harvard.edu:443,https,nginx,text/html,GET,34.232.27.163,/,-1883206912,34.232.27.163,Nginx,27,False,True,,,,,,,,
acquia.scholar.harvard.edu,Web Site Not Found,404,970,acquia.scholar.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-12T23:59:59Z,"CN=*.prod.acquia-sites.com, O=Acquia Inc, L=Boston, ST=Massachusetts, C=US",*.prod.acquia-sites.com,Acquia Inc,prod.acquia-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d671bac9a15ab6e5c53b306149c83c6,cbea1b40d41f4f1b4edbe253e32bba76ec1378b18fd966ccc6e35f619885f5aa,True,ctls,acquia.scholar.harvard.edu,443,https://acquia.scholar.harvard.edu:443,https,nginx,text/html,GET,54.146.219.3,/,-1883206912,54.146.219.3,Nginx,27,False,True,,,,,,,,
activities.extension.harvard.edu,Web Site Not Found,404,970,activities.extension.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,True,ctls,activities.extension.harvard.edu,443,https://activities.extension.harvard.edu:443,https,,text/html,GET,2.16.241.14,/,-1883206912,2.16.241.17,HSTS,27,False,True,,,,,,,,
acts.bwh.harvard.edu,,200,887,acts.bwh.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-10-13T23:59:59Z,"CN=*.partners.org, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",*.partners.org,President and Fellows of Harvard College,*.partners.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,c51c05ff3176aa9e6d94d2ab9fd8d977,fbb1fba743f0ac0b49805becdadd13c9b4434f420eec4c22e200cf5c60393978,True,ctls,acts.bwh.harvard.edu,443,https://acts.bwh.harvard.edu:443,https,Apache,text/html,GET,170.223.178.101,/,-1533868578,170.223.178.101,PHP:8.0.28,28,False,True,,,,,,,,
adam.law.harvard.edu,adam.law.harvard.edu,200,649,adam.law.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T11:34:25Z,2023-09-04T11:34:24Z,CN=adam.law.harvard.edu,adam.law.harvard.edu,,www.opennet.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c00a099df29178e2f57a91e024c2594f,d66ff0cab0cbd00418ba3f130fbdbbdbc14021e61841a2c451a47c33e8739d11,,ctls,adam.law.harvard.edu,443,https://adam.law.harvard.edu:443,https,Apache,text/html,GET,128.103.64.74,/,-1025108051,128.103.64.74,Apache,22,False,,,,,,,,,
