new,host,a,cname,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,mx,aaaa,ns,txt,caa,ptr
[x],osc-prod.hz.lib.harvard.edu,"44.210.47.176, 54.221.255.132, 34.201.254.8",,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,"ns-103.awsdns-12.com, ns-1275.awsdns-31.org, ns-1744.awsdns-26.co.uk, ns-953.awsdns-55.net",,,
[x],staging.openscholar.harvard.edu,"18.208.82.203, 18.232.209.104",openscholar.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,"ext1-60ox.noc.harvard.edu, ext2-10wa.noc.harvard.edu",,,,,
[x],test.hwp.harvard.edu,"52.202.246.166, 3.215.150.64","test.hwp.harvard.edu.c14882.campuspress.com, cloudflare-resolve-to.c14882.campuspress.com, harvard.us-east-1.lb.campuspress.com, produ-loadb-uqhly5yu8f4z-a3663446a8cdb9c0.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],vlassakgroup.seas.harvard.edu,"2.18.121.137, 2.18.121.147","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
[x],www.iop.harvard.edu,23.185.0.4,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,2620:12a:8001::4,,,,
[x],www.math.harvard.edu,23.185.0.2,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,"2620:12a:8001::2, 2620:12a:8000::2",,,,
[x],www.nmaltec.share.library.harvard.edu,147.135.81.23,harvard1.reclaimhosting.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,harvard1.reclaimhosting.com,,"ns-230.awsdns-28.com, ns-808.awsdns-37.net, ns-1076.awsdns-06.org, ns-2023.awsdns-60.co.uk",v=spf1 a mx ip4:147.135.81.23 ~all,,
[x],www.southasia.harvard.edu,"141.193.213.11, 141.193.213.10","southasia.harvard.edu, southasiainitiative.harvard.edu, southasiainstitute.harvard.edu, wp.wpenginepowered.com","darwin.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
,10.tch.harvard.edu,10.6.56.247,,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.6.56.247,NOERROR,,,,,,,,
,1636society.harvard.edu,"2.16.238.19, 2.16.238.28","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,200.hls.harvard.edu,35.231.46.41,hls200prod.wpengine.com,"jim.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,google,,,,,,
,2007exch.fasmail.harvard.edu,207.211.46.89,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,375.harvard.edu,,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,3dqi.mgh.harvard.edu,155.52.216.156,MGH3DQiLiverTRN.partners.org,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,50.neuro.hms.harvard.edu,"2.16.241.17, 2.16.241.14","edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,a.mgh.harvard.edu,132.183.158.163,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,aaa.meei.harvard.edu,205.166.145.69,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,aad.hms.harvard.edu,134.174.149.65,ordlvwlp01.med.harvard.edu,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
,aaddrackresge.sph.harvard.edu,,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,aadn.gsd.harvard.edu,"141.193.213.21, 141.193.213.20",pxsd1a1g5xgb.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
,aais-services-def.ats.cloud.huit.harvard.edu,,,"ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,abcd.harvard.edu,,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,"d244740a.ess.barracudanetworks.com, d244740b.ess.barracudanetworks.com",,"a6-66.akam.net, a11-67.akam.net, a10-66.akam.net, a1-171.akam.net, a16-64.akam.net, a7-65.akam.net",v=spf1 mx ip4:140.247.179.70 ip4:140.247.179.71 ip4:140.247.179.72 ip4:140.247.179.73 -all,,
,abel.harvard.edu,128.103.69.86,math.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,"mx0a-00171101.pphosted.com, mx0b-00171101.pphosted.com",,"a1-171.akam.net, a11-67.akam.net, a10-66.akam.net, a16-64.akam.net, a7-65.akam.net, a6-66.akam.net",v=spf1 redirect=_spf.harvard.edu,,
,abilene.mgh.harvard.edu,132.183.161.22,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,ablconnect.harvard.edu,"185.225.250.32, 185.225.250.57","edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,able.harvard.edu,"2.16.238.28, 2.16.238.19","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,abpm2.mgh.harvard.edu,170.223.178.73,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,abrahamlab.med.harvard.edu,107.180.41.87,,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
,ac-web.dce.harvard.edu,140.247.198.122,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,academicpositions.harvard.edu,,"emp809.peopleadmin.com, wr5dslq.impervadns.net","ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,True,incapsula,,,,,,
,academy.med.harvard.edu,134.174.145.17,,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
,acc.bwh.harvard.edu,170.223.191.141,erishaproxy.partners.org,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,acc2.cfa.harvard.edu,131.142.12.221,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,accelerator.eecs.harvard.edu,52.2.16.86,"www.eecs.harvard.edu, www-aws.eecs.harvard.edu","a1-171.akam.net, hostmaster.eecs.harvard.edu",,,NOERROR,,,,,,,,
,accellion-kw.sph.harvard.edu,134.174.190.172,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,accellion.sph.harvard.edu,134.174.190.211,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,access-qa2.hz.lib.harvard.edu,"3.210.45.204, 54.164.226.206, 34.200.116.88",,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,access-qa2.lib.harvard.edu,"3.210.45.204, 34.200.116.88, 54.164.226.206",access-qa2.hz.lib.harvard.edu,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,access.dfci.harvard.edu,155.52.51.73,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,access.harvard.edu,"52.205.173.103, 3.224.117.222, 35.168.109.162","access.lib.harvard.edu, access2.hz.lib.harvard.edu","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,access.lib.harvard.edu,"3.224.117.222, 35.168.109.162, 52.205.173.103",access2.hz.lib.harvard.edu,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,access.tch.harvard.edu,10.32.80.62,,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.32.80.62,NOERROR,,,,,,008aff627e38dd7bb8dc67511ee85b3fac,,
,access2.hz.lib.harvard.edu,"3.224.117.222, 52.205.173.103, 35.168.109.162",,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,access2.lib.harvard.edu,"35.168.109.162, 52.205.173.103, 3.224.117.222",access2.hz.lib.harvard.edu,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,accessibility.harvard.edu,"2.16.241.14, 2.16.241.17","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,accessibility.huit.harvard.edu,"92.123.101.210, 84.53.177.19","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,accessibilityinitiative.library.harvard.edu,"23.32.238.121, 23.32.238.128","edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,account.rc.fas.harvard.edu,140.247.151.65,portal.rc.fas.harvard.edu,"iliaddns.rc.fas.harvard.edu, rchelp.fas.harvard.edu",,,NOERROR,,,,,,,,
,accounts.fas.harvard.edu,"34.235.79.161, 54.242.94.106","key.harvard.edu, key.iam.harvard.edu, key1.iam.harvard.edu, key1-front-1a95z55lk28d1-960753089.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,
,accounts.hcs.harvard.edu,3.211.240.151,,"ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,2600:1f18:4055:1::10,,,,
,ace-web01.atsea.cloud.huit.harvard.edu,10.137.215.96,,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",True,10.137.215.96,NOERROR,,,,,,,,
,ace-web01.int.atsea.cloud.huit.harvard.edu,10.138.232.95,,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",True,10.138.232.95,NOERROR,,,,,"ns-1146.awsdns-15.org, ns-124.awsdns-15.com, ns-1912.awsdns-47.co.uk, ns-719.awsdns-25.net",,,
,ace-web02.atsea.cloud.huit.harvard.edu,,,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,ace.med.harvard.edu,134.174.150.51,orchestraweb.med.harvard.edu,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
,ace10w1.cadm.harvard.edu,10.138.230.238,ace-web01.test.atsea.cloud.huit.harvard.edu,"ns-656.awsdns-18.net, awsdns-hostmaster.amazon.com",True,10.138.230.238,NOERROR,,,,,,,,
,aceint.cadm.harvard.edu,"54.90.147.29, 52.54.109.128",ace-lb-pub-int.int.atsea.cloud.huit.harvard.edu,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,achilles.harvard.edu,128.103.92.112,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,aciref.rc.fas.harvard.edu,140.247.151.161,,"iliaddns.rc.fas.harvard.edu, rchelp.fas.harvard.edu",,,NOERROR,,,,,,,,
,acisway.cfa.harvard.edu,131.142.105.153,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,ackerman.harvard.edu,"23.43.57.40, 23.43.57.65","edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,ackerman.med.harvard.edu,134.174.150.51,orchestraweb.med.harvard.edu,"edns1.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,,,,,,,,
,ackroyd.harvard.edu,128.103.208.29,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,ackroyd2.harvard.edu,128.103.200.198,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,acmg.seas.harvard.edu,"2.18.121.147, 2.18.121.137","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,acorn-dev.lib.harvard.edu,"10.138.21.118, 10.138.23.89",internal-acorn-dev-2057446685.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.138.21.118, 10.138.23.89",NOERROR,,,,,,,,
,acorn-qa.lib.harvard.edu,"10.137.165.229, 10.137.166.191, 10.137.167.79",internal-acorn-qa-117521171.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.137.165.229, 10.137.166.191, 10.137.167.79",NOERROR,,,,,,,,
,acorn.lib.harvard.edu,"10.137.165.85, 10.137.167.34, 10.137.166.117",internal-acorn-prod-1294291751.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.137.165.85, 10.137.167.34, 10.137.166.117",NOERROR,,,,,,,,
,acquia.projects.iq.harvard.edu,34.232.27.163,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,acquia.scholar.harvard.edu,54.146.219.3,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,activities.extension.harvard.edu,"2.16.202.67, 95.101.54.240","projects.iq.harvard.edu, edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,acts.bwh.harvard.edu,170.223.178.101,erisweb1.partners.org,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,actu.harvard.edu,132.183.126.113,actu.mgh.harvard.edu,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,ad.fas.harvard.edu,,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,"a6-66.akam.net, a7-65.akam.net, a1-171.akam.net, a10-66.akam.net, a11-67.akam.net, a16-64.akam.net",,,
,ad.seas.harvard.edu,"10.139.133.155, 10.139.133.239","directory.seas.harvard.edu, internal-prod-l4lb-1238769766.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.139.133.155, 10.139.133.239",NOERROR,,,,,,,,
,ada.harvard.edu,140.247.122.237,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adam.cfa.harvard.edu,131.142.157.90,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adam.law.harvard.edu,128.103.64.74,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adams.harvard.edu,54.221.225.67,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adapter.meei.harvard.edu,205.166.145.41,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,addev.ecommons.med.harvard.edu,134.174.145.95,,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
,adelaide.mgh.harvard.edu,132.183.243.34,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,adfs.bidmc.harvard.edu,134.174.104.240,,"ns1-external.caregroup.org, networkservices.caregroup.harvard.edu",,,NOERROR,,,,,,,,
,adfs.med.harvard.edu,134.174.149.88,,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
,adfs.medlab.harvard.edu,52.170.168.185,,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,True,azure,,,,,,
,adfs01.meei.harvard.edu,205.166.145.47,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,adfsdev.harvard.edu,20.185.4.73,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,True,azure,,,,,,
,adfsfed.medlab.harvard.edu,,,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
,admapp.admissions.fas.harvard.edu,140.247.221.193,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,admin-apps.fas.harvard.edu,128.103.26.11,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,admin-hms.hms.harvard.edu,134.174.145.216,,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
,admin-test.fas.harvard.edu,128.103.26.11,admin-apps.fas.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,admin.college.harvard.edu,,admin.college.harvard.edu.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,,,,,,,
,admin.fas.harvard.edu,140.247.30.41,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,smtp.fas.harvard.edu,,,,,
,admin.gsd.harvard.edu,"3.223.122.239, 52.200.245.196","services.gsd.harvard.edu, services-lb-public-prod.gsd.cloud.huit.harvard.edu","ns-389.awsdns-48.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,admin.hmdc.harvard.edu,140.247.115.104,www.hmdc.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,admin.unix.fas.harvard.edu,140.247.232.123,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,admissions.gradeducation.hms.harvard.edu,45.60.80.9,fio5hfl.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,True,incapsula,,,,,,
,admissions.hks.harvard.edu,34.198.122.35,cluster.technolutions.net,"ns-615.awsdns-12.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,google-site-verification=afsuE56DWfJTxJl5HJOlMlo0EuzSLoi1aZFMBAxaKys,letsencrypt.org,
,admissions.sph.harvard.edu,"54.175.238.207, 18.232.19.9, 44.210.11.212",webcampaigns-harvardsph.spectrumemp.com,"ns-41.awsdns-05.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,adp.cfa.harvard.edu,131.142.8.137,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adp.fas.harvard.edu,140.247.194.81,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,ads.cfa.harvard.edu,131.142.198.210,adsabs0.cfa.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,ads.gse.harvard.edu,"23.48.23.163, 23.48.23.160","edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,NOERROR,,,,,,,,
,ads.harvard.edu,131.142.198.210,adsabs0.cfa.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adsabs.harvard.edu,131.142.198.210,adsabs0.cfa.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adsabs0.cfa.harvard.edu,131.142.198.210,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,adswww.harvard.edu,131.142.198.210,adsabs0.cfa.harvard.edu,,,,NOERROR,,,,,,,,
,adtest.gse.harvard.edu,128.103.154.144,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,advance.caadsint.harvard.edu,,advance.int.atsea.cloud.huit.harvard.edu,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,advancedleadership.harvard.edu,"198.185.159.144, 198.49.23.145, 198.185.159.145, 198.49.23.144",,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,"ext1-60ox.noc.harvard.edu, ext2-10wa.noc.harvard.edu",,,,,
,advising.college.harvard.edu,"52.202.246.166, 3.215.150.64","advising.college.harvard.edu.c14440.campuspress.com, cloudflare-resolve-to.c14440.campuspress.com, harvard.us-east-1.lb.campuspress.com, produ-loadb-uqhly5yu8f4z-a3663446a8cdb9c0.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,advising.fas.harvard.edu,140.247.194.209,advising2.fas.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,aeon.hul.harvard.edu,,"harvard.aeon.atlas-sys.com, harvard110.eastus2.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",,,NOERROR,True,azure,,,,,,
,aeontest.hul.harvard.edu,40.123.43.131,"harvardsb.aeon.atlas-sys.com, harvard109.eastus2.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",,,NOERROR,True,azure,,,,,,
,aesop.cfa.harvard.edu,131.142.24.189,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,cfa.harvard.edu,,,,,
,afamfolklore.fas.harvard.edu,34.225.185.242,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
,affinity.med.harvard.edu,134.174.159.103,dmzlb-vip.rc.hms.harvard.edu,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
,africa.harvard.edu,"23.48.23.163, 23.48.23.160","edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,NOERROR,,,,,,,,
,agile.bwh.harvard.edu,155.52.221.8,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
,agile.seas.harvard.edu,"23.32.238.211, 23.32.238.203","edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,,,,,,,,
,aging.bidmc.harvard.edu,134.174.128.4,mimic.bidmc.harvard.edu,"ns1-external.caregroup.org, networkservices.caregroup.harvard.edu",,,NOERROR,,,,,,,,
,ags.bwh.harvard.edu,170.223.178.101,erisweb1.partners.org,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
