input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_expired,tech_,cdn_name,cdn,final_url,csp_domains_,tls_wildcard_certificate
api.inhome.walmart.com,,200,2,api.inhome.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-17T21:19:23Z,2024-06-17T21:19:22Z,"CN=prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",prod.walmart.com,Walmart Inc.,img.affil.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0face3d86f6b0804327dfbb0481404a0,4caa9ba4509fcc7a579a6601bbfcfc2c92728d3ec45a55603b4ec27917ac6a31,ctls,api.inhome.walmart.com,443,https://api.inhome.walmart.com:443,https,,text/plain,GET,23.197.132.23,/,516648597,23.197.132.23,1,False,,Envoy,,,,,
api.mobile.walmart.com,Error: 521,521,188,api.mobile.walmart.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-10-26T14:14:50Z,2023-11-27T14:14:49Z,"CN=mobile.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",mobile.walmart.com,Walmart Inc.,dfw-search-stg2.mobile.walmart.com,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,f68fe77128f89ed81dbbcf3c467838b3,bdd3e5144b5f47a1e36efafdaf6274d1c1cc5e81fb06b770cd0c1d336fa31d07,ctls,api.mobile.walmart.com,443,https://api.mobile.walmart.com:443,https,,text/html,GET,23.197.133.135,/,675039601,23.197.133.135,2,False,,,,,,,
api.mytech.walmart.com,Your Azure Function App is up and running.,200,144909,api.mytech.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-05T19:42:27Z,2024-05-06T19:42:26Z,"CN=cf-prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",cf-prod.walmart.com,Walmart Inc.,deliverytracking.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3b0cebb4cd88bc747be4e1cefd34a882,017a39a7a0f71fdaec8b4151971d8b443ca827e7813c2caa5f0fd9853bf6e8a7,ctls,api.mytech.walmart.com,443,https://api.mytech.walmart.com:443,https,cloudflare,text/html,GET,104.18.37.104,/,-1840324437,172.64.150.152,27,False,,Envoy,cloudflare,True,,,
api.one.walmart.com,401 Not Authorized,401,6393,api.one.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-23T21:10:16Z,2023-12-25T21:10:15Z,"CN=ak-prod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-prod2.walmart.com,Walmart Inc.,abss.supplier.wal-mart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1c6fbcf30b95e8e36edfed4ebeb0859a,4f0ad27b92eae041023b452576fdd85b58457667a4e9e08ee39d3fd06d98880e,ctls,api.one.walmart.com,443,https://api.one.walmart.com:443,https,,text/html,GET,23.197.143.83,/,1459701728,23.197.143.83,37,False,,ZURB Foundation,,,,,
api.sparknotifications.stage.walmart.com,Your Azure Function App is up and running.,200,144909,api.sparknotifications.stage.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T19:55:34Z,2024-07-20T19:55:33Z,"CN=cf-nonprod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",cf-nonprod.walmart.com,Walmart Inc.,external.etc.stage.bopgta.us.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c09c289f92ac2feef992179c3a767bc4,6fb0c76339cb0ebdc82c0fb978ce03b3a41b1f40663cb1c3a58f4210349006d2,ctls,api.sparknotifications.stage.walmart.com,443,https://api.sparknotifications.stage.walmart.com:443,https,cloudflare,text/html,GET,104.18.37.104,/,-1840324437,172.64.150.152,27,False,,Envoy,cloudflare,True,,,
api.sparknotifications.walmart.com,Your Azure Function App is up and running.,200,144909,api.sparknotifications.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-05T19:42:27Z,2024-05-06T19:42:26Z,"CN=cf-prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",cf-prod.walmart.com,Walmart Inc.,deliverytracking.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3b0cebb4cd88bc747be4e1cefd34a882,017a39a7a0f71fdaec8b4151971d8b443ca827e7813c2caa5f0fd9853bf6e8a7,ctls,api.sparknotifications.walmart.com,80,http://api.sparknotifications.walmart.com:80,http,cloudflare,text/html,GET,104.18.37.104,/,-1840324437,172.64.150.152,27,False,,Envoy,cloudflare,True,https://api.sparknotifications.walmart.com/,,
apis.relay.walmart.com,,400,89,apis.relay.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-17T21:19:23Z,2024-06-17T21:19:22Z,"CN=prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",prod.walmart.com,Walmart Inc.,img.affil.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0face3d86f6b0804327dfbb0481404a0,4caa9ba4509fcc7a579a6601bbfcfc2c92728d3ec45a55603b4ec27917ac6a31,ctls,apis.relay.walmart.com,443,https://apis.relay.walmart.com:443,https,,text/plain,GET,23.197.132.23,/,159195748,23.197.132.23,1,False,,,,,,,
apisb-a.dsp.walmart.com,403 - Forbidden: Access is denied.,403,1233,apisb-a.dsp.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-30T19:18:28Z,2023-08-01T19:18:27Z,"CN=authsb-a.dsp.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",authsb-a.dsp.walmart.com,Walmart Inc.,apisb-b.dsp.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c816fdd32faabdff16876d54ea8da15c,b02afe00adb922e9cce22493ce6f0c30f0043ab2bab8b9af653d4f3c405dcd43,ctls,apisb-a.dsp.walmart.com,443,https://apisb-a.dsp.walmart.com:443,https,Microsoft-IIS/10.0,text/html,GET,20.106.250.41,/,1631801191,20.106.250.41,30,False,,Windows Server,,,,,
apisb-b.dsp.walmart.com,403 - Forbidden: Access is denied.,403,1233,apisb-b.dsp.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-30T19:18:28Z,2023-08-01T19:18:27Z,"CN=authsb-a.dsp.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",authsb-a.dsp.walmart.com,Walmart Inc.,apisb-b.dsp.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c816fdd32faabdff16876d54ea8da15c,b02afe00adb922e9cce22493ce6f0c30f0043ab2bab8b9af653d4f3c405dcd43,ctls,apisb-b.dsp.walmart.com,443,https://apisb-b.dsp.walmart.com:443,https,Microsoft-IIS/10.0,text/html,GET,20.106.250.41,/,1631801191,20.106.250.41,30,False,,Windows Server,,,,,
apm-mobile.qa.walmart.com,Error: 404 Not Found,404,113,apm-mobile.qa.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-03T08:48:02Z,2024-03-06T08:48:01Z,"CN=nonprod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",nonprod.walmart.com,Walmart Inc.,www-teflon.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1fa8295498fd2b223e4bdc70e7750e43,3b495b5bf0bddf3c33c9948b1b736730c0ab68b874f684d182dfb43a9957bd86,ctls,apm-mobile.qa.walmart.com,80,http://apm-mobile.qa.walmart.com:80,http,,text/html,GET,104.79.20.131,/,1450367486,104.79.20.131,3,False,,,,,https://apm-mobile.qa.walmart.com/,,
apm-mobile.walmart.com,Error: 404 Not Found,404,113,apm-mobile.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-17T21:19:23Z,2024-06-17T21:19:22Z,"CN=prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",prod.walmart.com,Walmart Inc.,img.affil.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0face3d86f6b0804327dfbb0481404a0,4caa9ba4509fcc7a579a6601bbfcfc2c92728d3ec45a55603b4ec27917ac6a31,ctls,apm-mobile.walmart.com,443,https://apm-mobile.walmart.com:443,https,,text/html,GET,104.122.33.179,/,1450367486,104.122.33.179,3,False,,,,,,,
