input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,lines,failed,cdn,tls_subject_org_,webserver,tech_,tls_wildcard_certificate,tls_expired,tls_mismatched,location
communitystag.lansweeper.com,401 Authorization Required,401,167,,communitystag.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-10T23:59:59Z,"CN=secure05.stage.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure05.stage.lithium.com,stage.sincerely-food.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,281d0d5cdce47dd115ac7b6e2d2b869b,197b525c7b8516b8c2b456f6453f0b626e754e963a6860e4e2e1df729287d4c2,ctls,communitystag.lansweeper.com,cloudfront,443,https://communitystag.lansweeper.com:443,https,text/html,GET,65.9.66.7,/,-1840324437,,65.9.66.112,7,False,True,"Khoros, LLC",Apache,Basic,True,,,
content.lansweeper.com,Lansweeper IT Asset Management Software | Lansweeper.com,200,316178,,www.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-10-10T23:59:59Z,"CN=www.lansweeper.com, O=Lansweeper, L=Dendermonde, ST=Oost-Vlaanderen, C=BE, businessCategory=Private Organization, jurisdictionCountry=BE, serialNumber=0538.668.417, businessCategory=Private Organization, jurisdictionCountry=BE",www.lansweeper.com,lansweeper.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,d9cd0b8bd2e946800316a7409d84d69e,031804a28ea8501f437f0b15ef7e77d75d1bd8d0294f8315cc23b207f4368363,ctls,www.lansweeper.com,,443,https://content.lansweeper.com:443,https,text/html,GET,52.54.96.194,/,-1840324437,https://www.lansweeper.com,3.92.120.28,201,False,,Lansweeper,cloudflare,ZURB Foundation,,,,
data.metrics.app.lansweeper.com,pendo.io,200,2470,,data.metrics.app.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T14:01:32Z,2023-09-13T14:57:27Z,CN=data.metrics.app.lansweeper.com,data.metrics.app.lansweeper.com,data.metrics.app.lansweeper.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,6b5fac5535506eee06e795c7b4ce2a49,bf54c7f1a59f2a2f7a9ba285ea05db8724e20199fbd0005b6f0a1f51d2c91068,ctls,data.metrics.app.lansweeper.com,google,443,https://data.metrics.app.lansweeper.com:443,https,text/html,GET,34.160.140.4,/,2052332860,,34.160.140.4,1,False,True,,,Google Cloud CDN,,,,
discovery-gateway.lansweeper.com,,404,,,discovery-gateway.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-11T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,de4eef3abc22ddb652f013d645e398e3,2c0adefe7b363c53846b5ea00e96e50c10a8371263d990ed1bb36baf4331595c,ctls,discovery-gateway.lansweeper.com,,443,https://discovery-gateway.lansweeper.com:443,https,,GET,54.72.6.195,/,-1840324437,,54.216.15.63,1,False,,,istio-envoy,,True,,,
docs.lansweeper.com,Documentation – Lansweeper,200,3496,,docs.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b645c597cbf33b3ebb26378835676fb,6488cfba2f6aa8670e49e4debf3c60d3a1d957fa139e40845b8604d1e33bd27b,ctls,docs.lansweeper.com,cloudfront,443,https://docs.lansweeper.com:443,https,text/html,GET,13.32.27.4,/,-1460195213,,2600:9000:211e:0:4:72ee:a5c0:93a1,17,False,True,,CloudFront,webpack,True,,,
download.lansweeper.com,,403,243,,download.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b645c597cbf33b3ebb26378835676fb,6488cfba2f6aa8670e49e4debf3c60d3a1d957fa139e40845b8604d1e33bd27b,ctls,download.lansweeper.com,cloudfront,443,https://download.lansweeper.com:443,https,application/xml,GET,65.9.66.68,/,-554000829,,2600:9000:206f:5000:0:8845:b280:93a1,2,False,True,,AmazonS3,Amazon Web Services,True,,,
edge.lansweeper.com,,464,,,edge.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-11T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,de4eef3abc22ddb652f013d645e398e3,2c0adefe7b363c53846b5ea00e96e50c10a8371263d990ed1bb36baf4331595c,ctls,edge.lansweeper.com,,443,https://edge.lansweeper.com:443,https,,GET,34.246.76.204,/,-1840324437,,3.248.86.143,1,False,,,awselb/2.0,,True,,,
embedtech.lansweeper.com,Home - Lansweeper Embedded Technologies,200,106070,,embedtech.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2024-06-10T23:59:59Z,"CN=embedtech.lansweeper.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",embedtech.lansweeper.com,embedtech.lansweeper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ca7546dae4508fe51fbdfdabf6ecf71a,9aa182d548b3965c8b98b8a34a18e390e682173986874aee2375fec645b951af,ctls,embedtech.lansweeper.com,,443,https://embedtech.lansweeper.com:443,https,text/html,GET,141.193.213.21,/,-1840324437,,141.193.213.20,842,False,,"Cloudflare, Inc.",cloudflare,Yoast SEO:20.9,,,,
enterpriseenrollment.lansweeper.com,Microsoft Intune admin center,200,41945,,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.lansweeper.com:443,https,text/html,GET,13.74.111.192,/,1631801191,https://intune.microsoft.com/,13.74.111.192,4,False,True,Microsoft Corporation,,HSTS,,,,
enterpriseregistration.lansweeper.com,Service,404,1565,,enterpriseregistration.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,ctls,enterpriseregistration.lansweeper.com,azure,443,https://enterpriseregistration.lansweeper.com:443,https,text/html,GET,40.126.32.66,/,-2070773535,,2603:1026:3000:150::2,14,False,True,Microsoft Corporation,,HSTS,True,,True,
forum.lansweeper.com,Lansweeper IT Asset Management Software | Lansweeper.com,200,316178,,www.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-10-10T23:59:59Z,"CN=www.lansweeper.com, O=Lansweeper, L=Dendermonde, ST=Oost-Vlaanderen, C=BE, businessCategory=Private Organization, jurisdictionCountry=BE, serialNumber=0538.668.417, businessCategory=Private Organization, jurisdictionCountry=BE",www.lansweeper.com,lansweeper.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,d9cd0b8bd2e946800316a7409d84d69e,031804a28ea8501f437f0b15ef7e77d75d1bd8d0294f8315cc23b207f4368363,ctls,www.lansweeper.com,,443,https://forum.lansweeper.com:443,https,text/html,GET,141.193.213.21,/,-1840324437,https://www.lansweeper.com/,141.193.213.20,201,False,,Lansweeper,cloudflare,ZURB Foundation,,,,
gps.lansweeper.com,,200,662,,gps.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-29T00:00:00Z,2023-12-30T23:59:59Z,CN=vpn.lansweeper.com,vpn.lansweeper.com,gps.lansweeper.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,329efeacbb8367eed9a7d9c0bfe30881,b26e6ee8241db470c775402da4c1847c60db8478374bdbd975415ae88cbbf30b,ctls,gps.lansweeper.com,,443,https://gps.lansweeper.com:443,https,text/html,GET,149.11.171.2,/,-492339404,https://gps.lansweeper.com/global-protect/login.esp,149.11.171.2,2,False,,,,HSTS,,,,
grafana.lansweeper.com,Sign in to your account,200,39234,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,443,https://grafana.lansweeper.com:443,https,text/html,GET,52.19.248.140,/,64363591,https://login.microsoftonline.com/006ab0d2-c8fa-43a7-8a27-0ae2c287588a/oauth2/v2.0/authorize?access_type=online&client_id=2d771a0c-59aa-4471-a472-38e062ab59f1&redirect_uri=https%3A%2F%2Fgrafana.lansweeper.com%2Flogin%2Fazuread&response_type=code&scope=openid+email+profile&state=3YD_ym0m4lVAB6lPSKMYs6emnrcsaZKHSKgxy_ADwag%3D,99.81.122.170,95,False,,Microsoft Corporation,,HSTS,,,,
https://w3.org,W3C,200,102300,https://cms.w3.org/,www.w3.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,www.w3.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4be7d5184dbeed691e08c88415a4ac04,d2c32177b1a9120738128b4154cbfb495799f027e406135afc8c3ba1d7b351cf,ctls,www.w3.org,cloudflare,443,https://w3.org:443,https,text/html,GET,104.18.23.19,/,-15365615,https://www.w3.org/,2606:4700::6812:1713,869,False,True,"Cloudflare, Inc.",cloudflare,HTTP/3,,,,
installerapi.lansweeper.com,,403,23,,installerapi.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-30T23:59:59Z,CN=installerapi.lansweeper.com,installerapi.lansweeper.com,installerapi.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dfb511ef2ce83e2abc1bb12fcece7107,c3ca2037bafb171d5dcf50448c7aee729ed0610047ac326845147a520f0c94bd,ctls,installerapi.lansweeper.com,cloudfront,443,https://installerapi.lansweeper.com:443,https,application/json,GET,18.66.112.43,/,968070783,,18.66.112.109,1,False,True,,,Amazon Web Services,,,,
key.lansweeper.com,,404,223,,key.lansweeper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-23T00:00:00Z,2024-07-23T23:59:59Z,"CN=snief0egl.wpc.edgecastcdn.net, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",snief0egl.wpc.edgecastcdn.net,key.lansweeper.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,62f95431133b8963774fb80d3e05e60f,dc5e18e97fe521edc07d75a9b207d025b08ed2a8724afcb934f16d483d92d71b,ctls,key.lansweeper.com,,443,https://key.lansweeper.com:443,https,application/xml,GET,152.199.21.175,/,-1356529483,,2606:2800:233:1cb7:261b:1f9c:2074:3c,3,False,,Edgecast Inc.,Windows-Azure-Blob/1.0 Microsoft-HTTPAPI/2.0,Microsoft HTTPAPI:2.0,,,,
lecstaticcontent.lansweeper.com,,404,204,,lecstaticcontent.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b645c597cbf33b3ebb26378835676fb,6488cfba2f6aa8670e49e4debf3c60d3a1d957fa139e40845b8604d1e33bd27b,ctls,lecstaticcontent.lansweeper.com,cloudfront,443,https://lecstaticcontent.lansweeper.com:443,https,text/html,GET,143.204.98.120,/,-898617429,,2600:9000:2156:9a00:14:eedc:b840:93a1,11,False,True,,CloudFront,HSTS,True,,,
lemtrail.lansweeper.com,Custom domain check,200,390,,lemtrail.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T00:00:00Z,2023-08-24T23:59:59Z,CN=lemtrail.lansweeper.com,lemtrail.lansweeper.com,lemtrail.lansweeper.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,bea427cda82dbd6272368e07bdfc45d7,6d340e0a88745f75cdccc70ca2031cb291954a03916f0e43078c16adb0daba66,ctls,lemtrail.lansweeper.com,,443,https://lemtrail.lansweeper.com:443,https,text/html,GET,51.254.243.65,/,-1840324437,,51.254.243.65,21,False,,,,HTTP/3,,,,
login.lansweeper.com,Lansweeper IT Asset Management Software | Lansweeper.com,200,316178,,www.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-10-10T23:59:59Z,"CN=www.lansweeper.com, O=Lansweeper, L=Dendermonde, ST=Oost-Vlaanderen, C=BE, businessCategory=Private Organization, jurisdictionCountry=BE, serialNumber=0538.668.417, businessCategory=Private Organization, jurisdictionCountry=BE",www.lansweeper.com,lansweeper.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,d9cd0b8bd2e946800316a7409d84d69e,031804a28ea8501f437f0b15ef7e77d75d1bd8d0294f8315cc23b207f4368363,ctls,www.lansweeper.com,cloudflare,443,https://login.lansweeper.com:443,https,text/html,GET,104.17.235.88,/,-738705486,https://www.lansweeper.com/,2606:4700::6811:eb58,201,False,True,Lansweeper,cloudflare,ZURB Foundation,,,,
lsagentrelayacc.lansweeper.com,Microsoft Azure App Service - Welcome,200,2524,,lsagentrelayacc.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-24T08:57:18Z,2024-01-24T08:57:18Z,CN=lsagentrelayacc.lansweeper.com,lsagentrelayacc.lansweeper.com,lsagentrelayacc.lansweeper.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",794a2414175f61ce37b331e29091e4a1,507a2283b02c4c38c397e0d1111dc70cfb9fb6de8e5828fe83ea08521b63c830,ctls,lsagentrelayacc.lansweeper.com,azure,443,https://lsagentrelayacc.lansweeper.com:443,https,text/html,GET,52.165.237.15,/,-20275242,,52.165.237.15,1,False,True,,Microsoft-IIS/10.0,Windows Server,,,,
lyncdiscover.lansweeper.com,,200,364,,lyncdiscover.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.lansweeper.com,,443,https://lyncdiscover.lansweeper.com:443,https,application/json,GET,52.112.70.140,/,-1055228101,,2603:1027:0:2::e,1,False,,Microsoft Corporation,,Azure,True,,True,
