input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,webserver,final_url,csp_domains_,tls_wildcard_certificate,tls_mismatched,tls_self_signed
agent-uat.apps.monash.edu,Monash Partner Portal,200,8202,agent-uat.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=agent-uat.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",agent-uat.apps.monash.edu,Monash University,www.agent-uat.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ca3a5c4a16e3bd93873e2938d0774d4a,fef2e09ce692811a67116e5ed8c267b46b70869db6fea16951b5e54c6508a5c6,ctls,agent-uat.apps.monash.edu,,443,https://agent-uat.apps.monash.edu:443,https,text/html,GET,142.250.186.179,/,912648850,2a00:1450:4001:82b::2013,Java,141,False,,,Google Frontend,https://agent-uat.apps.monash.edu/agent/sign-in,,,,
agent.apps.monash.edu,,200,212,agent.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=agent.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",agent.apps.monash.edu,Monash University,www.agent.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,71197a31c0f6cf3d5fa272a555ea2fbd,eebdf1eb8550808ed4a2e347df93d22adfee606c5de35af1721d7ed3297df175,ctls,agent.apps.monash.edu,incapsula,443,https://agent.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,740121691,45.60.34.202,Imperva,8,False,True,,,,,,,
ai.sensilab.monash.edu,ai.SensiLab,200,22222,ai.sensilab.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:11Z,2023-09-25T08:23:10Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,adaf0a4651fd0852c19223f492e8caa9,524e0093f0cb6abbfa79dffba8f8e85aa3b3e6011b0821de74faa763bc908d0f,ctls,ai.sensilab.monash.edu,,443,https://ai.sensilab.monash.edu:443,https,text/html,GET,142.250.185.144,/,2028370544,2a00:1450:4001:80e::2010,HTTP/3,599,False,,,UploadServer,,,True,True,
ajh.infotech.monash.edu,,200,1301,ajh.infotech.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,ajh.infotech.monash.edu,cloudfront,443,https://ajh.infotech.monash.edu:443,https,text/html,GET,108.138.2.118,/,737820231,108.138.2.81,Amazon Web Services,47,False,True,,,,,True,True,
allocate-qat.timetable.monash.edu,ERROR: The request could not be satisfied,502,507,allocate-qat.timetable.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2015-05-28T01:26:18Z,2018-05-28T01:26:16Z,"emailAddress=Jonathan.Trautman@monash.edu, CN=allocate-qat.timetable.monash.edu, OU=eSolutions, O=Monash University, L=Clayton, ST=VIC, C=AU, emailAddress=Jonathan.Trautman@monash.edu",allocate-qat.timetable.monash.edu,Monash University,wrb-qat.timetable.monash.edu.au,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,e98ee4f7721bb8b76def93231e591c50,2d54a362fe98f97bed3656c4ae9efe6ec2a5aba37252ef282e64d3d5bacc1028,ctls,allocate-qat.timetable.monash.edu,cloudfront,443,https://allocate-qat.timetable.monash.edu:443,https,text/html,GET,52.222.236.36,/,67723390,52.222.236.66,Amazon Web Services,16,False,True,True,CloudFront,,,,,
alumni-friends.monash.edu,,200,1347,alumni-friends.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-13T00:00:00Z,2023-12-13T23:59:59Z,"CN=alumni-friends.monash.edu, O=Monash University, ST=Victoria, C=AU",alumni-friends.monash.edu,Monash University,www.alumni-friends.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,662a40226554cf202f945875ea557761,b4817dcf1ae529d7ea367467bd20ca0e4358e34116e3cfcb79c97efff1552f7f,ctls,alumni-friends.monash.edu,,443,https://alumni-friends.monash.edu:443,https,text/html,GET,35.158.127.53,/,1433417005,35.158.127.52,HSTS,47,False,,,sfdcedge,https://alumni-friends.monash.edu/s/,,,,
alumni.monash.edu,Alumni - Monash University,200,298219,www.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=monash.edu, O=Monash University, ST=Victoria, C=AU",monash.edu,Monash University,www.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dc0450457de4cefab8378429bf621b90,3c472e141b60d6820dba1472cfcb620d6b4415701bbf81a8940d03ea2eabb431,ctls,www.monash.edu,,443,https://alumni.monash.edu:443,https,text/html,GET,130.194.11.126,/,-1443100328,2001:388:608c:88b::7e,Squiz Matrix,5066,False,,,openresty,https://www.monash.edu/alumni,,,,
amigo-uat.apps.monash.edu,Monash,200,4357,amigo-uat.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-08T23:59:59Z,"CN=amigo-uat.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",amigo-uat.apps.monash.edu,Monash University,www.amigo-uat.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,58b242954e00351bfb338cb063d34ece,91e560520d487fabb137304348b1b2a64b3648bd586bd6b4b64884c93aa96095,ctls,amigo-uat.apps.monash.edu,incapsula,443,https://amigo-uat.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,2092667693,45.60.34.202,Node.js,1,False,True,,Google Frontend,,,,,
amigo.apps.monash.edu,Monash,200,4436,amigo.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=amigo.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",amigo.apps.monash.edu,Monash University,www.amigo.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2bedc435ef08c312cf148b3beae24181,2b264ceb1433926d1f121e4fde8df3ac197f0ecbdb85459e60ae9c7c56eb64a6,ctls,amigo.apps.monash.edu,incapsula,443,https://amigo.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,2092667693,45.60.34.202,Node.js,1,False,True,,Google Frontend,,,,,
amigo.monash.edu,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://amigo.monash.edu:80,http,text/html,GET,216.239.38.21,/,302920777,2001:4860:4802:36::15,,12,False,,,ghs,,,,,
amigospring-qat.apps.monash.edu,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://amigospring-qat.apps.monash.edu:80,http,text/html,GET,142.250.181.243,/,302920777,2a00:1450:4001:82b::2013,,12,False,,,ghs,,,,,
amr.erc.monash.edu,,403,842,amr.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=amr.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",amr.erc.monash.edu,Monash University,amr.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3c85273d14c5faf5f7963d2123a9dce3,6fa1a10fb75c669114e92412a96f54610ae67c32c5b46612cd4858213a31f27b,ctls,amr.erc.monash.edu,incapsula,443,https://amr.erc.monash.edu:443,https,text/html,GET,45.60.34.202,/,2017289215,45.60.34.202,Imperva,1,False,True,,,,,,,
analytics.mcgroup.monash.edu,Please sign in,403,2257,analytics.mcgroup.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,2024-01-11T23:59:59Z,"CN=analytics.mcgroup.monash.edu, O=Monash University, ST=Victoria, C=AU",analytics.mcgroup.monash.edu,Monash University,shinyserver.mcgroup.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,5fd9d4da83edd46f349225d407c7b0c2,7fbe014c686e10c967b738d276aee40e2f372dccde73df1f0969f82418acaf2b,ctls,analytics.mcgroup.monash.edu,cloudfront,443,https://analytics.mcgroup.monash.edu:443,https,text/html,GET,143.204.215.33,/,585748188,2600:9000:214f:fa00:19:afe8:ae80:93a1,Amazon Web Services,88,False,True,,,,,,,
anatomedia.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,8677,anatomedia.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,anatomedia.med.monash.edu,,443,https://anatomedia.med.monash.edu:443,https,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,Red Hat,154,False,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,,,,,
anatomydevbiol.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,7523,anatomydevbiol.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,anatomydevbiol.med.monash.edu,,443,https://anatomydevbiol.med.monash.edu:443,https,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,Red Hat,151,False,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,,,,,
aoard2.erc.monash.edu,Index of /,200,4081,aoard2.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=aoard2.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",aoard2.erc.monash.edu,Monash University,aoard2.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,432802acfef8003471300a070890e52a,48f2962ba2276cab20f5a6543bb2dade8fbb17d1a706d796f1ca50e390d561b1,ctls,aoard2.erc.monash.edu,,443,https://aoard2.erc.monash.edu:443,https,text/html,GET,118.138.242.159,/,-780928015,118.138.242.159,HSTS,31,False,,,Apache,,,,,
apcs.erc.monash.edu,,403,836,,,,,,,,,,,,,,,,,,,incapsula,80,http://apcs.erc.monash.edu:80,http,text/html,GET,45.60.34.202,/,1355705208,45.60.34.202,Imperva,1,False,True,,,,,,,
aperio-em1.erc.monash.edu,eSlideManager - Login,200,8331,aperio-em1.erc.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-08-19T01:57:50Z,2022-08-19T02:07:00Z,"CN=aperio-em1.erc.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",aperio-em1.erc.monash.edu,Monash University,scanner1.monash.edu,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,eaf9d25a4bec4744831aec1869a5351d,7776e5d01dfe01dc100f3603a4315012f3abb325811f84b97fa0bc3f48706c51,ctls,aperio-em1.erc.monash.edu,,443,https://aperio-em1.erc.monash.edu:443,https,text/html,GET,118.138.235.154,/,-366337701,118.138.235.154,PHP,221,False,,True,Apache,https://aperio-em1.erc.monash.edu/Login.php,,,,
aperio-ih5.erc.monash.edu,403 Forbidden,403,209,aperio-ih5.erc.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=aperio-em2.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",aperio-em2.erc.monash.edu,Monash University,scanner.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9cc04af7627abd938603468b98c6b43b,10d5d4e161091ddb0ed5776eed39d656175e5a21ae4349388bca81c1911c3938,ctls,aperio-ih5.erc.monash.edu,,443,https://aperio-ih5.erc.monash.edu:443,https,text/html,GET,118.138.242.145,/,-2034643550,118.138.242.145,Apache,10,False,,,Apache,,,,,
api.apps.cloud.monash.edu,,404,19,api.apps.cloud.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-18T00:55:18Z,2023-09-16T00:55:17Z,CN=api.apps.cloud.monash.edu,api.apps.cloud.monash.edu,,api.apps.cloud.monash.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1cda8626a04e665d00ca729fb70b02b9,3186c2e6efa9c5934cdeaa395c9b9e669b65ef3f032c3cb18ee5147f73446c2d,ctls,api.apps.cloud.monash.edu,,443,https://api.apps.cloud.monash.edu:443,https,text/plain,GET,118.138.233.129,/,-138391155,118.138.233.129,,2,False,,,,,,,,
api.graduate-search-dev.monash.edu,,403,42,api.graduate-search-dev.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=api.graduate-search-dev.monash.edu, O=Monash University, ST=Victoria, C=AU",api.graduate-search-dev.monash.edu,Monash University,api.graduate-search-dev.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cc000b35df285d464d82905560af9834,f3e9405cbde4752119b0f0db36b82b3f08c8d369c6514a6d992e709a325893f3,ctls,api.graduate-search-dev.monash.edu,incapsula,443,https://api.graduate-search-dev.monash.edu:443,https,application/json,GET,45.60.34.202,/,768769774,45.60.34.202,Imperva,1,False,True,,,,,,,
