input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,cdn,tech_,tls_subject_org_,tls_self_signed,final_url
backend.playtech.com,,200,138918,backend.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-16T12:19:07Z,2023-10-14T12:19:06Z,CN=jakubsekula.com,jakubsekula.com,jakubsekula.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f96d0850804ff9081bec9036032cd58b,35680d3cdac95ab485d6acf2ff17c046d590302e01a2ec59ed288954eb8750f6,,ctls,backend.playtech.com,443,https://backend.playtech.com:443,https,nginx,text/html,GET,212.111.40.10,/,-2070047203,212.111.40.10,29,False,,,webpack,,,
bi.playtech.com,,404,,bi.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,CN=bi.playtech.com,bi.playtech.com,www.bi.playtech.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",876d041d2fc022a5908001ff3f7c6832,d47d7190d210b66f24102234c222c0a223c918e2a6cf955c096983ed06fde588,,ctls,bi.playtech.com,443,https://bi.playtech.com:443,https,,,GET,20.52.134.77,/,-1840324437,20.52.134.77,1,False,azure,True,,,,
cachewww.playtech.com,,400,,cachewww.playtech.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-27T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hs.llnwd.net,*.hs.llnwd.net,llnw.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,d5d9dfa073d673641abf131f9ba1a81d,941176cc94266ac574f7a65eb0b2f78d4527823e40fd1b68954ded8c202a9db7,True,ctls,cachewww.playtech.com,443,https://cachewww.playtech.com:443,https,EdgePrism/5.1.2.0,text/plain,GET,41.63.96.0,/,-1840324437,41.63.96.128,1,False,,,,,,
email-uk.playtech.com,,403,44,email-uk.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T00:00:00Z,2024-06-20T23:59:59Z,CN=autodiscover.playtech.com,autodiscover.playtech.com,email-uk.playtech.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,10be23e0e454567238b0a6c489b2c63f,7d3a5498732b2661f428718a5671ed1a5b7ffcfc64805f818b0a6743480ec386,,ctls,email-uk.playtech.com,443,https://email-uk.playtech.com:443,https,,,GET,176.113.94.132,/,21456367,176.113.94.132,1,False,,,,,,https://email-uk.playtech.com/owa/
enterpriseenrollment.playtech.com,Microsoft Intune admin center,200,42702,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,,ctls,intune.microsoft.com,443,https://enterpriseenrollment.playtech.com:443,https,,text/html,GET,52.236.189.96,/,1631801191,52.236.189.96,4,False,azure,True,HSTS,Microsoft Corporation,,https://intune.microsoft.com/
enterpriseregistration.playtech.com,Service,404,1565,enterpriseregistration.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,True,ctls,enterpriseregistration.playtech.com,443,https://enterpriseregistration.playtech.com:443,https,,text/html,GET,40.126.32.6,/,-2070773535,2603:1027:1:158::7,14,False,azure,True,HSTS,Microsoft Corporation,,
featured.playtech.com,Marketplace,200,10089,featured.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,cf8732c644ce07d2756d0d7d9fea3187,12f446441962796266952d7beb8780ea04b0054afb5dbb797a7224f28c265a27,True,ctls,featured.playtech.com,443,https://featured.playtech.com:443,https,MWS Portal server,text/html,GET,213.199.131.63,/,-966051185,213.199.131.63,16,False,azure,True,,,,
games.playtech.com,Playtech Games Marketplace Landing Page,200,78318,games.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-09T00:00:00Z,2023-11-16T23:59:59Z,CN=marketplace.playtech.com,marketplace.playtech.com,www.marketplace.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",2cf7bcd2d13994c28893381499332d3e,185d7caab1bf8e8cf1e5b126d947621d5c6ee50d103f542b5788b5428c97a57e,,ctls,games.playtech.com,443,https://games.playtech.com:443,https,AmazonS3,text/html,GET,13.32.121.10,/,1223782620,2600:9000:236e:1e00:1d:21a:f4c0:93a1,669,False,cloudfront,True,HSTS,,,
images.webmail-uk.playtech.com,,403,44,images.webmail-uk.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T00:00:00Z,2024-06-20T23:59:59Z,CN=autodiscover.playtech.com,autodiscover.playtech.com,email-uk.playtech.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,10be23e0e454567238b0a6c489b2c63f,7d3a5498732b2661f428718a5671ed1a5b7ffcfc64805f818b0a6743480ec386,,ctls,images.webmail-uk.playtech.com,443,https://images.webmail-uk.playtech.com:443,https,,,GET,176.113.94.132,/,21456367,176.113.94.132,1,False,,,,,,https://images.webmail-uk.playtech.com/owa/
it-services.playtech.com,,403,233,it-services.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2021-04-26T15:27:17Z,2024-07-13T08:57:36Z,CN=kube-apiserver,kube-apiserver,kubernetes.default.svc.cluster.local,CN=kubernetes,kubernetes,,de970bfa8b6137c10c92000f07b857f5,2add58564a70862ca0a32a6ea59e0cce8936ae7f97b05d95ea29ee72b0a0f958,,ctls,it-services.playtech.com,443,https://it-services.playtech.com:443,https,,application/json,GET,54.78.164.216,/,-1888213346,54.78.164.216,14,False,,,,,True,
kyc.playtech.com,KYC Portal CLM,200,5559,kyc.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,kyc.playtech.com,443,https://kyc.playtech.com:443,https,,text/html,GET,176.113.94.157,/,217101964,176.113.94.157,136,False,,,Microsoft ASP.NET,,,
lb.mp.playtech.com,,404,60,lb.mp.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-09T00:00:00Z,2023-11-16T23:59:59Z,CN=marketplace.playtech.com,marketplace.playtech.com,www.marketplace.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",2cf7bcd2d13994c28893381499332d3e,185d7caab1bf8e8cf1e5b126d947621d5c6ee50d103f542b5788b5428c97a57e,,ctls,lb.mp.playtech.com,443,https://lb.mp.playtech.com:443,https,,application/json,GET,52.51.143.33,/,1390603384,52.214.92.17,1,False,,,HSTS,,,
legal.playtech.com,Sign in to your account,200,41066,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://legal.playtech.com:443,https,,text/html,GET,20.52.134.77,/,-394067803,20.52.134.77,95,False,azure,True,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/4f7d16ef-7616-46a7-9866-fc17a74d8500/oauth2/authorize?response_type=code&client_id=6f314df6-ab49-4d40-87b7-2938aec097ac&scope=openid&nonce=f15d99b9-57c1-40ca-810a-8e91b1ffa127&redirect_uri=https%3a%2f%2flegal.playtech.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2flegal.playtech.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22c186e60d-6f3f-46d5-8d11-e0b6434a838b%22%7d%23EndOfStateParam%23&client-request-id=c186e60d-6f3f-46d5-8d11-e0b6434a838b
link.playtech.com,404 Not Found,404,162,link.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,link.playtech.com,443,https://link.playtech.com:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.118.52,8,False,,,Nginx,,,
msoid.playtech.com,Sign in to your account,200,44068,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://msoid.playtech.com:443,https,,text/html,GET,20.190.159.2,/,-1840324437,2603:1027:1:d8::4,95,False,azure,True,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638255090220489788.YzI5MjhmYTMtYjBkNy00N2E1LTlmZmItMWY0NWU5YTkyNGQ3M2NiOGU1MzEtZDhmZC00YTEwLTkyMTQtNDQ0MGU0YWY2MzVh&ui_locales=en-US&mkt=en-US&state=2pu95xJsQRGFOIzajeBWb-4fBmjitp3dXmlVuzgO6i4r4pI4BD3JjOq-AK9Hu5JsbfxQl7UnkUqpB7ESwNEU16dchtxXZ_zoz8WckOGcK6l3STVvjFhgiy1pqUhJUU0U5-874VPKd3XX7Vk0TU7AeXdJmrAFmcnYbIUCGImqV5gT-s2Uu9tMJimyy7ymZX43QUY1pF_Y_blDtGgL_6Xz3KbevaUVMMYFOoMnY3b4OC1B4_5t2yld4lU7FMZdnzuC9tuJsGXII0Fb6QrWHnWBbA&x-client-SKU=ID_NET6_0&x-client-ver=6.30.1.0
navigator.playtech.com,Playtech Navigator,200,1765,navigator.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-02T00:00:00Z,2023-12-02T23:59:59Z,CN=navigator.playtech.com,navigator.playtech.com,navigator.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71470aaae4ba476d4720384df921977d,fd8da2eb10b16bf99ddd24597f7c13e24c6e06b3b4f6f0cbace35c68a03eb0f3,,ctls,navigator.playtech.com,443,https://navigator.playtech.com:443,https,Kestrel,text/html,GET,20.105.216.34,/,-1840324437,20.105.216.34,46,False,,,Microsoft ASP.NET,,,
nms.playtech.com,Sign in to your account,200,41599,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://nms.playtech.com:443,https,,text/html,GET,20.52.134.77,/,299691304,20.52.134.77,95,False,azure,True,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/4f7d16ef-7616-46a7-9866-fc17a74d8500/oauth2/authorize?response_type=id_token&client_id=321932d8-5890-4825-9b00-bfaef4d41733&scope=openid&nonce=241e6695-214a-485d-9e08-e18c78cdd5b2&response_mode=form_post&redirect_uri=https%3a%2f%2fnms.playtech.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fnms.playtech.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2208ed617a-ea67-49fa-af69-61b4b27ef23a%22%7d%23EndOfStateParam%23
playtech.com,Playtech - the source of success,200,81743,www.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,www.playtech.com,443,https://playtech.com:443,https,,text/html,GET,13.69.8.82,/,-1795674914,13.69.8.82,745,False,azure,True,Font Awesome,,,https://www.playtech.com/
ptcmg.playtech.com,,500,,ptcmg.playtech.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-20T00:00:00Z,2024-06-19T23:59:59Z,CN=ptcmg.playtech.com,ptcmg.playtech.com,www.ptcmg.playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,1ac19df05524f5daff3b280c0a036847,2e51b3b080395465e6de8549b96259a413a23350bb156e4ddb467f7397616f10,,ctls,ptcmg.playtech.com,443,https://ptcmg.playtech.com:443,https,Microsoft-IIS/10.0,,GET,20.23.171.102,/,412280008,20.23.171.102,1,False,,,Windows Server,,,
signupform.playtech.com,SignUpForm-Playtech,200,51154,signupform.playtech.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-14T13:02:17Z,2023-10-12T13:02:16Z,CN=signupform.playtech.com,signupform.playtech.com,signupform.playtech.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6929aaa1d9b2984f905cf39e49ea5be5,1caaf73633b821a2e241dcca40dc995690db8f1ba3eb2110f33d0c7fd2b5a815,,ctls,signupform.playtech.com,443,https://signupform.playtech.com:443,https,nginx,text/html,GET,178.16.117.21,/,-491679642,178.16.117.21,551,False,,,Nginx,,,
sip.playtech.com,,404,75,sip.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.playtech.com,443,https://sip.playtech.com:443,https,RTC/7.0,text/plain,GET,52.112.196.46,/,-874868566,2603:1027:0:3::b,4,False,,,HSTS,Microsoft Corporation,,
testplaytechprotect.playtech.com,,404,1948,testplaytechprotect.playtech.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-23T13:40:04Z,2023-08-21T13:40:03Z,CN=testplaytechprotect.playtech.com,testplaytechprotect.playtech.com,testplaytechprotect.playtech.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f529260826f0a49349784f3da889fc3a,9f915c602e9fa31bd43e5c5b0e3da15872591c8b7b962443c8975d419a293ffa,,ctls,testplaytechprotect.playtech.com,443,https://testplaytechprotect.playtech.com:443,https,nginx,text/html,GET,178.16.117.21,/,-1088398418,178.16.117.21,1,False,,,Nginx,,,https://testplaytechprotect.playtech.com//error404.html
tickers.playtech.com,,404,,tickers.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,cf8732c644ce07d2756d0d7d9fea3187,12f446441962796266952d7beb8780ea04b0054afb5dbb797a7224f28c265a27,True,ctls,tickers.playtech.com,443,https://tickers.playtech.com:443,https,,,GET,213.187.229.56,/,-1840324437,213.187.229.56,1,False,,,HSTS,,,
