new,host,a,aaaa,soa,status_code,mx,ns,cname,has_internal_ips,internal_ips,cdn,cdn-name,caa,txt
[x],wifiportal.uat.telenet.be,213.224.233.129,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.uat.telenet.be,,,,,,
,0-antivirus.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,02-antivirus.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,10years.base.be,62.213.211.79,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,,,,,,,
,111-viruswall.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,114.viruswall.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,12-corona.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,13-distance.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,17.viruswall.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,178-117-184-228.access.telenet.be,178.117.184.228,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,1www.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,20.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,2013-corona.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,6b.telenet.be,195.130.132.84,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,smtp.telenet-ops.be,,,,,,,,
,92maccessmgmt.ybelt.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92maccessmgmt.ybelt.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92maccessmgmt.ybelt.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92maccessmgmt.ybelt.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92maccessmgmt.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92maccessmgmt.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92maccessmgmt.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92maccessmgmt.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92maccessmgmt.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92maccessmgmt.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mapi.centrex.int.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mapio.centrex.int.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mbfx.sim.int.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mbugtracker.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mdccsrv01.hvac.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mdccsrv02.hvac.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mdmvpnca.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92meditorcms.ybelt.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92meditorcms.ybelt.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92meditorcms.ybelt.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mgaaibaai.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mirest-devel.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mirest-test.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mirest.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mirest.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92misp-opendcim.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92misp-opendcim.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mlbsclient.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mlbsclient.int.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mlbsclient.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdecamp.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdecamp.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdecamp.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdecamp.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdecamp.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdedeci.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdedeci.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdedeci.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdedeci.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mmdedna.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdedna.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdedna.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be","ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,92mmdedna.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdedna.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdeeve.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdeeve.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdeeve.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdeeve.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mmdemgmt.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdemgmt.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmdemgmt.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdemgmt.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmdemgmt.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmededeci.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmededeci.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mmededeci.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmededeci.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mmededeci.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mmededeci.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmgmt.ybelt.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmgmt.ybelt.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmgmt.ybelt.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mmgmt.ybelt.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mmgmt.ybelt.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mnorm-devel.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,92mnorm-test.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mnorm-vip.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mnorm.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mnorm.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mnormapi-test.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be","ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,
,92mnormapi.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mnormapi.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mregistry.tv.lab.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mstdagpas-cms.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mvcenter.eng.lab.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mvoiceweb.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,92mvoiceweb.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,92mwatch.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,9lives.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,9lives-be.mail.protection.outlook.com,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,"_globalsign-domain-verification=ikD9piUsG7PWDtQKdnm7RHteBmfKVHWP6zhhZZu5-P, v=spf1 a:smtp-bulk-out.prd.telenet-ops.be include:spf.protection.outlook.com include:mkt.telenet.be include:comm.telenet.be -all"
,9lives.dvp.telenet.be,195.162.204.163,2a02:1800:1e1:6002::8,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmcevip.dvp.telenet.be,,,,,,
,9lives.prd.telenet.be,195.162.197.138,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmcevip-4.prd.telenet.be,,,,,,
,9lives.trg.telenet.be,195.162.204.160,2a02:1800:1e1:6002::b,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmcevip.trg.telenet.be,,,,,,
,aalborgmaskinudlejning.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,aanrekening-info.prd.telenet.be,213.224.232.1,2a02:1800:100:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.prd.telenet.be,,,,,,"v=spf1, include:_spf.telenet-ops.be, ~all"
,aanrekening-info.telenet.be,213.224.232.1,2a02:1800:100:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"aanrekening-info.prd.telenet.be, adccusvip.prd.telenet.be",,,,,,"v=spf1, include:_spf.telenet-ops.be, ~all"
,aanrekening-info.uat.telenet.be,213.224.233.129,2a02:1800:1e0:6002::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.uat.telenet.be,,,,,,
,abuse.telenet.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"redirect.prd.telenet.be, vrnmctrdrvip.prd.telenet.be",,,,,,
,ac.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,acacia.telenet.be,195.130.132.84,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,smtp.telenet-ops.be,,,,,,,,
,access.centrex.telenet.be,84.199.227.129,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,
,access.cloud.telenet.be,185.35.53.8,,"ns1.cloud.telenet.be, postmaster.cloud.telenet.be",NOERROR,,,,,,,,,
,access.int.centrex.telenet.be,84.199.227.145,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,accessmgmt.ybelt.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,accessmgmt.ybelt.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,accessmgmt.ybelt.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,accessmgmt.ybelt.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,accessmgmt.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,accessmgmt.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
,accessmgmt.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,accessmgmt.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
,account.telenet.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"redirect.prd.telenet.be, vrnmctrdrvip.prd.telenet.be",,,,,,
,acp.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,activeer.telenet.be,"195.130.131.38, 195.130.131.39",,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,"webcontent.prod.telenet-ops.be, webcontent.prd.telenet-ops.be",,,,,,
,adcaemvip-4.dvp.telenet.be,213.224.233.15,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,adcaemvip-4.int.telenet.be,213.224.233.19,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,adcaemvip-4.lat.telenet.be,213.224.233.164,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,adcaemvip-4.prd.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,adcaemvip-4.sup.telenet.be,213.224.233.21,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,adcaemvip-4.trg.telenet.be,213.224.233.196,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
