input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,webserver,cdn_name,cdn,tls_mismatched,tls_subject_org_,tls_self_signed,final_url,csp_domains_
demo-ch.gulp.de,,404,,demo-ch.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,demo-ch.gulp.de,443,https://demo-ch.gulp.de:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.16.150.197,,1,False,True,awselb/2.0,,,,,,,
dew.dev.gulp.de,403 Forbidden,403,303,,,,,,,,,,,,,,,,,,80,http://dew.dev.gulp.de:80,http,text/html,GET,52.218.40.100,/,-1026293540,52.218.97.60,Amazon Web Services,14,False,,AmazonS3,,,,,,,
dex.prod.gulp.de,,404,19,dex.prod.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-12-18T23:59:59Z,CN=*.prod.gulp.de,*.prod.gulp.de,*.prod.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f7782232aea438087bb0ca43b1d7bbe6,81ec2101d290d189e5e7b955f1962888628f380384d97653d53218023c1cd1b4,ctls,dex.prod.gulp.de,443,https://dex.prod.gulp.de:443,https,text/plain,GET,54.229.214.64,/,-138391155,52.215.139.3,HSTS,2,False,True,,,,,,,,
direct.gulp.de,GULP Direkt: Freelancer finden | GULP,200,90612,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://direct.gulp.de:443,https,text/html,GET,199.60.103.2,/,-487203857,2606:2c40::c73c:67fe,Varnish,35,False,True,,,,,,,https://www.gulp.de/unternehmen/freelancer-finden,
elastic-proxy.prod.gulp.de,,200,7,elastic-proxy.prod.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-12-18T23:59:59Z,CN=*.prod.gulp.de,*.prod.gulp.de,*.prod.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f7782232aea438087bb0ca43b1d7bbe6,81ec2101d290d189e5e7b955f1962888628f380384d97653d53218023c1cd1b4,ctls,elastic-proxy.prod.gulp.de,443,https://elastic-proxy.prod.gulp.de:443,https,text/plain,GET,63.35.146.235,/,1250304312,52.208.249.194,,1,False,True,awselb/2.0,,,,,,,
elasticbeanstalklegacy-apius.localhost.gulp.ch,403 Forbidden,403,118,elasticbeanstalklegacy-apius.localhost.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,elasticbeanstalklegacy-apius.localhost.gulp.ch,443,https://elasticbeanstalklegacy-apius.localhost.gulp.ch:443,https,text/html,GET,52.48.213.67,/,1344368402,52.16.150.197,,7,False,True,awselb/2.0,,,True,,,,
enterpriseenrollment.gulp.de,Microsoft Intune admin center,200,40052,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,443,https://enterpriseenrollment.gulp.de:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,,,,,Microsoft Corporation,,https://intune.microsoft.com/,
erfolg.gulp.de,,404,,erfolg.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,erfolg.gulp.de,443,https://erfolg.gulp.de:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,,,,,
es.stage.gulp.de,,404,,es.stage.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-22T23:59:59Z,CN=*.stage.gulp.de,*.stage.gulp.de,*.stage.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d385c1a8ed702a4e2ab0dafc7d360b35,352bd87a2d6b9ea3810ff5f3c74d38e18231e3cdcdd1fdc28842ae7518c2fd1b,ctls,es.stage.gulp.de,443,https://es.stage.gulp.de:443,https,text/plain,GET,34.253.77.238,/,-1840324437,63.34.131.228,,1,False,True,awselb/2.0,,,,,,,
experts.gulp.de,Leistungen für Bewerber | GULP,200,59656,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://experts.gulp.de:443,https,text/html,GET,199.60.103.254,/,-487203857,2606:2c40::c73c:67fe,Varnish,31,False,True,,,,,,,https://www.gulp.de/bewerber,
frontend-cache-api.dev.gulp.de,,403,42,frontend-cache-api.dev.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=frontend-cache-api.dev.gulp.de,frontend-cache-api.dev.gulp.de,frontend-cache-api.dev.gulp.de,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,62f45562e237f48661379e16acf06469,f7093c8e8135948871f21df002a6fd917fa3a113fa61c81ad54277bdb7c0f17c,ctls,frontend-cache-api.dev.gulp.de,443,https://frontend-cache-api.dev.gulp.de:443,https,application/json,GET,13.224.103.108,/,968070783,13.224.103.64,Amazon Web Services,1,False,,,cloudfront,True,,,,,
frontend-cache-api.prod.gulp.de,,403,42,frontend-cache-api.prod.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-06-02T23:59:59Z,CN=frontend-cache-api.prod.gulp.de,frontend-cache-api.prod.gulp.de,frontend-cache-api.prod.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08cd2c1f7ecdefe21f10e624f17edd2d,36a13a6e11e613d7cde7fbb7833e338620a6429c5ef0f3e41c61c7f137f77421,ctls,frontend-cache-api.prod.gulp.de,443,https://frontend-cache-api.prod.gulp.de:443,https,application/json,GET,18.66.112.94,/,968070783,18.66.112.71,Amazon Web Services,1,False,,,cloudfront,True,,,,,
gateway.gulp.de,,200,1135,gateway.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2017-09-06T09:22:24Z,2027-09-04T09:22:24Z,"emailAddress=info@gulp.de, CN=gateway.gulp.de, OU=IT Services, O=GULP Information Services GmbH, L=Munich, ST=Bavaria, C=DE, emailAddress=info@gulp.de",gateway.gulp.de,188.174.236.218,"emailAddress=info@gulp.de, CN=ca.gulp.de, OU=IT Services, O=GULP Information Services GmbH, L=Munich, C=DE, emailAddress=info@gulp.de",ca.gulp.de,GULP Information Services GmbH,7b2b8e7690cdd3096dd0c797406604ec,b629366008f911e7098859e564eb917ee6f00a2d85178a0c4e19afe2ae1647a3,ctls,gateway.gulp.de,443,https://gateway.gulp.de:443,https,text/html,GET,188.174.236.218,/,-492339404,2001:a60:925f::3,HSTS,10,False,,,,,,GULP Information Services GmbH,True,https://gateway.gulp.de/global-protect/login.esp,
google.gulp.de,Sign in - Google Accounts,200,1505,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,80,http://google.gulp.de:80,http,text/html,GET,142.250.185.147,/,-1709261603,2a00:1450:4001:810::2013,OpenGSE,32,False,,GSE,,,,,,https://www.google.com/a/gulp.de/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/a/gulp.de/googleapps/home&followup=https://sites.google.com/a/gulp.de/googleapps/home&ul=1,url=https://www.google.com/accounts/AccountChooser?hd=gulp.de&continue=https%3A%2F%2Fsites.google.com%2Fa%2Fgulp.de%2Fgoogleapps%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fa%2Fgulp.de%2Fgoogleapps%2Fhome&service=jotspot&ul=1
grafana-test.prod.gulp.de,Sign In with Auth0,200,2369,globalidp-static.randstadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.randstadservices.com, O=Randstad N.V., L=Diemen, ST=Noord-Holland, C=NL",*.randstadservices.com,randstadservices.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c71f667770c4c607937b3ce0e099dcd3,3ddd14db3e88dbc87ca8cfc6a1b2f63046a707508d05ffbe4c5746b593b921d7,ctls,globalidp-static.randstadservices.com,443,https://grafana-test.prod.gulp.de:443,https,text/html,GET,34.252.31.227,/,1092798450,52.215.139.3,Amazon Web Services,72,False,True,AmazonS3,,,,Randstad N.V.,,https://globalidp-static.randstadservices.com/error.html?client_id=&connection=&lang=&error=invalid_request&error_description=You%20may%20have%20pressed%20the%20back%20button%2C%20refreshed%20during%20login%2C%20opened%20too%20many%20login%20dialogs%2C%20or%20there%20is%20some%20issue%20with%20cookies%2C%20since%20we%20couldn't%20find%20your%20session.%20Try%20logging%20in%20again%20from%20the%20application%20and%20if%20the%20problem%20persists%20please%20contact%20the%20administrator.&tracking=3b66316b674cf7d51ad6,
gtas2.direct.gulp.ch,,404,,gtas2.direct.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,gtas2.direct.gulp.ch,443,https://gtas2.direct.gulp.ch:443,https,text/plain,GET,52.48.213.67,/,-1840324437,52.16.150.197,,1,False,True,awselb/2.0,,,True,,,,
gulp.de,"Personaldienstleister: IT, Engineering, Life Science | GULP",200,55288,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://gulp.de:443,https,text/html,GET,52.48.213.67,/,-162103620,54.195.118.103,Varnish,23,False,True,,,,,,,https://www.gulp.de/,
h-135-207-170-206.gulp.ch,,404,,h-135-207-170-206.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,h-135-207-170-206.gulp.ch,443,https://h-135-207-170-206.gulp.ch:443,https,text/plain,GET,52.48.213.67,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,,,,,
ilo-nhhuducs1-23.gulp.ch,,404,,ilo-nhhuducs1-23.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,ilo-nhhuducs1-23.gulp.ch,443,https://ilo-nhhuducs1-23.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,,,,,
image.reply.gulp.de,Access Denied,403,271,image.reply.gulp.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-09-01T23:59:59Z,"CN=akamai-san130.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",akamai-san130.exacttarget.com,image.absarbb.absa.africa,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,0117fb126f182ba1eea415905b305bac,d9f7622ef0f3d5b4433e7448c29a3ebe16471910d3bc1485a222a8ada19fe153,ctls,image.reply.gulp.de,443,https://image.reply.gulp.de:443,https,text/html,GET,184.86.251.14,/,-774018232,2a02:26f0:3500:1b::1724:a39a,,10,False,,AkamaiGHost,,,,"SALESFORCE.COM, INC.",,,
info.gulp.de,,404,15921,info.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T23:19:10Z,2023-06-26T23:19:09Z,CN=info.gulp.de,info.gulp.de,info.gulp.de,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,dd5aa07254612c642ff0868b56429b38,467ac6b6e78b8958a09c656379580412be15a942f916b5e0b3bf0896c7ae490d,ctls,info.gulp.de,443,https://info.gulp.de:443,https,text/html,GET,199.60.103.2,/,1359417203,2606:2c40::c73c:67fe,HubSpot CMS Hub,310,False,,cloudflare,,,,,,,
internals3auth-cache-lbclients.10jahre.gulp.ch,,404,,internals3auth-cache-lbclients.10jahre.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,internals3auth-cache-lbclients.10jahre.gulp.ch,443,https://internals3auth-cache-lbclients.10jahre.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,True,,,,
ipv4-c065-stl001-ix.mta-sts.gulp.ch,,404,,ipv4-c065-stl001-ix.mta-sts.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,ipv4-c065-stl001-ix.mta-sts.gulp.ch,443,https://ipv4-c065-stl001-ix.mta-sts.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,True,,,,
jenkins-chef-dummy-100-12.10jahre.gulp.ch,,404,,jenkins-chef-dummy-100-12.10jahre.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,jenkins-chef-dummy-100-12.10jahre.gulp.ch,443,https://jenkins-chef-dummy-100-12.10jahre.gulp.ch:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,True,,,,
