input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_subject_org_,final_url,tls_expired
broker.mendix.com,Mendix,200,8629,broker.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,broker.mendix.com,443,https://broker.mendix.com:443,https,nginx,text/html,GET,3.127.11.115,/,-587726019,2a05:d014:145:aa00:63e4:ad8e:c1c7:8675,Nginx,70,False,,True,,,,,,
carlos.des-non-prod.rnd.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://carlos.des-non-prod.rnd.mendix.com:80,http,,text/html,GET,54.73.109.26,/,566218143,54.73.109.26,,14,False,,,,,,,,
cdp.mendix.com,Mendix,200,1868,cdp.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,cdp.mendix.com,443,https://cdp.mendix.com:443,https,nginx,text/html,GET,3.127.11.115,/,-1690346503,2a05:d014:145:aa00:63e4:ad8e:c1c7:8675,Nginx,44,False,,True,,,,,,
cloud-cdn.mendix.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://cloud-cdn.mendix.com:80,http,CloudFront,text/html,GET,65.9.95.115,/,-1032032755,2600:9000:2127:d000:a:d226:5480:93a1,Amazon Web Services,20,False,,,,cloudfront,True,,,
cloud.home.mendix.com,Mendix,200,1962,cloud.home.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,76a059bd0d654c006657fbc70c77a6a8,543518044e5ba0217fa265ca45289d3f3332c559f65c984c1e9c85b2cccf40c2,ctls,cloud.home.mendix.com,443,https://cloud.home.mendix.com:443,https,nginx,text/html,GET,3.127.11.115,/,605480165,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,46,False,play.vidyard.com,True,,,,,,
content-accp.mendix.com,Nonexistent (503),503,872,content-accp.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2020-01-20T00:00:00Z,2022-01-20T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,825c4ae632605f0e1f32fdf9c32a1db0,9c5909ff30b98ed10a693d344112add0b56334b1ea5003bf96c98a30e7a5d5d7,ctls,content-accp.mendix.com,80,http://content-accp.mendix.com:80,http,nginx,text/html,GET,3.125.189.196,/,1340254465,2a05:d014:145:aa01:e7ed:1bdf:317c:168e,Nginx,30,False,,True,,,,,https://content-accp.mendix.com/,True
controlcenter.mendix.com,Mendix,200,9123,controlcenter.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,controlcenter.mendix.com,443,https://controlcenter.mendix.com:443,https,nginx,text/html,GET,3.125.189.196,/,-587726019,2a05:d014:145:aa01:e7ed:1bdf:317c:168e,Nginx,83,False,https://s3.amazonaws.com/dock-static.mendix.com/,True,,,,,,
debug-dbmsstaticb2bsystem.apps.mendix.com,404 Not Found,404,556,,,,,,,,,,,,,,,,,,80,http://debug-dbmsstaticb2bsystem.apps.mendix.com:80,http,nginx/1.17.10,text/html,GET,52.51.72.41,/,1083367173,52.211.138.211,Nginx:1.17.10,14,False,https://fonts.gstatic.com,,,,,,,
docusign.mendix.com,,200,5456,account.docusign.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=account.docusign.com, O=DocuSign\, Inc., L=San Francisco, ST=California, C=US, serialNumber=5711317, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",account.docusign.com,account.docusign.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,6dc434808969626e3d12ec489a4e6480,71ade9c3e9ae840130a3521fd8bad2621a3421e7449cef31be136af554acd23e,ctls,account.docusign.com,443,https://docusign.mendix.com:443,https,,text/html,GET,20.50.2.72,/,90168784,20.50.2.72,HSTS,21,False,https://account.docusign.com,,,azure,True,"DocuSign, Inc.",https://account.docusign.com/organizations/380150a2-3d2b-4922-9815-88e83b3b0740/saml2/login/sp/fb9f1369-fec1-40b8-a2f2-7b88dce8e614,
dza.apps.openshift170220.des-non-prod.rnd.mendix.com,,503,2503,dza.apps.openshift170220.des-non-prod.rnd.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T03:42:02Z,2023-08-02T03:42:01Z,CN=*.apps.openshift170220.des-non-prod.rnd.mendix.com,*.apps.openshift170220.des-non-prod.rnd.mendix.com,*.apps.openshift170220.des-non-prod.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,44d10274c5c3d2648fcad23e5d9850d9,215936c096c9d6931b72276749ba507461cb864a329b4dc1bf5aa1291ae5c82e,ctls,dza.apps.openshift170220.des-non-prod.rnd.mendix.com,443,https://dza.apps.openshift170220.des-non-prod.rnd.mendix.com:443,https,,text/html,GET,63.34.203.206,/,1539244717,63.34.203.206,,94,False,,True,,,,,,
entitlement.acceptance.servicemanagement.mendix.com,,401,69,,,,,,,,,,,,,,,,,,80,http://entitlement.acceptance.servicemanagement.mendix.com:80,http,,application/json,GET,18.193.179.108,/,72292565,18.185.44.224,,1,False,,,,,,,,
eu-dr-portal.home.mendix.com,,404,48,eu-dr-portal.home.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,eaad9673886e3a0a665736b17c48518b,639462d93a01dc218f8733e67683b253dd7ded1bc17588c311e1a9f536345362,ctls,eu-dr-portal.home.mendix.com,443,https://eu-dr-portal.home.mendix.com:443,https,kong/2.8.3,application/json,GET,18.193.2.177,/,834205737,3.126.129.164,HSTS,1,False,,True,,,,,,
forms.mendix.com,Mendix,200,1765,forms.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,forms.mendix.com,443,https://forms.mendix.com:443,https,nginx,text/html,GET,3.126.216.110,/,605480165,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,40,False,,True,,,,,,
forum.mendix.com,Mendix Forum,200,1819,forum.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,forum.mendix.com,80,http://forum.mendix.com:80,http,nginx,text/html,GET,3.125.189.196,/,-587726019,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,51,False,https://code.jquery.com,True,,,,,https://forum.mendix.com/,
gallery.mendix.com,Low-Code Solution Gallery | Customizable Solutions For Every Industry,200,196800,www.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T19:23:45Z,2023-06-16T19:23:44Z,CN=www.mendix.com,www.mendix.com,www.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77e3f4bdad2958a68672643d6a993ca9,d6910abf45f30ac9f170c70eafb846ce500023cff4472085a5216d12bf6e7d61,ctls,www.mendix.com,443,https://gallery.mendix.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,79985645,141.193.213.20,ZURB Foundation,1243,False,,,,,,,https://www.mendix.com/solutions/,
gke.api.mendix.com,404 Not Found,404,146,gke.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,gke.api.mendix.com,443,https://gke.api.mendix.com:443,https,,text/html,GET,52.48.33.14,/,1494302000,34.253.108.227,HSTS,8,False,,True,,,,,,
grafana-performance-testing.rnd.mendix.com,403 Forbidden,403,548,grafana-performance-testing.rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-07T07:01:09Z,2023-08-05T07:01:08Z,CN=grafana-performance-testing.rnd.mendix.com,grafana-performance-testing.rnd.mendix.com,grafana-performance-testing.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7e6032b826540261abb0eb427877ec95,ded38e95b4d1f7480c7f0874eba0072b77bf900b0d36f6540475f892cf5de756,ctls,grafana-performance-testing.rnd.mendix.com,80,http://grafana-performance-testing.rnd.mendix.com:80,http,,text/html,GET,52.19.94.252,/,586998417,34.240.130.34,HSTS,14,False,,,,,,,https://grafana-performance-testing.rnd.mendix.com,
guidance-static-accp.mendix.com,,200,924,guidance-static-accp.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-10T23:59:59Z,CN=guidance-static-accp.mendix.com,guidance-static-accp.mendix.com,guidance-static-accp.mendix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,48a003420481a0e9cfbe7789a9512ef7,86f98438e1ab129ccf470d4bcaf7b2286d75a16573497411a2c4b88ef48281b8,ctls,guidance-static-accp.mendix.com,443,https://guidance-static-accp.mendix.com:443,https,AmazonS3,application/xml,GET,18.165.183.106,/,-1704799127,2600:9000:2250:5c00:a:fa0e:e000:93a1,Amazon Web Services,2,False,,,,cloudfront,True,,,
helpdesk.mendix.com,Login,200,2955,mendix.topdesk.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=topdesk.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",topdesk.net,topdesk.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9890c35c9ab02080db105e74c568cb1e,8389ce2b4fd5995f336b36979796887390a20a256f42d7a7c3f7c3f80c2b2246,ctls,mendix.topdesk.net,443,https://helpdesk.mendix.com:443,https,cloudflare,text/html,GET,20.50.2.72,/,-1528970161,20.50.2.72,HSTS,6,False,,True,,azure,True,"Cloudflare, Inc.",https://mendix.topdesk.net/,
hfw.api.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://hfw.api.mendix.com:80,http,,text/html,GET,52.31.198.43,/,566218143,34.253.108.227,,14,False,,,,,,,,
https://apd-accp.mendix.com,Mendix,200,1654,apd-accp.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,apd-accp.mendix.com,443,https://apd-accp.mendix.com:443,https,nginx,text/html,GET,3.127.11.115,/,605480165,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,42,False,https://apd.mendix.com,True,,,,,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,172.217.18.10,/,-606046040,2a00:1450:4001:82f::200a,HTTP/3,1,False,,True,,,,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,fonts.gstatic.com,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.184.195,/,302920777,2a00:1450:4001:830::2003,HTTP/3,12,False,,True,,,,,,
https://sprintr.home.mendix.com,Mendix,200,2714,sprintr.home.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,76a059bd0d654c006657fbc70c77a6a8,543518044e5ba0217fa265ca45289d3f3332c559f65c984c1e9c85b2cccf40c2,ctls,sprintr.home.mendix.com,443,https://sprintr.home.mendix.com:443,https,nginx,text/html,GET,3.126.216.110,/,605480165,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,62,False,https://729-zyh-434.mktoresp.com/,True,,,,,,
infra-ci.staging.not-rnd.mendix.com,403 Forbidden,403,548,infra-ci.staging.not-rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T21:21:06Z,2023-07-03T21:21:05Z,CN=infra-ci.staging.not-rnd.mendix.com,infra-ci.staging.not-rnd.mendix.com,infra-ci.staging.not-rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d89ef6f4bac408a5b48d5cbbd900ac78,1e4bb8ec58f314760a00a7e09d9cef5769af9adf5de921bfa7a6c08c1999c893,ctls,infra-ci.staging.not-rnd.mendix.com,443,https://infra-ci.staging.not-rnd.mendix.com:443,https,,text/html,GET,52.17.6.34,/,586998417,52.18.66.231,HSTS,14,False,,,,,,,,
k8s-prd.redhat.des-non-prod.rnd.mendix.com,404 Not Found,404,146,k8s-prd.redhat.des-non-prod.rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T09:59:44Z,2023-07-05T09:59:43Z,CN=*.des-non-prod.rnd.mendix.com,*.des-non-prod.rnd.mendix.com,*.des-non-prod.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d2476e68ea1903b8b5e1b2ad5c9d3b97,827faca43298181debbd3ad74c5527272bce3404c9fc353a68ec2418e5748070,ctls,k8s-prd.redhat.des-non-prod.rnd.mendix.com,443,https://k8s-prd.redhat.des-non-prod.rnd.mendix.com:443,https,,text/html,GET,54.73.109.26,/,1494302000,54.73.109.26,HSTS,8,False,,True,True,,,,,
keycloak.accp.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://keycloak.accp.mendix.com:80,http,,text/html,GET,52.48.224.146,/,566218143,52.19.118.160,,14,False,,,,,,,,
localhost.openshift170220.des-non-prod.rnd.mendix.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,80,http://localhost.openshift170220.des-non-prod.rnd.mendix.com:80,http,,text/html,GET,54.73.109.26,/,1494302000,54.73.109.26,,8,False,,,,,,,,
logs.rnd.mendix.com,403 Forbidden,403,548,logs.rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-07T04:10:49Z,2023-07-06T04:10:48Z,CN=logs.rnd.mendix.com,logs.rnd.mendix.com,logs.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afa25308d99dfea1f93f7c214f4dbce6,45a0c4a9e74fa59792c5563f5756b1f9289bb9cc360549020f5e37e055af747f,ctls,logs.rnd.mendix.com,80,http://logs.rnd.mendix.com:80,http,,text/html,GET,52.19.94.252,/,586998417,34.240.130.34,HSTS,14,False,,,,,,,https://logs.rnd.mendix.com,
lyncdiscover.mendix.com,,200,356,lyncdiscover.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.mendix.com,443,https://lyncdiscover.mendix.com:443,https,,application/json,GET,52.112.192.14,/,759158308,2603:1027:0:2::e,Azure,1,False,,True,True,,,Microsoft Corporation,,
mad-2.api.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://mad-2.api.mendix.com:80,http,,text/html,GET,34.253.108.227,/,566218143,52.48.33.14,,14,False,,,,,,,,
mad.apiserver.api.mendix.com,404 Not Found,404,548,mad.apiserver.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,mad.apiserver.api.mendix.com,443,https://mad.apiserver.api.mendix.com:443,https,,text/html,GET,52.48.33.14,/,566218143,52.31.198.43,HSTS,14,False,,True,True,,,,,
marketplace.mendix.com,,200,1221,marketplace.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,marketplace.mendix.com,443,https://marketplace.mendix.com:443,https,nginx,text/html,GET,3.127.11.115,/,605480165,2a05:d014:145:aa01:e7ed:1bdf:317c:168e,Nginx,38,False,,True,,,,,,
