input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_cn,tls_wildcard_certificate,final_url,tech_,csp_domains_,cdn_name,cdn
https://cdn.cookielaw.org,,400,351,cdn.cookielaw.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=cookielaw.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US","Cloudflare, Inc.",*.cookielaw.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",37ab0e71043c8086e3dd0c243ddc96a0,5d2949ef89a4f8bcb4cd2993b031af4344263b2d584da9f9139d2aae7c6cbed2,ctls,cdn.cookielaw.org,443,https://cdn.cookielaw.org:443,https,cloudflare,application/xml,GET,104.19.187.97,/,-977205898,2606:4700::6813:bb61,3,False,cookielaw.org,True,,HSTS,,cloudflare,True
https://docs.google.com/,Sign in - Google Accounts,200,168594,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,443,https://docs.google.com:443,https,ESF,text/html,GET,142.250.186.110,/,-1752499564,2a00:1450:4001:827::200e,124,False,accounts.google.com,True,https://accounts.google.com/v3/signin/identifier?dsh=S889557180%3A1684404544079515&continue=https%3A%2F%2Fdocs.google.com%2F&emr=1&followup=https%3A%2F%2Fdocs.google.com%2F&ifkv=Af_xneG8JmnRifTXPKFvINTJjyIvedof-kZ2mm92xak8WwaoeKdkcoKnWGuv90lXd82YSjNmcSrH&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin,HTTP/3,,,
https://geolocation.onetrust.com,Trust Intelligence Cloud Solutions | OneTrust,200,150200,www.onetrust.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=onetrust.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US","Cloudflare, Inc.",*.ideas.onetrust.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",81af21e10e487dab1df427cfa0c2a800,0ca9fd8a1e76b121ba9c759b684d720c915e7fd0b6010f8aa1877a4ac54b39a2,ctls,www.onetrust.com,443,https://geolocation.onetrust.com:443,https,cloudflare,text/html,GET,172.64.144.98,/,-443572563,2606:4700:4400::6812:2b9e,2431,False,onetrust.com,True,https://www.onetrust.com,Java,*.marketo.net,cloudflare,True
https://mce-temp-1-month.s3.amazonaws.com,,403,243,mce-temp-1-month.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,mce-temp-1-month.s3.amazonaws.com,443,https://mce-temp-1-month.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.217.13.156,/,1418429019,52.217.124.217,2,False,*.s3.amazonaws.com,True,,Amazon Web Services,,,
https://nflx-amsterdam-prod-us-east-1.s3.amazonaws.com,,403,243,nflx-amsterdam-prod-us-east-1.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,nflx-amsterdam-prod-us-east-1.s3.amazonaws.com,443,https://nflx-amsterdam-prod-us-east-1.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.216.131.163,/,104453770,52.217.77.84,2,False,*.s3.amazonaws.com,True,,Amazon Web Services,,,
https://nflx-amsterdam-test-us-east-1.s3.amazonaws.com,,403,275,nflx-amsterdam-test-us-east-1.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,nflx-amsterdam-test-us-east-1.s3.amazonaws.com,443,https://nflx-amsterdam-test-us-east-1.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,3.5.25.20,/,1458869238,3.5.25.177,2,False,*.s3.amazonaws.com,True,,Amazon Web Services,,,
https://privacyportal.onetrust.com,DS Portal,200,1335,privacyportal.onetrust.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=onetrust.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US","Cloudflare, Inc.",app.wopi.onetrust.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c56ae7836c9251730bf8ce178d16bda2,4c7e202f58512c56e95f97e6582038bcd9605e212d5970ecfaf716c2e3566bf1,ctls,privacyportal.onetrust.com,443,https://privacyportal.onetrust.com:443,https,cloudflare,text/html,GET,172.64.144.98,/,378089815,2606:4700:4400::ac40:9062,24,False,onetrust.com,,https://privacyportal.onetrust.com/ui/#/error,HSTS,*.1trust.ninja,cloudflare,True
image.netflix.com,,404,10,image.netflix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US","Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,ctls,image.netflix.com,443,https://image.netflix.com:443,https,AkamaiNetStorage,,GET,23.2.13.203,/,-536011498,23.2.13.139,2,False,a248.e.akamai.net,True,,,,,
images.ctfassets.net,,404,109,images.ctfassets.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-02-16T23:59:59Z,CN=images.ctfassets.net,,images.ctfassets.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0fe1f56fad6c72aff7f3ea2d4cc4472a,5287ae8cf6fb5a88eebdd42e2e7da60dee3d89200c8362212fd46307318a24de,ctls,images.ctfassets.net,443,https://images.ctfassets.net:443,https,CloudFront,application/json,GET,13.32.27.18,/,-1759937580,2600:9000:211e:5e00:12:94b3:c380:93a1,7,False,images.ctfassets.net,,,Amazon Web Services,,cloudfront,True
ir.netflix.com,Netflix - Overview - Profile,200,80885,ir.netflix.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-08-29T00:00:00Z,2023-08-29T23:59:59Z,"CN=ir.netflix.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US","Cloudflare, Inc.",ir.netflix.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",699d2dc6e2cc550a2f39669ae22152b7,53c874a6b6b372218175697155ed144cfbc108fb56b4a54b19b63ebbf41c9e52,ctls,ir.netflix.net,443,https://ir.netflix.com:443,https,cloudflare,text/html,GET,52.31.48.193,/,-696563584,2a05:d018:76c:b680::de70,912,False,ir.netflix.net,,https://ir.netflix.net/ir-overview/profile/default.aspx,Microsoft ASP.NET,,,
login.telekom.hu,Magyar Telekom csoport,200,92262,login.telekom.hu,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-14T10:37:32Z,2024-02-14T10:37:32Z,"CN=*.telekom.hu, O=Magyar Telekom Nyrt., L=Budapest, C=HU",Magyar Telekom Nyrt.,telekom.hu,"CN=NetLock Expressz (Class C) Tanúsítványkiadó, OU=Tanúsítványkiadók (Certification Services), O=NetLock Kft., L=Budapest, C=HU",NetLock Expressz (Class C) Tanúsítványkiadó,NetLock Kft.,44863eab6350cf29c73597a659bfe9b8,c0967a42ac76fa0bee620577bbbc389a258cd9d5924e73e7aa0ee87986b23ba5,ctls,login.telekom.hu,443,https://login.telekom.hu:443,https,Apache,text/html,GET,212.51.65.68,/,747413665,212.51.65.68,683,False,*.telekom.hu,True,,Java,,,
media.netflix.com,Netflix Media Center,200,202171,media.netflix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,"CN=media.netflix.com, O=Netflix\, Inc., L=Los Gatos, ST=California, C=US","Netflix, Inc.",media.netflix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bdf4fa4580f71eedac88a705d452c9e6,0a0feb76d37bc5ea756b6f602bd104c3e3c3fd8210f82c264ff73b7d82350dc7,ctls,media.netflix.com,443,https://media.netflix.com:443,https,pubmediacentersite-prod-secure 2f55eceb-ec04-4c6a-bca6-a26328f55b51,text/html,GET,3.232.120.188,/,471835610,2600:1f18:631e:2f84:e213:a25b:dc86:433b,10,False,media.netflix.com,,https://media.netflix.com/en/,HSTS,downloads.ctfassets.net,,
partner.netflix.com,Netflix Partner Hub,200,3261,partner.netflix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-21T00:00:00Z,2024-03-22T12:00:21Z,"CN=partner.netflix.com, O=Netflix\, Inc., L=Los Gatos, ST=California, C=US","Netflix, Inc.",partner.netflix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0d282c5390fb78cf8b711d17be5c97ac,b5d50b66afc341cb1001f38e07e8a546d8558c59ce99dd3b04a2879dbeebab01,ctls,partner.netflix.com,443,https://partner.netflix.com:443,https,,text/html,GET,52.2.3.79,/,-22842255,2600:1f18:631e:2f83::4ba8:a27,1,False,partner.netflix.com,,https://partner.netflix.com/en,Google Tag Manager,,,
service.netflix.com,HTTP Status 404 – Not Found,404,431,service.netflix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-18T06:18:21Z,2023-06-01T07:18:21Z,"serialNumber=i-00458860204791d41, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",Netflix Inc,ip-2a05-d018-076c-b685-0000-0000-0000-f446.node.netflix.net,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V8, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V8,Netflix Inc,ed58f056dee5eb2804fdedb614ec55d0,0030deb8e0c958755e056254a0235d02cfe7989c41c5335d940a7fb6c9ac49a5,ctls,service.netflix.com,443,https://service.netflix.com:443,https,api-prod i-034e578b322171635,text/html,GET,54.73.148.110,/,-1840324437,2a05:d018:76c:b683:a2cd:4240:8669:6d4,1,False,,,,,,,
shop.netflix.com,The Official Netflix Merch Shop – Netflix Shop,200,238706,www.netflix.shop,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-25T07:10:15Z,2023-07-24T07:10:14Z,CN=www.netflix.shop,,www.netflix.shop,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6ff4ee71fccc1b966fc7c1a87eca4234,7d105b2b2151fae99232752738651f5742c3ab34c6abb4c1ecc39e7dcbb60e00,ctls,www.netflix.shop,443,https://shop.netflix.com:443,https,cloudflare,text/html,GET,46.137.171.215,/,-1840324437,2a05:d018:76c:b684::de70,5613,False,www.netflix.shop,,https://www.netflix.shop/,Shopify,,,
www.chrisoscivil.com.au,Chrisos Civil | Trusted Water Constructions For Over 25 Years,200,155387,www.chrisoscivil.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-22T13:34:01Z,2023-07-21T13:34:00Z,CN=www.chrisoscivil.com.au,,www.chrisoscivil.com.au,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0df8ce510616ae3ac732f2d7382111d9,8983320dce0158c23b7e5040a2e24ebcdaac16d90c049f7452566d735d51ae77,ctls,www.chrisoscivil.com.au,443,https://www.chrisoscivil.com.au:443,https,nginx,text/html,GET,3.127.73.216,/,729790055,18.193.36.153,1629,False,www.chrisoscivil.com.au,,,YouTube,,,
www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,172.217.18.110,/,302920777,2a00:1450:4001:827::200e,1831,False,*.google.com,True,https://marketingplatform.google.com/about/analytics/,HTTP/3,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,
www.telekom.hu,Telekom - Telekom lakossági szolgáltatások,200,163721,www.telekom.hu,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-29T11:59:57Z,2024-03-28T11:59:57Z,"CN=www.telekom.hu, O=Magyar Telekom Nyrt., L=Budapest, C=HU",Magyar Telekom Nyrt.,www.uzletitelekom.hu,"CN=NetLock Expressz (Class C) Tanúsítványkiadó, OU=Tanúsítványkiadók (Certification Services), O=NetLock Kft., L=Budapest, C=HU",NetLock Expressz (Class C) Tanúsítványkiadó,NetLock Kft.,0f45d20babc4777a6cf7da0251e37155,f00e21d01c62a72d701d6ef883831cbaab99fe4ad76dd4b6af50d1b8b9490432,ctls,www.telekom.hu,443,https://www.telekom.hu:443,https,Apache,text/html,GET,212.51.65.65,/,747413665,2001:4c48:2:1::1,1188,False,www.telekom.hu,,https://www.telekom.hu/lakossagi,Java,,,
