input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,csp_domains_,tls_expired,tls_mismatched,tls_self_signed
br1030.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1030.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1030.hostgator.com.br,,443,https://br1030.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.222,/,-1783708853,162.241.203.222,Bootstrap,44,False,,,,,,,
br1032.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1032.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1032.hostgator.com.br,,443,https://br1032.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.227,/,-1783708853,162.241.203.227,Bootstrap,44,False,,,,,,,
br1034.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1034.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1034.hostgator.com.br,,80,http://br1034.hostgator.com.br:80,http,Apache,text/html,GET,162.241.203.232,/,-1783708853,162.241.203.232,Bootstrap,44,False,,,https://br1034.hostgator.com.br/,,,,
br1040.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1040.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1040.hostgator.com.br,,443,https://br1040.hostgator.com.br:443,https,Apache,text/html,GET,162.241.63.1,/,-1783708853,162.241.63.1,Bootstrap,44,False,,,,,,,
br1042.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1042.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1042.hostgator.com.br,,443,https://br1042.hostgator.com.br:443,https,Apache,text/html,GET,162.241.63.6,/,-1783708853,162.241.63.6,Bootstrap,44,False,,,,,,,
br1044.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1044.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1044.hostgator.com.br,,443,https://br1044.hostgator.com.br:443,https,Apache,text/html,GET,108.167.151.32,/,-1783708853,108.167.151.32,Bootstrap,44,False,,,,,,,
br1046.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1046.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1046.hostgator.com.br,,443,https://br1046.hostgator.com.br:443,https,Apache,text/html,GET,108.167.151.37,/,-1783708853,108.167.151.37,Bootstrap,44,False,,,,,,,
br1052.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1052.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1052.hostgator.com.br,,80,http://br1052.hostgator.com.br:80,http,Apache,text/html,GET,108.167.151.80,/,-1783708853,108.167.151.80,Bootstrap,44,False,,,https://br1052.hostgator.com.br/,,,,
br1054.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1054.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1054.hostgator.com.br,,443,https://br1054.hostgator.com.br:443,https,Apache,text/html,GET,108.167.151.85,/,-1783708853,108.167.151.85,Bootstrap,44,False,,,,,,,
br1056.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1056.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1056.hostgator.com.br,,443,https://br1056.hostgator.com.br:443,https,Apache,text/html,GET,108.167.151.90,/,-1783708853,108.167.151.90,Bootstrap,44,False,,,,,,,
br1058.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1058.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1058.hostgator.com.br,,443,https://br1058.hostgator.com.br:443,https,Apache,text/html,GET,108.167.151.95,/,-1783708853,108.167.151.95,Bootstrap,44,False,,,,,,,
br106.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br106.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br106.hostgator.com.br,,443,https://br106.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.149,/,-1783708853,192.185.176.149,Bootstrap,44,False,,,,,,,
br1064.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1064.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1064.hostgator.com.br,,443,https://br1064.hostgator.com.br:443,https,Apache,text/html,GET,69.49.241.21,/,-1783708853,69.49.241.21,Bootstrap,44,False,,,,,,,
