new,host,a,aaaa,soa,status_code,ns,mx,txt,caa
[x],saltyrtc-bf.threema.ch,185.88.236.80,2a02:41b:300a:301::80,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],sfu.test.threema.ch,212.103.68.55,2a00:c38:1fb:302::55,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],sfu1.threema.ch,212.103.68.60,2a00:c38:1fb:302::60,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],shop.test.threema.ch,212.103.68.43,2a00:c38:1fb:302::43,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],shop.threema.ch,185.88.236.123,2a02:41b:300a:301::123,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],static.threema.ch,"185.88.236.85, 185.88.236.68, 212.103.68.4, 188.126.81.131, 95.211.228.137","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2, 2001:1af8:4020:a04c:7::1, 2a02:41b:300a:301::85","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns4.threema.ch, ns1.threema.ch, ns2.threema.ch, ns3.threema.ch",,,
[x],status.threema.ch,"188.126.81.131, 185.88.236.68, 212.103.68.4","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns1.threema.ch, ns3.threema.ch, ns2.threema.ch, ns4.threema.ch",,,
[x],test.threema.ch,212.103.68.46,2a00:c38:1fb:302::46,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,sectigo.com
[x],threema.ch,185.88.236.85,2a02:41b:300a:301::85,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns1.threema.ch, ns2.threema.ch, ns3.threema.ch, ns4.threema.ch",mx.threema.ch,"keybase-site-verification=pt4a2COxL-7z7Ya4U-nrrdll9x7KOPOhmBuhKerW9k4, v=spf1 ip4:185.88.236.64/26 ip6:2a02:41b:300a::/48 ip4:212.103.68.0/26 ip6:2a00:c38:1fb::/48 a mx -all, swisssign-check=un5czwurpbCXOhxqnKqXtz7rhDY, google-site-verification=ObLqXTWfU-xoUe_8ZIvbRh5pIkNbOJjjEiCLZ8Fthnk","entrust.net, mailto:security@threema.ch, swisssign.com"
[x],turn-2e.threema.ch,,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],turn-54.threema.ch,,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],video.threema.ch,185.88.236.98,2a02:41b:300a:301::98,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],web-beta.threema.ch,212.103.68.12,2a00:c38:1fb:302::12,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],web-staging.threema.ch,185.88.236.82,2a02:41b:300a:301::82,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],web-work.threema.ch,"185.88.236.108, 185.88.236.109, 212.103.68.33, 212.103.68.34","2a00:c38:1fb:302::33, 2a00:c38:1fb:302::34, 2a02:41b:300a:301::108, 2a02:41b:300a:301::109","ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],web.threema.ch,"212.103.68.34, 185.88.236.109, 185.88.236.108, 212.103.68.33","2a02:41b:300a:301::108, 2a00:c38:1fb:302::33, 2a00:c38:1fb:302::34, 2a02:41b:300a:301::109","ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],work.test.threema.ch,212.103.68.54,2a00:c38:1fb:302::54,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],www.test.threema.ch,212.103.68.46,2a00:c38:1fb:302::46,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
