input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,tls_mismatched
api2.threema.ch,403 Forbidden,403,146,api2.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:29:35Z,2024-10-19T12:29:35Z,"CN=api2.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",api2.threema.ch,Threema GmbH,ds.api2.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,80d0af901e75c25929ced5d46d01f164,de97534f1ea75613acc0c13e53e7937f5121d5d8f27ad4689f2954f10bd4adbb,,ctls,api2.threema.ch,443,https://api2.threema.ch:443,https,nginx,text/html,GET,212.103.68.14,/,1494302000,185.88.236.83,Nginx,8,False,,,
avatar.threema.ch,403 Forbidden,403,146,avatar.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,avatar.threema.ch,443,https://avatar.threema.ch:443,https,nginx,text/html,GET,185.88.236.120,/,1494302000,2a02:41b:300a:301::120,Nginx,8,False,,,
blob-32.threema.ch,403 Forbidden,403,146,blob-32.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,blob-32.threema.ch,443,https://blob-32.threema.ch:443,https,nginx,text/html,GET,212.103.68.25,/,-1561873722,212.103.68.25,Nginx,8,False,,,True
blob-upload.threema.ch,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,80,http://blob-upload.threema.ch:80,http,nginx,text/html,GET,185.88.236.71,/,1494302000,212.103.68.13,Nginx,8,False,,,
blobp-22.threema.ch,403 Forbidden,403,146,blobp-22.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,blobp-22.threema.ch,443,https://blobp-22.threema.ch:443,https,nginx,text/html,GET,185.88.236.73,/,-1561873722,185.88.236.73,Nginx,8,False,,,
blobp-24.threema.ch,403 Forbidden,403,146,blobp-24.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,blobp-24.threema.ch,443,https://blobp-24.threema.ch:443,https,nginx,text/html,GET,185.88.236.106,/,-1561873722,185.88.236.106,Nginx,8,False,,,
broadcast.threema.ch,Threema Broadcast – Targeted One-to-Many Communication – Threema Work,200,75738,threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,threema.ch,80,http://broadcast.threema.ch:80,http,nginx,text/html,GET,185.88.236.92,/,-323071238,2a02:41b:300a:301::92,Nginx,642,False,,https://threema.ch/en/broadcast,
bugs.threema.ch,403 Forbidden,403,146,bugs.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,bugs.threema.ch,443,https://bugs.threema.ch:443,https,nginx,text/html,GET,185.88.236.119,/,-1561873722,2a02:41b:300a:301::119,Nginx,8,False,,,
cms.threema.ch,403 Forbidden,403,146,cms.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,cms.threema.ch,443,https://cms.threema.ch:443,https,nginx,text/html,GET,185.88.236.85,/,-1561873722,185.88.236.85,Nginx,8,False,,,
ds-apip.threema.ch,Threema – The Secure Messenger For Individuals and Companies,200,71971,threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,threema.ch,80,http://ds-apip.threema.ch:80,http,nginx,text/html,GET,185.88.236.83,/,-323071238,2a00:c38:1fb:302::14,Nginx,696,False,,https://threema.ch/en,
ds-blobp-22.threema.ch,403 Forbidden,403,146,ds-blobp-22.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-22.threema.ch,443,https://ds-blobp-22.threema.ch:443,https,nginx,text/html,GET,185.88.236.73,/,-1561873722,2a02:41b:300a:301::73,Nginx,8,False,,,
ds-blobp-23.threema.ch,403 Forbidden,403,146,ds-blobp-23.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-23.threema.ch,443,https://ds-blobp-23.threema.ch:443,https,nginx,text/html,GET,185.88.236.102,/,-1561873722,2a02:41b:300a:301::102,Nginx,8,False,,,
ds-blobp-24.threema.ch,403 Forbidden,403,146,ds-blobp-24.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-24.threema.ch,443,https://ds-blobp-24.threema.ch:443,https,nginx,text/html,GET,185.88.236.106,/,-1561873722,2a02:41b:300a:301::106,Nginx,8,False,,,
ds-blobp-25.threema.ch,403 Forbidden,403,146,ds-blobp-25.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-25.threema.ch,443,https://ds-blobp-25.threema.ch:443,https,nginx,text/html,GET,185.88.236.72,/,-1561873722,2a02:41b:300a:301::72,Nginx,8,False,,,
ds-blobp-31.threema.ch,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,,80,http://ds-blobp-31.threema.ch:80,http,nginx,text/html,GET,212.103.68.17,/,-1561873722,2a00:c38:1fb:302::17,Nginx,8,False,,,
ds-blobp-32.threema.ch,403 Forbidden,403,146,ds-blobp-32.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-32.threema.ch,443,https://ds-blobp-32.threema.ch:443,https,nginx,text/html,GET,212.103.68.25,/,-1561873722,2a00:c38:1fb:302::25,Nginx,8,False,,,
ds-blobp-33.threema.ch,403 Forbidden,403,146,ds-blobp-33.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-33.threema.ch,443,https://ds-blobp-33.threema.ch:443,https,nginx,text/html,GET,212.103.68.29,/,-1561873722,2a00:c38:1fb:302::29,Nginx,8,False,,,
ds-blobp-34.threema.ch,403 Forbidden,403,146,ds-blobp-34.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-34.threema.ch,443,https://ds-blobp-34.threema.ch:443,https,nginx,text/html,GET,212.103.68.32,/,-1561873722,2a00:c38:1fb:302::32,Nginx,8,False,,,
ds-blobp-35.threema.ch,403 Forbidden,403,146,ds-blobp-35.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-35.threema.ch,443,https://ds-blobp-35.threema.ch:443,https,nginx,text/html,GET,212.103.68.24,/,-1561873722,2a00:c38:1fb:302::24,Nginx,8,False,,,
ds.api.threema.ch,403 Forbidden,403,146,ds.api.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:28:28Z,2024-10-19T12:28:28Z,"CN=api.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",api.threema.ch,Threema GmbH,ds.api.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,4e7728ff0fca12a03aaaeaebcd4dd131,560bfb9ff9aae5453f5baf94be0731bca18e3faceb4a8c8cff8140731cbe9c6e,,ctls,ds.api.threema.ch,443,https://ds.api.threema.ch:443,https,nginx,text/html,GET,185.88.236.83,/,1494302000,2a02:41b:300a:301::83,Nginx,8,False,,,
dtp.threema.ch,401 Authorization Required,401,172,dtp.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,dtp.threema.ch,443,https://dtp.threema.ch:443,https,nginx,text/html,GET,185.88.236.75,/,-1710455754,2a02:41b:300a:301::75,Nginx,8,False,,,
eu-1.sfu.threema.ch,,400,,eu-1.sfu.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-14T00:00:00Z,2023-12-15T23:59:59Z,CN=*.sfu.threema.ch,*.sfu.threema.ch,,sfu.threema.ch,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,fafdd2b092062cd0769651e834938113,67b250d4ef5f44f67ac84d08b1e39605a193ea03af871649759834656c868aee,True,ctls,eu-1.sfu.threema.ch,443,https://eu-1.sfu.threema.ch:443,https,nginx,,GET,85.17.249.102,/,190856733,2001:1af8:4100:a05c:3::1,Nginx,1,False,,,
eu-2.sfu.threema.ch,,400,,eu-2.sfu.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-14T00:00:00Z,2023-12-15T23:59:59Z,CN=*.sfu.threema.ch,*.sfu.threema.ch,,sfu.threema.ch,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,fafdd2b092062cd0769651e834938113,67b250d4ef5f44f67ac84d08b1e39605a193ea03af871649759834656c868aee,True,ctls,eu-2.sfu.threema.ch,443,https://eu-2.sfu.threema.ch:443,https,nginx,,GET,37.48.115.152,/,190856733,2001:1af8:4700:a112:3::1,Nginx,1,False,,,
fs.threema.ch,403 Forbidden,403,199,fs.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,fs.threema.ch,443,https://fs.threema.ch:443,https,Apache,text/html,GET,185.88.236.97,/,-855688948,2a02:41b:300a:301::97,Apache,8,False,,,
gateway.threema.ch,Threema Gateway - Send and receive Threema messages with your own software.,200,7126,gateway.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,gateway.threema.ch,443,https://gateway.threema.ch:443,https,nginx,text/html,GET,185.88.236.118,/,-323071238,2a02:41b:300a:301::118,Nginx,102,False,https://static.threema.ch,https://gateway.threema.ch/en,
