new,host,ttl,a,soa,status_code,txt,cname,caa,ns,mx,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
,autodiscover.portofantwerpbruges.com,900,"52.98.241.200, 52.98.241.168, 52.98.243.40, 40.99.150.88","{'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024536651, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'tm-4.office.com', 'ns': 'ns1-34.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024271545, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024256887, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",NOERROR,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c06:1456::8, 2603:1026:c06:180d::8, 2603:1026:c06:148a::8, 2603:1026:c06:140c::8",,,,
,bd77exw.139709035t.message.portofantwerpbruges.com,900,"143.244.82.210, 188.118.8.124, 94.107.237.194","{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,"ns1.portofantwerpbruges.com, ns2.portofantwerpbruges.com",,,,,,
,bedrijvengids.portofantwerpbruges.com,900,20.56.209.121,"{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
,bes.portofantwerp.com,900,,"{'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,"be.bbsecure.com, nl.bbsecure.blackberry.com, eu-bcp-bbsecure.trafficmanager.net, noreur-eu-bcp-bbsecure.northeurope.cloudapp.azure.com",,,,,,,,
,cctvweb.portofantwerp.com,900,94.107.237.215,"{'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
,check.portofantwerp.com,300,,"{'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
,cn.portofantwerpbruges.com,298,,"{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,letsencrypt.org,,,,,,,
,companyguide.portofantwerpbruges.com,900,20.56.209.121,"{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,bedrijvengids.portofantwerpbruges.com,,,,,,,,
,connective-test.portofantwerpbruges.com,900,104.47.156.29,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,waf-acc-we.westeurope.cloudapp.azure.com,,,,,,,,
,connective.portofantwerpbruges.com,900,20.126.207.36,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,"cnve-waf-eu-02.trafficmanager.net, waf-we-03.westeurope.cloudapp.azure.com, waf-ne-03.northeurope.cloudapp.azure.com",,,,,,,,
,dbt-docs.datafabric.portofantwerpbruges.com,900,20.101.2.157,"{'name': 'azurewebsites.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2012084163, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'azurewebsites.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2012084163, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'azurewebsites.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2012084163, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'azurewebsites.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2012084163, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'azurewebsites.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2012084163, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,"witty-ground-0d00d5903.3.azurestaticapps.net, azurestaticapps3.trafficmanager.net, msha-slice-3-am2-0.msha-slice-3-am2-0-ase.p.azurewebsites.net, waws-prod-am2-4f0021d1.sip.p.azurewebsites.windows.net, msha-slice-3-am2-1.msha-slice-3-am2-1-ase.p.azurewebsites.net, waws-prod-am2-19833c46.sip.p.azurewebsites.windows.net, msha-slice-3-eus2-0.msha-slice-3-eus2-0-ase.p.azurewebsites.net, waws-prod-bn1-ee09ea59.sip.p.azurewebsites.windows.net",,,,,,,,
,digital.portofantwerp.com,790,"79.125.77.3, 34.254.23.89","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,"digital-portofantwerp-1-2.nxt.unifiedpost.com, nxt-1-2-frontend-portofantwerp-1949769235.eu-west-1.elb.amazonaws.com",,,,,,,,
,digital.portofantwerpbruges.com,300,,"{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
,droneportal-test.portofantwerp.com,616,20.71.75.76,"{'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,poa-uat.unifly.tech,letsencrypt.org,,,,,,,
