new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips
,report.oyorooms.com,"34.233.217.125, 184.72.127.201",,"privatedomain.sgizmo.com, privatedomain.alchemer.com, alc-produsa-haproxy-webs-pd-e20086d8707973c2.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
,rm.oyorooms.com,"104.18.27.189, 104.18.26.189","2606:4700::6812:1abd, 2606:4700::6812:1bbd",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,,
,sandbox.oyorooms.com,10.73.133.119,,"corppartnerapiservice.incubate.oyorooms.ms, zd-internal.oyorooms.ms","ns-2035.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,10.73.133.119
,scan.oyorooms.com,2.17.184.252,,"scan.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,seo.oyorooms.com,"95.101.111.182, 95.101.111.142",,"seo.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,share.oyorooms.com,"54.177.1.46, 13.56.89.211, 13.57.112.110, 52.8.221.65, 52.9.27.114, 52.9.67.255, 52.9.111.24, 54.153.11.198",,custom.bnc.lt,"ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com","digicert.com, entrust.net, letsencrypt.org",NOERROR,,,,,,,
,sip.oyorooms.com,10.10.65.13,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.10.65.13
,sso.oyorooms.com,"95.101.111.182, 95.101.111.142",,"sso.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,surveys.oyorooms.com,"95.101.74.150, 95.101.74.148",,"surveys.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,talk.oyorooms.com,10.20.14.50,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.20.14.50
,tech.oyorooms.com,"162.159.153.4, 162.159.152.4",,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,cloudflare,,,,,
,test12.oyorooms.com,"2.16.187.114, 2.16.187.51",,"calllog-api.oyorooms.com, calllog-api.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,testbff.oyorooms.com,2.23.129.104,"2001:2030:21:182::a38, 2001:2030:21:1b4::a38","testbff.oyorooms.com.edgekey.net, e2616.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,vikreta.oyorooms.com,,,"vikreta.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,vision.oyorooms.com,"2.16.187.51, 2.16.187.114",,"vision.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,vpn.oyorooms.com,18.138.91.210,,,"ns-1367.awsdns-42.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,"ns-797.awsdns-35.net, ns-1367.awsdns-42.org, ns-1638.awsdns-12.co.uk, ns-29.awsdns-03.com",,,
,wakai.oyorooms.com,2.17.184.252,,"wakai.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,workspaces.oyorooms.com,"23.0.174.82, 23.0.174.88",,"workspaces.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,www.email1.oyorooms.com,153.92.246.231,,email1.oyorooms.com,"ns1.sendinblue.com, hostmaster.sendinblue.com",,NOERROR,,,email1.oyorooms.com,"ns2.sendinblue.com, ns1.sendinblue.com",v=spf1 include:spf.sendinblue.com mx ~all,,
,www.oyorooms.com,"23.43.58.152, 23.43.58.146","2600:1408:7400::6006:2aca, 2600:1408:7400::6006:2adb","www.oyorooms.com.edgekey.net, e27326.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
