input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_issuer_org_,webserver,tech_,final_url,cdn_name,cdn,tls_subject_org_,csp_domains_
5a34f.next.nos.nl,,503,2503,5a34f.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,5a34f.next.nos.nl,443,https://5a34f.next.nos.nl:443,https,text/html,GET,3.121.124.228,/,1539244717,3.120.103.242,94,False,,,,,,,,
69-171-232-73.next.nos.nl,,503,2503,69-171-232-73.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,69-171-232-73.next.nos.nl,443,https://69-171-232-73.next.nos.nl:443,https,text/html,GET,3.68.44.35,/,1539244717,35.158.83.254,94,False,,,,,,,,
692-03.next.nos.nl,,503,2503,692-03.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,692-03.next.nos.nl,443,https://692-03.next.nos.nl:443,https,text/html,GET,3.120.103.242,/,1539244717,3.68.44.35,94,False,,,,,,,,
7-9-88-9.next.nos.nl,,503,2503,7-9-88-9.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,7-9-88-9.next.nos.nl,443,https://7-9-88-9.next.nos.nl:443,https,text/html,GET,3.68.44.35,/,1539244717,3.67.232.176,94,False,,,,,,,,
7-9-9-9-9.next.nos.nl,,503,2503,7-9-9-9-9.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,7-9-9-9-9.next.nos.nl,443,https://7-9-9-9-9.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,3.121.124.228,94,False,,,,,,,,
711d-2aed.next.nos.nl,,503,2503,711d-2aed.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,711d-2aed.next.nos.nl,443,https://711d-2aed.next.nos.nl:443,https,text/html,GET,3.121.124.228,/,1539244717,3.68.44.35,94,False,,,,,,,,
75-2-95.next.nos.nl,,503,2503,75-2-95.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,75-2-95.next.nos.nl,443,https://75-2-95.next.nos.nl:443,https,text/html,GET,3.67.232.176,/,1539244717,52.57.112.111,94,False,,,,,,,,
86-6-1.next.nos.nl,,503,2503,86-6-1.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,86-6-1.next.nos.nl,443,https://86-6-1.next.nos.nl:443,https,text/html,GET,3.120.103.242,/,1539244717,3.68.44.35,94,False,,,,,,,,
abovelendingsupport.next.nos.nl,,503,2503,abovelendingsupport.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,abovelendingsupport.next.nos.nl,443,https://abovelendingsupport.next.nos.nl:443,https,text/html,GET,3.67.232.176,/,1539244717,35.158.83.254,94,False,,,,,,,,
acc-ash2-dc10-904-1.next.nos.nl,,503,2503,acc-ash2-dc10-904-1.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,acc-ash2-dc10-904-1.next.nos.nl,443,https://acc-ash2-dc10-904-1.next.nos.nl:443,https,text/html,GET,3.120.103.242,/,1539244717,52.57.112.111,94,False,,,,,,,,
acc-lon2-s3a07-1.next.nos.nl,,503,2503,acc-lon2-s3a07-1.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,acc-lon2-s3a07-1.next.nos.nl,443,https://acc-lon2-s3a07-1.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,3.68.44.35,94,False,,,,,,,,
acc-lon2-s3b12-1.next.nos.nl,,503,2503,acc-lon2-s3b12-1.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,acc-lon2-s3b12-1.next.nos.nl,443,https://acc-lon2-s3b12-1.next.nos.nl:443,https,text/html,GET,3.120.103.242,/,1539244717,3.68.44.35,94,False,,,,,,,,
acc-origin.nos.nl,ERROR: The request could not be satisfied,403,919,acc.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,,2023-07-08T00:00:00Z,2024-08-05T23:59:59Z,CN=acc.nos.nl,acc.nos.nl,acc.nos.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,645b170fb3a33a1d200deadb93003aae,b9f6af5c5bda26635f655ab78c1ad4b822662063a7527286e549eb63bc8c9093,,ctls,acc.nos.nl,443,https://acc-origin.nos.nl:443,https,text/html,GET,3.121.124.228,/,-169584015,3.67.232.176,20,False,Amazon,CloudFront,Amazon Web Services,https://acc.nos.nl/,,,,
acc.next.nos.nl,ERROR: The request could not be satisfied,403,919,acc.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,,2023-07-08T00:00:00Z,2024-08-05T23:59:59Z,CN=acc.nos.nl,acc.nos.nl,acc.nos.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,645b170fb3a33a1d200deadb93003aae,b9f6af5c5bda26635f655ab78c1ad4b822662063a7527286e549eb63bc8c9093,,ctls,acc.nos.nl,443,https://acc.next.nos.nl:443,https,text/html,GET,3.68.44.35,/,1885305444,3.67.232.176,20,False,Amazon,CloudFront,Amazon Web Services,https://acc.nos.nl/,,,,
accesscap.next.nos.nl,,503,2503,accesscap.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,accesscap.next.nos.nl,443,https://accesscap.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,35.158.83.254,94,False,,,,,,,,
adddeprecatedtoreactcomponents.next.nos.nl,,503,2503,adddeprecatedtoreactcomponents.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,adddeprecatedtoreactcomponents.next.nos.nl,443,https://adddeprecatedtoreactcomponents.next.nos.nl:443,https,text/html,GET,3.67.232.176,/,1539244717,3.120.103.242,94,False,,,,,,,,
addregionvideonormalizer.next.nos.nl,,503,2503,addregionvideonormalizer.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,addregionvideonormalizer.next.nos.nl,443,https://addregionvideonormalizer.next.nos.nl:443,https,text/html,GET,3.68.44.35,/,1539244717,3.67.232.176,94,False,,,,,,,,
admintest-slaveconfig.next.nos.nl,,503,2503,admintest-slaveconfig.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,admintest-slaveconfig.next.nos.nl,443,https://admintest-slaveconfig.next.nos.nl:443,https,text/html,GET,3.67.232.176,/,1539244717,3.120.103.242,94,False,,,,,,,,
agency-dev.next.nos.nl,,503,2503,agency-dev.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,agency-dev.next.nos.nl,443,https://agency-dev.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,3.120.103.242,94,False,,,,,,,,
agendaslider-files.next.nos.nl,,503,2503,agendaslider-files.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,agendaslider-files.next.nos.nl,443,https://agendaslider-files.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,3.67.232.176,94,False,,,,,,,,
ajitdigitalhub.next.nos.nl,,503,2503,ajitdigitalhub.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,ajitdigitalhub.next.nos.nl,443,https://ajitdigitalhub.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,35.158.83.254,94,False,,,,,,,,
akastg-cache-int.next.nos.nl,,503,2503,akastg-cache-int.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,akastg-cache-int.next.nos.nl,443,https://akastg-cache-int.next.nos.nl:443,https,text/html,GET,52.57.112.111,/,1539244717,3.68.44.35,94,False,,,,,,,,
aladybug2.next.nos.nl,,503,2503,aladybug2.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,aladybug2.next.nos.nl,443,https://aladybug2.next.nos.nl:443,https,text/html,GET,3.120.103.242,/,1539244717,3.68.44.35,94,False,,,,,,,,
alemadi.next.nos.nl,,503,2503,alemadi.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,alemadi.next.nos.nl,443,https://alemadi.next.nos.nl:443,https,text/html,GET,3.67.232.176,/,1539244717,52.57.112.111,94,False,,,,,,,,
amp.nos.nl,"NOS.nl - Nieuws, Sport en Evenementen | Nederlandse Omroep Stichting",200,717564,nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,,2023-06-05T00:00:00Z,2024-06-05T23:59:59Z,"CN=nos.nl, O=Nederlandse Omroep Stichting, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL, serialNumber=32142157, businessCategory=Private Organization, jurisdictionCountry=NL",nos.nl,www.nos.nl,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,e5781915b4c90f15c6ee93c8f1d603a5,50eb594c7e5bdc3d66775bfff63882aa042c85b09b2c5a21148ecc0d7e012687,,ctls,nos.nl,443,https://amp.nos.nl:443,https,text/html,GET,52.57.112.111,/,1178320494,35.158.83.254,687,False,Sectigo Limited,nginx,webpack,https://nos.nl/,,,Nederlandse Omroep Stichting,
amp1-5.next.nos.nl,,503,2503,amp1-5.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,amp1-5.next.nos.nl,443,https://amp1-5.next.nos.nl:443,https,text/html,GET,3.68.44.35,/,1539244717,35.158.83.254,94,False,,,,,,,,
analyse-api.lab.nos.nl,,404,63,analyse-api.lab.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,,2023-06-12T01:58:47Z,2023-09-10T01:58:46Z,CN=analyse-api.lab.nos.nl,analyse-api.lab.nos.nl,analyse-api.lab.nos.nl,"CN=R3, O=Let's Encrypt, C=US",R3,588ab979d67fa667af875e3417a7f5b4,1455cf39b7bdf4efeb869bc15694d27f2d57cf375dc0bfc8010354f305c5a58a,,ctls,analyse-api.lab.nos.nl,443,https://analyse-api.lab.nos.nl:443,https,application/json,GET,3.121.124.228,/,-1793755213,52.57.112.111,1,False,Let's Encrypt,nginx/1.19.10,Node.js,,,,,
analyse.lab.nos.nl,NOS Artikelanalyse,200,76134,analyse.lab.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,,2023-06-12T01:59:40Z,2023-09-10T01:59:39Z,CN=analyse.lab.nos.nl,analyse.lab.nos.nl,analyse.lab.nos.nl,"CN=R3, O=Let's Encrypt, C=US",R3,2bbd0e43fd3748b5f0fa16af67024b13,6469a07e32ea96f782ca9342a9d0723ad95b69f4d6abf72542e77ac6bca95449,,ctls,analyse.lab.nos.nl,443,https://analyse.lab.nos.nl:443,https,text/html,GET,35.158.83.254,/,2001933915,3.120.103.242,1,False,Let's Encrypt,nginx/1.19.10,webpack,,,,,
anchorvisited.next.nos.nl,,503,2503,anchorvisited.next.nos.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,True,2020-06-16T08:15:46Z,2022-06-16T08:15:47Z,CN=*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,*.apps.nos.cluster.chp4.io,CN=ingress-operator@1591789653,ingress-operator@1591789653,cd00c995b038a5592304aadd7883cbbe,38074418a281f46e71324a5f56455dc66cad3062df5faa9a9224bf884eb71fbf,True,ctls,anchorvisited.next.nos.nl,443,https://anchorvisited.next.nos.nl:443,https,text/html,GET,35.158.83.254,/,1539244717,3.121.124.228,94,False,,,,,,,,
