input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_wildcard_certificate,csp_domains_,tls_mismatched
dashboard.santos.com,Dashboard,200,2454,dashboard.santos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,dashboard.santos.com,443,https://dashboard.santos.com:443,https,text/html,GET,13.75.138.224,/,-2041279747,,13.75.138.224,Windows Server,51,False,azure,Microsoft-IIS/10.0,True,True,,
digify.santos.com,Digify,200,25178,digify.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-04T23:59:59Z,CN=digify.santos.com,digify.santos.com,,digify.santos.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c18315a2207021c1b4d36d6a3d1ed736,9086be8217fefed3d7ecb15e27e5286d702e2902e16cb933f4e4e3bab615488d,ctls,digify.santos.com,443,https://digify.santos.com:443,https,text/html,GET,143.204.215.91,/,-20275242,,2600:9000:214f:1400:3:e3a5:d400:93a1,Windows Server,146,False,cloudfront,Microsoft-IIS/10.0,True,,,
docusign.santos.com,Sign in to your account,200,51036,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://docusign.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrAUlVNHM2aVZ5Y3p6akgxdDhBaVdqTFlxRGg1bmM1cUtkdzJ3RFhpYUpJVjZ2N1dfUlhsM21ZUnVROEF4ODZEbHM2UVppaC1hQnozOHV5bjMyb0xVRjcwM1FuZ0tST0R2V2tKM1h2OXdneHRUV1p1dHpZSGhkd202MDBrOV9DUzRkRGhoYTB3R2I5YjlIM3hTTkdhTjRGQ3lQT3VfS1RtZGFLby1aWUI1WlFyVQkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPTkyNTI5NjM3LWQ0N2QtNDdkMC04NDhjLTNhZDczNWQxMTRmYiZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAFXYTlvY0o2RE1LeGtsTVhEMGV2OTQ4V1I4Q3BrYV8zQklOV0piMGJpZTBGSmVScTF1SkQ3QTVLSzdyN25lZGpRQ2RJZVVBcTl2MF92c3duemhsbEF0RXBROUM3OHZiS204d01sRUh5WkxNRUhBYTJLUjYzMExqa3FfRTJUQ2tMSmJVREFBU0FPYnc0RHFSYVVURXNwUjFteXVjREdWTXgyNFktaXdaNElmM0c0UHBtUlAwX041dnI3RkJlNWdRdEo&nonce=1689911462.96SJ_bH4jvINsYS5T3h49w&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
ebb.santos.com,Santos Australia Gas Nomination Login,200,6726,ebb.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T08:32:47Z,2023-10-29T08:32:47Z,CN=imperva.com,imperva.com,,imperva.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,558d234d8e674e5b833f02bce7cc7772,a19cd904e6b88b573466732aa62b70912d7fadae1168c5612f997705d2861f2e,ctls,ebb.santos.com,443,https://ebb.santos.com:443,https,text/html,GET,45.60.87.127,/,1504347595,https://ebb.santos.com/Site/EBB_Login.asp,45.60.87.127,Windows Server,124,False,incapsula,Microsoft-IIS/10.0,True,True,,
ec2power.santos.com,403 Forbidden,403,303,,,,,,,,,,,,,,,,,,,80,http://ec2power.santos.com:80,http,text/html,GET,52.95.130.159,/,1225322224,,52.95.128.189,Amazon Web Services,14,False,,AmazonS3,,,,
enterpriseenrollment.santos.com,Microsoft Intune admin center,200,42702,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,ctls,intune.microsoft.com,443,https://enterpriseenrollment.santos.com:443,https,text/html,GET,20.91.147.72,/,1631801191,https://intune.microsoft.com/,20.91.147.72,HSTS,4,False,,,,,,
externalperstorefront.santos.com,NetScaler AAA,200,42775,externalperstorefront.santos.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,externalperstorefront.santos.com,443,https://externalperstorefront.santos.com:443,https,text/html,GET,103.54.238.204,/,12023395,https://externalperstorefront.santos.com/logon/LogonPoint/tmindex.html,103.54.238.204,HSTS,721,False,,Apache,,True,,
falcon.santos.com,Sign in to your account,200,50795,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://falcon.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrAUhnYW1DYWhkUzRTVXB2WnZQWWZHc24zV1RrSG51VEwtSjNrZGdMNlY0eDRpa2EyS0dGTDRVYmluTUxLZ0JKTmljcEdpSXp4YUpNVjhQRlRrWlFQX3RPN0c4SGZWMjNCZXRsZ1daV2VLTzNwNXAzc1o2YXBTMjlZWV9fRFJHcFUzSHBzb0lPYjVaYl9rRjRkVlF2TC04a3EtZzZvN2RPZHJ5c2h0OFN3TjhpYwkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPTI3YTFhMmZkLTA4NWItNGVmYi05NTg3LWJkZTA3NmIxNDNlOCZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAF1ell4dU1pWDJad3QxME1SN1pTTTVUN0Y3QmhLY1VUdkFnYVJhWUQteV8wdXdRaFRTQjRBOGlieFJRcnRRdFJqd2tDMkZDZU9ZTVY3Qmlqb3RSZ3ZTeDRtM2ExQUh3Nmdsd2dteTZ4cW8yWWtqNGZuRlhnaFdKSVlsdm9zYVBNUnlHTU53Tm0yT3ZSU0ZERWpLVDF5QkVtcnMyUlE2Y1VtWndWbVJ3OTJTSTZqdGhzZWZaVzZNNlRvbElicDdTdEk&nonce=1689911462.2XAyzF2NUznNdUZzUFmpTw&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
flp.santos.com,Sign in to your account,200,38813,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://flp.santos.com:443,https,text/html,GET,45.60.87.127,/,-1028086690,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/saml2?SAMLRequest=fZFfS8MwFMW%2FSsl72qTt1i2shWERCipjEx98kTS9cYE0qUnqn29vW1Hmg75dzr3nnPzIzvNeD2w%2FhrM5wssIPkRNXaITSdO2aPkG07XgmEIHeLMFiTNOaAcyL%2BR6haIHcF5ZU6I0JihqvB%2BhMT5wEyaJpBkmBU7pPcnYijKSPaKonhqU4WFxnUMYPEsSbZ%2BViXslnPVWBmu0MhAL2yd5XvCtaLe4TTOC83UrcZtPEy%2FarVwRyASFZGZIUXRtnYCFpESSaw%2Fziw7ce%2FUKP8p7r41nC3WJRmeY5V55ZngPngXBTvvbGzbRsMHZYIXVqNrN12yBcxf%2B%2F%2B1TLbiZElXflPPu6XCsd8lF4Ff6wO6mhKY%2BWK3Ex0zS8%2FB3AY3poqgOy%2BWUjcYPIJRU0KFor7V9u3LAw8Qd3Agoqb5Kf%2F909Qk%3D&RelayState=oucqssbxbayorwcaoredeoyzefotaqrdefuxfwv&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=Z01v9vPvZp%2BTQPNMWeOrsEkMd5IjvegQ9c98JtWi9yBnGaryQpgN0G1ZKfLsO2DlDa2EjV868c2OSqujgH6cFsLwyPXLw36pxmP5L6zxZpXLm3%2FKXQInV2%2FgOSI2%2BIJAUm9DiVnseGOxRsR2uf4ORafwnp5RL8oL1WqC56Tk9xcl5HbNsqoEl%2FhwI2DlWFeh8HHt1vEDAzZJvDpo%2BYMn8leLuJYytBHBuwl0uB3d4B%2Ft0XTulP9x9t1RzqWjj%2B63cp8JbIWemsjzJjpN1RAfaG%2BzDma6TADwvsjAVbMn8QD%2FfHpjYFjdbauyUcL9eMVwrJ9CFaq1T7IYGoH8S9GLfXNJPQBqyyd7j3wIvJAFb4q03Sl8v3IMjSfNpgQVpoQlYVLonWhozg4B5cP%2B2F04WDlhHTMbxiwJUvassd6%2F%2BMGl4AkIUkkZZDYTK3CSl1KD3200FlYbCl2jd%2F2d13YTFthFeRtpL8sCdk4IDL%2BZvtV2dIh%2BgdSIG%2BAOhpSc7AYW,45.60.87.127,HSTS,95,False,incapsula,,True,,,
inside.santos.com,NetScaler AAA,200,42775,storefront.santos.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,storefront.santos.com,443,https://inside.santos.com:443,https,text/html,GET,23.101.224.24,/,-59742318,https://storefront.santos.com/logon/LogonPoint/tmindex.html,23.101.224.24,HSTS,721,False,azure,Apache,True,True,,
insurance.santos.com,Log In ‹ Santos Insurance — WordPress,200,10780,insurance.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=insurance.santos.com,insurance.santos.com,,www.insurance.santos.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b4f8151be57780d417ea386694391011,b7729ef69190729218d215d20562663c3f2170e2e28677a8af03e7df3250268b,ctls,insurance.santos.com,443,https://insurance.santos.com:443,https,text/html,GET,143.204.215.127,/,817049693,https://insurance.santos.com/wp-login.php?redirect_to=https%3A%2F%2Finsurance.santos.com%2F&reauth=1,2600:9000:214f:7800:16:40a4:6340:93a1,WordPress,168,False,cloudfront,nginx,True,,,
irr.santos.com,Integrated Risk Register,200,6150,irr.santos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,irr.santos.com,443,https://irr.santos.com:443,https,text/html,GET,13.75.138.224,/,549005556,,13.75.138.224,Windows Server,46,False,azure,Microsoft-IIS/10.0,True,True,,
kelvin-cooper.santos.com,Kelvin Maps,200,860,kelvin-cooper.santos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-16T23:59:59Z,CN=kelvin-cooper.santos.com,kelvin-cooper.santos.com,,www.kelvin-cooper.santos.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,270ebf1612bffa27e09c5d0dc923426b,3269751ab0ece29d4c14b2a0c43d0dcc5ae989121c1af5ac0296d1f378301af7,ctls,kelvin-cooper.santos.com,443,https://kelvin-cooper.santos.com:443,https,text/html,GET,52.65.114.60,/,1080280624,https://kelvin-cooper.santos.com/maps/,3.25.6.152,HSTS,1,False,,,,,*.atlassian.com,
kelvin-csg.santos.com,SmartPCP™,200,7599,kelvin-csg.santos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-16T23:59:59Z,CN=kelvin-csg.santos.com,kelvin-csg.santos.com,,www.kelvin-csg.santos.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,fe7716a3f1b3fdb74e39a19b8b76a671,fc5b47179af37d70763ae0af08171dec4dff6287c61b4b93d862a69f7cf846ef,ctls,kelvin-csg.santos.com,443,https://kelvin-csg.santos.com:443,https,text/html,GET,52.22.151.212,/,4809844,https://kelvin-csg.santos.com/smartpcp/login?callbackUrl=%2F,3.221.34.232,webpack,9,False,,,,,*.kelvin.ai,
lms-azure.santos.com,,200,679,lms-azure.santos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2023-10-10T23:59:59Z,CN=lms-azure.santos.com,lms-azure.santos.com,,lms-azure.santos.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ddd64c5a436757b8fbec94f8cb193366,64c03878f070d542212eb3241077ea80ce4462df6ee4129e45a717b2d7b78816,ctls,lms-azure.santos.com,443,https://lms-azure.santos.com:443,https,text/html,GET,13.107.246.45,/,917302437,,2620:1ec:46::45,Azure Front Door,10,False,,,,,,
mimecast.santos.com,Sign in to your account,200,50896,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://mimecast.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrATRJZnRpLUZ3bUprYXF6VkducXl3OW1hVkEwb2ltVHlId1FKZ2VGZHVCSllrUjMxOEZDQUhNcmdXaXB4UWdVSnI3eWc5bVhidjhDX2tCazIxUENkWVB2TlJ6eFYwQmUwMFkxRXotTWt0aDA0SnlHV3VNNG9wTDgzU1RtZUw0a3FibzlJcS13dXEtdXNuelFBN1dUQWduazZPa2tTcGZWd0NoUF8xeWdBZ29hVQkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPThjMTEyZTk0LTJkZWUtNGE1Ni1iOWFiLWE1MTEwNzFmZDYyNyZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAE2TDdlQ0w4YUpROTBQd0pPY2FuX2IxbXg3MlR1aHcxeVR3LXJEUHg0d2xnd2I5WHJxa1d6ZEtPRVdQTlFNRjN1TkFzMWVXcTlMeGtUYTVOOUo2VUg3cW0zdEt0TDl0Yjh0WW05bnFCbUtpMzRHVER0S0pGQXd5SWFERnlaQV9MMzBiM1U0WjdFQnJlZ3N6dmtfemVfWnI1X25KM0NMTE5TbEJJeVU0M2F6dzBxZlcxWEpJaEktOUFUSUdKZVktOVc&nonce=1689911462.RYw8pXcLH0v_uU3r1Mh7xw&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
mobilevpn.santos.com,,200,170,mobilevpn.santos.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,mobilevpn.santos.com,443,https://mobilevpn.santos.com:443,https,text/html,GET,52.64.23.170,/,593259606,,52.64.23.170,HSTS,4,False,,,,True,,
myflights.santos.com,My Flights,200,2446,myflights.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T08:32:47Z,2023-10-29T08:32:47Z,CN=imperva.com,imperva.com,,imperva.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,558d234d8e674e5b833f02bce7cc7772,a19cd904e6b88b573466732aa62b70912d7fadae1168c5612f997705d2861f2e,ctls,myflights.santos.com,443,https://myflights.santos.com:443,https,text/html,GET,45.60.87.127,/,-816604958,https://myflights.santos.com/myflights/,45.60.87.127,Windows Server,72,False,incapsula,Apache/2.4.55 (Win64) OpenSSL/3.0.8,True,True,,
myhelp.santos.com,Santos myHelp,200,2245,myhelp.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,myhelp.santos.com,443,https://myhelp.santos.com:443,https,text/html,GET,52.222.236.32,/,-1370986417,,52.222.236.81,Amazon Web Services,53,False,cloudfront,AmazonS3,True,True,,
myservices.santos.com,Sign in to your account,200,38270,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://myservices.santos.com:443,https,text/html,GET,13.225.78.67,/,1863950580,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/saml2?SAMLRequest=jVJNb9swDP0rhu62ZceJYyEOkCUoGqDrjCbrYTdJplsBsuSJctr%2B%2B7lKhnaHBb0J5CPfB7VC3ut8YJvRP5sH%2BD0C%2Bui11wbZuVOT0RlmOSpkhveAzEt22Hy%2FY3lC2eCst9JqEm0QwXllzdYaHHtwB3AnJeHnw11Nnr0fkKUpcuMtJnhuxca%2BJNL2KQ4k2k3EyvD3DR94bZ%2BUSXolnUXbeWu0MhBGiqLklRRVLPIZjYuF6GJRTC9eiqqbU5jJDNLggEQ31kkIBmvScY1Aov2uJof7LS9EJtqKLheVpMusXciF7JZlWUoqRNu2ExAbjqhO8DGKOMLeoJ%2B81CSn%2BSymZZxnRzpj84zRKZZ59YtEzSWab8q0yjxdz1GcQchuj8cmbn4cjmHBSbXg7if0lyJ8BIchvmkjWa%2BCexbkus8nva6E%2F70jWV%2BnXKWfCS50A3tXu981Viv5Fm20ti9bB9xPDrwbIRyj5%2F7%2FGrIkCxXVxl2AstHgAFJ1ClqSri%2B0%2F%2F7Y9R8%3D&RelayState=https%3A%2F%2Fsantos.service-now.com%2Fsp,13.225.78.115,HSTS,95,False,cloudfront,,True,,,
ncr.santos.com,NCR - Redirection ...,200,719,ncr.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T08:32:47Z,2023-10-29T08:32:47Z,CN=imperva.com,imperva.com,,imperva.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,558d234d8e674e5b833f02bce7cc7772,a19cd904e6b88b573466732aa62b70912d7fadae1168c5612f997705d2861f2e,ctls,ncr.santos.com,443,https://ncr.santos.com:443,https,text/html,GET,45.60.87.127,/,1843447157,,45.60.87.127,Windows Server,19,False,incapsula,Microsoft-IIS/8.5,True,True,url=https://ncr.quadrantenergy.com.au/ncr,
