new,host,a,mx,soa,ns,txt,caa,status_code,cdn,cdn-name,cname,aaaa
,diary.app.letsbuild.com,"54.74.184.246, 34.243.66.103, 52.215.151.93",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/diary",,NOERROR,,,,
,help.letsbuild.com,"13.32.99.9, 13.32.99.43, 13.32.99.73, 13.32.99.47",,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com","ns-1204.awsdns-22.org, ns-1622.awsdns-10.co.uk, ns-337.awsdns-42.com, ns-636.awsdns-15.net",,,NOERROR,True,cloudfront,,
,info.letsbuild.com,"199.60.103.30, 199.60.103.226",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,,NOERROR,,,"2946656.group6.sites.hubspot.net, group6.sites.hscoscdn00.net","2606:2c40::c73c:671e, 2606:2c40::c73c:67e2"
,integrations-core.letsbuild.com,"13.224.189.52, 13.224.189.92, 13.224.189.118, 13.224.189.108",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,,
,integrations-dev.letsbuild.com,"18.66.97.68, 18.66.97.41, 18.66.97.8, 18.66.97.65",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,,
,integrations.letsbuild.com,"108.138.85.105, 108.138.85.41, 108.138.85.12, 108.138.85.45",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,,
,intranet.letsbuild.com,142.250.186.83,,"ns1.google.com, dns-admin.google.com",,,,NOERROR,,,ghs.googlehosted.com,2a00:1450:4001:831::2013
,letsbuild.com,"141.193.213.10, 141.193.213.11","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com","ns-1532.awsdns-63.org, ns-1605.awsdns-08.co.uk, ns-24.awsdns-03.com, ns-604.awsdns-11.net","MS=AB648CD24D4421222AF8510BE76840EBFCAE262E, MS=ms40249163, atlassian-domain-verification=GCVkCX1SVsVkXM+k0oHI1n9UaAwHazqnfcQCXwUSuqGGq14guLYzIPVrq8SZ5eFi, google-site-verification=9v18AC3WpAS-nL72eEFVmBDpWgPVCAgIZuFfoE9VDIM, google-site-verification=AocYgFb2NUvJ_Fz0201Vk66LvHzHNxhuUbjWKUSKKwo, google-site-verification=anxhs3dnzZNn8XhIEnPWutxNeJk818dbXHC4AbjfZDU, google-site-verification=bOtEZvBV8EOrLn2yD3Rbdzno5prFKVWxWVeDIptwpf4, google-site-verification=efVfcL4m5Wsswk0Fkqy7fz8Hnh_KimnzmHcGoseOZ8E, v=spf1 a include:_spf.google.com include:_spf.salesforce.com include:sendgrid.net include:spf.mail.intercom.io  -all","mailto:security+caa@letsbuild.com, amazon.com, digicert.com, letsencrypt.org",NOERROR,,,,
,mail.letsbuild.com,,,"ns-567.awsdns-06.net, awsdns-hostmaster.amazon.com","ns-1055.awsdns-03.org, ns-155.awsdns-19.com, ns-1730.awsdns-24.co.uk, ns-567.awsdns-06.net",,,NOERROR,,,,
,myaccount.app.letsbuild.com,"52.215.151.93, 54.74.184.246, 34.243.66.103",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/accounts",,NOERROR,,,,
,site-diary.letsbuild.com,,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","ns-1805.awsdns-33.co.uk, ns-1439.awsdns-51.org, ns-364.awsdns-45.com, ns-555.awsdns-05.net","firebase=site-diary-4ea9a, v=spf1 include:_spf.firebasemail.com ~all",,NOERROR,,,,
,status.letsbuild.com,"151.101.129.91, 151.101.193.91, 151.101.65.91, 151.101.1.91",,"ns1.fastly.net, hostmaster.fastly.com",,,,NOERROR,True,fastly,"6274c4c6.sorryapp.com, n.sni.global.fastly.net",
,superset.letsbuild.com,"108.138.17.122, 108.138.17.83, 108.138.17.79, 108.138.17.48",,"ns-2035.awsdns-62.co.uk, awsdns-hostmaster.amazon.com","ns-1485.awsdns-57.org, ns-240.awsdns-30.com, ns-2035.awsdns-62.co.uk, ns-863.awsdns-43.net",,,NOERROR,True,cloudfront,,
,track.letsbuild.com,"63.33.141.163, 63.35.2.208, 54.72.106.117, 205.251.193.135, 205.251.195.1, 205.251.196.216, 205.251.199.55",,"ns-1847.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-391.awsdns-48.com, ns-1847.awsdns-38.co.uk, ns-1240.awsdns-27.org, ns-769.awsdns-32.net","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/jitsu/jitsu-server",,NOERROR,,,,
,vpn.letsbuild.com,"52.218.62.132, 52.92.34.100, 52.218.92.84, 52.92.3.4, 52.218.31.44, 52.218.57.12, 52.218.93.28, 52.218.92.100",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,www.letsbuild.com,"141.193.213.10, 141.193.213.11","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com","ns-1605.awsdns-08.co.uk, ns-24.awsdns-03.com, ns-604.awsdns-11.net, ns-1532.awsdns-63.org","v=spf1 a include:_spf.google.com include:_spf.salesforce.com include:sendgrid.net include:spf.mail.intercom.io  -all, MS=AB648CD24D4421222AF8510BE76840EBFCAE262E, MS=ms40249163, atlassian-domain-verification=GCVkCX1SVsVkXM+k0oHI1n9UaAwHazqnfcQCXwUSuqGGq14guLYzIPVrq8SZ5eFi, google-site-verification=9v18AC3WpAS-nL72eEFVmBDpWgPVCAgIZuFfoE9VDIM, google-site-verification=AocYgFb2NUvJ_Fz0201Vk66LvHzHNxhuUbjWKUSKKwo, google-site-verification=anxhs3dnzZNn8XhIEnPWutxNeJk818dbXHC4AbjfZDU, google-site-verification=bOtEZvBV8EOrLn2yD3Rbdzno5prFKVWxWVeDIptwpf4, google-site-verification=efVfcL4m5Wsswk0Fkqy7fz8Hnh_KimnzmHcGoseOZ8E","amazon.com, digicert.com, letsencrypt.org, mailto:security+caa@letsbuild.com",NOERROR,,,letsbuild.com,
