input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_expired,final_url,csp_domains_,location
auth.ui.trellix.com,,200,5145,auth.ui.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,"CN=auth.ui.trellix.com, O=Musarubra US LLC, ST=California, C=US",auth.ui.trellix.com,www.auth.ui.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1ce0cd98014ab1a482f4057e6fb42e3,cf999fa6d69d764590d2fcb81efff5f3424479831290c8da8cd0b47470e165c4,,ctls,auth.ui.trellix.com,cloudfront,443,https://auth.ui.trellix.com:443,https,AmazonS3,text/html,GET,18.66.122.70,/,2116877167,18.66.122.112,Amazon Web Services,3,False,True,Musarubra US LLC,,,,,
autodiscover.trellix.com,TRELLIX - Sign In,200,26993,trellix.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,trellix.okta.com,,80,http://autodiscover.trellix.com:80,http,nginx,text/html,GET,52.98.152.168,/,-1249852061,2603:1026:c0d:82b::8,Nginx,502,False,,"Okta, Inc.",,,https://trellix.okta.com/app/office365/exkkmjienBuT16vOX696/sso/wsfed/passive?client-request-id=14923905-cf54-3a90-e6b8-af23835dbd4b&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZE9aBNxAMXzzyVnv7SlODjK1UEaL7mP3EcOOqTXfLYxTUw_pYS76__fpHe5_-XucqktwUEEB4fiWJwcO1RwKgVRcOti5g7qJKUgiEs72uDi2N_wePCGB-9NE2ycVR4w_-DogdIMQixtwIH7D3dyZCKaenO39nVf-Xn8furFxsf5AzDqu9CymjtxA7cOAdXwfcdTEgnc8S2MzThGqGlAXhQGeQJ3tcQxAH0AzgE4DEsiL3MDZC7FSCLHSkJcZiRegBqkNQHxdFJMpWgNcSLN8JyoCaLGszp_Fh4vpzt-gxsIdpu78E94GGG3VXew5x8Qr0F2LViYw6WtTFpt1KtGCusNPbvdXEOev8LKlUwlOR8gW3KKc2WeWWo76_XlKquv56BRSKNuMSN2zZwkOVuLNadRgt2Vxyo9z6C0uq52Ve_JYi65VhaDFod0WkLVWsNPshnTQat6bdVyXds2ZXl7t2PWBTMozB0SN5r3A0FeT9TC9ilBYgfazc1-BPyIgIvIGBNWhobGJ6L3QvdDVxHwLnr9RB9LU9-f97Kfsg-PnMvR0Gk0URQLaTXnlCqFheWl_LOy7RT5mO26uWyw1RWMWuxJsdjFchVy6RlZYfdJsE-SJ-TwEDERogh1kT0nwW8SvLoVOhm-wZH9UXA2lhwhDUtrtrzJ6T2quVn3sQltStmjdlpe3TAGLtCsDvQo5Sl1XUFt9Hq9z7dDV3e-vX159OXy7Ff-YvxROzu7ogew6MoqyndiQUzeqbpI4PnZXMXy2_qyUXIW8lajDc2Zvw2,*.authenticatorlocalprod.com:65141,
awswestvpn1.trellix.com,,200,315,awswestvpn1.trellix.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,2022-03-03T00:00:00Z,2023-03-03T23:59:59Z,"CN=vpn.trellix.com, OU=IT, O=Musarubra US LLC, ST=California, C=US",vpn.trellix.com,tokvpn1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d01de78bd0cf4469750ec00ce10a8888,f515fdf65df87f3bc0d4ca734ad4093b4a785a61ea432617df8dce48e20ab7c7,,ctls,awswestvpn1.trellix.com,,443,https://awswestvpn1.trellix.com:443,https,,text/html,GET,35.81.178.15,/,-1840324437,35.81.178.15,HSTS,9,False,,Musarubra US LLC,,True,,,
b2b-download.trellix.com,McAfee,200,142,b2b-download.trellix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-14T23:59:59Z,"CN=www.trellix.com, O=Musarubra US LLC, ST=California, C=US",www.trellix.com,trellix.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,982e45f6df45ffe6c756a2976cacbca4,fd52800d82ce9d611711ecb8ee9db2107fed4c4e0208908fabbdeb3cc523977b,,ctls,b2b-download.trellix.com,,443,https://b2b-download.trellix.com:443,https,AkamaiNetStorage,text/html,GET,23.53.42.209,/,1864250944,2a02:26f0:1700:7::17d5:a1c9,,9,False,,Musarubra US LLC,,,,,
banvpn1.trellix.com,,200,315,banvpn1.trellix.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,2023-03-04T00:00:00Z,2024-03-03T23:59:59Z,"CN=vpn.trellix.com, O=Musarubra US LLC, ST=California, C=US",vpn.trellix.com,pavvpn1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0d47b25df02120995236d76e1308a7ce,8b2b78c2ccd91423d7f15092a92f464befd6122194d9a8eb90113560d5537dcb,,ctls,banvpn1.trellix.com,,443,https://banvpn1.trellix.com:443,https,,text/html,GET,103.245.47.188,/,-1840324437,103.245.47.188,HSTS,9,False,,Musarubra US LLC,,,,,
bps-scsp.manage.trellix.com,403 Forbidden,403,118,bps-scsp.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.manage.trellix.com,saaspartner.api.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc53bd5971b75cc2a98f1a2633c83a0e,2310ce7e5cc9776092db06aaa8309e8c4219e3fb75e4864ae883c1147bea383c,,ctls,bps-scsp.manage.trellix.com,,443,https://bps-scsp.manage.trellix.com:443,https,awselb/2.0,text/html,GET,54.69.130.184,/,1344368402,52.33.251.125,,7,False,,Musarubra US LLC,,,,,
bps.provisioning.staging.insights.trellix.com,,403,42,bps.provisioning.staging.insights.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-23T00:00:00Z,2023-06-23T23:59:59Z,"CN=bps.provisioning.staging.insights.trellix.com, OU=Engineering, O=Musarubra US LLC, ST=California, C=US",bps.provisioning.staging.insights.trellix.com,www.bps.provisioning.staging.insights.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,333680315cecd02ef38e2c5f62df8758,c4140fbf82d9a2de66f9eca168c066908abc8fc22075500e32ef6bb412f89f1c,,ctls,bps.provisioning.staging.insights.trellix.com,,443,https://bps.provisioning.staging.insights.trellix.com:443,https,,application/json,GET,34.211.19.126,/,768769774,54.148.44.5,,1,False,,Musarubra US LLC,,,,,
bpsapis.beta.manage.trellix.com,,404,50,bpsapis.beta.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.beta.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.beta.manage.trellix.com,saaspartner.api.beta.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0a68108dfac92b191c11e940dd551f0c,172045b3a0110ce08eacde82df7f7430a51e82d0f78da557e8ce94d5e28fd25c,,ctls,bpsapis.beta.manage.trellix.com,,443,https://bpsapis.beta.manage.trellix.com:443,https,,application/json,GET,34.209.35.127,/,-320636204,52.33.2.139,,1,False,,Musarubra US LLC,,,,,
bpsapis.manage.trellix.com,,404,50,bpsapis.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.manage.trellix.com,saaspartner.api.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc53bd5971b75cc2a98f1a2633c83a0e,2310ce7e5cc9776092db06aaa8309e8c4219e3fb75e4864ae883c1147bea383c,,ctls,bpsapis.manage.trellix.com,,443,https://bpsapis.manage.trellix.com:443,https,,application/json,GET,54.69.130.184,/,-320636204,52.33.251.125,,1,False,,Musarubra US LLC,,,,,
ca.etp.trellix.com,Trellix - Email Security Cloud,200,2963,ca.etp.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=us.etp.trellix.com, O=Musarubra US LLC, ST=California, C=US",us.etp.trellix.com,stage-us.etp.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9c32be903170935c4d9091e4d6c2cf09,0ae1fa4a9d66450dcff23f87e6419f8abca4db188316b1a04199db55f2a75e20,,ctls,ca.etp.trellix.com,cloudflare,443,https://ca.etp.trellix.com:443,https,cloudflare,text/html,GET,104.18.34.211,/,-241047209,2606:4700:4400::ac40:992d,HSTS,80,False,True,Musarubra US LLC,,,,,
careers.skyhighsecurity.com,Home - Skyhigh Security,200,158787,careers.skyhighsecurity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-13T14:24:39Z,2023-08-11T14:24:38Z,CN=careers.skyhighsecurity.com,careers.skyhighsecurity.com,careers.skyhighsecurity.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,92de623bf491efccef216ff6b5734e0e,3581af96d4b5740c84f363c022d820fc2a92ea1dcc5f7a3d5227a0ba2dd2c3c1,,ctls,careers.skyhighsecurity.com,google,443,https://careers.skyhighsecurity.com:443,https,nginx,text/html,GET,104.196.41.249,/,-1840324437,104.196.41.249,Yoast SEO:20.8,1938,False,True,,,,,,
careers.trellix.com,Home - Trellix US LLC,200,143838,careers.trellix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-17T17:28:39Z,2023-08-15T17:28:38Z,CN=careers.trellix.com,careers.trellix.com,careers.trellix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5c52fb27f1ca3a2a4e76c8e6de0ad97a,4b03b88eaa7e490addeaf1fd002aced02c0e850df91898b9ac5e6d63c6ef3379,,ctls,careers.trellix.com,google,443,https://careers.trellix.com:443,https,nginx,text/html,GET,34.72.200.244,/,-1840324437,34.72.200.244,YouTube,1528,False,True,,,,,,
cdn-usw001.manage.trellix.com,,200,254575,cdn-usw001.manage.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,"CN=manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",manage.trellix.com,*.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9d6b61759230c23843bd3c623e7027f2,b42d23a92f253d7d63d9607064c7dd1a1b0583b82d2183fdfd14337b8fa474ce,True,ctls,cdn-usw001.manage.trellix.com,cloudfront,443,https://cdn-usw001.manage.trellix.com:443,https,AmazonS3,application/xml,GET,18.66.97.90,/,-780851445,18.66.97.8,Amazon Web Services,2,False,True,Musarubra US LLC,,,,,
cdn-usw002.manage.trellix.com,,200,254579,cdn-usw002.manage.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,"CN=manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",manage.trellix.com,*.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9d6b61759230c23843bd3c623e7027f2,b42d23a92f253d7d63d9607064c7dd1a1b0583b82d2183fdfd14337b8fa474ce,True,ctls,cdn-usw002.manage.trellix.com,cloudfront,443,https://cdn-usw002.manage.trellix.com:443,https,AmazonS3,application/xml,GET,18.66.147.49,/,-45776916,18.66.147.97,Amazon Web Services,2,False,True,Musarubra US LLC,,,,,
cdn2.manage.trellix.com,Invalid URL,400,209,cdn2.manage.trellix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,True,ctls,cdn2.manage.trellix.com,,443,https://cdn2.manage.trellix.com:443,https,AkamaiGHost,text/html,GET,23.213.161.30,/,-213254473,2a02:26f0:3500:11::215:14cc,,8,False,,"Akamai Technologies, Inc.",True,,,,
cloud.manage.trellix.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://cloud.manage.trellix.com:80,http,CloudFront,text/html,GET,13.32.121.127,/,-620514444,13.32.121.3,Amazon Web Services,20,False,True,,,,,,
cms.manage.trellix.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://cms.manage.trellix.com:80,http,CloudFront,text/html,GET,108.138.7.33,/,-1626629691,2600:9000:2490:8a00:8:324a:3480:93a1,Amazon Web Services,20,False,True,,,,,,
communitym.trellix.com,Trellix Support Community Forums,200,107153,communitym.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-16T00:00:00Z,2024-03-28T23:59:59Z,"CN=secure08.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure08.lithium.com,community.trifacta.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4b360da9cb8b6661a2c8b99bbb6b38ca,e1ad5b5cec902d687dff83e5fc1aa17acaec2ba6a8cf92d01dd9e9c2050161ad,True,ctls,communitym.trellix.com,cloudfront,443,https://communitym.trellix.com:443,https,Apache,text/html,GET,18.66.122.123,/,-1840324437,2600:9000:2250:8400:0:9c36:2c80:93a1,PHP,3792,False,True,"Khoros, LLC",True,,,,
content.manage.trellix.com,403 - Forbidden: Access is denied.,403,1233,content.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.manage.trellix.com,saaspartner.api.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc53bd5971b75cc2a98f1a2633c83a0e,2310ce7e5cc9776092db06aaa8309e8c4219e3fb75e4864ae883c1147bea383c,,ctls,content.manage.trellix.com,,443,https://content.manage.trellix.com:443,https,Microsoft-IIS/10.0,text/html,GET,54.69.130.184,/,1631801191,52.33.251.125,Windows Server,30,False,,Musarubra US LLC,,,,,
content.myaccounts-pendo.trellix.com,,403,300,content.myaccounts-pendo.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-09-01T23:59:59Z,CN=content.myaccounts-pendo.trellix.com,content.myaccounts-pendo.trellix.com,content.myaccounts-pendo.trellix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,739cf3e10b976d7a2d9c5188c3a758e0,e2ebf9d91277b679a22cedd6352bc6f78048efe8dcdb6adf7af2eeda6217b7d9,,ctls,content.myaccounts-pendo.trellix.com,cloudfront,443,https://content.myaccounts-pendo.trellix.com:443,https,UploadServer,application/xml,GET,52.222.214.37,/,501560377,2600:9000:223d:f200:1d:d2:8740:93a1,Amazon Web Services,1,False,True,,,,,,
