input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,final_url,tls_expired,tls_self_signed,location
autodiscover.publications.europa.eu,Access Denied,403,642,autodiscover.publications.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-26T14:13:43Z,2023-09-27T14:13:42Z,"CN=exchangeonline.tech.ec.europa.eu, O=European Commission, L=Luxembourg, ST=Luxembourg, C=LU",exchangeonline.tech.ec.europa.eu,European Commission,rp.webmail.ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,766ff7206e857c1cd610ac2394593e27,c73f81a63618be005049611d16bd24da062458942e58ab91dd9c42d69b141f91,ctls,autodiscover.publications.europa.eu,443,https://autodiscover.publications.europa.eu:443,https,,text/html,GET,147.67.210.91,/,-444315832,147.67.34.91,37,False,,,,,,,,,,
av.acer.europa.eu,Access Denied,403,642,,,,,,,,,,,,,,,,,,,80,http://av.acer.europa.eu:80,http,,text/html,GET,193.189.171.12,/,-444315832,193.189.171.12,37,False,,,,,,,,,,
av2.gsa.europa.eu,,200,315,av2.gsa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-21T15:44:09Z,2024-12-20T15:44:09Z,CN=adm-pr-vpn-02,adm-pr-vpn-02,,ras2.euspa.europa.eu,"CN=GSA-CA-INTER-01, DC=admin, DC=lan, DC=admin, DC=lan",GSA-CA-INTER-01,,b2d0c5f621ea3a7c58cef7f18e9bd89b,b90176832c339ee2b84b5961e52b681e00b9be92c1ed9dda20f7c58e519bc026,ctls,av2.gsa.europa.eu,443,https://av2.gsa.europa.eu:443,https,,text/html,GET,62.209.199.147,/,-1840324437,62.209.199.147,9,False,,HSTS,,True,,,,,,
avcalendar.consilium.europa.eu,EU Council Press,200,4894,avcalendar.consilium.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=avcalendar.consilium.europa.eu, O=Council of the European Union, L=Bruxelles, C=BE",avcalendar.consilium.europa.eu,Council of the European Union,avcalendar.consilium.europa.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,95b4aa5717d073afbb9e876d8ef7087a,3ab9b00015c2839ccd7ff812b960527f5817fa424a6002219ef61de2301e0723,ctls,avcalendar.consilium.europa.eu,443,https://avcalendar.consilium.europa.eu:443,https,,text/html,GET,52.174.184.18,/,838101145,52.174.184.18,78,False,,Azure,,,azure,True,,,,
ave.europol.europa.eu,GlobeKeeper,200,805,ave.europol.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-23T15:54:23Z,2024-04-23T15:54:22Z,"CN=*.europol.europa.eu, O=Europol, L=The Hague, ST=South Holland, C=NL",*.europol.europa.eu,Europol,europol.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3cbe10a9332e9aea727e3ddbdafc4fb0,db0c046da7c2b2f5f6967f3f166b012351ae334dad938122bb7c70777994ef61,ctls,ave.europol.europa.eu,443,https://ave.europol.europa.eu:443,https,nginx,text/html,GET,91.205.194.76,/,1494302000,91.205.194.76,1,False,,Nginx,True,,,,,,,
avplanning.consilium.europa.eu,Login | Planning | CEU,200,3991,avplanning.consilium.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",avplanning.consilium.europa.eu,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d3a647ffafc1210ebf5885d17f959543,33520cbbf8286b5b134edb87ff150f7f5dd2bccdc9a49427155f78dcea72a2d7,ctls,avplanning.consilium.europa.eu,443,https://avplanning.consilium.europa.eu:443,https,cloudflare,text/html,GET,104.18.14.178,/,838101145,2606:4700::6812:fb2,102,False,,PHP,,,cloudflare,True,https://avplanning.consilium.europa.eu/user/loginform,,,
avplanning.europarl.europa.eu,PROVYS - Production management,200,1021,avplanning.europarl.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T07:36:12Z,2024-04-24T07:36:11Z,"CN=*.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",*.europarl.europa.eu,European Parliament,europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7472dfb2bbad343856db80e83b2556c2,8c35274baefdafb7e4a7438c589e6d1d53419f351d095090c7eb5a5e046135e8,ctls,avplanning.europarl.europa.eu,443,https://avplanning.europarl.europa.eu:443,https,nginx,text/html,GET,136.173.170.133,/,-47450692,136.173.170.133,24,False,,Nginx,True,,,,,,,
backup.ec.europa.eu,,401,12,backup.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-17T23:59:59Z,CN=backup.ec.europa.eu,backup.ec.europa.eu,,*.backup.ec.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7058cb64cf4f814d0e4aea337b79b4d1,67a5f96069fe3c05db00431e681d76b8ef9aee8a97c44437fc19d2e7ebe805c5,ctls,backup.ec.europa.eu,443,https://backup.ec.europa.eu:443,https,CloudFront,,GET,18.66.97.122,/,229361783,2600:9000:223c:8c00:0:9108:a640:93a1,1,False,,Basic,True,,cloudfront,True,,,,
backup.europass.cedefop.europa.eu,,403,94,backup.europass.cedefop.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T10:55:49Z,2024-02-10T10:55:49Z,"CN=europass.cedefop.europa.eu, O=European Centre for the Development of Vocational Training, L=Thessaloniki, C=GR",europass.cedefop.europa.eu,European Centre for the Development of Vocational Training,www.europass.cedefop.europa.eu,"CN=HARICA OV TLS RSA, O=Hellenic Academic and Research Institutions CA, C=GR",HARICA OV TLS RSA,Hellenic Academic and Research Institutions CA,7d0f2a79aeeb2c80202deffe2030c3a8,40a0008e7796ef5a7f6606835b5c2e65c515c1d0996c68b0e968173a81918e78,ctls,backup.europass.cedefop.europa.eu,443,https://backup.europass.cedefop.europa.eu:443,https,,text/html,GET,194.26.22.20,/,2056581550,194.26.22.20,5,False,,HSTS,,True,,,,,,
bauth1.europarl.europa.eu,,200,294,bauth1.europarl.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T13:36:28Z,2024-04-14T13:36:27Z,"CN=*.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",*.europarl.europa.eu,European Parliament,europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a6f223b12943ae879134c7160ae50926,4da6ef2711ca3216972c72f7571108849a67158b5e1c19555e6a9ef68fc55ee7,ctls,bauth1.europarl.europa.eu,443,https://bauth1.europarl.europa.eu:443,https,CPWS,text/html,GET,136.173.170.4,/,-993165615,136.173.170.4,11,False,,HSTS,True,,,,https://bauth1.europarl.europa.eu/Access,,,
bbi.europa.eu,Home | Circular Bio-based Europe Joint Undertaking (CBE JU),200,81187,wayback.archive-it.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T07:46:02Z,2024-02-21T23:09:06Z,CN=*.archive-it.org,*.archive-it.org,,archive-it.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",275817fdc34292fc4a9011285592ec1c,7bb2c510773a39cbc325d04ce1f9f4c48bf56e244f9cb7e048710606441e4815,ctls,wayback.archive-it.org,443,https://bbi.europa.eu:443,https,gunicorn/19.10.0,text/html,GET,3.234.77.64,/,-1211505972,3.234.77.64,1115,False,archive-it.org,gunicorn:19.10.0,True,,,,https://wayback.archive-it.org:443/12090/20221125105151/https://www.bbi.europa.eu/,,,
bcp.op.europa.eu,,503,19,bcp.op.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-20T13:26:56Z,2023-08-18T13:26:55Z,CN=bcp.op.europa.eu,bcp.op.europa.eu,,bcp.op.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d9eaad99b8feddf625fe266091b28f8,9b388846a3ac52ab22b276f4b7ca19ecca7a8a08d3adc1d486a98510fb2218d7,ctls,bcp.op.europa.eu,443,https://bcp.op.europa.eu:443,https,,text/html,GET,20.54.32.57,/,465846968,20.54.32.57,2,False,,,,,azure,True,,,,
bcp.publications.europa.eu,,404,60,bcp.publications.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-15T10:50:25Z,2024-05-14T10:50:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,a42554d4744279aba3a1d1c3c8243241,1ad3a1f7ae1f5a2c7f7580fed2d293f4971ec5c8c73b4cc5064f190119ae1510,ctls,bcp.publications.europa.eu,443,https://bcp.publications.europa.eu:443,https,,text/html,GET,20.54.32.57,/,791509167,20.54.32.57,1,False,,HSTS,,True,azure,True,,,True,
bd.ecb.europa.eu,What is TARGET2-Securities (T2S)?,200,37564,www.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-14T14:05:12Z,2023-12-13T14:05:11Z,"CN=www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",www.ecb.europa.eu,European Central Bank,www.t2s.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c8cb1b660f4e2db704bbf3e5735dbd67,5a198f25ce253ec2ce328b1678d11164693565085873820b0d35905cd095f556,ctls,www.ecb.europa.eu,443,https://bd.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.138,/,251097070,185.5.82.138,535,False,,HSTS,,,,,https://www.ecb.europa.eu/paym/target/t2s/html/index.en.html,,,
bei.ecdp.tech.ec.europa.eu,Qlik Sense Hub,200,1609,bei.ecdp.tech.ec.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=bei.ecdp.tech.ec.europa.eu,bei.ecdp.tech.ec.europa.eu,,*.bei.ecdp.tech.ec.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b8b51034a9dfe7c2d6e3e0a24fb4c81a,fd22be1a6bffcbb79f2bae12774433e085ffc40c18cd0ae4623136adae296c3e,ctls,bei.ecdp.tech.ec.europa.eu,443,https://bei.ecdp.tech.ec.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,52.210.134.33,/,1705089329,63.35.16.240,34,False,,Microsoft HTTPAPI:2.0,True,,,,https://bei.ecdp.tech.ec.europa.eu/hub/,,,
berec-expe01.avc.berec.europa.eu,Bad Request,400,65,berec-expe01.avc.berec.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-17T23:59:59Z,"CN=berec-expe01.avc.berec.europa.eu, O=Agency for Support for BEREC, L=Riga, C=LV",berec-expe01.avc.berec.europa.eu,Agency for Support for BEREC,avc.berec.europa.eu,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,24a3afd57d683f1592e8b0dc30b639ec,827c28fa28b86c60d34179644a0ef8d0f6ef43504a391efded9c59d59359f21d,ctls,berec-expe01.avc.berec.europa.eu,443,https://berec-expe01.avc.berec.europa.eu:443,https,CE_E,text/html,GET,195.227.88.99,/,2024762623,195.227.88.99,1,False,,HSTS,,,,,,,,
berlin.emcdda.europa.eu,Check Point Mobile - You have no cookie support - Please enable cookies in your browser,200,1410,berlin.emcdda.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T11:04:46Z,2024-06-02T11:04:45Z,CN=*.emcdda.europa.eu,*.emcdda.europa.eu,,emcdda.europa.eu,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,d96549ac76521dbadc3f6ad2ad02ddcf,c074159a5e19a4d0e68f9d7fe1441bafe64a41e13153047496ba5cf2195f8b0d,ctls,berlin.emcdda.europa.eu,443,https://berlin.emcdda.europa.eu:443,https,CPWS,text/html,GET,185.41.117.227,/,-993165615,185.41.117.227,54,False,www.google.com,HSTS,True,,,,https://berlin.emcdda.europa.eu/Login/Login?CheckCookieSupport=1,,,
beta.comite255.europa.eu,Home Comite255 - comite255 - Publications Office of the EU,200,195964,beta.comite255.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-13T00:00:00Z,2023-07-13T23:59:59Z,CN=op.europa.eu,op.europa.eu,,style-guide.europa.eu,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,4c28066b45f31dde27f60a4d88ca6761,75cf069dcec6613ea30b07fb53a49f5d1adca40d0eeb0e254f36059c17c48843,ctls,beta.comite255.europa.eu,443,https://beta.comite255.europa.eu:443,https,,text/html,GET,40.119.148.121,/,184047914,40.119.148.121,11440,False,,Java,,,azure,True,https://beta.comite255.europa.eu/en/,,,
beta.e-justice.europa.eu,European e-Justice Portal,200,5854,e-justice.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T12:01:03Z,2024-04-27T12:01:02Z,"CN=e-justice.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",e-justice.europa.eu,European Commission,e-justice.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,bb312923cd2096d8e510318551aaade8,39fe28bdef2ee7e6c41bb54343a433ffc52cf9d71f6444d672206b10bac1a395,ctls,e-justice.europa.eu,443,https://beta.e-justice.europa.eu:443,https,Europa,text/html,GET,147.67.34.12,/,-299947753,2a01:7080:24:100::666:12,128,False,,Java,,,,,https://e-justice.europa.eu/,,,
beta.ec.europa.eu,Access Denied,403,730,beta.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T12:31:07Z,2023-07-02T12:31:06Z,"CN=*.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",*.ec.europa.eu,European Commission,ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f651b96da429c16f3ac23102facca952,c8b068586b6b4aae31abf213ea7c815e55988ac2010f3c94496884c6c2181114,ctls,beta.ec.europa.eu,443,https://beta.ec.europa.eu:443,https,,text/html,GET,147.67.34.30,/,89166718,2a01:7080:24:100::666:30,43,False,,,True,,,,,,,
beta.eurofound.europa.eu,,401,12,beta.eurofound.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-29T00:00:00Z,2023-12-28T23:59:59Z,CN=beta.eurofound.europa.eu,beta.eurofound.europa.eu,,*.beta.eurofound.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b45b5d08242022a89b6d413c265ece53,84f67b526ebda3454bd187470b7c3b5cc8d239a317efc88a376835c988d26549,ctls,beta.eurofound.europa.eu,443,https://beta.eurofound.europa.eu:443,https,CloudFront,,GET,143.204.215.84,/,229361783,2600:9000:214f:3200:a:6fc2:ca00:93a1,1,False,,Basic,True,,cloudfront,True,,,,
beta.op.europa.eu,Home - Publications Office of the EU,200,323825,beta.op.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-13T00:00:00Z,2023-07-13T23:59:59Z,CN=op.europa.eu,op.europa.eu,,style-guide.europa.eu,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,4c28066b45f31dde27f60a4d88ca6761,75cf069dcec6613ea30b07fb53a49f5d1adca40d0eeb0e254f36059c17c48843,ctls,beta.op.europa.eu,443,https://beta.op.europa.eu:443,https,,text/html,GET,40.119.148.121,/,-1790416618,40.119.148.121,19967,False,,Java,,,azure,True,https://beta.op.europa.eu/en/home,,,
biodiversity.europa.eu,Biodiversity Information System For Europe - European Environment Agency,200,213010,biodiversity.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-12T11:00:12Z,2023-08-10T11:00:11Z,CN=biodiversity.europa.eu,biodiversity.europa.eu,,catalogue.biodiversity.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8bc0c4359c74a5b00b07342dfafe7bb6,5186e84e5c74b48da2745b1585b78099fbc04fd21479e1dacd54c2932297c605,ctls,biodiversity.europa.eu,443,https://biodiversity.europa.eu:443,https,,text/html,GET,87.54.7.142,/,-1313561539,87.54.7.142,3,False,,React,,,,,,,,
bird.ecb.europa.eu,,200,6046,bird.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:31:16Z,2023-12-16T08:31:16Z,"CN=bird.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",bird.ecb.europa.eu,European Central Bank,www.bird.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",38c0b282fe2213d6b755cd2040cce05f,3d4ac68e57899b9a6cff6382f73598b2d1f74380cc4d244ff657a383d6e765ce,ctls,bird.ecb.europa.eu,443,https://bird.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.145,/,1645450506,2a02:cb40:200::384,1,False,,Amazon Web Services,,,,,,,,
blogs.ec.europa.eu,403 Forbidden,403,199,blogs.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T12:31:07Z,2023-07-02T12:31:06Z,"CN=*.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",*.ec.europa.eu,European Commission,ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f651b96da429c16f3ac23102facca952,c8b068586b6b4aae31abf213ea7c815e55988ac2010f3c94496884c6c2181114,ctls,blogs.ec.europa.eu,443,https://blogs.ec.europa.eu:443,https,Europa,text/html,GET,147.67.210.31,/,870045881,2a01:7080:14:100::666:31,8,False,,HSTS,True,,,,,,,
blue-economy-observatory.ec.europa.eu,Language selection | EU Blue Economy Observatory,200,8553,blue-economy-observatory.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-03T23:59:59Z,CN=blue-economy-observatory.ec.europa.eu,blue-economy-observatory.ec.europa.eu,,*.blue-economy-observatory.ec.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fbb7369326ab24dc1fab403e9ab69cf6,485d446f594a109952c11050f37517ce448872b61d43951c383cde6ef8bcc609,ctls,blue-economy-observatory.ec.europa.eu,443,https://blue-economy-observatory.ec.europa.eu:443,https,,text/html,GET,18.66.122.123,/,-780928015,2600:9000:2250:e800:0:e543:3fc0:93a1,153,False,,PHP,True,,cloudfront,True,https://blue-economy-observatory.ec.europa.eu/select-language?destination=/node/1,,,
blueindicators.ec.europa.eu,Language selection | EU Blue Economy Observatory,200,8553,blue-economy-observatory.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-03T23:59:59Z,CN=blue-economy-observatory.ec.europa.eu,blue-economy-observatory.ec.europa.eu,,*.blue-economy-observatory.ec.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fbb7369326ab24dc1fab403e9ab69cf6,485d446f594a109952c11050f37517ce448872b61d43951c383cde6ef8bcc609,ctls,blue-economy-observatory.ec.europa.eu,443,https://blueindicators.ec.europa.eu:443,https,,text/html,GET,3.234.77.64,/,-780928015,3.234.77.64,153,False,,PHP,True,,,,https://blue-economy-observatory.ec.europa.eu:443/select-language?destination=/node/1,,,
bookshop.europa.eu,EU publications - EU publications - Publications Office of the EU,200,326228,op.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-13T00:00:00Z,2023-07-13T23:59:59Z,CN=op.europa.eu,op.europa.eu,,style-guide.europa.eu,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,4c28066b45f31dde27f60a4d88ca6761,75cf069dcec6613ea30b07fb53a49f5d1adca40d0eeb0e254f36059c17c48843,ctls,op.europa.eu,443,https://bookshop.europa.eu:443,https,,text/html,GET,52.236.157.91,/,-838029848,52.236.157.91,20293,False,,Java,,,azure,True,https://op.europa.eu/en/web/general-publications/publications,,,
boris-acc.tech.ec.europa.eu,HTTP Status 404 – Not Found,404,682,boris-acc.tech.ec.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=boris-acc.tech.ec.europa.eu,boris-acc.tech.ec.europa.eu,,boris-acc.tech.ec.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3ee9bd199dc0a910f33a09a50094bef6,68f2a11435e3ff5564eb8bdb65fff6c2f47dc5d15953861f92c090e3e25d0564,ctls,boris-acc.tech.ec.europa.eu,443,https://boris-acc.tech.ec.europa.eu:443,https,,text/html,GET,54.73.42.81,/,-1551043557,34.249.178.125,1,False,,,,,,,,,,
bris-acc.tech.ec.europa.eu,HTTP Status 404 – Not Found,404,682,bris-acc.tech.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=bris-acc.tech.ec.europa.eu,bris-acc.tech.ec.europa.eu,,bris-acc.tech.ec.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7a44e3cd632d3f191af6c0dcca0ecde4,90d393f60d8910fa7817e491e9413ee56dd504b03fbe9a67412c152f696f83a8,ctls,bris-acc.tech.ec.europa.eu,443,https://bris-acc.tech.ec.europa.eu:443,https,,text/html,GET,52.31.196.71,/,-1551043557,34.247.108.126,1,False,,,,,,,,,,
brussels-hemicycle.booking.europarl.europa.eu,Hemicycle visits booking - Brussels | Visiting. European Parliament,200,2491,brussels-hemicycle.booking.europarl.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T20:22:29Z,2023-08-31T20:22:28Z,CN=brussels-hemicycle.booking.europarl.europa.eu,brussels-hemicycle.booking.europarl.europa.eu,,warsaw.booking.europarl.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f01958b2559ce8407fe1ce7e4b79b630,361b68d310725def418bc484d35f710ccb94b97da7535a957c648e7fc1f346ec,ctls,brussels-hemicycle.booking.europarl.europa.eu,443,https://brussels-hemicycle.booking.europarl.europa.eu:443,https,nginx,text/html,GET,3.122.136.128,/,-218409822,3.122.136.128,36,False,,Nginx,,,,,,,,
brussels-historia.booking.europarl.europa.eu,House of European History - Brussels | Visiting. House of European History,200,2743,brussels-historia.booking.europarl.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T20:22:29Z,2023-08-31T20:22:28Z,CN=brussels-hemicycle.booking.europarl.europa.eu,brussels-hemicycle.booking.europarl.europa.eu,,warsaw.booking.europarl.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f01958b2559ce8407fe1ce7e4b79b630,361b68d310725def418bc484d35f710ccb94b97da7535a957c648e7fc1f346ec,ctls,brussels-historia.booking.europarl.europa.eu,443,https://brussels-historia.booking.europarl.europa.eu:443,https,nginx,text/html,GET,3.122.136.128,/,-218409822,3.122.136.128,36,False,,Nginx,,,,,,,,
brussels-parlamentarium.booking.europarl.europa.eu,Parlamentarium - Brussels | Visiting. European Parliament,200,2374,brussels-parlamentarium.booking.europarl.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T20:22:29Z,2023-08-31T20:22:28Z,CN=brussels-hemicycle.booking.europarl.europa.eu,brussels-hemicycle.booking.europarl.europa.eu,,warsaw.booking.europarl.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f01958b2559ce8407fe1ce7e4b79b630,361b68d310725def418bc484d35f710ccb94b97da7535a957c648e7fc1f346ec,ctls,brussels-parlamentarium.booking.europarl.europa.eu,443,https://brussels-parlamentarium.booking.europarl.europa.eu:443,https,nginx,text/html,GET,3.122.136.128,/,-218409822,3.122.136.128,36,False,,Nginx,,,,,,,,
build-up.ec.europa.eu,Homepage | BUILD UP,200,80030,build-up.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=build-up.ec.europa.eu,build-up.ec.europa.eu,,*.build-up.ec.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f4e9bf0f29a79f675c449c3bcf67921f,4c12191a6ed3aa170c507739d8f90bce48c68405e0894797a1e4bcee3a7a4346,ctls,build-up.ec.europa.eu,443,https://build-up.ec.europa.eu:443,https,,text/html,GET,18.66.122.9,/,-780928015,2600:9000:2250:800:e:328c:4440:93a1,963,False,,PHP,True,,cloudfront,True,https://build-up.ec.europa.eu/en/home,,,
