input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,final_url,cdn
hotjar.infogram.com,Hotjar trial - Infogram,200,228117,hotjar.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,hotjar.infogram.com,443,https://hotjar.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-1885582784,52.30.111.238,Nginx,4153,False,,,
im-api-va.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,im-api-va.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,im-api-va.infogram.com,443,https://im-api-va.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,1649369105,99.80.200.215,Nginx,4541,False,,,
infogram.com,"Create Infographics, Reports and Maps - Infogram",200,101439,infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,infogram.com,443,https://infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,1201777286,99.80.200.215,Nginx,425,False,,,
meevo.infogram.com,The page you are looking for does not exist. - Infogram,404,470636,meevo.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,meevo.infogram.com,443,https://meevo.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,-974698754,99.80.200.215,Nginx,4541,False,,,
my447.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,my447.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,my447.infogram.com,443,https://my447.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,797495697,99.80.200.215,Nginx,4541,False,,,
news.genapi.eus.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,news.genapi.eus.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,news.genapi.eus.infogram.com,443,https://news.genapi.eus.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,146962377,52.51.49.75,Nginx,4541,False,,,
pcc-178-32-195-201.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,pcc-178-32-195-201.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,pcc-178-32-195-201.infogram.com,443,https://pcc-178-32-195-201.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-826704539,52.30.111.238,Nginx,4541,False,,,
pitchbook.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,pitchbook.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,pitchbook.infogram.com,443,https://pitchbook.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-159966913,52.30.111.238,Nginx,4541,False,,,
plugins-my447.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,plugins-my447.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,plugins-my447.infogram.com,443,https://plugins-my447.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,-342110143,99.80.200.215,Nginx,4541,False,,,
pod-000-1166-10.infogram.com,The page you are looking for does not exist. - Infogram,404,470636,pod-000-1166-10.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,pod-000-1166-10.infogram.com,443,https://pod-000-1166-10.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-758817435,52.30.111.238,Nginx,4541,False,,,
prd-amolite.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,prd-amolite.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,prd-amolite.infogram.com,443,https://prd-amolite.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,1834200724,99.80.200.215,Nginx,4541,False,,,
s.infogram.com,"Create Infographics, Reports and Maps - Infogram",200,101439,infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,infogram.com,443,https://s.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,-148078093,52.51.49.75,Nginx,425,False,,https://infogram.com,
vitality.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,vitality.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,vitality.infogram.com,443,https://vitality.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,2063730566,52.30.111.238,Nginx,4541,False,,,
wellsmarie.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,wellsmarie.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,wellsmarie.infogram.com,443,https://wellsmarie.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,-240252819,52.30.111.238,Nginx,4541,False,,,
www.infogram.com,"Create Infographics, Reports and Maps - Infogram",200,101439,infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,infogram.com,443,https://www.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,-1132124370,52.51.49.75,Nginx,425,False,,https://infogram.com/,
www6-6.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,www6-6.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,www6-6.infogram.com,443,https://www6-6.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,1689339989,99.80.200.215,Nginx,4541,False,,,
zlp36756.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,zlp36756.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,zlp36756.infogram.com,443,https://zlp36756.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-480469529,52.30.111.238,Nginx,4541,False,,,
