input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,final_url
at.trustpilot.com,Trustpilot-Bewertungen – Erleben Sie die Power von Kundenbewertungen,200,211434,at.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,at.trustpilot.com,cloudfront,443,https://at.trustpilot.com:443,https,,text/html,GET,108.138.17.60,/,-1383922597,108.138.17.70,HSTS,61,False,True,,,
au.business.trustpilot.com,Trustpilot Business: Collect Customer Service & Product Reviews,200,287990,au.business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,au.business.trustpilot.com,cloudfront,443,https://au.business.trustpilot.com:443,https,,text/html,GET,13.32.99.70,/,909536006,13.32.99.84,HSTS,861,False,True,,,
au.legal.trustpilot.com,Trustpilot legal guidelines and policies,200,97950,legal.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.legal.trustpilot.com,*.legal.trustpilot.com,legal.trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ee0bead4c21c67c7ac83b65fc4eb74d8,1d051a2a0b350a24e9f27173da9a43daf507fe53dbcb8b4725883cf9fe03b1a2,True,ctls,legal.trustpilot.com,,443,https://au.legal.trustpilot.com:443,https,,text/html,GET,52.18.173.89,/,,34.255.211.190,HSTS,511,False,,,,https://legal.trustpilot.com/
au.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,217542,au.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,au.trustpilot.com,cloudfront,443,https://au.trustpilot.com:443,https,,text/html,GET,108.138.17.129,/,-1383922597,108.138.17.60,HSTS,37,False,True,,,
authenticate.trustpilot.com,Trustpilot Business,200,9095,businessapp.b2b.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.b2b.trustpilot.com,*.b2b.trustpilot.com,b2b.trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8e54aa156bb7a5820678d29c22a784c9,9603f370125fb6aa584971acf0a9c52f7099fa198ee3b39e73d558d8d8684117,True,ctls,businessapp.b2b.trustpilot.com,,443,https://authenticate.trustpilot.com:443,https,AmazonS3,text/html,GET,18.202.168.117,/,1593207841,52.213.253.34,Sentry:6.16.1,1,False,,,,https://businessapp.b2b.trustpilot.com/?locale=en-us
authentication.trustpilot.com,Invalid Dynamic Link,400,9233,authentication.trustpilot.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T13:51:04Z,2023-10-15T14:49:22Z,CN=spiik.com,spiik.com,nathanvogel.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e4f52a212537af63d4b6fa81e6524f06,4e55a90c896aed1ce92e5b0d0403d87495e56e89713e877fd8669162786367d1,,ctls,authentication.trustpilot.com,fastly,443,https://authentication.trustpilot.com:443,https,,text/html,GET,151.101.1.195,/,1905170354,151.101.65.195,HTTP/3,1,False,True,,,
az.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://az.trustpilot.com:443,https,,text/html,GET,52.16.81.76,/,-1383922597,52.17.39.33,HSTS,36,False,,,,https://www.trustpilot.com/
b2b.trustpilot.com,Trustpilot Business,200,9095,businessapp.b2b.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.b2b.trustpilot.com,*.b2b.trustpilot.com,b2b.trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8e54aa156bb7a5820678d29c22a784c9,9603f370125fb6aa584971acf0a9c52f7099fa198ee3b39e73d558d8d8684117,True,ctls,businessapp.b2b.trustpilot.com,,443,https://b2b.trustpilot.com:443,https,AmazonS3,text/html,GET,34.252.82.225,/,,52.17.39.33,Sentry:6.16.1,1,False,,,,https://businessapp.b2b.trustpilot.com/
bd.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://bd.trustpilot.com:443,https,,text/html,GET,34.252.82.225,/,-1383922597,52.16.81.76,HSTS,36,False,,,,https://www.trustpilot.com/
bid46aw.preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://bid46aw.preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.107,/,-111230943,18.66.122.119,Amazon Web Services,20,False,True,,,
blog.trustpilot.com,Trustpilot Business Blog: Get the Most out of your Reviews,200,209737,business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,business.trustpilot.com,,443,https://blog.trustpilot.com:443,https,,text/html,GET,54.216.219.30,/,205976753,52.16.24.192,HSTS,770,False,,,,https://business.trustpilot.com/reviews
br.business.trustpilot.com,Trustpilot Business: Collect Customer Service & Product Reviews,200,365477,br.business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,br.business.trustpilot.com,cloudfront,443,https://br.business.trustpilot.com:443,https,,text/html,GET,13.32.99.107,/,909536006,13.32.99.70,HSTS,883,False,True,,,
br.trustpilot.com,Avaliações da Trustpilot. Sinta o poder das avaliações de clientes,200,194506,br.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,br.trustpilot.com,cloudfront,443,https://br.trustpilot.com:443,https,,text/html,GET,108.138.17.70,/,-1383922597,108.138.17.60,HSTS,35,False,True,,,
brandassets.trustpilot.com,,403,243,brandassets.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,brandassets.trustpilot.com,cloudfront,443,https://brandassets.trustpilot.com:443,https,AmazonS3,application/xml,GET,13.32.121.89,/,-964648982,13.32.121.109,Amazon Web Services,2,False,True,,,
business-configurablehttpredirector.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://business-configurablehttpredirector.trustpilot.com:443,https,,text/html,GET,52.215.48.151,/,-1383922597,52.49.46.67,HSTS,36,False,,,,https://www.trustpilot.com/
business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,919,business-preview.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-26T00:00:00Z,2024-03-27T23:59:59Z,CN=*.business-preview.trustpilot.com,*.business-preview.trustpilot.com,business-preview.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f3b1ee43805badb5ed62feb928d5df8f,ae5652e8d1f6ad4802614d217309cb44722cfec0b9a10499477a7b3d95ee1790,True,ctls,business-preview.trustpilot.com,cloudfront,443,https://business-preview.trustpilot.com:443,https,CloudFront,text/html,GET,18.66.122.107,/,1441965549,18.66.122.115,Amazon Web Services,20,False,True,,,
business.trustpilot.com,Trustpilot Business: Collect Customer Service & Product Reviews,200,368729,business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,business.trustpilot.com,cloudfront,443,https://business.trustpilot.com:443,https,,text/html,GET,13.32.99.48,/,909536006,13.32.99.70,HSTS,886,False,True,,,
businessapp.b2b.trustpilot.com,Trustpilot Business,200,9095,businessapp.b2b.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.b2b.trustpilot.com,*.b2b.trustpilot.com,b2b.trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8e54aa156bb7a5820678d29c22a784c9,9603f370125fb6aa584971acf0a9c52f7099fa198ee3b39e73d558d8d8684117,True,ctls,businessapp.b2b.trustpilot.com,cloudfront,443,https://businessapp.b2b.trustpilot.com:443,https,AmazonS3,text/html,GET,18.66.147.100,/,-1698765014,18.66.147.64,Sentry:6.16.1,1,False,True,,,
businessauthentication-app.trustpilot.com,,200,320,businessauthentication-app.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,businessauthentication-app.trustpilot.com,cloudfront,443,https://businessauthentication-app.trustpilot.com:443,https,AmazonS3,text/html,GET,13.32.99.57,/,-79101703,13.32.99.22,Amazon Web Services,1,False,True,,,
businessunitproducts-images.trustpilot.com,,403,243,businessunitproducts-images.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,businessunitproducts-images.trustpilot.com,cloudfront,443,https://businessunitproducts-images.trustpilot.com:443,https,AmazonS3,application/xml,GET,13.32.121.65,/,1826663856,13.32.121.2,Amazon Web Services,2,False,True,,,
buzzlightyear-color.business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://buzzlightyear-color.business-preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.122,/,-1352503007,18.66.122.107,Amazon Web Services,20,False,True,,,
by.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://by.trustpilot.com:443,https,,text/html,GET,52.17.39.33,/,-1383922597,34.252.82.225,HSTS,36,False,,,,https://www.trustpilot.com/
ca.legal.trustpilot.com,Trustpilot legal guidelines and policies,200,97950,legal.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.legal.trustpilot.com,*.legal.trustpilot.com,legal.trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ee0bead4c21c67c7ac83b65fc4eb74d8,1d051a2a0b350a24e9f27173da9a43daf507fe53dbcb8b4725883cf9fe03b1a2,True,ctls,legal.trustpilot.com,,443,https://ca.legal.trustpilot.com:443,https,,text/html,GET,34.255.211.190,/,,52.18.173.89,HSTS,511,False,,,,https://legal.trustpilot.com/
ch.business.trustpilot.com,Trustpilot Business: Sammeln Sie Kundenbewertungen zu Service & Produkten,200,326744,ch.business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,ch.business.trustpilot.com,cloudfront,443,https://ch.business.trustpilot.com:443,https,,text/html,GET,13.32.99.70,/,909536006,13.32.99.48,HSTS,858,False,True,,,
ch.legal.trustpilot.com,Trustpilot-Richtlinien und -Bedingungen,200,99196,de.legal.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.legal.trustpilot.com,*.legal.trustpilot.com,legal.trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ee0bead4c21c67c7ac83b65fc4eb74d8,1d051a2a0b350a24e9f27173da9a43daf507fe53dbcb8b4725883cf9fe03b1a2,True,ctls,de.legal.trustpilot.com,,443,https://ch.legal.trustpilot.com:443,https,,text/html,GET,52.18.173.89,/,,34.255.211.190,HSTS,511,False,,,,https://de.legal.trustpilot.com/
ch.trustpilot.com,Trustpilot-Bewertungen – Erleben Sie die Power von Kundenbewertungen,200,211980,ch.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,ch.trustpilot.com,cloudfront,443,https://ch.trustpilot.com:443,https,,text/html,GET,108.138.17.60,/,-1383922597,108.138.17.106,HSTS,60,False,True,,,
cl.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://cl.trustpilot.com:443,https,,text/html,GET,52.17.39.33,/,-1383922597,34.252.82.225,HSTS,36,False,,,,https://www.trustpilot.com/
clip-na.preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://clip-na.preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.107,/,516611937,18.66.122.83,Amazon Web Services,20,False,True,,,
cn.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://cn.trustpilot.com:443,https,,text/html,GET,34.252.82.225,/,-1383922597,52.16.81.76,HSTS,36,False,,,,https://www.trustpilot.com/
