new,host,a,soa,status_code,cname,aaaa,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],www1.canary.airbnb.com,3.82.209.38,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-07a67e3d389c41559.inst.aws.us-east-1.prod.musta.ch, ec2-3-82-209-38.compute-1.amazonaws.com, i-007edd9dfdcc8b344.inst.aws.us-east-1.prod.musta.ch, ec2-54-90-167-43.compute-1.amazonaws.com",,,,"ns2.amzndns.co.uk, ns1.amzndns.org, ns1.amzndns.net, ns1.amzndns.co.uk, ns2.amzndns.com, ns2.amzndns.net, ns1.amzndns.com, ns2.amzndns.org",,,,,
,0-boot-security-saml-demo-okta-berliner-stadtmission.airbnb.app,,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,0-node-express-okta-idpnode-admin.airbnb.app,"76.76.21.164, 76.76.21.142","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,0-tlcovid19-private.secure.admin.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"admin.airbnb.com, admin-airbnb-com.airbnb.tools, iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",2600:1901:0:7a6a::,True,google,,,,,,
,0.next.airbnb.com,"2.23.7.42, 2.23.7.24","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,"76.76.21.61, 76.76.21.241","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,005-coinbase.airbnb.app,"76.76.21.98, 76.76.21.164","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,0ms.optustvnow.next.airbnb.com,"80.239.137.154, 62.115.252.50","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,1-airstream-boot-security-saml-active-okta.airbnb.app,"76.76.21.241, 76.76.21.123","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta-airbnb.appwww5f.airbnb.app,"76.76.21.9, 76.76.21.164","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta-application.airbnb.app,"76.76.21.9, 76.76.21.98","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta-blog.device2584659-2c0ea93f.h4.airbnb.app,"76.76.21.123, 76.76.21.98","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta-blog.h4-1da29743.airbnb.app,"76.76.21.123, 76.76.21.93","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta-blog.orders-21700103893gj3000541.airbnb.app,"76.76.21.98, 76.76.21.241","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta-smcpext.airbnb.app,"76.76.21.98, 76.76.21.61","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta.airbnb.app,"76.76.21.241, 76.76.21.93","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-active-okta.kaluobeiyongwangzhi.airbnb.app,"76.76.21.98, 76.76.21.93","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1-spring-boot-security-saml-ku1720-okta.airbnb.app,"76.76.21.123, 76.76.21.164","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,1.next.airbnb.com,,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,10.el-covid19-service.next.airbnb.com,"173.222.106.162, 173.222.106.151","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,110-node-express-okta-idpnode-admin.airbnb.app,"76.76.21.142, 76.76.21.61","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,14-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,"76.76.21.142, 76.76.21.241","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,14.admin-lite.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"admin-lite.airbnb.com, admin-lite-airbnb-com.airbnb.tools, iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",2600:1901:0:7a6a::,True,google,,,,,,
,2010ps-mgmt-portal-okta.airbnb.app,"76.76.21.164, 76.76.21.241","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,7.tl-covid19demo.next.airbnb.com,"23.0.174.120, 23.0.174.82","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,9covid19-el.next.airbnb.com,"2.16.241.98, 2.16.241.73","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,a.next.airbnb.com,,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,a0.muscache.com,"96.16.54.122, 96.16.54.179","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san.airbnb.com.edgekey.net, e118243.a.akamaiedge.net",,,,,,,,,
,aamk.admin-lite-next.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",2600:1901:0:7a6a::,True,google,"ns-1348.awsdns-40.org, ns-1950.awsdns-51.co.uk, ns-254.awsdns-31.com, ns-622.awsdns-13.net",,,,,
,abas.p2p.next.airbnb.com,"104.126.37.154, 104.126.37.162","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,academy.next.airbnb.com,"173.222.106.162, 173.222.106.151","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,acapi.next.airbnb.com,"96.16.54.113, 96.16.54.161","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,aces.hoteltonight-test.com,,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,u2.shared.global.fastly.net,,True,fastly,,,,,,
,actnow.airbnbcitizen.com,"172.67.69.234, 104.26.7.193, 104.26.6.193",,NOERROR,,,True,cloudflare,,,,,,
,ad-innosence-xsrvjp.apiwww.next.airbnb.com,"95.100.104.19, 95.100.104.21","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,adithya.optustvnow.next.airbnb.com,"104.126.37.154, 104.126.37.162","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,admin-lite-next.airbnb.com,,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",,True,google,,,,,,
,admin-next.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",2600:1901:0:7a6a::,True,google,,,,,,
,admin.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"admin-airbnb-com.airbnb.tools, iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",2600:1901:0:7a6a::,True,google,,,,,,
,admin.dev.staging.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,iap-generic01-global-prod-useast4.airbnb.biz,2600:1901:0:7a6a::,True,google,,,,,,
,affiliate2-1.luxuryretreats.com,,,NOERROR,,,,,,,,,,
,aichi.optustvnow.next.airbnb.com,"62.115.252.50, 80.239.137.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,airbnb-aws.com,,"ns-754.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-500.awsdns-62.com, ns-1331.awsdns-38.org, ns-2000.awsdns-58.co.uk, ns-754.awsdns-30.net",,,,,
,airbnb.com,"54.81.10.132, 3.219.98.98, 34.195.166.128, 198.51.44.8, 198.51.45.8, 198.51.44.72, 198.51.45.72","dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,"2620:4d:4000:6259:7:8:0:1, 2a00:edc0:6259:7:8::2, 2620:4d:4000:6259:7:8:0:3, 2a00:edc0:6259:7:8::4",,,"dns4.p08.nsone.net, dns3.p08.nsone.net, dns1.p08.nsone.net, dns2.p08.nsone.net","MS=ms85621737, facebook-domain-verification=t3zulila9jjnrfbyt6vjamhqdxz47f, atlassian-domain-verification=mvMbea0qZ4IoMr8/xjkRYgjiHikXBbF04PZnZYv1Nj9UgppCnagnNaSo4T8QnCnP, 50c24edbaddf46e8ad85f3b7aa6c19bb, ecostruxure-it-verification=5dd49b15-5fc0-4967-914f-3cc7b2fd6cdf, status-page-domain-verification=tb81t2ndk8pb, docusign=1c606b88-26ef-48f9-8913-a4251a947532, miro-verification=c5c6890aa37542fb59662ade09a0778c6e028b2f, google-site-verification=HEoQR0xvby-BYv7pNt06jkvTF44l6rvMnREUZSTyfYQ, docusign=d56dee1c-0384-4ffa-8801-e6bea308af97, cisco-ci-domain-verification=eef9c0a839b89aed57cdd00866d163bb0660fec297c0c1e4b275baec96cfa10, apple-domain-verification=KVJVb0VKHY0IkzDH, webexdomainverification.725890277b499457e053ab06fc0a5ef4=b060825b-4db4-4ce3-a61e-debc56370fc0, webexdomainverification.=162d362c-c218-48f0-8b53-0017116e6f29, google-site-verification=Dz--VdnW2R_4K45T0eM8i0vNpFlip_o10WidHL5a3cg, segment-site-verification=ZkxkEuKJrGI9MrWGC0qw795Xkj9ZlcBq, adobe-idp-site-verification=e68ae64c-3a65-4439-b368-0042e72c4cc8, google-site-verification=A8e2zY9GYwx8D7x0aOz09Vl4gHfPmv86y_TbW1TUDqs, status-page-domain-verification=vxdvtv6jn2y9, google-site-verification=_e6Ayd8GN0S5dR116WkaM5ds5tx3ekRD5DC9-51pGrg, v=spf1 include:spf1.airbnb.com ip6:2c0f:fb50:4000::/36 ip6:2a00:1450:4000::/36 ip6:2800:3f0:4000::/36 ip6:2607:f8b0:4000::/36 ip6:2404:6800:4000::/36 ip6:2001:4860:4000::/36 ip4:87.253.232.0/21 ip4:76.223.176.0/20 ip4:76.223.128.0/19 -all",,,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","globalsign.com, mailto:caa-alerts@airbnb.com, digicert.com"
,airbnbcitizen.com,"188.114.99.229, 188.114.98.229","clark.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,"clark.ns.cloudflare.com, nelly.ns.cloudflare.com",,,,,
,airwalkbag.ci.next.airbnb.com,"104.126.37.154, 104.126.37.162","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,akamai-staging.airbnb.com,"23.50.55.43, 23.50.55.49","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey-staging.net, e74147.a.akamaiedge-staging.net",,,,,,,,,
,akamai-staging.luxuryretreats.com,"23.50.55.49, 23.50.55.43","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,"luxuryretreats.com.edgekey-staging.net, e74147.a.akamaiedge-staging.net",,,,,,,,,
,akamai-test-origin.next.airbnb.com,"104.126.37.162, 104.126.37.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,akamai-test.airbnb.com,"23.50.52.35, 23.50.52.34","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey-staging.net, e74147.a.akamaiedge-staging.net",,,,,,,,,
,akamai-test.next.airbnb.com,"23.0.174.120, 23.0.174.82","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,akamai.airbnb.com,"62.115.252.50, 80.239.137.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,akamai.luxuryretreats.com,"104.126.37.162, 104.126.37.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"luxuryretreats.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,akamai.next.airbnb.com,,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,akrimnet.cspi.next.airbnb.com,"96.16.54.113, 96.16.54.161","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,alan-sun-seo-loop-airbnb-vercel-bot.airbnb.app,"76.76.21.22, 76.76.21.61","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,alex7.new.next.airbnb.com,"95.101.111.163, 95.101.111.158","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,alpha-2-0.luxuryretreats.com,,,NOERROR,,,,,,,,,,
,alpha-3-2.luxuryretreats.com,,,NOERROR,,,,,,,,,,
,alpha.optustvnow.next.airbnb.com,"2.23.7.24, 2.23.7.42","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,alpha5-1.luxuryretreats.com,,,NOERROR,,,,,,,,,,
,amarillo1-spring-boot-security-saml-active-okta-symposium.airbnb.app,"76.76.21.241, 76.76.21.123","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,amex.withairbnb.com,,,NOERROR,,,,,,,,,,
,amigas.evd.next.airbnb.com,"80.239.137.154, 62.115.252.50","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,ams5.canary.airbnb.com,44.206.224.209,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-0197d51dbeeb6481a.inst.aws.us-east-1.prod.musta.ch, ec2-44-206-224-209.compute-1.amazonaws.com, i-0ec94fb46ee986e4f.inst.aws.us-east-1.prod.musta.ch, ec2-34-228-189-34.compute-1.amazonaws.com, i-08fa3def747e16227.inst.aws.us-east-1.prod.musta.ch, ec2-34-235-171-72.compute-1.amazonaws.com, i-0aca4e3a24f103a79.inst.aws.us-east-1.prod.musta.ch, ec2-18-206-40-130.compute-1.amazonaws.com",,,,,,,,,
,andes.merchdirect.next.airbnb.com,"104.126.37.162, 104.126.37.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,andrews.1.next.airbnb.com,"173.222.106.162, 173.222.106.151","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,api-17.luxuryretreats.com,,,NOERROR,,,,,,,,,,
,api-connectivity.hoteltonight-test.com,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,internal-staging-hotelstonight-webconapif-1371117510.us-east-1.elb.amazonaws.com,,,,,,,,,
,api-cx.hoteltonight-test.com,146.75.122.217,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,u2.shared.global.fastly.net,,True,fastly,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,,,
,api-fastly-staging.airbnb.com,,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,ev.airbnb.map.fastly.net,,True,fastly,,,,,,
,api-fastly.airbnb.com,"151.101.1.254, 151.101.65.254, 151.101.129.254, 151.101.193.254","ns1.fastly.net, hostmaster.fastly.com",NOERROR,ev.airbnb.map.fastly.net,,True,fastly,,,,,,
,api-h2.hoteltonight-test.com,146.75.118.217,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,u2.shared.global.fastly.net,,True,fastly,,,,,,
,api-integration.hoteltonight-test.com,151.101.38.217,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,u2.shared.global.fastly.net,,True,fastly,,,,,,
,api-internal.hoteltonight-test.com,"10.0.101.46, 10.0.203.250","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,internal-staging-hotelstonight-webialbfg-577220261.us-east-1.elb.amazonaws.com,,,,,,True,"10.0.101.46, 10.0.203.250",,
,api-www.next.airbnb.com,"23.0.174.120, 23.0.174.82","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,api.admin.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"admin.airbnb.com, admin-airbnb-com.airbnb.tools, iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz",2600:1901:0:7a6a::,True,google,,,,,,
,api.airbnb.com,"62.115.252.72, 62.115.252.42, 62.115.252.35, 80.239.137.152, 62.115.252.74, 62.115.252.50, 62.115.252.66, 62.115.252.19, 62.115.252.58","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san.airbnb.com.edgekey.net, e118243.a.akamaiedge.net",,,,,,,,,
,api.canary.airbnb.com,54.90.167.43,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-007edd9dfdcc8b344.inst.aws.us-east-1.prod.musta.ch, ec2-54-90-167-43.compute-1.amazonaws.com, i-0587b01980efdb3f9.inst.aws.us-east-1.prod.musta.ch, ec2-34-227-26-97.compute-1.amazonaws.com, i-07a67e3d389c41559.inst.aws.us-east-1.prod.musta.ch, ec2-3-82-209-38.compute-1.amazonaws.com, i-08fa3def747e16227.inst.aws.us-east-1.prod.musta.ch, ec2-34-235-171-72.compute-1.amazonaws.com, i-0c478dc1ff433ce87.inst.aws.us-east-1.prod.musta.ch, ec2-54-242-98-155.compute-1.amazonaws.com",,,,,,,,,
,api.demo.hoteltonight-test.com,,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,_globalsign-domain-verification=HAV0DdFrnLUqX_rElt-qy46djfIXvl0vWWSpvmvNcE,,,,
,api.dev.staging.airbnb.com,34.120.23.133,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,iap-generic01-global-prod-useast4.airbnb.biz,2600:1901:0:7a6a::,True,google,,,,,,
,api.hoteltonight-test.com,199.232.38.217,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,u2.shared.global.fastly.net,,True,fastly,,,,,,
,api.localhost.airbnb.comapi.next.airbnb.com,"96.16.54.113, 96.16.54.161","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,api.localhostapi.next.airbnb.com,"96.16.54.161, 96.16.54.113",,NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,api.preprod.airbnb.com,"23.12.147.39, 23.12.147.12","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,api.urbandoor.com,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,api.urbandoor.com.herokudns.com,,,,,,,,,
,api.www.next.airbnb.com,"23.12.147.12, 23.12.147.39","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,apicovid19-el.next.airbnb.com,"104.126.37.162, 104.126.37.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,apicovid19es.next.airbnb.com,"104.126.37.154, 104.126.37.162","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,app.next.airbnb.com,"80.239.137.154, 62.115.252.50","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,apply.canary.airbnb.com,54.90.167.43,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-007edd9dfdcc8b344.inst.aws.us-east-1.prod.musta.ch, ec2-54-90-167-43.compute-1.amazonaws.com, i-0587b01980efdb3f9.inst.aws.us-east-1.prod.musta.ch, ec2-34-227-26-97.compute-1.amazonaws.com, i-07a67e3d389c41559.inst.aws.us-east-1.prod.musta.ch, ec2-3-82-209-38.compute-1.amazonaws.com",,,,,,,,,
,ar.airbnb.com,"2.16.241.80, 2.16.241.85","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san.airbnb.com.edgekey.net, e118243.a.akamaiedge.net",,,,,,,,,
,ar.next.airbnb.com,"2.23.7.42, 2.23.7.24","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,ardbeg.info.next.airbnb.com,"95.100.104.19, 95.100.104.21","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,art2.p2p.next.airbnb.com,"173.222.106.151, 173.222.106.162","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,assets.evd.next.airbnb.com,"62.115.252.50, 80.239.137.154","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
,assets.next.airbnb.com,"95.100.104.19, 95.100.104.21","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
