input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url,tls_expired
api.royalnavy.mod.uk,,403,16,api.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,api.royalnavy.mod.uk,cloudflare,443,https://api.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:104c,Cloudflare Bot Management,1,False,True,,,,
apigateway-pre.defencegateway.mod.uk,Integration Server Administrator,200,951,apigateway-pre.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-16T17:06:46Z,2023-08-14T17:06:45Z,CN=apigateway-pre.defencegateway.mod.uk,apigateway-pre.defencegateway.mod.uk,,*.apigateway-pre.defencegateway.mod.uk,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,b99ba15cd1a63949a6d2401833b27cef,83bb396dec70e510b5d2b847c7813e5bfcf66bd9135e7f53ace98722c0900e69,True,ctls,apigateway-pre.defencegateway.mod.uk,cloudflare,443,https://apigateway-pre.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.7.167,/,-234335289,2606:4700::6812:6a7,Cloudflare,15,False,True,,,,
apigateway.defencegateway.mod.uk,Integration Server Administrator,200,951,apigateway.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,apigateway.defencegateway.mod.uk,cloudflare,443,https://apigateway.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.15.198,/,-234335289,104.18.14.198,Cloudflare Bot Management,15,False,True,,,,
apiportal.defencegateway.mod.uk,,200,17217,apiportal.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,apiportal.defencegateway.mod.uk,cloudflare,443,https://apiportal.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.15.198,/,-1753094783,104.18.14.198,Cloudflare Bot Management,197,False,True,,,,
app-james.ice.mod.gov.uk,403 Forbidden,403,146,app-james.ice.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-18T23:59:59Z,CN=app-james.ice.mod.gov.uk,app-james.ice.mod.gov.uk,,*.app-james.ice.mod.gov.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7fe41473d1953494a6bb5ba89fcb860e,0ffc52896b2bce5195ae3fc654982bc644ff481bca0acb6e3e5e48919c527c28,True,ctls,app-james.ice.mod.gov.uk,,443,https://app-james.ice.mod.gov.uk:443,https,nginx,text/html,GET,13.41.246.174,/,-1561873722,18.135.233.5,Nginx,8,False,,,,,
app.stars.dev.iace.mod.gov.uk,STARS,200,39468,app.stars.dev.iace.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T01:57:26Z,2023-07-17T01:57:25Z,CN=app.stars.dev.iace.mod.gov.uk,app.stars.dev.iace.mod.gov.uk,,app.stars.dev.iace.mod.gov.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e4a3e655b5bf54f7808d4bc626ad799,3964c427f9778e2b8f868deec230e480147005af12bd9c34aa57ea58068688a3,,ctls,app.stars.dev.iace.mod.gov.uk,azure,443,https://app.stars.dev.iace.mod.gov.uk:443,https,,text/html,GET,51.104.254.70,/,1494302000,51.104.254.70,HSTS,132,False,True,,,,
app.stars.iace.mod.gov.uk,STARS,200,39468,app.stars.iace.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T22:45:33Z,2023-08-23T22:45:32Z,CN=app.stars.iace.mod.gov.uk,app.stars.iace.mod.gov.uk,,app.stars.iace.mod.gov.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62390ec8649d6e1fa507137625f1cc58,a2e5555052e065627281be58bd4d6f02a90ad1c06f9070a058818560304361dd,,ctls,app.stars.iace.mod.gov.uk,azure,443,https://app.stars.iace.mod.gov.uk:443,https,,text/html,GET,20.49.149.184,/,1494302000,20.49.149.184,HSTS,132,False,True,,,,
apply.army.mod.uk,,403,16,jobs.army.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-20T00:00:00Z,2023-08-18T23:59:59Z,"CN=army.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",army.mod.uk,"Cloudflare, Inc.",army.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe2df73ad3b1e8cb346129ebc7d9168c,5b1207fb18a27fec8a6edd8e4693709d58699ee1590f168ed4fb4ef7e71cfa3b,True,ctls,jobs.army.mod.uk,azure,443,https://apply.army.mod.uk:443,https,cloudflare,text/plain,GET,51.142.208.94,/,1818286484,51.142.208.94,Cloudflare Bot Management,1,False,True,,,https://jobs.army.mod.uk/,
asbestos.da.mod.uk,Sign in to your account,200,41323,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,azure,443,https://asbestos.da.mod.uk:443,https,,text/html,GET,20.52.134.77,/,546186804,20.52.134.77,HSTS,94,False,True,,,https://login.microsoftonline.com/267e129b-fd11-41b9-a908-15fc6967cf17/oauth2/authorize?response_type=code&client_id=35524c84-7be9-4184-b98d-e3af13739ce2&scope=openid&nonce=769d3f22-c93c-45d1-b7b1-cd02b52e1623&redirect_uri=https%3a%2f%2fasbestos.da.mod.uk%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fasbestos.da.mod.uk%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2246a9ff9b-f59c-409b-9868-86c8f5621ea8%22%7d%23EndOfStateParam%23&client-request-id=46a9ff9b-f59c-409b-9868-86c8f5621ea8,
asems.mod.uk,Welcome to ASEMS Online | ASEMS Online,200,22918,www.asems.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T17:50:15Z,2023-07-22T17:50:14Z,CN=asems.mod.uk,asems.mod.uk,,www.asems.mod.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,529459d0a5a4466f65bfc30d0d2119f4,52a9f7b90b000220b4d1611de31cebf4f1f4b9b5fd017fd64b3df79ebbcd7aad,,ctls,www.asems.mod.uk,,443,https://asems.mod.uk:443,https,Apache,text/html,GET,138.68.155.91,/,-1280846966,138.68.155.91,PHP,511,False,,,*.google-analytics.com,https://www.asems.mod.uk/,
atga.mod.uk,403 Forbidden,403,146,jive.defencegateway.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-16T23:59:59Z,CN=*.defencegateway.mod.uk,*.defencegateway.mod.uk,,*.defencegateway.mod.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76d0634d5c48836d108601684eaee4be,fd460d62c59f92fbbd3b798fa12c3e539de74ab30ae02878cef6e7eff863be2b,True,ctls,jive.defencegateway.mod.uk,cloudflare,443,https://atga.mod.uk:443,https,nginx,text/html,GET,104.18.7.106,/,-1700957972,2606:4700::6812:66a,Nginx,8,False,True,,,https://jive.defencegateway.mod.uk/login.jspa?referer=%252Fgroups%252Farmy-adventurous-training,
auth.ukspoc.mod.gov.uk,403 Forbidden,403,199,auth.ukspoc.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-07-25T23:59:59Z,CN=ukspoc.mod.gov.uk,ukspoc.mod.gov.uk,,mock.ukspoc.mod.gov.uk,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",923f16a95d2d5718c31c7f71a305e64a,dae14c1af5b3d2f9ca7201e31624c46b5ec223bca483daf209a935f77be5ec58,,ctls,auth.ukspoc.mod.gov.uk,,443,https://auth.ukspoc.mod.gov.uk:443,https,Web Server,text/html,GET,18.135.185.218,/,-855688948,18.135.185.218,,8,False,,,,https://auth.ukspoc.mod.gov.uk/default,
authoring.royalnavy.mod.uk,,403,16,authoring.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,authoring.royalnavy.mod.uk,cloudflare,443,https://authoring.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:104c,Cloudflare Bot Management,1,False,True,,,,
autodiscover.army.mod.uk,Sign in to Outlook,200,38225,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.army.mod.uk:80,http,,text/html,GET,40.99.150.40,/,-1249852061,2603:1026:c0d:c2d::8,HSTS,94,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=62a341de-bbc5-58c1-10ac-7a2b7dd881f9&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=army.mod.uk&nonce=638223929804510618.e150b577-2b3d-4cf6-8e0a-52ca99456e72&state=DctNDsIgEEBh0LvoCgoDw8-i8SxTGBOjhARtjbeXxfd2TwohztNpkmZGxOASgMuQk_FoTbBJs0WzYYwKNleVL_egEhtSCIVy9hg4gpzvdelfWm6D6dVWGu2nW696f16OutL-6fXxLv3g8Qc,
autodiscover.bader.mod.uk,Sign in to Outlook,200,39376,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.bader.mod.uk:80,http,,text/html,GET,40.99.149.216,/,-1249852061,2603:1026:c0d:c1c::8,HSTS,94,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=3d741fc3-c001-f3c9-5e93-3d88729e002e&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=bader.mod.uk&nonce=638223929796891505.bbb21e1c-bcb9-4281-a5e8-63e7c7625b58&state=DcsxDsMgDEBRaO5SdYEEU8AMUc9ig4eqjZBIk14_DO9vXyulpuE26GVEpegRwGfIKUfMLizBMjM4ccVw4WyegM5QEDTRSyopQuCAeryPuf1pfnWh77YyVel2a9Uen_tZVzp-rb730k7pFw,
autodiscover.da.mod.uk,Sign in to Outlook,200,39238,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.da.mod.uk:80,http,,text/html,GET,52.97.189.72,/,-1249852061,2603:1026:c0d:71::8,HSTS,94,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=cf2c2c83-4b15-7175-6b5a-6033d16b676b&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=da.mod.uk&nonce=638223929795915286.7749b000-979f-402b-a37e-f3574b9291b2&state=DYtBDoMwDAST8pb2lmCcBOMD6lucJkhViyJBod_Hh9nDaMcaYzrlpljQMTSGCTEwMnHiIeE0eqLIGQCcusVFwOwkUHVLSBSzXoeMVtt73_7SP7cq33Uu4tdW_PF5nGWW49fKe3-1s24X,
autodiscover.defencegateway.mod.uk,Please wait...,200,1685,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.defencegateway.mod.uk:80,http,,text/html,GET,40.99.150.40,/,-1249852061,2603:1026:c0d:76::8,HSTS,1,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=60931793-1571-06f8-9fad-88c596da7249&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=defencegateway.mod.uk&nonce=638223929802738259.b628aeb1-fafd-4a04-ba37-df0f0c3ecc9c&state=DYtLDsIgFABB7-IOSqEWWDSe5fE-xmhLUvuJt5fFTGYzWil1bVwa2jWpOIbkfcg-J-dj63u2ZfQJuPRGQMgM4AZTIERD4sRhYMSMur19V0_oHivDZ56IhRfkJ2x8ws_Olez-vh00wb5Ven2xHrz-AQ,
