input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,content_type,tech_,cdn,tls_expired,tls_self_signed,tls_mismatched,tls_subject_org_,final_url,csp_domains_
benjamins-test.scrapinghub.com,Sign in - Google Accounts,200,613199,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,True,ctls,accounts.google.com,443,https://benjamins-test.scrapinghub.com:443,https,GET,216.239.38.21,/,1889351855,2001:4860:4802:34::15,76,False,,ESF,text/html,HTTP/3,,,,,,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S-2113680142%3A1689475108733117&client_id=349412168745-rpcqk9lufvtnvdek6rn2ng9h95c2e20n.apps.googleusercontent.com&code_challenge=_QdQdPHV4yoW_A8UQNogkhbATT2C9GHk4z_Pd2eiqfk&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F349412168745-rpcqk9lufvtnvdek6rn2ng9h95c2e20n.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAEjrcN23wY_kAJUEk2jXf9ZM_gFbzn4FWf0lz9Jtjh7LgwS9gJ5ol_CJh2uMzxzulWn1ILsXSus0SpEbxarZpCqMbUyZAV579_xIgsngXsUY2IN8c4o4FF9iRl4AVhiZtHc_vP4DKm2P4C2YGVV24TinfZEAm6-EUuPQKdzQknNBPoYCFeMXyfOQ9LbNlpiZCv6Bwh5suOnlra2weQVrw52B5QPTbAbPgQSccbvPG_0tL1w7Rbu_Yo0GEa9RlsSjR9pHVLwFnhjAR3UDFxpivmd67XGT1gp2NeUKLrIs-oEJV5UFZPwfstVY8IZ4bMokHZQMUqUyQbR6RGQYfe-tBM_a2sopur_2-SGRmaPZpwtJayUqskzkV_6WKSuHhuW8ToqSKW3gO4Qf_qtODWbwSTaLzy41ZADCWXL7WjPRQPUg1LXXknwVy0aaLN2Ie5ZF0tta6hcoFzT6btOrnoC5-f69OezmhFSa6kaauZFMLGU2Tp6AKsvCi2crpeKbNNIRBPPaTP_mwaw6n3ieeQNFgFK3lKs3ab2N7wY2Kt1vswgrXwV8w5_TvuaIqogtptGKSt6sPXODerJOCPc6r3p85shApkoEI2LbCZUApRc6Pr7NPTbNXltbIeU9iWQHso5Pvs-iTjmTwAoan4T87ouYrBPo9DwlWbmp3DdbtD-NqBnP-_xs2Toof3fUKmG4Vgp8wqsWWcRxvgpMHN0F5IC4TqJrvJUAZVlK5fKwUxF3Zl2fJZn5GFHTA9PIvvAAYESBzSxf4k-Y8GL5Rhuwhd6NTfVmJy_XuJtlz_riC4tf1dXGsUb9TarbFmam0MfHZjCcI95b3677QoyT486UpqL_EtSyZf0q0Ede9rDUN7AcO4cPZjytcIUXuKvsKFyFY0rCsZiHXMvmSR2nwHd-Nh2biuXzywMC_4zLvb3OJQeCDu03-pMfc9ko93w6zx5JJK7au_EhwL44ko6_EYsWlbx2Lv__1LodzV91j9XB62PIEBUjZ968kRs6LcmyHoAkUcKnDWpSMWOa4rxxo9kcsYROU9VYQjKPCCvhkjaol3D8-n5kFdljVtQBAD&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hANedtD9F5gdUa5MYzUsWxtVM9ABMoPvOAu4crfsrvhW3_wWB0yO3-Ce2wLIjSay8F-WH3jn1nhjY74XTsapGBmat7vlnhRtaZhB7fAx7BfTnGQljdWgCjQXA2qFQIPIa2UU786rfJKLuYtfDPs_Pxv4MLotqPny9oSr_Jk5GHIMSk43inYkVP2USn8NWTljE5S5FxvA3jL25naA6BGjx0tAoovTOAGf2-Y-ejYoP2jzDreStr3nO3DIJ7dRwFyquVupmdIOLAUVKfjPhV_IToOrz6QNa18qhKqP_UCivmnXzZvMAUhbl2t1bV9QkXeDc3sO5OCvw0bgGoSUVnT-VawfeekChG7YgtwP8AQnxQPAOsiYqx7fycjzlphIA3P7pn94lde0NK4vHcS_bMzp5OgwlASAU9E77SZRSiIxYwbiZMm9KLANOBIUKJ8VnWaEuKhmYuJhbIPUGj1vm_5YUKNZZlmFhA%26as%3DS-2113680142%253A1689475108733117%26client_id%3D349412168745-rpcqk9lufvtnvdek6rn2ng9h95c2e20n.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxcfKPBZ_PW42Eo3KOryAvtOh0acxb0SqQPH23k9mOKKn1FStDAosC8eRspKzsCZRnDdnIFN52XvNVqEn99sKtMvOh2m99A,
billing.scrapinghub.com,ChargeBee Portal,404,1202,billing.scrapinghub.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-12T00:00:00Z,2024-06-11T23:59:59Z,CN=cd1.chargebee.com,cd1.chargebee.com,subscriptions.intelcenter.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,f8895c85c6ddefd7ba049cff1a54836a,abef5cefc58953568bc9eb9282f401d88a810789351b3a2a673762ff41bfd2ce,,ctls,billing.scrapinghub.com,443,https://billing.scrapinghub.com:443,https,GET,107.23.30.109,/,300152780,54.84.242.91,31,False,,ChargeBee,text/html,HSTS,,,,,,,
blackrock.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://blackrock.crawlera.com:80,http,GET,64.58.125.217,/,-1840324437,2605:f480:27:1::31,1,False,,,,Basic,,,,,,,
blog-media.scrapinghub.com,World's Leading Web Scraping Service | Zyte,200,133250,www.zyte.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-01T11:29:24Z,2023-08-30T11:29:23Z,CN=www.zyte.com,www.zyte.com,www.zyte.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,30af875c87764ead5dfff76255a1e272,38e58472f1cebfe38e573786013df43b677c06d4f9ae1a59daf89e68f7f85766,,ctls,www.zyte.com,443,https://blog-media.scrapinghub.com:443,https,GET,65.108.69.148,/,-2130839555,65.108.69.148,18,False,,Vercel,text/html,Vercel,,,,,,https://www.zyte.com,
blog.intigriti.com,Intigriti - Bug Bounty & Agile Pentesting Platform,200,110761,blog.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-30T23:28:50Z,2023-08-28T23:28:49Z,CN=tls.automattic.com,tls.automattic.com,www.transitintelligence.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6a0dea966c41807a534c67aea7352016,5a7bd783109444858a8b207a3bebe6887e18740039f0763f11feda044cecf43d,,ctls,blog.intigriti.com,443,https://blog.intigriti.com:443,https,GET,192.0.78.12,/,1274734426,192.0.78.13,1033,False,,nginx,text/html,Yoast SEO:20.11,,,,,,,
blog.scrapinghub.com,Blog,200,186526,www.zyte.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-01T11:29:24Z,2023-08-30T11:29:23Z,CN=www.zyte.com,www.zyte.com,www.zyte.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,30af875c87764ead5dfff76255a1e272,38e58472f1cebfe38e573786013df43b677c06d4f9ae1a59daf89e68f7f85766,,ctls,www.zyte.com,443,https://blog.scrapinghub.com:443,https,GET,3.222.50.157,/,193520231,3.222.50.157,1329,False,,Vercel,text/html,Yoast SEO:20.10,,,,,,https://www.zyte.com/blog/,
blueshift.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://blueshift.crawlera.com:80,http,GET,64.58.126.147,/,-1840324437,2605:f480:23::10,1,False,,,,Basic,,,,,,,
bnp.scrapinghub.com,FMLive Enterprise,200,1179,bnp.scrapinghub.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2023-04-20T00:00:00Z,2024-05-10T23:59:59Z,"CN=*.SyntechLive.com, O=Syn-Tech Systems\, Inc., L=Tallahassee, ST=Florida, C=US",*.SyntechLive.com,SyntechLive.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,aa0bf660a2e2d324e4a5b9aa4e65ac29,ba83b688346087aaae75ac35f145087a5acaa912c31e44b48d18af8ea0612c9d,True,ctls,bnp.scrapinghub.com,443,https://bnp.scrapinghub.com:443,https,GET,54.163.54.152,/,-1855790590,54.163.54.152,16,False,,Jetty(9.4.42.v20210604),text/html,Jetty:9.4.42,,,,True,"Syn-Tech Systems, Inc.",https://bnp.scrapinghub.com/enterprise/,https://*
brian.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://brian.crawlera.com:80,http,GET,64.58.117.167,/,-1840324437,2605:f480:27:8::4,1,False,,,,Basic,,,,,,,
broker.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://broker.crawlera.com:80,http,GET,64.58.117.174,/,-1840324437,2605:f480:27:1::b,1,False,,,,Basic,,,,,,,
capitalone.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://capitalone.crawlera.com:80,http,GET,64.58.117.187,/,-1840324437,2605:f480:27:1::18,1,False,,,,Basic,,,,,,,
careers.intigriti.com,Careers,200,150764,www.intigriti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-11T07:47:04Z,2023-08-09T07:47:03Z,CN=www.intigriti.com,www.intigriti.com,www.intigriti.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,52afadaf8a009b81f7bfb8b8b88ac50e,d3b2bb482816ab78f90586b09e51f169eb75923c3c970730ab943e1e389c9bec,,ctls,www.intigriti.com,443,https://careers.intigriti.com:443,https,GET,199.60.103.29,/,814850804,2606:2c40::c73c:671d,1,False,,Vercel,text/html,Vercel,,,,,,https://www.intigriti.com/careers,fonts.gstatic.com
cdiscount.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://cdiscount.crawlera.com:80,http,GET,64.58.117.137,/,-1840324437,2605:f480:23::6,1,False,,,,Basic,,,,,,,
channeladvisor.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://channeladvisor.crawlera.com:80,http,GET,64.58.126.137,/,-1840324437,2605:f480:23::6,1,False,,,,Basic,,,,,,,
chewy.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://chewy.crawlera.com:80,http,GET,64.58.126.151,/,-1840324437,2605:f480:23::14,1,False,,,,Basic,,,,,,,
chubb.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://chubb.crawlera.com:80,http,GET,64.58.126.145,/,-1840324437,2605:f480:27:8::e,1,False,,,,Basic,,,,,,,
circleup.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://circleup.crawlera.com:80,http,GET,64.58.117.173,/,-1840324437,2605:f480:27:8::a,1,False,,,,Basic,,,,,,,
click-demo.intigriti.com,,400,,click-demo.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,click-demo.intigriti.com,443,https://click-demo.intigriti.com:443,https,GET,108.138.17.34,/,-1098974868,108.138.17.110,1,False,cloudfront,,,Amazon Web Services,True,,,,,,
cm-11.scrapinghub.com,,503,28,,,,,,,,,,,,,,,,,,,80,http://cm-11.scrapinghub.com:80,http,GET,172.240.168.206,/,51321415,2605:f480:27:1::41,2,False,,,text/plain,,,,,,,,
cm-12.scrapinghub.com,,503,28,,,,,,,,,,,,,,,,,,,80,http://cm-12.scrapinghub.com:80,http,GET,172.240.168.143,/,51321415,2605:f480:27:1::42,2,False,,,text/plain,,,,,,,,
cm-18.scrapinghub.com,,503,28,,,,,,,,,,,,,,,,,,,80,http://cm-18.scrapinghub.com:80,http,GET,172.240.168.211,/,51321415,2605:f480:27:1::46,2,False,,,text/plain,,,,,,,,
cm-19.scrapinghub.com,,503,28,,,,,,,,,,,,,,,,,,,80,http://cm-19.scrapinghub.com:80,http,GET,172.240.168.148,/,51321415,2605:f480:27:1::47,2,False,,,text/plain,,,,,,,,
cm-31.scrapinghub.com,,401,,,,,,,,,,,,,,,,,,,,80,http://cm-31.scrapinghub.com:80,http,GET,64.58.126.143,/,-1840324437,2605:f480:27:1::c,1,False,,,,Basic,,,,,,,
cm-40.scrapinghub.com,,401,,,,,,,,,,,,,,,,,,,,80,http://cm-40.scrapinghub.com:80,http,GET,64.58.126.140,/,-1840324437,2605:f480:27:8::9,1,False,,,,Basic,,,,,,,
cm-42.scrapinghub.com,,401,,,,,,,,,,,,,,,,,,,,80,http://cm-42.scrapinghub.com:80,http,GET,64.58.126.149,/,-1840324437,2605:f480:27:8::12,1,False,,,,Basic,,,,,,,
cm-44.scrapinghub.com,,401,,,,,,,,,,,,,,,,,,,,80,http://cm-44.scrapinghub.com:80,http,GET,64.58.126.151,/,-1840324437,2605:f480:27:1::14,1,False,,,,Basic,,,,,,,
communication-demo.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,communication-demo.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,communication-demo.intigriti.com,443,https://communication-demo.intigriti.com:443,https,GET,18.66.112.37,/,1800798348,18.66.112.56,272,False,cloudfront,Hidden,text/html,HSTS,True,,,,,,
communication-uat.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,communication-uat.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,communication-uat.intigriti.com,443,https://communication-uat.intigriti.com:443,https,GET,18.66.112.5,/,1800798348,18.66.112.37,272,False,cloudfront,Hidden,text/html,HSTS,True,,,,,,
core.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://core.crawlera.com:80,http,GET,64.58.117.183,/,-1840324437,2605:f480:27:1::14,1,False,,,,Basic,,,,,,,
corsearch.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://corsearch.crawlera.com:80,http,GET,64.58.125.210,/,-1840324437,2605:f480:23::2a,1,False,,,,Basic,,,,,,,
crawlera-stats.scrapinghub.com,401 Authorization Required,401,179,crawlera-stats.scrapinghub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T21:43:57Z,2023-11-03T21:24:05Z,CN=*.scrapinghub.com,*.scrapinghub.com,scrapinghub.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",7f36f35b659820313b1d2a94882f53ae,908785b6d30b94a551fd8ceb08f2da7b8d865dcebc9e54ebf7f571a01bdac9b1,True,ctls,crawlera-stats.scrapinghub.com,443,https://crawlera-stats.scrapinghub.com:443,https,GET,65.108.69.148,/,950601584,65.108.69.148,8,False,,nginx/1.21.6,text/html,Nginx:1.21.6,,,,,,,
crawlera.com,Rotating Proxy Solution | Smart Proxy Manager (Cawlera) | Zyte,200,245128,www.zyte.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-01T11:29:24Z,2023-08-30T11:29:23Z,CN=www.zyte.com,www.zyte.com,www.zyte.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,30af875c87764ead5dfff76255a1e272,38e58472f1cebfe38e573786013df43b677c06d4f9ae1a59daf89e68f7f85766,,ctls,www.zyte.com,443,https://crawlera.com:443,https,GET,13.32.121.52,/,-619480162,13.32.121.34,153,False,cloudfront,Vercel,text/html,Vercel,True,,,,,https://www.zyte.com/smart-proxy-manager/,
crud.scrapinghub.com,CRUD UI for Universal Parser,200,917,crud.scrapinghub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-09T15:12:04Z,2023-10-07T15:58:54Z,CN=crud.scrapinghub.com,crud.scrapinghub.com,crud.scrapinghub.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9584758e1a54b978cfb797bf60d71f48,923f53b43453cd16dde5f0bbeaf60ecddad4cbefd2595d4519ab1b9827a3d3b6,,ctls,crud.scrapinghub.com,443,https://crud.scrapinghub.com:443,https,GET,172.217.23.115,/,-1252041730,2a00:1450:4001:828::2013,1,False,,Google Frontend,text/html,,,,,,,,
cyber.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://cyber.crawlera.com:80,http,GET,64.58.117.155,/,-1840324437,2605:f480:27:1::18,1,False,,,,Basic,,,,,,,
daas.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://daas.crawlera.com:80,http,GET,64.58.117.154,/,-1840324437,2605:f480:27:8::17,1,False,,,,Basic,,,,,,,
daniel.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://daniel.crawlera.com:80,http,GET,64.58.117.151,/,-1840324437,2605:f480:27:1::14,1,False,,,,Basic,,,,,,,
databook.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://databook.crawlera.com:80,http,GET,64.58.125.210,/,-1840324437,2605:f480:23::2a,1,False,,,,Basic,,,,,,,
datahub.scrapinghub.com,401 Authorization Required,401,179,datahub.scrapinghub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T21:43:57Z,2023-11-03T21:24:05Z,CN=*.scrapinghub.com,*.scrapinghub.com,scrapinghub.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",7f36f35b659820313b1d2a94882f53ae,908785b6d30b94a551fd8ceb08f2da7b8d865dcebc9e54ebf7f571a01bdac9b1,True,ctls,datahub.scrapinghub.com,443,https://datahub.scrapinghub.com:443,https,GET,65.108.73.221,/,950601584,65.108.73.221,8,False,,nginx/1.21.6,text/html,Nginx:1.21.6,,,,,,,
dataservices.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://dataservices.crawlera.com:80,http,GET,64.58.117.150,/,-1840324437,2605:f480:27:1::13,1,False,,,,Basic,,,,,,,
