new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,has_internal_ips,internal_ips
,crpmws-rest.intel.com,192.198.160.42,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,crpmws.intel.com,192.198.165.53,fm1crpmws.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,csrreportbuilder.intel.com,"100.20.157.51, 54.71.130.112, 54.201.238.15",k8s-microsit-csrrepor-4ecb676fa2-605964559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,cstext-qa.cps.intel.com,192.198.166.37,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,cstext-qa.intel.com,192.198.166.37,cstext-qa.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,customercare.intel.com,23.222.53.96,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:c900:290::1ea2, 2a02:26f0:c900:29b::1ea2",,,,,
,customerconnect.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,danube.cps.intel.com,198.175.96.64,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,danube.intel.com,198.175.96.64,danube.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dast.intel.com,54.144.128.85,,,NOERROR,,,,,,,,
,dattww.intel.com,198.175.96.132,prd-dattww.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dattww01-prd.intel.com,,,,NOERROR,,,,,,,,
,dcmdemo.intel.com,52.27.90.252,test-d919679361212bba.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,dco.hpdd.intel.com,198.175.96.6,"jira.hpdd.intel.com, hpdd-jwi.eglb.intel.com","egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,demotour.intel.com,192.198.165.191,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,design-studio.intel.com,"40.118.228.125, 192.55.52.33, 134.191.190.35, 192.198.147.13, 192.102.198.240",,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,v=spf1 -all,,"ns1.intel.com, ns2.intel.com, ns3.intel.com, ns4.intel.com",,
,designcenter.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,designcentersw.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dev-corpredirector.intel.com,,dev-corpredirector-web-glb.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dev-digitalrequest.intel.com,23.37.37.239,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:6c00:19e::1ea2, 2a02:26f0:6c00:185::1ea2",,,,,
,dev-gameplay.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dev-iss-mesh.intel.com,198.175.66.210,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dev-iss.intel.com,198.175.66.196,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dev-wiki.digitalrequest.intel.com,35.161.158.91,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,devchallenge.intel.com,23.222.53.96,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:c900:29b::1ea2, 2a02:26f0:c900:290::1ea2",,,,,
,devcloud.eglb.intel.com,,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,devcloudpreprod.intel.com,146.152.205.14,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,devcloudpreproddev.intel.com,146.152.205.15,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,developer.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,developers-internal.intel.com,,"intel-portal.apigee.net, intel-portal.dn.apigee.net, agwe1rt001-1-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,developers.intel.com,23.201.251.4,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:480:58b::1ea2, 2a02:26f0:480:586::1ea2",,,,,
,development.api.portal.bridge.trustedservices.intel.com,52.226.228.20,"development.api.portal.bridge.az.sgxnp.adsdcsp.com, pre25-green-bridge.az.sgxnp.adsdcsp.com","ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,
,development.api.portal.trustedservices.intel.com,,"api-development.portal.azure-api.net, apimgmthsnx3lehwnyvtzmsgcgqwnvrtqueieptz0z8lrqokew.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,devfest.intel.com,23.37.37.239,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:3500:89b::1ea2, 2a02:26f0:3500:885::1ea2",,,,,
,devicelink.intel.com,"18.244.146.107, 18.244.146.27, 18.244.146.75, 18.244.146.84, 205.251.197.250, 205.251.199.158",DEVICELINK.infra-host.com,"ns-56.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,2600:9000:5305:fa00::1,,,"ns-917.awsdns-50.net, ns-1950.awsdns-51.co.uk, ns-56.awsdns-07.com, ns-1530.awsdns-63.org",,
,devtools.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dial.intel.com,192.198.160.132,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dialogoti.intel.com,192.198.165.191,"rebounder.intel.com, rebounder.eglb.intel.com","egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,did.corpdev.intel.com,"13.107.237.45, 13.107.238.45","verifiedidcorpdev-ash4hnapbsdtgfbt.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,
,digitallibrary-qa.intel.com,"54.241.100.63, 52.9.43.122",intel-b70a-dev-qa-assets-elb-1782206584.us-west-1.elb.amazonaws.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1036.awsdns-01.org, ns-1850.awsdns-39.co.uk, ns-467.awsdns-58.com, ns-699.awsdns-23.net",,
,digitalrequest.intel.com,23.37.37.239,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:3500:89b::1ea2, 2a02:26f0:3500:885::1ea2",,,,,
,digitalsecurity.intel.com,23.37.37.239,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:3500:89b::1ea2, 2a02:26f0:3500:885::1ea2",,,,,
,directreselleredge.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,discover-at.intel.com,198.175.96.183,"rebounder.intel.com, rebounder.eglb.intel.com","egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,distimgmt-day1.intel.com,192.198.166.55,day1-distiman.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,distimgmt-prd.intel.com,198.175.96.170,prd-distiman.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,distimgmt.intel.com,198.175.96.40,distimgmt-new.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,distimgmt01-prd.intel.com,10.9.142.132,prd1cfhi3w01c.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,True,10.9.142.132
,distimgmt02-prd.intel.com,10.9.142.133,prd1cfhi3w02c.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,True,10.9.142.133
,dmextws-day1.intel.com,192.198.166.56,d1cfhiwsext.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dmextws-dr.intel.com,192.198.160.52,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dmextws-dr02.intel.com,,,,NOERROR,,,,,,,,
,dmextws-prd.intel.com,198.175.96.41,dmextws-prd-new.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dms-portal.intel.com,52.149.7.76,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,dms-qa.cps.intel.com,192.198.167.30,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dms-qa.intel.com,,dms-qa.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dms.cps.intel.com,192.198.165.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dots-test-avail.eglb.intel.com,192.198.160.181,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dots-test-mobile.eglb.intel.com,192.198.160.181,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dots.eglb.intel.com,192.198.144.58,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dots.intel.com,192.198.160.181,dots.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,download-software.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,download.cps.intel.com,198.175.96.82,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,download.intel.com,,d1b56xwpvhgjgr.cloudfront.net,"ns-1969.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:211a:6200:6:8cb8:e2c0:93a1, 2600:9000:211a:5a00:6:8cb8:e2c0:93a1, 2600:9000:211a:8000:6:8cb8:e2c0:93a1, 2600:9000:211a:9c00:6:8cb8:e2c0:93a1, 2600:9000:211a:4200:6:8cb8:e2c0:93a1, 2600:9000:211a:9400:6:8cb8:e2c0:93a1, 2600:9000:211a:2800:6:8cb8:e2c0:93a1, 2600:9000:211a:2000:6:8cb8:e2c0:93a1",,,"ns-115.awsdns-14.com, ns-1344.awsdns-40.org, ns-1969.awsdns-54.co.uk, ns-555.awsdns-05.net",,
,download.trustedservices.intel.com,"18.210.61.6, 35.175.45.121",download.sgxprod.adsdcsp.com,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,downloadcenter-origin.intel.com,198.175.96.56,lbauto-198-175-96-56.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,downloadcenter.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,downloadmirror.intel.com,"18.65.39.82, 18.65.39.34, 18.65.39.24, 18.65.39.65",diqbunfqsx1hk.cloudfront.net,"ns-942.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:238d:4000:3:c35e:7200:93a1, 2600:9000:238d:d000:3:c35e:7200:93a1, 2600:9000:238d:5000:3:c35e:7200:93a1, 2600:9000:238d:1600:3:c35e:7200:93a1, 2600:9000:238d:600:3:c35e:7200:93a1, 2600:9000:238d:d600:3:c35e:7200:93a1, 2600:9000:238d:2a00:3:c35e:7200:93a1, 2600:9000:238d:ac00:3:c35e:7200:93a1",,,"ns-1219.awsdns-24.org, ns-1824.awsdns-36.co.uk, ns-216.awsdns-27.com, ns-942.awsdns-53.net",,
,downloads-stage.hpdd.intel.com,192.198.167.4,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,downloads.intel.com,184.29.194.49,"downloads.intel.com.edgekey.net, e7842.dscd.akamaiedge.net","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:6c00:19e::1ea2, 2a02:26f0:6c00:185::1ea2",,,,,
,drc-dev.intel.com,23.222.53.96,"simplecore-dev.intel.com, intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:c900:29b::1ea2, 2a02:26f0:c900:290::1ea2",,,,,
,drc.intel.com,96.6.28.216,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2600:1408:5400:48a::1ea2, 2600:1408:5400:4af::1ea2",,,,,
,dsadata-origin.intel.com,192.198.165.134,dsadata.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dsadata-preprod-origin.intel.com,198.175.98.158,dsadatapreprod.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dsadata-preprod.intel.com,"23.32.238.146, 23.32.238.147","dsadata.intel.com.edgesuite.net, a1421.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:ab00::b819:32aa, 2a02:26f0:ab00::b819:3290",,,,,
,dsadata-qa-origin.intel.com,192.198.160.68,dsadataqa.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dsadata-qa.intel.com,"2.16.186.58, 2.16.186.82","dsadata.intel.com.edgesuite.net, a1421.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:6c00::210:ba18, 2a02:26f0:6c00::210:ba1b",,,,,
,dsadata.eglb.intel.com,198.175.98.157,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dsadata.intel.com,"2.19.126.71, 2.19.126.74","dsadata.intel.com.edgesuite.net, a1421.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:480:f::213:7eca, 2a02:26f0:480:f::213:7ee0",,,,,
,dsadataqa.eglb.intel.com,192.198.160.68,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dtsapps.intel.com,134.134.136.12,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,dynamicinstaller.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,eagle.hpdd.intel.com,"198.175.114.92, 198.175.114.93",,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,easystepsonline.intel.com,104.122.35.9,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,eboa.cps.intel.com,192.198.164.206,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,eboavm.intel.com,198.175.96.123,eboavm.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ebondingincidentmanagement-test.intel.com,192.198.166.50,ebonding-test.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ebondingincidentmanagement.intel.com,192.198.164.44,ebonding-prd.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ebpms.intel.com,192.198.166.46,ebpmsportal.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ebpmsportal.cps.intel.com,192.198.166.46,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,eci.intel.com,"18.244.146.99, 18.244.146.21, 18.244.146.88, 18.244.146.117, 205.251.192.60",d3au0ed6r2x7sh.cloudfront.net,"ns-1821.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:26de:a400:1d:12f4:ec40:93a1, 2600:9000:26de:2a00:1d:12f4:ec40:93a1, 2600:9000:26de:7600:1d:12f4:ec40:93a1, 2600:9000:26de:8a00:1d:12f4:ec40:93a1, 2600:9000:26de:400:1d:12f4:ec40:93a1, 2600:9000:26de:7800:1d:12f4:ec40:93a1, 2600:9000:26de:8600:1d:12f4:ec40:93a1, 2600:9000:26de:fa00:1d:12f4:ec40:93a1",,,"ns-60.awsdns-07.com, ns-1821.awsdns-35.co.uk, ns-1345.awsdns-40.org, ns-969.awsdns-57.net",,
,ecrail-ir.intel.com,192.198.151.76,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecrail-shz.intel.com,192.102.204.137,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecrail.eglb.intel.com,192.198.151.76,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1egain3w.cps.intel.com,192.198.167.204,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1iats.cps.intel.com,192.198.165.45,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1identitygateway.cps.intel.com,192.198.165.65,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1idzrp.cps.intel.com,192.198.165.188,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1matservicetool.cps.intel.com,192.198.165.93,,,NOERROR,,,,,,,,
,ecv1pctd.cps.intel.com,192.198.165.75,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1rsweb.cps.intel.com,192.198.165.133,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1sgak.cps.intel.com,192.198.164.8,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1sgateway.cps.intel.com,192.198.164.126,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1sgatewaycr.cps.intel.com,192.198.164.128,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1sgatewaye2e.cps.intel.com,192.198.164.127,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1sgatewayeze.cps.intel.com,192.198.164.129,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1sgatewaynotif.cps.intel.com,192.198.165.41,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1snopk.cps.intel.com,192.198.164.42,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv1snopkivr.cps.intel.com,192.198.164.207,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2identitygateway.cps.intel.com,192.198.165.24,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgak.cps.intel.com,192.198.164.248,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgateway.cps.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgatewaycr.cps.intel.com,192.198.164.250,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgatewaye2e.cps.intel.com,192.198.164.252,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgatewayeze.cps.intel.com,192.198.164.249,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgatewaynotif.cps.intel.com,192.198.165.39,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecv2sgatewayoib.cps.intel.com,192.198.164.213,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecvfmajax.cps.intel.com,192.198.165.201,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecvfmbswarm.cps.intel.com,192.198.165.169,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ecvfmbswb.cps.intel.com,192.198.165.168,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edc.intel.com,40.112.243.28,"inteledclive.azurewebsites.net, waws-prod-bay-011a.sip.azurewebsites.windows.net, waws-prod-bay-011a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,edevent.intel.com,209.61.132.242,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edge.dev.devcloud.intel.com,12.229.61.118,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edgegateway.corpint.intel.com,192.55.55.77,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edgegateway.intel.com,"192.55.55.70, 192.55.55.71, 134.134.137.100, 134.134.137.103, 134.134.137.102, 192.55.55.68",,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edgesoftware.eglb.intel.com,192.198.164.11,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edgesoftware.intel.com,192.198.164.11,edgesoftware.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ediagcsg.intel.com,198.175.113.17,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edvp-ext-test.intel.com,192.198.167.16,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,edvp-ext.intel.com,192.198.160.158,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,efttest-01.cps.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,efttest-01.intel.com,192.198.167.84,efttest-01.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,efttest-as2.cps.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,efttest-as2.intel.com,192.198.167.185,efttest-as2.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,efttest.cps.intel.com,192.198.166.113,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,efttest.intel.com,192.198.166.113,efttest.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,eg2gardmz3w.cps.intel.com,198.175.96.120,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,egeglb01.eglb.intel.com,"192.198.138.134, 192.55.54.246",,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,"egeglb01.eglb.intel.com, fmeglb01.eglb.intel.com",,
,egextdns01.intel.com,198.175.65.124,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,egifwd02.intel.com,52.149.120.114,egifwd002.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,egifwdlb.intel.com,51.105.184.44,egifwd.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,eglab01-orrail.intel.com,192.198.140.13,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,elastic.eglb.intel.com,146.152.205.37,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,elb-dev.fsws.intel.com,54.172.129.190,elb-dev.fsws.infra-host.com,"ns-1010.awsdns-62.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1010.awsdns-62.net, ns-1046.awsdns-02.org, ns-1771.awsdns-29.co.uk, ns-339.awsdns-42.com",,
,elb-int.fsws.intel.com,,elb-int.fsws.infra-host.com,"ns-1010.awsdns-62.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,electron.intel.com,192.198.164.205,radium-prd.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,electroncon.intel.com,192.198.166.44,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,electrontest.intel.com,192.198.166.45,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,elqtrk.intel.com,130.35.201.120,"s334284386.hs.eloqua.com, p03h.hs.eloqua.com","ns1.p201.dns.oraclecloud.net, hostmaster.hs.eloqua.com",NOERROR,True,oracle,,,,,,
,elqtrkstg.intel.com,130.35.231.63,"s1743629666.hs.eloqua.com, p03j.hs.eloqua.com","ns1.p201.dns.oraclecloud.net, hostmaster.hs.eloqua.com",NOERROR,True,oracle,,,,"ns1.p201.dns.oraclecloud.net, ns4.p201.dns.oraclecloud.net, ns3.p201.dns.oraclecloud.net, ns2.p201.dns.oraclecloud.net",,
,emaas.intel.com,,web.prod.rc2.infra-host.com,"ns-328.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,emaasmw.intel.com,"65.9.66.11, 65.9.66.31, 65.9.66.20, 65.9.66.91","mw.prod.rc2.infra-host.com, ddhms2be4vtoi.cloudfront.net","ns-1684.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1425.awsdns-50.org, ns-1684.awsdns-18.co.uk, ns-73.awsdns-09.com, ns-741.awsdns-28.net",,
,email07-pre.intel.com,192.198.166.95,email07-pre.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email07.cps.intel.com,192.198.164.37,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email8-pre-ir.cps.intel.com,134.191.246.16,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email8-pre-poc.cps.intel.com,192.198.167.154,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email8-pre.cps.intel.com,192.198.166.89,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email8-pre.intel.com,192.198.166.89,email8-pre.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email9-fm.cps.intel.com,192.198.165.158,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,email9-pre.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,emailncpoc.intel.com,192.55.54.157,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,embedded.communities.intel.com,104.70.95.214,"intel19235.cn.edgekey.net, e19235.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:3500:88b::4b23, 2a02:26f0:3500:897::4b23",,,,,
,emeatools.intel.com,198.175.96.183,"rebounder.intel.com, rebounder.eglb.intel.com","egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,endebug-cn.intel.com,192.55.46.10,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,endebug-ext.eglb.intel.com,134.191.246.37,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,endebug-fm.intel.com,192.198.160.96,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,endebug-ir.intel.com,134.191.246.37,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
