input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,tls_self_signed,tls_expired,final_url,csp_domains_,location
autodiscover.obchod.t-mobile.cz,Sign in to Outlook,200,39129,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.obchod.t-mobile.cz:80,http,text/html,GET,40.99.149.104,/,-1249852061,2603:1026:c0d:6a::8,HSTS,95,False,,,Microsoft Corporation,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=2dbfe750-d88e-fb5a-588a-9c6f89fceafb&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=obchod.t-mobile.cz&nonce=638252475985310175.9cec0afe-9fd4-4b98-823f-b3a9d0b83079&state=DctJDoMwDEDRpNylO4eQoYkXiLM4k4oEsgSUSj19s3h_96UQYugendQ9IrxsNN644DF6O-kpeIW5Zk2tArbiwCWMEI1tkCxh0SlaHVD2V438pXE5Km37zCm_uagLdk7rVlX-Pe8y0-fisp6Z73r8AQ,,
autodiscover.osobne.t-mobile.cz,Sign in to Outlook,200,39282,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.osobne.t-mobile.cz:80,http,text/html,GET,52.98.241.184,/,-1249852061,2603:1026:c0d:c1d::8,HSTS,95,False,,,Microsoft Corporation,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=b1675b7b-4153-3496-54f2-f34d42fd090e&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=osobne.t-mobile.cz&nonce=638252475988462343.794f571f-2d17-463d-8ffb-407f6a187a13&state=DctNDoMgEEBhqHfpDhQYGFyYnmUQSEy0k_jXpKeXxfd2TwohuubVyKFFYHDRegvoxxghWAdO4wjVo6nKZoMKgssq1poUDFgDmYhknGyv7vlH_WcvtG4TH5y-RZ9q47SsRc__950nuk7OyzHzXfYH,,
autodiscover.partner.t-mobile.cz,Sign in to Outlook,200,38778,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.partner.t-mobile.cz:80,http,text/html,GET,40.99.214.40,/,-1249852061,2603:1026:c0d:6a::8,HSTS,95,False,,,Microsoft Corporation,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=f00de3e8-80b7-ad6b-9d29-9d9d12b0287a&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=partner.t-mobile.cz&nonce=638252475982002420.2df31dce-4f24-4ede-8b9a-e325f3c564d5&state=DctNDoMgEEBhqHfpjp8Og-LC9CzIDImJloZSm3j6svje7kkhxNDdOml7xDS6AB5w8nMAawHBaqDsHpRYYQZUyMQqrHNU7MBnl_yI5GV_jSm_aJ6V434s71jbi6tu6ijrtrNO1_2kJX5boe2Tysn1Dw,,
autodiscover.prodejna.t-mobile.cz,Sign in to Outlook,200,39310,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.prodejna.t-mobile.cz:80,http,text/html,GET,40.99.157.56,/,-1249852061,2603:1026:c0d:c2c::8,HSTS,95,False,,,Microsoft Corporation,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=d373f031-ca1f-2d36-18d4-13483cdb64cd&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=prodejna.t-mobile.cz&nonce=638252475989218988.455f5a50-6101-4546-a613-25073258b27e&state=DctBDsIgEEBR0Lu4g8LAwLBoPMu0YFLTSoO1Jp5eFu_vvhRCXLtLJ02PiMERIPiIiRJYSkTaIz6Q0ahgjVUefVAcrFOAJjpAmiAW2V8z1C8P91Z43ca91VyeL9aH2uq0rEXPv9uZR_4cNS_vuZ6l_QE,,
autodiscover.t-mobile.cz,Sign in to Outlook,200,39033,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.t-mobile.cz:80,http,text/html,GET,40.99.157.8,/,-1249852061,2603:1026:c0d:c07::8,HSTS,95,False,,,Microsoft Corporation,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=903fea26-7485-0ce4-9034-73d0ee10841d&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=t-mobile.cz&nonce=638252475981299498.71121400-fa8a-47e3-983b-c378483bcf0c&state=DYvLCoMwEACT9l_saTWPtdk9iN-yrhEEJaDWQr--Ocwwl7HGmGflUbGuyqR3pNAHTD2TD8zI1Cbvg0fnYBESwJQjMMUJNCbCGro4tfV9deUr3Xhk2fbhgr1M65Zb_TX3PMjnKvN6arnz8Qc,,
autopark.t-mobile.cz,,200,1788,autopark.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-16T11:01:54Z,2024-07-16T23:59:59Z,"L=Prague, ST=capital city Prague, CN=autopark.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",autopark.t-mobile.cz,autopark.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,68813510bed9b047fcbe4455214bcc5d,1095c13d8f43939dec554aed10d72f810c6cd19f17eb79d009745f1506c36f90,ctls,autopark.t-mobile.cz,,443,https://autopark.t-mobile.cz:443,https,text/html,GET,91.227.97.42,/,1113515465,91.227.97.42,,1,False,,,T-Mobile Czech Republic a.s.,,,,,,,
aweg-cm.t-mobile.cz,403 Forbidden,403,153,aweg-cm.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T11:16:05Z,2024-02-11T11:16:05Z,"CN=*.gtssms.cz, O=T-Mobile Czech Republic a.s., L=Praha, C=CZ",*.gtssms.cz,gtssms.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",766b10939ee2db546cac081a07ab27e4,f13c0cda1667624f115340158fc5f1d570be1eecca9d6278c7ebd1ab46ae4f6f,ctls,aweg-cm.t-mobile.cz,,443,https://aweg-cm.t-mobile.cz:443,https,text/html,GET,195.144.122.160,/,1503975126,195.144.122.168,Nginx:1.20.1,8,False,,True,T-Mobile Czech Republic a.s.,True,nginx/1.20.1,,,,,
aweg.t-mobile.cz,AWEG 3.14.3 http/s transport,200,258,aweg.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-29T08:47:01Z,2024-04-28T23:59:59Z,"L=Prague, ST=capital city Prague, CN=aweg.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",aweg.t-mobile.cz,aweg.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,52c89d93b0c99693bdcf0642dc71cc39,831814b9d7d1659bf8284c5a045010bca359529c8005341da85c7fb8bfa6e516,ctls,aweg.t-mobile.cz,,443,https://aweg.t-mobile.cz:443,https,text/html,GET,195.144.122.42,/,-612590019,195.144.122.42,Ubuntu,8,False,,,T-Mobile Czech Republic a.s.,,nginx/1.14.0 (Ubuntu),,,,,
aweg3.t-mobile.cz,403 Forbidden,403,153,aweg3.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-23T07:17:59Z,2024-07-23T23:59:59Z,"ST=capital city Prague, CN=aweg3.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",aweg3.t-mobile.cz,aweg3.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,b79b5ab17b25e2d2ba533a730016b837,5da1022cc9ff1366bdf8ed04688264340b89d7502add60cecfb27e487e863b37,ctls,aweg3.t-mobile.cz,,443,https://aweg3.t-mobile.cz:443,https,text/html,GET,195.144.122.168,/,1503975126,195.144.122.160,Nginx:1.20.1,8,False,,,T-Mobile Czech Republic a.s.,,nginx/1.20.1,,,,,
b2bapps.t-mobile.cz,Error 404 | Applikace,404,62679,www.applikace.cz,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T02:17:23Z,2023-10-08T02:17:22Z,CN=www.applikace.cz,www.applikace.cz,www.applikace.cz,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b555ebedba56d8a6bda3647b7f84df1,403d9dd591433429d33fb0d5c04f685e08dba295e71eefae7f94c2c45280352d,ctls,www.applikace.cz,,443,https://b2bapps.t-mobile.cz:443,https,text/html,GET,83.167.225.218,/,1553983474,83.167.225.218,Apache,503,False,,,,,Apache,,,https://www.applikace.cz/katalog-aplikaci?os=&pay=&cat=21,,
btbc.t-mobile.cz,HTTP Status 404 – Not Found,404,431,btbc.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,btbc.t-mobile.cz,,443,https://btbc.t-mobile.cz:443,https,text/html,GET,62.141.14.64,/,-230353730,62.141.14.64,,1,False,,,T-Mobile Czech Republic a.s.,True,HTTP Server,,,,,
bus.t-mobile.cz,,200,311,bus.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2016-12-30T10:18:23Z,2026-12-28T10:18:23Z,"CN=uvds213.active24.cz, OU=ACTIVE24 self-signed, O=uvds213.active24.cz",uvds213.active24.cz,,"CN=uvds213.active24.cz, OU=ACTIVE24 self-signed, O=uvds213.active24.cz",uvds213.active24.cz,uvds213.active24.cz,aa374c83da3027647c294bdd013adc59,80bb415aaf3c573508c823f0376285873a81ccac9b4c8ddfb5e402a19e9ac719,ctls,bus.t-mobile.cz,,443,https://bus.t-mobile.cz:443,https,text/html,GET,31.15.12.13,/,-1812417198,2a02:4a8:ac24:129::12:13,Nginx,13,False,,True,uvds213.active24.cz,,nginx,True,,,,
cab.t-mobile.cz,Chyba,200,746,cab.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-08-05T13:00:43Z,2023-08-05T23:59:59Z,"L=Prague, ST=capital city Prague, CN=portal.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",portal.t-mobile.cz,portal-dmz.t-systems.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,16b0f787587153079b023ca34d3f561f,2cb2f62f8bb628d70a8794d43030422c8c31a77747a781ba5d8c7fece8decbb8,ctls,cab.t-mobile.cz,,443,https://cab.t-mobile.cz:443,https,text/html,GET,89.233.173.30,/,747413665,89.233.173.30,Windows Server,20,False,,,T-Mobile Czech Republic a.s.,,Microsoft-IIS/7.5,,,,,
cab2b.t-mobile.cz,Chyba,200,746,cab2b.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-08-05T13:00:43Z,2023-08-05T23:59:59Z,"L=Prague, ST=capital city Prague, CN=portal.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",portal.t-mobile.cz,portal-dmz.t-systems.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,16b0f787587153079b023ca34d3f561f,2cb2f62f8bb628d70a8794d43030422c8c31a77747a781ba5d8c7fece8decbb8,ctls,cab2b.t-mobile.cz,,443,https://cab2b.t-mobile.cz:443,https,text/html,GET,89.233.173.30,/,747413665,89.233.173.30,Windows Server,20,False,,,T-Mobile Czech Republic a.s.,,Microsoft-IIS/7.5,,,,,
cdn.t-mobile.cz,403 Forbidden,403,146,cdn.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,cdn.t-mobile.cz,,443,https://cdn.t-mobile.cz:443,https,text/html,GET,62.141.14.94,/,1494302000,62.141.14.94,,8,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
