input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url,location
01.newsletter.napoleongames.be,404 Not Found,404,162,01.newsletter.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,01.newsletter.napoleongames.be,,443,https://01.newsletter.napoleongames.be:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.115.56,Nginx,8,False,,True,,,
01.transactional.napoleongames.be,404 Not Found,404,162,01.transactional.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,01.transactional.napoleongames.be,,443,https://01.transactional.napoleongames.be:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.118.52,Nginx,8,False,,True,,,
1620006.napoleongames.be,404 Not Found,404,162,1620006.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,1620006.napoleongames.be,,443,https://1620006.napoleongames.be:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.118.52,Nginx,8,False,,True,,,
1622686.napoleongames.be,404 Not Found,404,162,1622686.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,1622686.napoleongames.be,,443,https://1622686.napoleongames.be:443,https,nginx,text/html,GET,167.89.115.56,/,190856733,167.89.118.83,Nginx,8,False,,True,,,
2343863.napoleongames.be,404 Not Found,404,162,2343863.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,2343863.napoleongames.be,,443,https://2343863.napoleongames.be:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.115.56,Nginx,8,False,,True,,,
adserving.napoleongames.be,Page not found,404,3450,adserving.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T23:06:51Z,2024-06-27T23:59:59Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,596a707f098beb4d5f81556b9a810219,7c31098646453737d60a0e44d4ba54215ccc1f4b854e98531c41fb1c435326c9,True,ctls,adserving.napoleongames.be,,443,https://adserving.napoleongames.be:443,https,,text/html,GET,13.107.246.45,/,-1444021038,2620:1ec:46::45,Azure Front Door,103,False,,True,,,
affiliate.napoleongames.be,affiliate Program,200,10524,affiliate.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-08-14T23:59:59Z,CN=affiliateadmin.napoleongames.be,affiliateadmin.napoleongames.be,,affiliates.napoleongames.be,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,2997a86a7ffe96007e4b8056a853d56d,05d67c1c612a1c8320d73a3a85020508f68aa2fe99ddc57c4139cfe9f26afedd,,ctls,affiliate.napoleongames.be,,443,https://affiliate.napoleongames.be:443,https,Microsoft-IIS/10.0,text/html,GET,20.67.210.215,/,1631801191,20.67.210.215,Windows Server,222,False,,,,,
affiliateadmin.napoleongames.be,Page not found,404,3450,affiliateadmin.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-02T07:48:39Z,2024-05-27T07:48:39Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,73a637adc0c7e9657ab9ce001a0dc7bc,0dcd3a9bd4bcbb2ef37e9ed2474b1b9761a41f5d4ceb466c4952e04f2751f570,True,ctls,affiliateadmin.napoleongames.be,,443,https://affiliateadmin.napoleongames.be:443,https,,text/html,GET,13.107.246.45,/,-1444021038,2620:1ec:46::45,Azure Front Door,103,False,,True,,,
affiliates.napoleongames.be,Page not found,404,3450,affiliates.napoleongames.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-02T07:48:39Z,2024-05-27T07:48:39Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,73a637adc0c7e9657ab9ce001a0dc7bc,0dcd3a9bd4bcbb2ef37e9ed2474b1b9761a41f5d4ceb466c4952e04f2751f570,True,ctls,affiliates.napoleongames.be,,443,https://affiliates.napoleongames.be:443,https,,text/html,GET,13.107.246.45,/,-1444021038,2620:1ec:46::45,Azure Front Door,103,False,,True,,,
airdice-callback.napoleongames.be,,503,493,airdice-callback.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,airdice-callback.napoleongames.be,cloudflare,443,https://airdice-callback.napoleongames.be:443,https,cloudflare,text/html,GET,104.18.15.219,/,-511007663,104.18.14.219,HTTP/3,5,False,True,,,,
airdice-test.napoleongames.be,,503,2889,airdice-test.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,airdice-test.napoleongames.be,cloudflare,443,https://airdice-test.napoleongames.be:443,https,cloudflare,text/html,GET,104.18.14.219,/,-223971745,104.18.15.219,HTTP/3,95,False,True,,,,
alcoholhulp.be,Info alcoholproblemen en alcoholverslaving | Minderen of stoppen met drinken | Online hulpverlening,200,5841,www.alcoholhulp.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-09T14:36:09Z,2023-10-07T14:36:08Z,CN=www.alcoholhulp.depressiehulp.be,www.alcoholhulp.depressiehulp.be,,www.alcoholhulp.depressiehulp.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e601de36f779db13d8fba94e98a61394,ae02ea1be6cdd73181bf55f74127cdf594db192644a4b71e092db3810373ff96,,ctls,www.alcoholhulp.be,,443,https://alcoholhulp.be:443,https,Apache,text/html,GET,79.170.93.183,/,262510638,79.170.93.183,PHP,110,False,,,*.alcoholhulp.be,https://www.alcoholhulp.be/,
api-ngp.napoleongames.be,,404,48,api-ngp.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,api-ngp.napoleongames.be,cloudflare,443,https://api-ngp.napoleongames.be:443,https,cloudflare,application/json,GET,104.18.14.219,/,834205737,104.18.15.219,HTTP/3,1,False,True,,,,
api-test-ngp.napoleongames.be,,404,48,api-test-ngp.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,api-test-ngp.napoleongames.be,cloudflare,443,https://api-test-ngp.napoleongames.be:443,https,cloudflare,application/json,GET,104.18.15.219,/,834205737,104.18.14.219,HTTP/3,1,False,True,,,,
api-test.int.napoleongames.be,,404,48,api-test.int.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,api-test.int.napoleongames.be,cloudflare,443,https://api-test.int.napoleongames.be:443,https,cloudflare,application/json,GET,104.18.15.219,/,834205737,104.18.14.219,HTTP/3,1,False,True,,,,
api.int.napoleongames.be,,404,48,api.int.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,api.int.napoleongames.be,cloudflare,443,https://api.int.napoleongames.be:443,https,cloudflare,application/json,GET,104.18.14.219,/,834205737,104.18.15.219,HTTP/3,1,False,True,,,,
api.napoleongames.be,403 Forbidden,403,588,api.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,api.napoleongames.be,cloudflare,443,https://api.napoleongames.be:443,https,cloudflare,text/html,GET,104.18.14.219,/,-1789950456,104.18.15.219,HTTP/3,10,False,True,,,,
autodiscover.napoleongames.be,Sign in to Outlook,200,38765,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,,80,http://autodiscover.napoleongames.be:80,http,,text/html,GET,40.99.150.24,/,-1249852061,2603:1026:c0d:82b::8,HSTS,95,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=c1b00b23-3211-fe53-aac1-5abe90195525&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=napoleongames.be&nonce=638259446011803873.023a8d9c-c097-4ad9-9312-bb289f4cd554&state=DctJEoIwEEDRRO_iykCGDkkvKM7SGbSsApoCxeuTxfu7L4UQ9-bWSN0iwuCi9QgwaGOidjG4TltHsWBWWWNQQAUVOmNVSjbiC3LxHmR7nz3_qZ_2SvMyrrTxXHl901KPLtXHWUb6fbl8jsxn3S8,
autodiscover.news.napoleongames.be,Sign in to Outlook,200,38837,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.news.napoleongames.be:80,http,,text/html,GET,40.99.157.8,/,-1249852061,2603:1026:c0d:70::8,HSTS,95,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=c14968b9-faa6-3c74-52a0-3561f8f8da7f&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=news.napoleongames.be&nonce=638259446011380515.b9b64b47-53b5-4c2b-a6c5-1686998db85b&state=DctBDsIgEEBR0Lu4g0JhprBoPMsMEGPSginaXl8W7---FELch9sgzYhY0IUZovdorHXBgAXNkdGzXxQ4BuXTzIowgbIYMMaQOQDL8dqpXTQ9j0LbvtZydV3p07bS6ov20jWXx5lX-n1bfvfUznL8AQ,
cdn-test.int.napoleongames.be,,503,2889,cdn-test.int.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,cdn-test.int.napoleongames.be,cloudflare,443,https://cdn-test.int.napoleongames.be:443,https,cloudflare,text/html,GET,104.18.14.219,/,1708312555,104.18.15.219,HTTP/3,95,False,True,,,,
cdn.int.napoleongames.be,403 Forbidden,403,548,cdn.int.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,cdn.int.napoleongames.be,cloudflare,443,https://cdn.int.napoleongames.be:443,https,cloudflare,text/html,GET,104.18.14.219,/,-11693752,104.18.15.219,HTTP/3,9,False,True,,,,
cercle.napoleongames.be,Napoleon Sports & Casino,200,21316,www.napoleongames.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=napoleongames.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",napoleongames.be,"Cloudflare, Inc.",*.sports.napoleongames.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",081a3309fe2521c027f3b65ed692cd5b,39cadb852740cd44a6c732de7fe257eff8a0dbfd9203886f441bec6b650ff4c2,True,ctls,www.napoleongames.be,cloudflare,443,https://cercle.napoleongames.be:443,https,cloudflare,text/html,GET,104.18.14.219,/,,104.18.15.219,HTTP/3,217,False,True,,,https://www.napoleongames.be/content/cercle,
