new,host,a,aaaa,cname,soa,status_code,txt,caa,mx,ns,cdn,cdn-name,has_internal_ips,internal_ips,ptr
,gac-rds-external-readonly.alertmanager.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.api.binance.com,"13.114.202.183, 18.176.5.40, 52.192.247.79",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,,,,
,gac-rds-external-readonly.api.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.api.zynga.com,"52.10.99.60, 35.166.157.240, 35.160.236.14, 34.215.10.7, 35.164.99.50, 54.184.166.152, 54.212.161.248, 50.112.179.161, 205.251.192.200, 205.251.199.1",,api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-527.awsdns-01.net, ns-1793.awsdns-32.co.uk, ns-200.awsdns-25.com, ns-1454.awsdns-53.org",,,,,
,gac-rds-external-readonly.app.sandbox.directly.com,"3.232.232.251, 3.224.175.215, 35.168.33.143, 52.0.241.167",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.assessments.indeed.tech,"10.116.99.124, 10.116.163.141, 10.116.32.79",,,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.116.99.124, 10.116.163.141, 10.116.32.79",
,gac-rds-external-readonly.binance.com,"13.114.202.183, 18.176.5.40, 52.192.247.79",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,,,,
,gac-rds-external-readonly.ci.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.dashboard-beta.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.dashboard.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.dev.xfinityhome.com,,,dev.xfinityhome.com,"ns.dev.xfinityhome.com, dnsmaster.comcastonline.com",NOERROR,,,,"dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns104.comcast.net, dns105.comcast.net",,,,,
,gac-rds-external-readonly.diagrams.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.donations.livestream.com,151.101.10.29,,livestream.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,,,True,fastly,,,
,gac-rds-external-readonly.events.dewarmsteweek.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,"web0.tickoweb.net, peak.proxy.tickoweb.net","ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,,
,gac-rds-external-readonly.federalist-proxy.app.cloud.gov,"160.1.153.42, 3.30.11.103","2600:1f12:18a:7d00:b052:9778:a5a4:9d62, 2600:1f12:18a:7d01:fa52:a7cf:b300:6b6b",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.help.clickup.com,"52.59.154.138, 54.93.144.114, 3.75.98.32",,app.clickup.com,"ns-298.awsdns-37.com, awsdns-hostmaster.amazon.com",NOERROR,detectify-verification=7193396cd830822d08e2a8c0a4fce763,,,,,,,,
,gac-rds-external-readonly.idp.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.login.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.logs-platform.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.logs.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.mailfoogae.appspot.com,142.251.40.212,2607:f8b0:4006:822::2014,,"ns1.google.com, dns-admin.google.com",NOERROR,,,"gmr-smtp-in.l.google.com, alt2.gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com",,,,,,
,gac-rds-external-readonly.media.muslimpro.com,142.250.185.211,2a00:1450:4001:810::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.my.auvik.com,"3.229.71.193, 18.233.174.39, 52.20.95.196",,,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.nessus.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.opslogin.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.ppmail4.paddypower.com,81.92.115.142,,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,"smtp2.emv2.com, smtp1.emv2.com",,,,,,
,gac-rds-external-readonly.prometheus.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.proxy.brave.com,"18.66.112.48, 18.66.112.15, 18.66.112.82, 18.66.112.126","2600:9000:223f:b600:b:dfaf:7b40:93a1, 2600:9000:223f:f600:b:dfaf:7b40:93a1, 2600:9000:223f:ea00:b:dfaf:7b40:93a1, 2600:9000:223f:ee00:b:dfaf:7b40:93a1, 2600:9000:223f:8800:b:dfaf:7b40:93a1, 2600:9000:223f:b800:b:dfaf:7b40:93a1, 2600:9000:223f:7c00:b:dfaf:7b40:93a1, 2600:9000:223f:8a00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1624.awsdns-11.co.uk, ns-1144.awsdns-15.org, ns-782.awsdns-33.net, ns-253.awsdns-31.com",True,cloudfront,,,
,gac-rds-external-readonly.quora.com,,,quora.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gac-rds-external-readonly.rivals.com,152.199.16.86,,cs0001.adn.omicroncdn.net,"ns1.omicroncdn.net, noc.edgecast.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.sg-dev.seek.com,"104.18.1.110, 104.18.0.110","2606:4700::6812:16e, 2606:4700::6812:6e",wildcard.sg-dev.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gac-rds-external-readonly.ssh.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.stage.twilio.com,"52.85.151.57, 52.85.151.8, 52.85.151.41, 52.85.151.88, 205.251.192.111, 205.251.194.104, 205.251.196.197, 205.251.199.111",,dvksptar9cd7z.cloudfront.net,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-616.awsdns-13.net, ns-111.awsdns-13.com, ns-1903.awsdns-45.co.uk, ns-1221.awsdns-24.org",True,cloudfront,,,
,gac-rds-external-readonly.staging-airtableblocks.com,"3.212.224.254, 52.204.72.164, 18.205.177.69, 3.222.42.155",,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.staging.speakap.io,85.17.245.53,,,"ns-1318.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.test.sqills.com,84.241.158.137,,ext-137.vdc.sqills.com,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.websitebuilder.easyname.com,185.51.8.148,,,"nsi1.easyname.com, hostmaster.easyname.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly.xi.nutanix.com,"23.53.43.33, 23.53.43.9","2a02:26f0:ab00::214:8e48, 2a02:26f0:ab00::214:8e70","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,geheimvanrotterdam.ad.nl,,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,geldmeter.ad.nl,"52.222.236.112, 52.222.236.33, 52.222.236.58, 52.222.236.42",,,"ns-1693.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1189.awsdns-20.org, ns-1693.awsdns-19.co.uk, ns-251.awsdns-31.com, ns-808.awsdns-37.net",True,cloudfront,,,
,geldwijzer.ad.nl,"13.32.121.115, 13.32.121.46, 13.32.121.61, 13.32.121.9",,,"ns-162.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1392.awsdns-46.org, ns-162.awsdns-20.com, ns-1798.awsdns-32.co.uk, ns-797.awsdns-35.net",True,cloudfront,,,
,gws-rds-external-readonly-uat-coinbaselax1sandbox-worker0.directly.com,"34.239.229.38, 52.2.135.177, 54.89.206.247, 54.81.38.43",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.alertmanager.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.api.binance.com,"18.176.5.40, 52.192.247.79, 13.114.202.183",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,,,,
,gws-rds-external-readonly-uat.api.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.api.zynga.com,"52.10.99.60, 52.25.30.207, 52.35.210.9, 54.212.99.42, 54.218.90.204, 34.212.107.214, 34.215.10.7, 35.163.214.195",,api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-200.awsdns-25.com, ns-527.awsdns-01.net, ns-1454.awsdns-53.org, ns-1793.awsdns-32.co.uk",,,,,
,gws-rds-external-readonly-uat.app.sandbox.directly.com,"3.232.232.251, 52.0.241.167, 35.168.33.143, 3.224.175.215",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,
,gws-rds-external-readonly-uat.assessments.indeed.tech,"10.116.163.141, 10.116.99.124, 10.116.32.79",,,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.116.163.141, 10.116.99.124, 10.116.32.79",
,gws-rds-external-readonly-uat.binance.com,"18.176.5.40, 52.192.247.79, 13.114.202.183",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,,,,
,gws-rds-external-readonly-uat.blog.remitano.com,"104.18.28.12, 104.18.29.12, 108.162.192.101, 172.64.32.101, 173.245.58.101, 108.162.193.114, 172.64.33.114, 173.245.59.114","2606:4700::6812:1c0c, 2606:4700::6812:1d0c, 2606:4700:50::adf5:3a65, 2803:f800:50::6ca2:c065, 2a06:98c1:50::ac40:2065, 2606:4700:58::adf5:3b72, 2803:f800:50::6ca2:c172, 2a06:98c1:50::ac40:2172",remitano.com,"amy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"google-site-verification=GxYN54ESxglB6moxiBXgiMv6k0uZGN3mEdaMZmU25FU, v=spf1 include:_spf.google.com include:amazonses.com include:sendgrid.net include:trustpilotservice.com -all, pinterest-site-verification=88a0ce3f05e404ab96c37d55d5495379, google-site-verification=fwJCZTSN4F0rMxV4c2vvtYiTBAKCYSCp1vJGlllfsLw, amazonses:ghH8ou/5ZLyGnATg734ON922y7ysGRA2AuUP6gPqYOE=, 3oqmKKqgUinhoQlZc77lmFj5DKgVnR1m, facebook-domain-verification=k9p06rf4em6a6fq4y5bn524otfa0bu, google-site-verification=86IoZofNP1ODCxrSU_fQCcYzFufU94QYX9NJOb051og, google-site-verification=TG9G7nKp15nTFgUrGqIbp1JCQ5M9V1H2ZNuYKjftXg0, google-site-verification=qUtwAkMBusugLFFv2RSOj9mLzeM2VyhToaS2BO2e3_k",,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, inbound-smtp.us-east-1.amazonaws.com, aspmx.l.google.com, alt3.aspmx.l.google.com","amy.ns.cloudflare.com, gabe.ns.cloudflare.com",True,cloudflare,,,
,gws-rds-external-readonly-uat.ci.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.dashboard-beta.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.diagrams.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.directly.com,"54.81.38.43, 54.89.206.247, 52.2.135.177, 34.239.229.38",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.donations.livestream.com,151.101.38.29,,livestream.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,,,True,fastly,,,
,gws-rds-external-readonly-uat.federalist-proxy.app.cloud.gov,"160.1.153.42, 3.30.11.103","2600:1f12:18a:7d01:fa52:a7cf:b300:6b6b, 2600:1f12:18a:7d00:b052:9778:a5a4:9d62",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.grafana.fr.cloud.gov,,,,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.host120.udemy.com,"104.18.160.90, 104.16.226.91","2606:4700::6810:e25b, 2606:4700::6812:a05a",,"anna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 include:spf-default.udemy.com -all,,,,True,cloudflare,,,
,gws-rds-external-readonly-uat.idp.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.login.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.logs-platform.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.logs.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.mailfoogae.appspot.com,142.250.203.148,2a00:1450:401b:80e::2014,,"ns1.google.com, dns-admin.google.com",NOERROR,,,"alt2.gmr-smtp-in.l.google.com, gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com",,,,,,
,gws-rds-external-readonly-uat.md-in-62.hostgator.in,103.53.43.36,,,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.media.muslimpro.com,142.250.185.179,2a00:1450:4001:811::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.my.auvik.com,"18.233.174.39, 52.20.95.196, 3.229.71.193",,,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.nessus.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.opslogin.fr.cloud.gov,,"2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.ppmail4.paddypower.com,81.92.115.142,,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,"smtp2.emv2.com, smtp1.emv2.com",,,,,,
,gws-rds-external-readonly-uat.prometheus.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.quora.com,"162.159.153.247, 162.159.152.17",,quora.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gws-rds-external-readonly-uat.rivals.com,152.199.16.86,,cs0001.adn.omicroncdn.net,"ns1.omicroncdn.net, noc.edgecast.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.runbot108.odoo.com,141.95.203.16,,runbot108.odoo.com,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.sandbox.directly.com,"35.168.33.143, 52.0.241.167, 3.232.232.251, 3.224.175.215",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.secure.showmax.com,"18.168.28.22, 35.176.237.181, 3.11.144.82",,,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 ~all,,,,,,,,
,gws-rds-external-readonly-uat.sg-dev.seek.com,"104.18.0.110, 104.18.1.110","2606:4700::6812:16e, 2606:4700::6812:6e",wildcard.sg-dev.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gws-rds-external-readonly-uat.shopmanager.rakuten.com,209.67.181.142,,,,NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.snappublisher.snapchat.com,142.250.186.179,2a00:1450:4001:830::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.ssh.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.stage.auvik.com,"54.156.106.63, 54.157.105.1, 184.73.119.215",,,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",,,,,,,,
,gws-rds-external-readonly-uat.stage.twilio.com,"13.32.99.111, 13.32.99.43, 13.32.99.99, 13.32.99.92",,dvksptar9cd7z.cloudfront.net,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-111.awsdns-13.com, ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net",True,cloudfront,,,
,gws-rds-external-readonly-uat.staging-airtableblocks.com,"18.205.177.69, 3.222.42.155, 52.204.72.164, 3.212.224.254",,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.test.sketch.com,"34.206.190.65, 34.225.184.154, 34.199.58.92",,"lb-public.non-prod.sketch.com, public-lb.non-prod.sketch.com","ns-1695.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.test.sqills.com,84.241.158.137,,ext-137.vdc.sqills.com,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gws-rds-external-readonly-uat.unified.seek.com,"104.18.22.53, 104.18.23.53",,wildcard.unified.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,heal-beta-readonly.corp.amazon.com,"3.248.154.68, 18.202.10.137, 54.78.120.223",,"midway-gateway-1.aea.amazon.com, midway-gateway-1-eu-west-1.aea.amazon.com","ns-1117.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,heal-readonly-ncl.aka.amazon.com,"35.175.61.96, 54.88.30.182, 34.233.179.235",,"midway-gateway-2-4.aea.amazon.com, midway-gateway-2-4.us-east-1.aea.amazon.com",,NOERROR,,,,,,,,,
,hiddenkingdoms.ad.nl,213.187.247.111,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,hk24p01ad.nl-uk.deezer.com,208.91.197.27,,,"ns1327.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,"ns1327.ztomy.com, ns2327.ztomy.com",,,,,ns1327.ztomy.com
,horoscoop.ad.nl,185.71.61.104,2a03:38a0:61:104::1,www.tophoroscoop.nl,"ns1.cobytes.io, hostmaster.tophoroscoop.nl",NOERROR,,,,,,,,,
,horoscoop.www.ad.nl,185.71.61.104,2a03:38a0:61:104::1,www.tophoroscoop.nl,"ns1.cobytes.io, hostmaster.tophoroscoop.nl",NOERROR,,,,,,,,,
,https-th-m-wikipedia-org-56.ad.nl,,2602:fcbc:0:3::11,,,NOERROR,,,,,,,,,
,identificatie.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,ikstaindekrant.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,img-acc.ad.nl,"2.16.186.171, 2.16.186.179","2a02:26f0:6c00::210:bb08, 2a02:26f0:6c00::210:bb43","dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,ims.ad.nl,"184.51.148.194, 184.51.148.211","2600:1408:7400::17de:4fb1, 2600:1408:7400::17de:4fb2","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net, e15537.dscb.akamaiedge.net.0.1.cn.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,inapp-krant.ad.nl,"46.30.126.156, 46.30.126.147",,e-pages.pub,"ns1.dlx.dk, ks.dlx.dk",NOERROR,v=spf1 include:_spf.mail.dlx.dk ?all,,mail.dlx.dk,"ns2.dlx.dk, ns1.dlx.dk",,,,,
,infostrada.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,itv.ad.nl,217.198.201.210,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
