input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_self_signed,tls_expired,csp_domains_,final_url
adminbackupintconfig.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://adminbackupintconfig.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.123,Vercel,4,False,,,,,,,,,
administrator.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://administrator.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.61,Vercel,4,False,,,,,,,,,
api-int-internal.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://api-int-internal.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.98,Vercel,4,False,,,,,,,,,
app.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://app.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.98,Vercel,4,False,,,,,,,,,
asset.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://asset.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
assistent.techsupport.bcc.nl,Assistent,200,534,assistent.techsupport.bcc.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-24T02:06:04Z,2023-06-22T02:06:03Z,CN=assistent.techsupport.bcc.nl,assistent.techsupport.bcc.nl,assistent.techsupport.bcc.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74b8042cfc9363d2534adb1d03f9a8ac,4b1d5432830e492e1e7a2196fe83d8a06390b3f151f1a10e39fcb6ef04997f67,ctls,assistent.techsupport.bcc.nl,443,https://assistent.techsupport.bcc.nl:443,https,Vercel,text/html,GET,76.76.21.9,/,741615984,76.76.21.164,Vercel,1,False,,,,,,,,,
atl-stg-esmasdata-02c.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://atl-stg-esmasdata-02c.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.123,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
atlas.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://atlas.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.164,Vercel,4,False,,,,,,,,,
b2b-checkout-frontend-acc.bcc.nl,Bestellen,200,9945,b2b-checkout-frontend-acc.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,b2b-checkout-frontend-acc.bcc.nl,443,https://b2b-checkout-frontend-acc.bcc.nl:443,https,Microsoft-IIS/10.0,text/html,GET,13.95.150.128,/,-786046166,13.95.150.128,Windows Server,88,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,,,
b2b-checkout-frontend.bcc.nl,Microsoft Azure Web App - Error 404,404,2667,b2b-checkout-frontend.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,b2b-checkout-frontend.bcc.nl,443,https://b2b-checkout-frontend.bcc.nl:443,https,,text/html,GET,52.178.105.179,/,387302845,52.178.105.179,,87,False,Microsoft Corporation,True,True,azure,True,,,,
backend.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://backend.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.123,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
backoffice-acc.bcc.nl,BCC BackOffice,200,2571,backoffice-acc.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=backoffice-acc.bcc.nl, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",backoffice-acc.bcc.nl,backoffice-acc.bcc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b7f66ae8be7c1540bcf8d075a24972e,17d86a20b9a216e218ac05d87ff1b3f49022c9b2efe5cc5c976d6e5e04860efc,ctls,backoffice-acc.bcc.nl,443,https://backoffice-acc.bcc.nl:443,https,,text/html,GET,13.107.237.45,/,-1851491385,2620:1ec:4f:1::45,Azure Front Door,19,False,Microsoft Corporation,,,,,,,,
backoffice-test.bcc.nl,BCC BackOffice,200,2571,backoffice-test.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-05T00:00:00Z,2023-09-05T23:59:59Z,"CN=backoffice-test.bcc.nl, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",backoffice-test.bcc.nl,backoffice-test.bcc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0a0e3156398e56167f6f6b8c6027ffaa,35570969cc623dc556a129e4643ddff2fb379206e225a9c30a293f37ca5f0257,ctls,backoffice-test.bcc.nl,443,https://backoffice-test.bcc.nl:443,https,,text/html,GET,13.107.237.45,/,-1851491385,2620:1ec:4f:1::45,Azure Front Door,19,False,Microsoft Corporation,,,,,,,,
backoffice.bcc.nl,BCC BackOffice,200,2571,backoffice.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-06T00:00:00Z,2023-09-06T23:59:59Z,"CN=backoffice.bcc.nl, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",backoffice.bcc.nl,backoffice.bcc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,aeecfbc44b3f6a18bdeac257dce8f4e3,11d2147be8317e3fd066d902836ef46f264b14a997528b734298d809c7a80ef9,ctls,backoffice.bcc.nl,443,https://backoffice.bcc.nl:443,https,,text/html,GET,13.107.246.45,/,-1851491385,2620:1ec:4f:1::45,Azure Front Door,19,False,Microsoft Corporation,,,,,,,,
backup.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://backup.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.98,Vercel,4,False,,,,,,,,,
beta.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://beta.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.61,Vercel,4,False,,,,,,,,,
bid47nv.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://bid47nv.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.123,Vercel,4,False,,,,,,,,,
blog.bcc.nl,Blogartikelen en nieuwtjes - bcc.nl,200,55270,www.bcc.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,www.bcc.nl,443,https://blog.bcc.nl:443,https,,text/html,GET,20.101.201.207,/,387302845,20.101.201.207,Microsoft ASP.NET,862,False,BCC (Elektro-Speciaalzaken) B.V.,True,,,,,,https://d6tizftlrpuof.cloudfront.net,https://www.bcc.nl/blog
bolplaza-acc.bcc.nl,Sign in to your account,200,208792,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://bolplaza-acc.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=b43dda11-3cc7-4e12-82ae-d86d7adf5478&redirect_uri=https%3A%2F%2Fbolplaza-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396271320230.Y2M4MGViYmEtNTBmZS00NDRkLWFiMzctMTQwNGUwYzNiMjU1MGZmZTQ5NDItZGVmNi00NTNmLThiNGItOWZhYzlkMTk5OTFk&state=CfDJ8EB0G1mvPJZBgowkuvP9XHoIg-lMfjv3AObIGPHerVHu4M5u2Jr23wM0BnaVp_1RDOXNhH929Q_XbDvLNtzPEs2R3s_dpk5tR31QSHjBRm8L3v_9f0Y_XJja6EeeiD-QrOdce6ukUqxJSXVyN5Ryg1wH2ERTFBRVZ0Pm8uhzNCNUcL3IFqDycSKEi03rVICOuv9pMEOchEMOeDdljdgFyJFBrlgQUKbULj62i9PU19UDYpB5QWvHsn9M6H5yGHDBDPSpoaWFRq7u-seNRWUkObNI7D-__jAdErHLnjy7rM5fGcmBydmrUOzT_qHzic9wpQ&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
bolplaza.bcc.nl,Sign in to your account,200,208866,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://bolplaza.bcc.nl:443,https,,text/html,GET,40.68.205.178,/,-1840324437,40.68.205.178,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=f4a7cfe5-018e-48dd-9ce8-5437afade8f0&redirect_uri=https%3A%2F%2Fbolplaza.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396274165486.YWY4YzE4YTAtN2JjMy00ZTI1LWJjYTMtZTEwMjlhMTA5OGY5N2M5YjI1ZjYtMDcwNS00Y2IyLWFkOWEtY2FiZDIxNmY3ODBh&state=CfDJ8BFsfCVXB3lCh8km0HGZiwd7lOsfrabDaGV4H85_7R0Sewq87ZAmRRKEmSRpJ0zKLnJ3sbuNG_8MbdVrJgJA2JYVkCVrdLwI-YYAsqwWyotPz1bNjbi_pBurgDLykdF6b7Eh2FH7f67gu_Kp9taB6xNOtj8H8M3NmzHveHY8rxpiLcDFDSGtx4dBcLFzAYHXaO5DsGOndsy9emlqDkv5iJMbIwhU9u5bJrIkfoU-fVF3CbwIANN8dsoudVgv_uj5Zrgf4peJLWJftfyin9OlAVuCPqIiC44nIjxOc0cSYN75RE5Blx_j7BOH02LcJF-D1A&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
booking.techsupport.bcc.nl,BCC - Booking,200,4770,booking.techsupport.bcc.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-29T16:13:34Z,2023-06-27T16:13:33Z,CN=booking.techsupport.bcc.nl,booking.techsupport.bcc.nl,booking.techsupport.bcc.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,760b2208327d281f6ff10f274b7a6111,c62e6c49c4f4fa6ec11d2a416130faa0bffc26adf6bf649a68b9ad4b84cd7f92,ctls,booking.techsupport.bcc.nl,443,https://booking.techsupport.bcc.nl:443,https,Vercel,text/html,GET,76.76.21.142,/,909536006,76.76.21.61,Vercel,1,False,,,,,,,,,https://booking.techsupport.bcc.nl/workflow
builds.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://builds.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.241,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
ca.bcc.nl,IIS Windows Server,200,703,,,,,,,,,,,,,,,,,,80,http://ca.bcc.nl:80,http,Microsoft-IIS/10.0,text/html,GET,185.78.251.43,/,1631801191,185.78.251.43,Windows Server,32,False,,,,,,,,,
cadeaukaart.bcc.nl,Homepage - nl-NL:[BCC Webshop],200,20423,cadeaukaart.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-16T00:00:00Z,2023-12-08T23:59:59Z,"CN=cadeaukaart.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Schiphol-Rijk, ST=Noord-Holland, C=NL",cadeaukaart.bcc.nl,cadeaukaart.bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,03c4f2c66f261c555b5decc3378d4503,8270d04056c08cd90442c3671968353cbd7078f2fe70d51764c673fae7021e6e,ctls,cadeaukaart.bcc.nl,443,https://cadeaukaart.bcc.nl:443,https,Apache,text/html,GET,87.251.52.14,/,1631801191,87.251.52.14,Microsoft ASP.NET,560,False,BCC (Elektro-Speciaalzaken) B.V.,,,,,,,,
careers.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://careers.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.61,Vercel,4,False,,,,,,,,,
cdn.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://cdn.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.61,Vercel,4,False,,,,,,,,,
checkout-b2b-test.bcc.nl,Swagger UI,200,6110,checkout-b2b-test.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-03-30T00:00:00Z,2023-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Schiphol-Rijk, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,fee2db67588b62173c08f1025a6ac50e,4b27558147dc2ad4a982a8c301820ff6f15342ac4f0ccef36735a569694f5644,ctls,checkout-b2b-test.bcc.nl,443,https://checkout-b2b-test.bcc.nl:443,https,,text/html,GET,104.47.164.119,/,-1840324437,104.47.164.119,Azure,145,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,True,,https://checkout-b2b-test.bcc.nl/swagger/
