input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_expired,tls_subject_org_,webserver,cdn_name,cdn,final_url
form3.ssv.bbp-mettle.co.uk,,404,126,form3.ssv.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,form3.ssv.bbp-mettle.co.uk,443,https://form3.ssv.bbp-mettle.co.uk:443,https,application/json,GET,13.42.87.167,/,-1957889638,13.41.26.185,HSTS,1,False,,,,,,,
goldilocks.platform.bbp-mettle.co.uk,OneLogin,200,2608,mettle.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,mettle.onelogin.com,443,https://goldilocks.platform.bbp-mettle.co.uk:443,https,text/html,GET,13.42.113.78,/,1919901474,13.41.26.185,HSTS,52,False,,,"OneLogin, Inc.",AmazonS3,,,https://mettle.onelogin.com/login2/?return=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1cmkiOiJodHRwczovL21ldHRsZS5vbmVsb2dpbi5jb20vbG9naW4iLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImZmX211bHRpcGxlX2JyYW5kcyI6ZmFsc2UsImV4cCI6MTY4ODUyMjg4MiwicGFyYW1zIjp7fSwibWV0aG9kIjoiZ2V0IiwiaXNzIjoiTU9OT1JBSUwifQ.cErYCNBXNM-WoaQpe5-VO_jlVOYP8HX_netlqaOHY9I#app=
graphql.eevee.bbp-mettle.co.uk,403 Forbidden,403,146,graphql.eevee.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-23T08:01:26Z,2023-09-21T08:01:25Z,CN=graphql.eevee.bbp-mettle.co.uk,graphql.eevee.bbp-mettle.co.uk,graphql.eevee.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a93b8a03ba4a9610848b35d3898397ee,eecdfa7c26b894ae8c4cb0c14ae421c2635d8754f85a9f260d141ba4e5bb8444,,ctls,graphql.eevee.bbp-mettle.co.uk,443,https://graphql.eevee.bbp-mettle.co.uk:443,https,text/html,GET,13.42.113.78,/,-1561873722,13.41.26.185,HSTS,8,False,,,,,,,
graphql.ssv.bbp-mettle.co.uk,Error,404,139,graphql.ssv.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,graphql.ssv.bbp-mettle.co.uk,443,https://graphql.ssv.bbp-mettle.co.uk:443,https,text/html,GET,13.42.113.78,/,1593207841,13.41.26.185,HSTS,11,False,,,,,,,
hive.analytics.bbp-mettle.co.uk,,404,21,hive.analytics.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,hive.analytics.bbp-mettle.co.uk,443,https://hive.analytics.bbp-mettle.co.uk:443,https,text/plain,GET,13.42.113.78,/,-1669793162,13.41.26.185,HSTS,1,False,,,,,,,
https://mettle.onelogin.com/,OneLogin,200,2608,mettle.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,mettle.onelogin.com,443,https://mettle.onelogin.com:443,https,text/html,GET,23.183.113.6,/,1440670359,23.183.112.6,HSTS,52,False,,,"OneLogin, Inc.",AmazonS3,,,https://mettle.onelogin.com/login2/?return=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1cmkiOiJodHRwczovL21ldHRsZS5vbmVsb2dpbi5jb20vbG9naW4iLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImZmX211bHRpcGxlX2JyYW5kcyI6ZmFsc2UsImV4cCI6MTY4ODUyMjg4MiwicGFyYW1zIjp7fSwibWV0aG9kIjoiZ2V0IiwiaXNzIjoiTU9OT1JBSUwifQ.cErYCNBXNM-WoaQpe5-VO_jlVOYP8HX_netlqaOHY9I#app=
https://mettle.report-uri.com/a/d/g,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-03T22:25:38Z,2023-09-01T22:25:37Z,CN=report-uri.com,report-uri.com,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1d0f8e4f5bf9633cdbfcbb6583324bda,9ddeca2dc60531cc71041b4d46618852ba3dad85373f43a2cd6bce4cddd18469,True,ctls,report-uri.com,443,https://mettle.report-uri.com:443/a/d/g,https,text/html,GET,104.17.184.88,/a/d/g,454099927,2606:4700::6811:b858,HTTP/3,534,False,https://scotthelme.report-uri.com/r/d/csp/enforce,,,cloudflare,cloudflare,True,https://report-uri.com
https://o119333.ingest.sentry.io/api/1189839/,,404,14,o119333.ingest.sentry.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=ingest.sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",ingest.sentry.io,*.ingest.sentry.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09f7eca5b74f3bef8c24850fb5c66b66,1e34a43142ffa0bfd23f2a2609ecb8833f8e1745c9248506817c563d2e97219c,True,ctls,o119333.ingest.sentry.io,443,https://o119333.ingest.sentry.io:443/api/1189839/,https,text/plain,GET,34.120.195.249,/api/1189839/,870045881,34.120.195.249,Nginx,2,False,,,Sentry,nginx,google,True,
https://region1.google-analytics.com,Error 404 (Not Found)!!1,404,1561,region1.google-analytics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,True,ctls,region1.google-analytics.com,443,https://region1.google-analytics.com:443,https,text/html,GET,216.239.32.36,/,302920777,2001:4860:4802:34::36,HTTP/3,12,False,,,,,,,
ingress.platform.bbp-mettle.co.uk,,404,21,ingress.platform.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,ingress.platform.bbp-mettle.co.uk,443,https://ingress.platform.bbp-mettle.co.uk:443,https,text/plain,GET,13.42.113.78,/,-1669793162,13.41.26.185,HSTS,1,False,,,,,,,
jupyter.analytics.bbp-mettle.co.uk,,404,21,jupyter.analytics.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,jupyter.analytics.bbp-mettle.co.uk,443,https://jupyter.analytics.bbp-mettle.co.uk:443,https,text/plain,GET,13.41.26.185,/,-1669793162,13.42.87.167,HSTS,1,False,,,,,,,
kibana.eevee.bbp-mettle.co.uk,OneLogin,200,2608,mettle.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,mettle.onelogin.com,443,https://kibana.eevee.bbp-mettle.co.uk:443,https,text/html,GET,13.42.87.167,/,1919901474,13.42.113.78,HSTS,52,False,,,"OneLogin, Inc.",AmazonS3,,,https://mettle.onelogin.com/login2/?return=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmkiOiJodHRwczovL21ldHRsZS5vbmVsb2dpbi5jb20vbG9naW4iLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImZmX211bHRpcGxlX2JyYW5kcyI6ZmFsc2UsImV4cCI6MTY4ODUyMjg4MiwicGFyYW1zIjp7fSwibWV0aG9kIjoiZ2V0IiwiaXNzIjoiTU9OT1JBSUwifQ.eAkwKNOmynmwBQo-zxmp3yjiDWS-Gvoz5mxf0_VI2Vc#app=
onfido.identity.bbp-mettle.co.uk,,404,21,onfido.identity.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,onfido.identity.bbp-mettle.co.uk,443,https://onfido.identity.bbp-mettle.co.uk:443,https,text/plain,GET,13.42.87.167,/,-1669793162,13.41.26.185,HSTS,1,False,,,,,,,
opendata.openbanking.bbp-mettle.co.uk,,401,102,opendata.openbanking.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,opendata.openbanking.bbp-mettle.co.uk,443,https://opendata.openbanking.bbp-mettle.co.uk:443,https,application/json,GET,13.42.87.167,/,-469146358,13.41.26.185,HSTS,1,False,,,,,,,
ops-tool.internal.bbp-mettle.co.uk,Mettle | Ops Tool,200,755,ops-tool.internal.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,ops-tool.internal.bbp-mettle.co.uk,443,https://ops-tool.internal.bbp-mettle.co.uk:443,https,text/html,GET,13.41.26.185,/,-1398263672,13.42.113.78,HSTS,1,False,https://region1.google-analytics.com,,,,,,
overlord.analytics.bbp-mettle.co.uk,,404,21,overlord.analytics.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,overlord.analytics.bbp-mettle.co.uk,443,https://overlord.analytics.bbp-mettle.co.uk:443,https,text/plain,GET,13.42.113.78,/,-1669793162,13.42.87.167,HSTS,1,False,,,,,,,
pivot.analytics.bbp-mettle.co.uk,,404,21,pivot.analytics.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,pivot.analytics.bbp-mettle.co.uk,443,https://pivot.analytics.bbp-mettle.co.uk:443,https,text/plain,GET,13.42.87.167,/,-1669793162,13.41.26.185,HSTS,1,False,,,,,,,
polaris.platform.bbp-mettle.co.uk,,404,21,polaris.platform.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,polaris.platform.bbp-mettle.co.uk,443,https://polaris.platform.bbp-mettle.co.uk:443,https,text/plain,GET,13.41.26.185,/,-1669793162,13.42.87.167,HSTS,1,False,,,,,,,
pps.eevee.bbp-mettle.co.uk,,404,89,pps.eevee.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,pps.eevee.bbp-mettle.co.uk,443,https://pps.eevee.bbp-mettle.co.uk:443,https,application/json,GET,13.42.87.167,/,-406330819,13.42.113.78,HSTS,1,False,,,,,,,
preview.web.bbp-mettle.co.uk,,404,21,preview.web.bbp-mettle.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-03T08:00:08Z,2023-10-01T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,*.web.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f690248f28f2971620c7fb0339556986,de37f2de1af7ab0285a128c133b8ef4be8c2cc22ce88147501799ef06ff94ced,True,ctls,preview.web.bbp-mettle.co.uk,443,https://preview.web.bbp-mettle.co.uk:443,https,text/plain,GET,13.42.113.78,/,-1669793162,13.42.87.167,HSTS,1,False,,,,,,,
