input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_subject_org_,final_url
myprodev.samsungmobile.com,,200,90,myprodev.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-31T00:00:00Z,2024-06-30T23:59:59Z,"CN=myprodev.samsungmobile.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",myprodev.samsungmobile.com,www.myprodev.samsungmobile.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c209587b61dae7cd8c4bb554fbabcf6d,27448494576a0689732a64b639d5b18b6375691be82ae5d84e5e6bf92bcf8e78,ctls,myprodev.samsungmobile.com,443,https://myprodev.samsungmobile.com:443,https,Microsoft-IIS/10.0,text/html,GET,123.37.24.33,/,-1840324437,123.37.24.33,Windows Server,3,False,,,,"Samsung Electronics Co., Ltd.",
myproject-test.samsungmobile.com,Not Found,404,315,myproject-test.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-31T00:00:00Z,2024-06-30T23:59:59Z,"CN=myprodev.samsungmobile.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",myprodev.samsungmobile.com,www.myprodev.samsungmobile.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c209587b61dae7cd8c4bb554fbabcf6d,27448494576a0689732a64b639d5b18b6375691be82ae5d84e5e6bf92bcf8e78,ctls,myproject-test.samsungmobile.com,443,https://myproject-test.samsungmobile.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,123.37.24.33,/,225052475,123.37.24.33,Microsoft HTTPAPI:2.0,7,False,,,,"Samsung Electronics Co., Ltd.",
myproject.samsungmobile.com,,200,103,myproject.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-01-09T00:00:00Z,2024-01-31T23:59:59Z,"CN=www.samsungusertrial.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",www.samsungusertrial.com,samsungusertrial.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e9c481e2cce58344d0b505c13a896bd,9f20e9bd1734865ae51c5d581ae45d7be02cec157c3ea3b1763f55dd192cd422,ctls,myproject.samsungmobile.com,443,https://myproject.samsungmobile.com:443,https,,text/html,GET,112.106.156.217,/,-632174136,112.106.156.217,,3,False,,,,"Samsung Electronics Co., Ltd.",
neofus.samsungmobile.com,,403,844,neofus.samsungmobile.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-06-29T05:44:03Z,2023-12-26T05:44:03Z,CN=imperva.com,imperva.com,samsungsqciedu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,57958503eca95b80b724f4fb18fde5e4,95348c7c9c94f40c95cbc85aedb61794224674b139b2217e890a5291bdb42877,ctls,neofus.samsungmobile.com,443,https://neofus.samsungmobile.com:443,https,,text/html,GET,45.223.19.142,/,-1585454224,45.223.19.142,Imperva,1,False,True,incapsula,True,,
neofusdevsvr.samsungmobile.com,,403,842,neofusdevsvr.samsungmobile.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-06-29T05:44:03Z,2023-12-26T05:44:03Z,CN=imperva.com,imperva.com,samsungsqciedu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,57958503eca95b80b724f4fb18fde5e4,95348c7c9c94f40c95cbc85aedb61794224674b139b2217e890a5291bdb42877,ctls,neofusdevsvr.samsungmobile.com,443,https://neofusdevsvr.samsungmobile.com:443,https,,text/html,GET,45.223.19.142,/,1135183075,45.223.19.142,Imperva,1,False,True,incapsula,True,,
neofusstgsvr.samsungmobile.com,,403,844,neofusstgsvr.samsungmobile.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-06-29T05:44:03Z,2023-12-26T05:44:03Z,CN=imperva.com,imperva.com,samsungsqciedu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,57958503eca95b80b724f4fb18fde5e4,95348c7c9c94f40c95cbc85aedb61794224674b139b2217e890a5291bdb42877,ctls,neofusstgsvr.samsungmobile.com,443,https://neofusstgsvr.samsungmobile.com:443,https,,text/html,GET,45.223.19.142,/,-1509346367,45.223.19.142,Imperva,1,False,True,incapsula,True,,
neofussvr-dl.samsungmobile.com,Error,404,938,neofussvr-dl.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-09-10T23:59:59Z,CN=*.samsungmobile.com,*.samsungmobile.com,*.samsungmobile.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fc8a9bdf96b358bc0c6ed67d985e13f0,3d337147957926d44093d63fc9f0b0b3298549b20391567f34a16daf1326e947,ctls,neofussvr-dl.samsungmobile.com,443,https://neofussvr-dl.samsungmobile.com:443,https,Apache,text/html,GET,13.209.116.207,/,-298085158,3.37.3.102,Apache,87,False,True,,,,
orcaservice.samsungmobile.com,Not Found,404,315,orcaservice.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=pcsw.samsungmobile.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",pcsw.samsungmobile.com,www.pcsw.samsungmobile.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8032378ecab6963dbdbd6e07de4645bb,cf2521f09b6bbb60f8226241aad87f80aa9381486a269aa2a887eafe06d3cd12,ctls,orcaservice.samsungmobile.com,443,https://orcaservice.samsungmobile.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,112.106.161.138,/,225052475,112.106.161.138,Microsoft HTTPAPI:2.0,7,False,,,,"Samsung Electronics Co., Ltd.",
pcsw.samsungmobile.com,403 - ���� ���� ����: �׼����� �źεǾ����ϴ�.,403,1241,pcsw.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=pcsw.samsungmobile.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",pcsw.samsungmobile.com,www.pcsw.samsungmobile.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dfa27ed063020552da0a488f7e845eeb,5f497b7d955467a689e62d9fda15671369cdfd05cb6354620ec07d3d49142db8,ctls,pcsw.samsungmobile.com,443,https://pcsw.samsungmobile.com:443,https,,text/html,GET,112.106.161.138,/,1595685348,112.106.161.138,,30,False,,,,"Samsung Electronics Co., Ltd.",
pixon.samsungmobile.com,Invalid URL,400,209,pixon.samsungmobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,pixon.samsungmobile.com,443,https://pixon.samsungmobile.com:443,https,AkamaiGHost,text/html,GET,23.55.163.33,/,-32648187,23.55.163.32,,8,False,True,,,"Akamai Technologies, Inc.",
samsungmobile.com,Samsung Galaxy | The Official Samsung Galaxy Site,200,132083,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,ctls,www.samsung.com,443,https://samsungmobile.com:443,https,,text/html,GET,211.45.27.231,/,-245493485,211.45.27.231,Google Tag Manager,1832,False,,,,"Samsung SDS Co., Ltd.",https://www.samsung.com/global/galaxy/
sbuservice.samsungmobile.com,Not Found,404,315,sbuservice.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=pcsw.samsungmobile.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",pcsw.samsungmobile.com,www.pcsw.samsungmobile.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8032378ecab6963dbdbd6e07de4645bb,cf2521f09b6bbb60f8226241aad87f80aa9381486a269aa2a887eafe06d3cd12,ctls,sbuservice.samsungmobile.com,443,https://sbuservice.samsungmobile.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,112.106.161.138,/,225052475,112.106.161.138,Microsoft HTTPAPI:2.0,7,False,,,,"Samsung Electronics Co., Ltd.",
smapp.samsungmobile.com,SMAPP,200,509,smapp.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-13T00:00:00Z,2024-04-03T23:59:59Z,"CN=smapp.samsungmobile.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",smapp.samsungmobile.com,www.smapp.samsungmobile.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,700c2b9f77679f95c77c3996a0be0bdb,05d90e2116bc01dad64251bca72fcc373da4ad19df5cb02925b5b5ab8afc93ef,ctls,smapp.samsungmobile.com,443,https://smapp.samsungmobile.com:443,https,,text/html,GET,112.106.186.161,/,660990962,112.106.186.161,Microsoft ASP.NET,16,False,,,,"Samsung Electronics Co., Ltd.",
style.samsungmobile.com,Invalid URL,400,208,style.samsungmobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,style.samsungmobile.com,443,https://style.samsungmobile.com:443,https,AkamaiGHost,text/html,GET,23.55.163.39,/,-1348449884,23.55.163.27,,8,False,True,,,"Akamai Technologies, Inc.",
update.samsungmobile.com,,200,279,update.samsungmobile.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-06-29T05:44:03Z,2023-12-26T05:44:03Z,CN=imperva.com,imperva.com,samsungsqciedu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,57958503eca95b80b724f4fb18fde5e4,95348c7c9c94f40c95cbc85aedb61794224674b139b2217e890a5291bdb42877,ctls,update.samsungmobile.com,443,https://update.samsungmobile.com:443,https,Apache,text/html,GET,45.223.19.142,/,1941618676,45.223.19.142,Imperva,9,False,True,incapsula,True,,
wap.by.samsungmobile.com,403 Forbidden,403,305,,,,,,,,,,,,,,,,,,,80,http://wap.by.samsungmobile.com:80,http,nginx/0.7.67,text/html,GET,89.113.17.41,/,-972010229,89.113.17.41,Nginx:0.7.67,11,False,,,,,
wap.cz.samsungmobile.com,,503,107,wap.cz.samsungmobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-06-02T00:16:09Z,2023-08-31T00:16:08Z,CN=gw.casablanca.biq-servis.eu,gw.casablanca.biq-servis.eu,gw.casablanca.biq-servis.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7242c986188b9bbcee7b45f05ee6ed2b,985c56b7f471695b30669bfa9461aa12b06566386a8f0c0c0f41972433be10a3,ctls,wap.cz.samsungmobile.com,443,https://wap.cz.samsungmobile.com:443,https,,text/html,GET,81.0.214.124,/,-1654418437,81.0.214.124,,4,False,,,,,
wap.kz.samsungmobile.com,403 Forbidden,403,305,,,,,,,,,,,,,,,,,,,80,http://wap.kz.samsungmobile.com:80,http,nginx/0.7.67,text/html,GET,89.113.17.41,/,-548556310,89.113.17.41,Nginx:0.7.67,11,False,,,,,
wap.samsungmobile.com,403 Forbidden,403,270,,,,,,,,,,,,,,,,,,,80,http://wap.samsungmobile.com:80,http,Apache,text/html,GET,195.125.115.167,/,-550756612,195.125.115.167,Apache,10,False,,,,,
wap2.za.samsungmobile.com,samsungmobile.com,200,19750,,,,,,,,,,,,,,,,,,,80,http://wap2.za.samsungmobile.com:80,http,nginx,text/html,GET,13.248.148.254,/,-1840324437,76.223.26.96,Nginx,597,False,,,,,
wap3.za.samsungmobile.com,samsungmobile.com,200,19445,,,,,,,,,,,,,,,,,,,80,http://wap3.za.samsungmobile.com:80,http,nginx,text/html,GET,76.223.26.96,/,-1840324437,13.248.148.254,Nginx,599,False,,,,,
