input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,tls_mismatched,final_url,csp_domains_
api.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,api.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,api.mailfoogae.appspot.com,google,443,https://api.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.18.20,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:827::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
api.streak.com,Streak - CRM for Gmail,200,110165,api.streak.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-08T01:47:59Z,2025-04-08T02:41:53Z,CN=api.streak.com,api.streak.com,api.streak.com,"CN=WR3, O=Google Trust Services, C=US",WR3,Google Trust Services,072971660bdcfcd7e85863fc803deeb1,fc7815d332315bd3a351976f76902e4b9388d66e8e140b821fa0333c86c95be9,,ctls,api.streak.com,google,443,https://api.streak.com,https,,text/html,GET,35.186.221.31,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,35.186.221.31,Linkedin Ads,687,False,True,other,0,122795989,,,
app.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,app.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,app.mailfoogae.appspot.com,google,443,https://app.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.52,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:81c::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
aspen-astra-prod.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,aspen-astra-prod.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,aspen-astra-prod.mailfoogae.appspot.com,google,443,https://aspen-astra-prod.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.18.20,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:811::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
assets-sdb.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,assets-sdb.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,assets-sdb.mailfoogae.appspot.com,google,443,https://assets-sdb.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.23.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:812::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
assets.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,assets.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,assets.mailfoogae.appspot.com,google,443,https://assets.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:80f::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
assets.streak.com,,404,3,assets.streak.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T21:46:17Z,2025-03-23T21:46:16Z,CN=streak.com,streak.com,streak.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,ae8d346717a3ea022fd7d395e340787b,a23ae9bee3f7a00e019dbb90596654cdd7029928995a341957985e80ec736489,True,ctls,assets.streak.com,cloudflare,443,https://assets.streak.com,https,cloudflare,text/plain,GET,104.26.8.186,/,/favicon.ico,2606:4700:20::681a:8ba,HTTP/3,1,False,True,error,0,,,,
auth.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,auth.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,auth.mailfoogae.appspot.com,google,443,https://auth.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.244,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:813::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
autoconfig.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,autoconfig.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,autoconfig.mailfoogae.appspot.com,google,443,https://autoconfig.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.16.212,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:806::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
autodiscover.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,autodiscover.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,autodiscover.mailfoogae.appspot.com,google,443,https://autodiscover.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.184.212,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:830::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
awsdashboard.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,awsdashboard.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,awsdashboard.mailfoogae.appspot.com,google,443,https://awsdashboard.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.180,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:811::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
