input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_expired,webserver,tech_,tls_subject_org_,csp_domains_,final_url
governance.vng.nl,Home,200,7934,governance.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,governance.vng.nl,,443,https://governance.vng.nl:443,https,text/html,GET,185.12.122.144,/,1772087922,2a07:3506:c1::240,164,False,,,,HSTS,Vereniging van Nederlandse Gemeenten,,
hybrid.vng.nl,Outlook,200,58722,hybrid.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,hybrid.vng.nl,,443,https://hybrid.vng.nl:443,https,text/html,GET,185.12.122.144,/,-672185957,185.12.122.144,1404,False,,,Microsoft-IIS/10.0,Windows Server,Vereniging van Nederlandse Gemeenten,,https://hybrid.vng.nl/owa/auth/logon.aspx?url=https%3a%2f%2fhybrid.vng.nl%2fowa%2f&reason=0
inlener.vng.nl,Inloggen - Klantportal,200,39945,inlener.vng.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-07-09T19:37:35Z,2023-10-07T19:37:34Z,CN=inlener.vng.nl,inlener.vng.nl,inlener.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17e0c21c02262ec4b2c1f7582a4758b8,77e29e4b42979e57ee6707708b479def706e811d31f07b8b8815d72985f9000c,,ctls,inlener.vng.nl,,443,https://inlener.vng.nl:443,https,text/html,GET,185.46.183.89,/,370909319,185.46.183.89,36,False,,,,HSTS,,,https://inlener.vng.nl/login?url=%2f
kompas.vng.nl,Home | Kompas / Aanpak mensenhandel,200,19108,kompas.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-06-09T14:49:41Z,2023-09-07T14:49:40Z,CN=kompas.vng.nl,kompas.vng.nl,kompas.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,93510a0b4912ea6cf3132345a9f13928,cf8dda5c8aeb6ded1bb6d7a25fdb91e7d4723dd09f11eda5ea531f98f542af14,,ctls,kompas.vng.nl,,443,https://kompas.vng.nl:443,https,text/html,GET,83.149.99.35,/,415861075,83.149.99.35,681,False,,,nginx,Nginx,,,
leeraanbod.vng.nl,VNG – Trainingsaanbod Digitale Veiligheid voor Gemeenten,200,17774,leeraanbod.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-13T00:00:00Z,2023-09-11T23:59:59Z,CN=leeraanbod.vng.nl,leeraanbod.vng.nl,vng.oably.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",9f165dd4e80badcf10618b2a4a325ab7,0b811c77451e7b5ed50251f098832b224962d7cb63a6e062175bf3647caea92c,,ctls,leeraanbod.vng.nl,,443,https://leeraanbod.vng.nl:443,https,text/html,GET,31.186.172.113,/,1198047028,31.186.172.113,111,False,,,Apache,WordPress:6.2.2,,,
mailing.vng.nl,,204,,mailing.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-14T05:28:48Z,2023-10-12T05:28:47Z,CN=mailing.vng.nl,mailing.vng.nl,mailing.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d40a5ab0d94670ef8e437909c04ce89f,7d6813dc58e1799728645375691318d8e453eeafb0b664ef6c189473d954cc41,,ctls,mailing.vng.nl,,443,https://mailing.vng.nl:443,https,,GET,46.31.51.38,/,-1840324437,2a02:23e8:200::49:154,1,False,,,Spotler,HSTS,,,
meerjarenvisie.vng.nl,401 Authorization Required,401,172,meerjarenvisie.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-27T09:06:16Z,2023-03-27T09:06:15Z,CN=prod.solr.vng.hosted-temp.com,prod.solr.vng.hosted-temp.com,prod.solr.vng.hosted-temp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,427b3fbae3b7a3e00a1a1c94dd971984,ba76487ee65f6f17c4052aa58debdb0a49c8e4be2aa8fc2fa0426417ab10083e,,ctls,meerjarenvisie.vng.nl,,443,https://meerjarenvisie.vng.nl:443,https,text/html,GET,185.135.12.253,/,-1710455754,185.135.12.253,8,False,,True,nginx,Nginx,,,
meet.vng.nl,,200,,meet.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,meet.vng.nl,,443,https://meet.vng.nl:443,https,,GET,52.112.196.45,/,-1807411396,2603:1027:0:48::21,1,False,,,Microsoft-IIS/8.5,Windows Server,Microsoft Corporation,,
meldingen.vng.nl,myPrequest,200,179,meldingen.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,meldingen.vng.nl,,443,https://meldingen.vng.nl:443,https,text/html,GET,185.12.122.144,/,1631801191,185.12.122.144,9,False,,,Microsoft-IIS/10.0,Windows Server,Vereniging van Nederlandse Gemeenten,,
mfa.vng.nl,Citrix Gateway,200,2384,mfa.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,mfa.vng.nl,,443,https://mfa.vng.nl:443,https,text/html,GET,185.12.122.154,/,12023395,185.12.122.154,61,False,,,Apache,Apache,Vereniging van Nederlandse Gemeenten,,https://mfa.vng.nl/vpn/tmindex.html
omgevingswet.vng.nl,Klaar voor de Start | VNG,200,52233,omgevingswet.vng.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-07-06T19:24:24Z,2023-10-04T19:24:23Z,CN=*.omgevingswet.vng.nl,*.omgevingswet.vng.nl,omgevingswet.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8cfd8ba6ec34b3e9345d630c6c94b7ec,3fd61592adb33c5c50eca775a44aceb880ade8ad7eb603f3fe4566090315a0c0,True,ctls,omgevingswet.vng.nl,,443,https://omgevingswet.vng.nl:443,https,text/html,GET,107.6.155.186,/,-100620574,107.6.155.186,595,False,,,,HTTP/3,,,
ontwerptoolomgevingsplan.vng.nl,VNG Ontwerptool - Home,200,5260,ontwerptoolomgevingsplan.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-07T08:01:29Z,2023-10-05T08:01:28Z,CN=ontwerptoolomgevingsplan.vng.nl,ontwerptoolomgevingsplan.vng.nl,ontwerptoolomgevingsplan.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,220701e25c309c7b76e6788e5df9759c,6f4e0afcbd9ca5a9da54ecfced2ab2d9510a97c72af0fe317b2213901e7f9c56,,ctls,ontwerptoolomgevingsplan.vng.nl,,443,https://ontwerptoolomgevingsplan.vng.nl:443,https,text/html,GET,136.144.172.89,/,1377322503,136.144.172.89,121,False,,,nginx,PHP,,,
pdc-acc.vng.nl,Inloggen | PDC voor de SDG,200,4268,pdc-acc.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-22T01:04:28Z,2023-10-20T01:04:27Z,CN=pdc-acc.vng.nl,pdc-acc.vng.nl,pdc-acc.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fec3410417865c8f62ec96fa9d7e92ce,f6950536e96b275aad191fe3e1d80eb1bef6cebeaa8f16f3a9161fd52d0722b2,,ctls,pdc-acc.vng.nl,azure,443,https://pdc-acc.vng.nl:443,https,text/html,GET,52.148.193.2,/,-708355146,fe80::20d:3aff:fe2e:966b,152,False,True,,,Python,,,https://pdc-acc.vng.nl/sdg/two_factor/login/?next=/sdg/
pdc.data.vng.nl,Welcome to nginx!,200,612,pdc.data.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-20T15:20:09Z,2023-10-18T15:20:08Z,CN=pdc.data.vng.nl,pdc.data.vng.nl,pdc.data.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ffd2fd4b155a414dff22e6333043a487,2667104c2a9e4b8ed939711376894d2bdfc5a87fa227b67487f3a8897817a2fd,,ctls,pdc.data.vng.nl,,443,https://pdc.data.vng.nl:443,https,text/html,GET,20.107.8.142,/,1494302000,e80::20d:3aff:fe23:af78,26,False,,,nginx,Nginx,,,
pdc.vng.nl,Inloggen | PDC voor de SDG,200,4268,pdc.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-20T15:20:23Z,2023-10-18T15:20:22Z,CN=pdc.vng.nl,pdc.vng.nl,pdc.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7794ea7f2672155a618c79e8674eaa9d,a5605dd33c0af40f65eb54a0d74914c63c73a2b1a5a5e7334ef71aea5444dcac,,ctls,pdc.vng.nl,,443,https://pdc.vng.nl:443,https,text/html,GET,20.107.8.142,/,-1023385240,e80::20d:3aff:fe23:af78,152,False,,,,Python,,,https://pdc.vng.nl/sdg/two_factor/login/?next=/sdg/
praktijkvoorbeelden.vng.nl,Praktijkvoorbeelden | VNG,200,117648,vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-12T14:12:13Z,2024-08-12T14:12:12Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f8812b470804411ab8bb389ded017a55,00a80f47ac28498113a2641ba897102f98b2e0476469faf7b8baa0c099b5336b,True,ctls,vng.nl,,443,https://praktijkvoorbeelden.vng.nl:443,https,text/html,GET,185.135.12.253,/,-476352269,2a06:efc0:3::253:0,781,False,,,nginx,PHP,Vereniging van Nederlandse Gemeenten,,https://vng.nl/praktijkvoorbeelden
statistiek.vng.nl,,403,93,statistiek.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-08-25T00:00:00Z,2023-09-08T23:59:59Z,CN=*.containers.piwik.pro,*.containers.piwik.pro,containers.piwik.pro,"CN=GlobeSSL DV CA, O=CentralNic Luxembourg Sàrl, C=LU",GlobeSSL DV CA,CentralNic Luxembourg Sàrl,313afffd81e139816850434c9cb00990,b366e709394f08420c22f1dbd7e33627ccb9c98f4de232f8d0bb44ffcbe59fec,True,ctls,statistiek.vng.nl,azure,443,https://statistiek.vng.nl:443,https,text/html,GET,52.166.179.92,/,-1060002298,52.166.179.92,4,False,True,,,,,,
sts.vng.nl,,503,62,sts.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,sts.vng.nl,,443,https://sts.vng.nl:443,https,,GET,185.12.122.144,/,107704025,185.12.122.144,1,False,,,,,Vereniging van Nederlandse Gemeenten,,
syncs.vng.nl,Sign in to your account,200,40775,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,azure,443,https://syncs.vng.nl:443,https,text/html,GET,20.52.182.15,/,-995908254,20.52.182.15,95,False,True,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=286cee58-caa4-4ff1-aa58-4f10ad7b35d4&scope=openid&nonce=86b463aa-76c4-4a57-81fd-93298d8f099e&redirect_uri=https%3a%2f%2fsyncs.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsyncs.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22327488e5-1490-48a8-9622-cd0a85eea761%22%7d%23EndOfStateParam%23&client-request-id=327488e5-1490-48a8-9622-cd0a85eea761
