input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_subject_org_,final_url,cdn_name,cdn,tls_expired,tls_self_signed,location
bitwarden01p.ia.surf.nl,Bitwarden Web Vault,200,1238,bitwarden01p.ia.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-14T00:00:00Z,2024-04-13T23:59:59Z,"CN=bitwarden.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",bitwarden.surf.nl,bitwarden01p.int.ia.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,c698eacea4f769707bb701db633ea5b1,a30cde5deb92146cb3c59671814949539ec895a9e88f482947aeb3307e96f6fc,,ctls,bitwarden01p.ia.surf.nl,443,https://bitwarden01p.ia.surf.nl:443,https,nginx,text/html,GET,145.100.20.44,/,-873752011,145.100.20.44,Nginx,1,False,https://api.2fa.directory,SURF B.V.,,,,,,
blog-acc.surf.nl,,200,,blog-acc.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-11-14T00:00:00Z,2023-11-14T23:59:59Z,"CN=wordpress.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",wordpress.surf.nl,wordpress.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,091cac445138f1b71f8c9391b488dcb1,061f5a05dfbbc852acb10163dadab6bb0fd0e2bb5b368298c5123261e75f661e,,ctls,blog-acc.surf.nl,443,https://blog-acc.surf.nl:443,https,Apache,text/html,GET,145.100.190.10,/,-366337701,145.100.190.10,HSTS,1,False,,SURF B.V.,,,,,,
boundary.exp.sram.lab.surf.nl,,404,19,,,,,,,,,,,,,,,,,,,,80,http://boundary.exp.sram.lab.surf.nl:80,http,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
client.exp.sram.lab.surf.nl,,404,19,client.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-23T07:44:59Z,2023-08-21T07:44:58Z,CN=client.exp.sram.lab.surf.nl,client.exp.sram.lab.surf.nl,client.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b68434bf2779f71a59901956bedba0ea,87059b49d9a47749ca0710e2daacd8dc42baeb217624c56b7aa1d3accb927f82,,ctls,client.exp.sram.lab.surf.nl,443,https://client.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
coder-demo.exp.sram.lab.surf.nl,,404,19,,,,,,,,,,,,,,,,,,,,80,http://coder-demo.exp.sram.lab.surf.nl:80,http,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
coder-dind.exp.sram.lab.surf.nl,,404,19,,,,,,,,,,,,,,,,,,,,80,http://coder-dind.exp.sram.lab.surf.nl:80,http,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
coder.exp.sram.lab.surf.nl,,403,9,coder.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-11T07:46:09Z,2023-09-09T07:46:08Z,CN=coder.exp.sram.lab.surf.nl,coder.exp.sram.lab.surf.nl,coder.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d04cbc9aded97ec6752c8ef76d1cee24,86d40779d2894c036e5f6f863ee6e7d9d2d4cc2ef93bd4296c19297e9f5aad1b,,ctls,coder.exp.sram.lab.surf.nl,443,https://coder.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-942874359,145.101.114.8,,1,False,,,,,,,,
confluence.test.ia.surf.nl,Sign in to your account,200,41328,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://confluence.test.ia.surf.nl:443,https,,text/html,GET,20.52.181.225,/,665749058,20.52.181.225,HSTS,95,False,,Microsoft Corporation,https://login.microsoftonline.com/8ad04a9f-1a10-4808-9480-b8a2f8a0da14/oauth2/authorize?response_type=code&client_id=bacb97a4-3275-4453-8996-f25e2a10d1b9&scope=openid&nonce=90943894-350b-449f-888a-9afd898a2e2f&redirect_uri=https%3a%2f%2fconfluence.test.ia.surf.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fconfluence.test.ia.surf.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2209539068-0718-4b29-be15-f0049163ce18%22%7d%23EndOfStateParam%23&client-request-id=09539068-0718-4b29-be15-f0049163ce18,azure,True,,,
consul.exp.sram.lab.surf.nl,,404,19,consul.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-03T07:45:17Z,2023-08-01T07:45:16Z,CN=consul.exp.sram.lab.surf.nl,consul.exp.sram.lab.surf.nl,consul.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ad10629709aa9b7fb171c5b0fafb570,772257d3bd1bcbdd28ed9a0d96cb9c6d2353f03973b3c54b3c502d409d579119,,ctls,consul.exp.sram.lab.surf.nl,443,https://consul.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
content-pim.surf.nl,403 Forbidden,403,285,content-pim.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=content-pim.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",content-pim.surf.nl,content-pim.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,68b50dcca7cc3ccfbdac2a3402860046,16e8effd908379cb0037ee0a2ebfb358b49f382155ae6222dd4801755355812a,,ctls,content-pim.surf.nl,443,https://content-pim.surf.nl:443,https,Apache/2.4.29 (Ubuntu),text/html,GET,178.251.196.117,/,-549512471,178.251.196.117,Ubuntu,10,False,,SURF B.V.,,,,,,
cookies.surf.nl,Welcome,200,99,cookies.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-01T00:00:00Z,2023-08-06T23:59:59Z,CN=*.savviihq.com,*.savviihq.com,savviihq.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,471406aaa9615cb08be6b5e5e1b941ee,3a16d4a30925438ff2914391d73b11741ced9fe98f81c87ab9c6cefb9224c649,True,ctls,cookies.surf.nl,443,https://cookies.surf.nl:443,https,openresty,text/html,GET,62.221.215.122,/,-1179026472,2a0d:7980:202:1:1c00:eff:fe00:1df4,OpenResty,9,False,,,,,,,,
cooperatiedag.surf.nl,SURF is de ict-coöperatie van onderwijs en onderzoek | SURF.nl,200,168646,www.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=surfnet.nl, O=SURF B.V., ST=Utrecht, C=NL",surfnet.nl,www.surfwireless.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,fe8ced06e515f3d13a8131c37392be9d,86b6c37ffcae161d13b6e3443d8a5efa6d2dc0d2771aa2758b723d51794b6fce,,ctls,www.surf.nl,80,http://cooperatiedag.surf.nl:80,http,nginx,text/html,GET,145.100.190.243,/,1617222937,2001:610:188:410:145:100:190:243,PHP,1774,False,openonderwijsapi.nl,SURF B.V.,https://www.surf.nl,,,,,
crm-ws-dev.surf.nl,Not Found,404,315,crm-ws-dev.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=dev.mijn.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",dev.mijn.surf.nl,shared-ws-dev.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7c8524a3174c7ef3130c751cdc757c2f,dbb1693c60acd3fd8da06bbeb5d394c40528abe92021f2dd0310b5b1af9a04ba,,ctls,crm-ws-dev.surf.nl,443,https://crm-ws-dev.surf.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,93.174.200.190,/,225052475,93.174.200.190,Microsoft HTTPAPI:2.0,7,False,,SURF B.V.,,,,,,
crm-ws-test.surf.nl,401 - Unauthorized: Access is denied due to invalid credentials.,401,1293,crm-ws-test.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-29T00:00:00Z,2023-11-29T23:59:59Z,"CN=crm-ws-test.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",crm-ws-test.surf.nl,crm-ws-play1.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,6d7999ca3c03d95832d77c7baa7e5a64,30eb2563c2172fbd49fa070380e0bbafd893155b339bd0efc351e13154b862fd,,ctls,crm-ws-test.surf.nl,443,https://crm-ws-test.surf.nl:443,https,Microsoft-IIS/10.0,text/html,GET,93.174.200.190,/,-2017930255,93.174.200.190,Windows Server,30,False,,SURF B.V.,,,,,,
crmx-test.portefeuille.surf.nl,,404,,crmx-test.portefeuille.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-31T00:00:00Z,2024-05-30T23:59:59Z,"CN=crmx-test.portefeuille.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",crmx-test.portefeuille.surf.nl,crmx-test.portefeuille.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0c61dec44c228af7fd5d70907a6a602a,de58bdf5f816390f2e3bc988cc964d7058cafe72e9653f9f6beac153c519b994,,ctls,crmx-test.portefeuille.surf.nl,443,https://crmx-test.portefeuille.surf.nl:443,https,Microsoft-IIS/10.0,,GET,93.174.200.190,/,-1840324437,93.174.200.190,Windows Server,1,False,,SURF B.V.,,,,,,
cua-sso01p.ia.surf.nl,,404,19,cua-sso01p.ia.surf.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,"CN=cua-sso01p.ia.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",cua-sso01p.ia.surf.nl,sso.cua.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,3ba32a17dfa8fda9c3fd5c88a650e210,bc12d2db7173bbd46becf1e888de53b677eb2bfe58a1c0724859167eab9b65b2,,ctls,cua-sso01p.ia.surf.nl,443,https://cua-sso01p.ia.surf.nl:443,https,,text/plain,GET,145.100.20.45,/,-138391155,2001:610:108:204d:145:100:20:45,,2,False,,SURF B.V.,,,,,,
dashboard-events.surf.nl,,403,94,dashboard-events.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-19T00:00:00Z,2023-12-19T23:59:59Z,"CN=dashboard-events.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",dashboard-events.surf.nl,dashboard-events.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0b4a6d15134299cedb48181dc24ffc57,436113159ed837a9902e51d345157b2678438d6b98a5e1e4f10701df2c861887,,ctls,dashboard-events.surf.nl,443,https://dashboard-events.surf.nl:443,https,,text/html,GET,5.79.115.249,/,2056581550,2001:1af8:4700:a1fc::42,,5,False,,SURF B.V.,,,,,,
data.surf.nl,,404,19,data.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-09T00:00:00Z,2024-05-08T23:59:59Z,"CN=*.data.surfsara.nl, O=SURF B.V., ST=Utrecht, C=NL",*.data.surfsara.nl,data.surfsara.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,073d7ea59e5841457cbf7d26cb0c6b8c,092155f2b0395780fbcc760d94a585b4376e9b6cff03a0b50424bb351a757630,True,ctls,data.surf.nl,443,https://data.surf.nl:443,https,,text/plain,GET,145.100.60.10,/,-138391155,145.107.56.10,HSTS,2,False,,SURF B.V.,,,,,,
dataexchange.lab.surf.nl,Data Exchange,200,3436,dataexchange.lab.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-05-10T21:16:35Z,2023-08-08T21:16:34Z,CN=dataexchange.lab.surf.nl,dataexchange.lab.surf.nl,dataexchange.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,db000d3cca76d84e8d0e2977df3988cf,e962ec994b4aaee658b2bc129bf974574a7e95afb80033dd2ae812b25a77ab61,,ctls,dataexchange.lab.surf.nl,443,https://dataexchange.lab.surf.nl:443,https,nginx/1.14.0 (Ubuntu),text/html,GET,145.38.197.56,/,-1414505027,145.38.197.56,Ubuntu,55,False,,,,,,,,
davrods.exp.sram.lab.surf.nl,,403,9,davrods.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-26T07:44:51Z,2023-08-24T07:44:50Z,CN=davrods.exp.sram.lab.surf.nl,davrods.exp.sram.lab.surf.nl,davrods.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6a9f8add82ec66bc36d0a618e301f09a,dd3c2512f2f948b5ac3b5dfe8691492801904381ae6e0f74b0fff568046be887,,ctls,davrods.exp.sram.lab.surf.nl,443,https://davrods.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-942874359,145.101.114.8,,1,False,,,,,,,,
dcache.exp.sram.lab.surf.nl,,404,19,,,,,,,,,,,,,,,,,,,,80,http://dcache.exp.sram.lab.surf.nl:80,http,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
demo-sp.sram.surf.nl,SURF Research Access Management Demo SP,200,3527,demo-sp.sram.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-09T21:43:31Z,2023-09-07T21:43:30Z,CN=demo-sp.sram.surf.nl,demo-sp.sram.surf.nl,demo-sp.sram.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cbb58a8ecbd8581718013c7454cfd8ea,df69c99db603f80933f122c405bd859a25c19edec3aaf49bf82542089897d316,,ctls,demo-sp.sram.surf.nl,443,https://demo-sp.sram.surf.nl:443,https,nginx/1.18.0,text/html,GET,145.101.114.11,/,286975560,145.101.114.11,Nginx:1.18.0,103,False,,,,,,,,
demo.exp.sram.lab.surf.nl,,404,19,demo.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T07:45:01Z,2023-08-17T07:45:00Z,CN=demo.exp.sram.lab.surf.nl,demo.exp.sram.lab.surf.nl,demo.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2e0da56f1de8c53fba1b289851c260e5,fa78f8f31fdbf144a382647df42165db031d04d06714c82afc7af76a6a83c90a,,ctls,demo.exp.sram.lab.surf.nl,443,https://demo.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
demo01.test.surfeduhub.surf.nl,,404,19,demo01.test.surfeduhub.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=demo01.test.surfeduhub.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",demo01.test.surfeduhub.surf.nl,demo01.test.surfeduhub.surf.nl,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4da2f6b02d49b415d37aa0acabeb4fca,ce164627ab42e65ef4cd90812c24150ce16d54a6595ff56600a4fa132627105a,,ctls,demo01.test.surfeduhub.surf.nl,443,https://demo01.test.surfeduhub.surf.nl:443,https,,text/plain,GET,145.100.178.108,/,-138391155,2001:610:188:171:145:100:178:108,,2,False,,SURF B.V.,,,,,,
demo02.test.surfeduhub.surf.nl,,404,19,demo02.test.surfeduhub.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=demo02.test.surfeduhub.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",demo02.test.surfeduhub.surf.nl,demo02.test.surfeduhub.surf.nl,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8997d45037468d0e13c29f5166583f7b,aa9e43b25b92fe6b3fb5c735d688327f2883f0c26599115813de27c45b426b44,,ctls,demo02.test.surfeduhub.surf.nl,443,https://demo02.test.surfeduhub.surf.nl:443,https,,text/plain,GET,145.100.178.108,/,-138391155,2001:610:188:171:145:100:178:108,,2,False,,SURF B.V.,,,,,,
designer.exp.sram.lab.surf.nl,,404,19,designer.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-11T07:47:58Z,2023-09-09T07:47:57Z,CN=designer.exp.sram.lab.surf.nl,designer.exp.sram.lab.surf.nl,designer.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,436edac6a28fdab551e1b58cc915b7c5,7f231783fd6f3826b6bb136b65f86af0d6edb9fe11021115f946ed404d52b460,,ctls,designer.exp.sram.lab.surf.nl,443,https://designer.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
dev.exp.sram.lab.surf.nl,,404,19,dev.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-13T07:44:54Z,2023-09-11T07:44:53Z,CN=dev.exp.sram.lab.surf.nl,dev.exp.sram.lab.surf.nl,dev.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e5cae82909fccc37c75fbbd26334d54e,ed6ef7a4f6df5df40a03299edca2a0b416e7c497167251a88928ad5e017e03fa,,ctls,dev.exp.sram.lab.surf.nl,443,https://dev.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
