input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_expired,tls_self_signed,content_type,tls_mismatched,csp_domains_,final_url,location
api-qa.merck.com,,204,,api-qa.merck.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=apigee-test.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",apigee-test.merck.com,webapi-tst-ro.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,51a5fb0424b693853cfa56a7deb2c8a1,ac202c92b2d9b976917c95a8f3727101207c47ff272a6c6962ce8bd7b598824e,ctls,api-qa.merck.com,,443,https://api-qa.merck.com:443,https,openresty,GET,99.83.213.53,/,534749959,75.2.22.170,OpenResty,1,False,,Merck Sharp & Dohme LLC,True,,,,,,,
api-staging.merck.com,,204,,api-staging.merck.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=apigee-test.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",apigee-test.merck.com,webapi-tst-ro.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,51a5fb0424b693853cfa56a7deb2c8a1,ac202c92b2d9b976917c95a8f3727101207c47ff272a6c6962ce8bd7b598824e,ctls,api-staging.merck.com,,443,https://api-staging.merck.com:443,https,openresty,GET,75.2.22.170,/,534749959,99.83.213.53,OpenResty,1,False,,Merck Sharp & Dohme LLC,True,,,,,,,
api-test.merck.com,,204,,api-test.merck.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=apigee-test.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",apigee-test.merck.com,webapi-tst-ro.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,51a5fb0424b693853cfa56a7deb2c8a1,ac202c92b2d9b976917c95a8f3727101207c47ff272a6c6962ce8bd7b598824e,ctls,api-test.merck.com,,443,https://api-test.merck.com:443,https,openresty,GET,75.2.22.170,/,534749959,99.83.213.53,OpenResty,1,False,,Merck Sharp & Dohme LLC,True,,,,,,,
api.merck.com,,204,,api.merck.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=apigee.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",apigee.merck.com,webapi-prd-ro2.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b933ba4bfbda250f74f776d7ca444de3,4c59b67687b9ec5d2264d026083b1728c9e1290076dc197e7164c029dea293ee,ctls,api.merck.com,,443,https://api.merck.com:443,https,openresty,GET,52.223.61.181,/,1255653614,35.71.154.34,OpenResty,1,False,,Merck Sharp & Dohme LLC,True,,,,,,,
app.qetsthub-dev.merck.com,Sign On,200,6443,pingfed.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=pingfed.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",pingfed.merck.com,www.pingfed.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ac402a968211649093b8e52da657ff94,642d75a967c92be4a5e4c2283872baed25ccd4f9cee8b63a531e9bcbfdd87b5b,ctls,pingfed.msd.com,cloudfront,443,https://app.qetsthub-dev.merck.com:443,https,,GET,13.32.99.77,/,1133963502,13.32.99.4,,195,False,True,Merck Sharp & Dohme LLC,,,,text/html,,https://*.kneatgx.com,https://pingfed.msd.com/as/authorization.oauth2?client_id=AWSMrkCdnEdge&redirect_uri=https%3A%2F%2Fmrk-cdn-edge.auth.us-east-1.amazoncognito.com%2Foauth2%2Fidpresponse&scope=email+openid+profile&response_type=code&state=H4sIAAAAAAAAAD1S2Y7aQBD8l3neYZmxDZg3MDH3YcwacBShYQ7fBz7Bq_x7hijKU5e6q7paqv4GBIxBXUJOygqim6bUMdJibQI-wF1OkiKCeZB6gjOYFxmTbSrbQ1XwVDRlOgqaPHxQSkJSlYKyoSQwSfCrKi_Hn58kz3sPXpWVX98h400v4QWNejRLPsvAS4NU8rnk04xxCYWE--XMkNAD458gy3kavE15QoJYVnmDCGIOfn0AX3L5a1XfsRa69nKwNFbt2Zko5LRCto0wi_NURLTedVvVnU2UL-ynNvK7LfYrbh6Pp3MUbIxJQBPnyc5Ox-ZOdFGcF_m7a9ks0740DKTLCxe-qxr1pX1tVvB-Mw3HTw7qup6P3B91Y7oV3aoFu-xWb0UoFTbWBhJGEkL_-Sqax3OzfXqT_tHyWNeKgWdtVmud9feIF8zIpuuFGYa2VpqLST2bv7bhovPYrr9hw8H1a2rZVrfJsfGYu8Od25oHOO0eNZnZW63d5dZhf4zmi_0J37SjdW3psAlRaKKLovO2WTetRcMkQlY4O7npoLheH94TZUzDp6ye-r5dOEVyi28zKi-O_2VOWQo583iP1JXf-_8fPZKQLktpJqOrsneMUpOAMRqMdL2vj_S-jAiMBYlL_gEKuUzcFYS5yiDFugZVHXOoMzqCiqLoQhVEIITB7z_7vfcdhwIAAA.H4sIAAAAAAAAAJvRc9pX62Pie8cJ8iFZBU_U45nT1HW3TTuS6xBlKa032wQAShqTQiAAAAA.4,
app.qetsthub-perf.merck.com,Sign On,200,6443,pingfed.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=pingfed.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",pingfed.merck.com,www.pingfed.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ac402a968211649093b8e52da657ff94,642d75a967c92be4a5e4c2283872baed25ccd4f9cee8b63a531e9bcbfdd87b5b,ctls,pingfed.msd.com,cloudfront,443,https://app.qetsthub-perf.merck.com:443,https,,GET,99.86.4.24,/,625486866,99.86.4.40,,195,False,True,Merck Sharp & Dohme LLC,,,,text/html,,https://*.kneatgx.com,https://pingfed.msd.com/as/authorization.oauth2?client_id=AWSMrkCdnEdge&redirect_uri=https%3A%2F%2Fmrk-cdn-edge.auth.us-east-1.amazoncognito.com%2Foauth2%2Fidpresponse&scope=email+openid+profile&response_type=code&state=H4sIAAAAAAAAAD1S2W7bMBD8Fz5HDnWa8psjO75i-Uh8qSgCSiR1kqIlyrFc9N_LoEWfdrA7s7PA7C-AwQh0rUFxqwzz07W7ynQrdwyeQKwnvCkNmYuUUWLIpia6nei2M7zZbdGk8ZUVinc89h3X4h1DhSYQTciUku3o-RlLObhS1aqsiw1JGzbgtEnKQVLz5zZPRS60gGpBUhOqIdNws5gEGqZg9APUkor825VynFe66iNYXlHw8wlkmkv7ZRdbbhG9L7xFsOguXJX7aZRhGB5I4EpshdFx6oZnuIx2Z8f5KGVFxMXE3LGT-Tp_C8Z5wo93cjo-yOxYnu1jj__uui0E1Ib5twt2-KnB81VTK3WKeNAPp84w9d1tiNXyZSP25GUdXVeHy0ErCq14t1xPw1LDflLcrjmsriiJx2xiLoPhXnyND_bWyfpJ9FbPWQM_VsXdmx7qUxHKGcmgt98bale_Q4vZtzXJHqsyVVNxHXcBay8petQxksmkwl-v-doO5fYx30QFsodeGC-LcnN7deSnh86yXMXm66mZsUKIDbT2ML3FeYbucem5BUWJEIfJ7LjsL9MdXuuLq3-hJ0QYlKR0gDuVDf4_yABz_KhFUuvoVP0do9ZwMDI95PvQRz7UEYERw1VLn0Cjlw1dTH3TRkZsOdBwTEgM5FPboI5vI8_2Tewz8PsP9LcUN4gCAAA.H4sIAAAAAAAAADtRr_NQafkjXdmji7n-S0nPXJX-pjg_pa6lleXNU3XTj7sAf5HD7SAAAAA.4,
app.qetsthub-uat.merck.com,Sign On,200,6443,pingfed.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=pingfed.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",pingfed.merck.com,www.pingfed.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ac402a968211649093b8e52da657ff94,642d75a967c92be4a5e4c2283872baed25ccd4f9cee8b63a531e9bcbfdd87b5b,ctls,pingfed.msd.com,cloudfront,443,https://app.qetsthub-uat.merck.com:443,https,,GET,99.86.4.100,/,1686019592,99.86.4.10,,195,False,True,Merck Sharp & Dohme LLC,,,,text/html,,https://*.ariba.com,https://pingfed.msd.com/as/authorization.oauth2?client_id=AWSMrkCdnEdge&redirect_uri=https%3A%2F%2Fmrk-cdn-edge.auth.us-east-1.amazoncognito.com%2Foauth2%2Fidpresponse&scope=email+openid+profile&response_type=code&state=H4sIAAAAAAAAAD2SW5OiMBCF_0uejQMBFHzzAiOMOo4Ko2xtWbkh92tw0K3975vZ2tqX5FTndJ-u-vILYDADfQc57gRUr4bW56qRG3MwAkS-FG0G66S8RZzBuq2YLFNZ1qd3rUvbG2miVBR9QSzdQEUfmak0MGmIhai72csLrutxw0Un4p7AHotxwVuajWlVvHTJrUxK6efSTyvGpYykfHdXSylvYPYDVDUvk-9QXuAkl7fcIUpyDn6OQCy9_OH1BBlpeHQn7tIrLkgdWF6jHcqDk-JkoZ9r26Ma-Qrb8iyIyXpRU5UdQt_pie0nm-U8oUUwsM_gyV6D7KwFD_x3lnt3S0UGJjKltqA-8EQcKRkW1J8fsZg7H_r6YX-21TZx1k8aVumOeLtKdqSy44iMiZSZlE-asjteIX2xL-3qq-x9swmu-dq7EZucYWyd65UxoMoZYg2vDG8THEn_9JwdWq8ctcO2yzZpwA_ZiXx8eqV9mcJhaYauo132XzDeHuzTIzbce0436bU7NcIh4j3qwuvC2b9d64nV24XauNnb-dXYkvZkM21_16rO37FGeUrq-fk1vzd-aGdy4_wfc8pKyNmNj3Ev4vH__zHGBX5WJa0kOlF9Y5Q9BZipE9OyFMu0FIkIzCKcd3wE2m-wCE0nOsdQ1eShczSFJlIYjCgikTI1VRVPwO8_qxuUQ4cCAAA.H4sIAAAAAAAAAAEgAN__0Db8vuTkKSnT1DM-9ru_L_q-tPmqB_4gLgqJrr3swe6Jy6OQIAAAAA.4,
app.qetsthub.merck.com,Sign On,200,6443,pingfed.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=pingfed.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",pingfed.merck.com,www.pingfed.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ac402a968211649093b8e52da657ff94,642d75a967c92be4a5e4c2283872baed25ccd4f9cee8b63a531e9bcbfdd87b5b,ctls,pingfed.msd.com,cloudfront,443,https://app.qetsthub.merck.com:443,https,,GET,108.138.7.111,/,-972622024,108.138.7.115,,195,False,True,Merck Sharp & Dohme LLC,,,,text/html,,https://*.kneatgx.com,https://pingfed.msd.com/as/authorization.oauth2?client_id=AWSMrkCdnEdge&redirect_uri=https%3A%2F%2Fmrk-cdn-edge.auth.us-east-1.amazoncognito.com%2Foauth2%2Fidpresponse&scope=email+openid+profile&response_type=code&state=H4sIAAAAAAAAAD2SW6-iMBSF_0ufRblYLr55QcW7qChOJqbQIijQHlpQnMx_n57JZJ66svutvZqs_gIIDEDNFYK4ULQbNOpcgzkcgg6I5E1RPRWWlfeEYIVVFMtxLMcQY8xtmlboC6ei4TWqasNiDbQlgCWQCsH4oNdDjHW_iOAiraNuQar42Y1p0ePZvcxKyRLJxhQTKRMpt95kLOUdDH4AykiZfQeSAmW5PGV-kuUE_OyAVLKkXdSRDh_Xg2d640W7yp3R9Zjm_jNt4_OmOD_7n02Rmv5neg6KHEalKw6ulgdlX1wLmq3Gwywugjc-Bx88C54XI2jR311e45WqDMxkyuNUmPOT2-65NgntV98Sx_D4ihJzZ3lrZ6IzHW2jyW69vIXS8ZCOgw5NKZ9S0tluDP2pP-KZe3nVS8-dhtXIul82X9Da74RvBdxth_PX7ZCtTjdyEU2zw4RobYPC1fS85EGuXa3ZY8sf20p740syE7rCV_4elubrvLrRU8PYvG2FHrydZHt0A7b35vfDaUMTqENqrxfRwdmy6n1Sx2Vqacf0PW0WsbpnPKz49JFk1_AaGlS-OP_Xd4xLheA76aJapN3_f6OLCvShZUxldYJ-1yg9BRhopu04qmM7fVkRGCQo56QDKrlMMy0DqpqqQJLYSl9VbQUZBlEQNBIDxQlWHQh-_wHuSKv0gwIAAA.H4sIAAAAAAAAAAEgAN__1f6Q_Jl2_WAMh4ryVrAOoW6Kj_CCMbh7y_Qo4EnHvzVy7OyCIAAAAA.4,
appmaturitytracker-tst.merck.com,Signin,200,6108,mrkblueskyavm-tst.auth.us-east-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=*.auth.us-east-1.amazoncognito.com,*.auth.us-east-1.amazoncognito.com,auth.us-east-1.amazoncognito.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b09d930df1173b30862078215a8b7af,237844aeb4db1b33c88485478644a3ea1c850c9754c8dc04f9541e252075a54f,ctls,mrkblueskyavm-tst.auth.us-east-1.amazoncognito.com,cloudfront,443,https://appmaturitytracker-tst.merck.com:443,https,Server,GET,13.225.78.63,/,-1626704695,13.225.78.108,HSTS,163,False,True,,True,,,text/html,,,https://mrkblueskyavm-tst.auth.us-east-1.amazoncognito.com/login?redirect_uri=https%3A%2F%2Fappmaturitytracker-tst.merck.com%2Fsignin&response_type=code&client_id=3tk94c95dquorit0v4oukrsquc,
appmaturitytracker.merck.com,Signin,200,6092,mrkblueskyavm-prd.auth.us-east-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=*.auth.us-east-1.amazoncognito.com,*.auth.us-east-1.amazoncognito.com,auth.us-east-1.amazoncognito.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b09d930df1173b30862078215a8b7af,237844aeb4db1b33c88485478644a3ea1c850c9754c8dc04f9541e252075a54f,ctls,mrkblueskyavm-prd.auth.us-east-1.amazoncognito.com,cloudfront,443,https://appmaturitytracker.merck.com:443,https,Server,GET,143.204.98.69,/,1041305003,143.204.98.52,HSTS,163,False,True,,True,,,text/html,,,https://mrkblueskyavm-prd.auth.us-east-1.amazoncognito.com/login?redirect_uri=https%3A%2F%2Fappmaturitytracker.merck.com%2Fsignin&response_type=code&client_id=5stavhjrdh0k9vq34gjljcqg1n,
aravo.msd.com,Welcome | Aravo,200,1991,mrksso.aravo.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-06-14T00:00:00Z,2024-07-13T23:59:59Z,"CN=aravo.com, O=Aravo Solutions\, Inc., ST=California, C=US",aravo.com,*.aravo.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,ccd1af846dc733d568c96687497593de,1aaa0e3fa0b57fc74150169c9ee7429d8b519ca1be6829cf285baa41a4ba6ee4,ctls,mrksso.aravo.com,,443,https://aravo.msd.com:443,https,,GET,99.83.236.178,/,-245185626,75.2.16.51,HSTS,74,False,,"Aravo Solutions, Inc.",True,,,text/html,,URL=/aems/login.do,https://mrksso.aravo.com,
