input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url
discover.securityscorecard.com,SecurityScorecard ABM Pilot,200,6753,,discover.securityscorecard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-07T23:59:59Z,CN=discover.securityscorecard.com,discover.securityscorecard.com,discover.securityscorecard.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7b8a759151850e4d64e28d7fb84b83f8,e00ffa81cf553534bfcc699095331122b4c403f43af04314276659fa001146ff,,ctls,discover.securityscorecard.com,,443,https://discover.securityscorecard.com:443,https,nginx,text/html,GET,54.203.59.236,/,-1624278289,44.229.41.41,Nginx,243,False,,,,
explore.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461117,*.cookiebot.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://explore.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.105.50,/,-1712640788,2606:4700::6811:6932,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com
go.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461117,wss://*.qualified.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://go.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.105.50,/,-1121403816,2606:4700::6811:6932,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com
https://cdn.heapanalytics.com,,404,,,sdk.us.heap-api.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2024-01-07T23:59:59Z,CN=sdk.us.heap-api.com,sdk.us.heap-api.com,sdk.us.heap-api.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54dd2f65b2b39bc2b9ebf6983088fe9e,f9c6c2c59b8bd849f0517f4e87ceb0c962dc1fb5f390169beb09dc1d53d53285,,ctls,sdk.us.heap-api.com,cloudfront,443,https://cdn.heapanalytics.com:443,https,nginx,text/html,GET,13.32.27.5,/,-1968849578,13.32.27.35,Node.js,1,False,True,,,https://sdk.us.heap-api.com:443/js/heap.js
https://fonts.googleapis.com/,Error 404 (Not Found)!!1,404,1607,,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:11Z,2023-10-02T08:21:10Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,cfdd2a66ea8991c3f2f91f40dc09979d,7d05a79814e48a6c7c101d22747c11252dd8bf06349505306f205a97d0a1ca85,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.74.202,/,-606046040,2a00:1450:4001:829::200a,HTTP/3,1,False,,,,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.35,/,302920777,2a00:1450:4001:803::2003,HTTP/3,12,False,,,,
https://fullstory.com/,Build a More Perfect Digital Experience | FullStory,200,471585,,www.fullstory.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T14:30:24Z,2023-10-01T14:30:23Z,CN=bionic.fullstory.com,bionic.fullstory.com,www.thefullstory.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e378a269c117c37b64de46c47138468,438939da455217221e0ff2733f153a53b01f7c4ff7e475cf1c3a8f943f7aa7e4,,ctls,www.fullstory.com,,443,https://fullstory.com:443,https,Netlify,text/html,GET,147.75.40.150,/,-1587941302,147.75.40.150,webpack,51,False,,,,https://www.fullstory.com/
https://heapanalytics.com,Heap - Better Insights. Faster. | Heap,200,277615,,www.heap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T20:10:11Z,2023-10-04T20:10:10Z,CN=heap.io,heap.io,www.heap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4531fa7741c0181727c70dbbdb9ca52f,237675d8aeb969173aa52c3b35a4dfd85be583a78b557c0db0713bb06fe8cfb4,,ctls,www.heap.io,,443,https://heapanalytics.com:443,https,Netlify,text/html,GET,3.226.128.148,/,322181805,44.193.165.24,Netlify,30,False,,,,https://www.heap.io/
https://js.stripe.com/,,404,243,,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T00:00:00Z,2023-11-16T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,15d600ab60b503cb918c23649d7c4c97,234a9b016547f865c31f46fbf75b08558a1229a7a58e8ae2ab8c7f0f44189057,,ctls,js.stripe.com,cloudfront,443,https://js.stripe.com:443,https,Cloudfront,application/xml,GET,99.86.4.9,/,2076747904,99.86.4.99,HTTP/3,2,False,True,,"Stripe, Inc",
https://rs.fullstory.com,Build a More Perfect Digital Experience | FullStory,200,471585,,www.fullstory.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T14:30:24Z,2023-10-01T14:30:23Z,CN=bionic.fullstory.com,bionic.fullstory.com,www.thefullstory.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e378a269c117c37b64de46c47138468,438939da455217221e0ff2733f153a53b01f7c4ff7e475cf1c3a8f943f7aa7e4,,ctls,www.fullstory.com,google,443,https://rs.fullstory.com:443,https,Netlify,text/html,GET,35.186.194.58,/,188944876,35.186.194.58,webpack,51,False,True,,,https://www.fullstory.com
https://rum.browser-intake-ddog-gov.com,,404,81,,rum.browser-intake-ddog-gov.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2023-12-08T23:59:59Z,"CN=*.browser-intake-ddog-gov.com, O=Datadog\, Inc., L=New York, ST=New York, C=US",*.browser-intake-ddog-gov.com,browser-intake-ddog-gov.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d16b7730df50888bad1db020615a36ce,b3e41c270736b41922e6b7d8e0e8a32b808b04ab68fe650a5bab6e72b7388b5e,True,ctls,rum.browser-intake-ddog-gov.com,,443,https://rum.browser-intake-ddog-gov.com:443,https,,application/json,GET,3.30.62.98,/,1077183267,2600:1f12:c86:e02:3208:f152:3471:bdf9,HSTS,1,False,,,"Datadog, Inc.",
https://s3.amazonaws.com/ssc-static/,,200,258665,,s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-10T00:00:00Z,2024-06-21T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,*.s3-external-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2f1c3821f4ae84e597abbe14688149fd,2df70fdd8841d5a2e0bb221baea847503cf6bc7c9749ec0c02929423762666b4,True,ctls,s3.amazonaws.com,,443,https://s3.amazonaws.com:443/ssc-static/,https,AmazonS3,application/xml,GET,52.216.204.149,/ssc-static/,898375700,52.217.70.214,Amazon Web Services,2,False,,,,
https://sentry.io,Application Performance Monitoring & Error Tracking Software | Sentry,200,326646,fonts.gstatic.com,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,,ctls,sentry.io,google,443,https://sentry.io:443,https,nginx,text/html,GET,35.188.42.15,/,-1840324437,35.188.42.15,webpack,59,False,True,,Sentry,https://sentry.io/welcome/
https://stats.g.doubleclick.net/,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,marketingplatform.google.com,,443,https://stats.g.doubleclick.net:443,https,sffe,text/html,GET,108.177.15.156,/,302920777,2a00:1450:400c:c08::9a,HTTP/3,1833,False,,,,https://marketingplatform.google.com/about/analytics/
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,172.217.16.142,/,302920777,2001:4860:4802:34::178,HTTP/3,1833,False,,,,https://marketingplatform.google.com/about/analytics/
info.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461117,*.crazyegg.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://info.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,-590596357,2606:4700::6811:6932,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com
instant-test.securityscorecard.com,Origin DNS error | instant-test.securityscorecard.com | Cloudflare,530,6251,,instant-test.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,instant-test.securityscorecard.com,cloudflare,443,https://instant-test.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,2129975993,2606:4700::6811:6932,HSTS,92,False,True,,"Cloudflare, Inc.",
instant.securityscorecard.com,Instant security scorecard | SecurityScorecard,200,462101,https://www.datadoghq-browser-agent.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://instant.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,-476454734,2606:4700::6811:6932,WordPress,7313,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/instant-security-scorecard/
marketplace.securityscorecard.io,SecurityScorecard,200,46277,https://fast.wistia.com,marketplace.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,marketplace.securityscorecard.io,cloudfront,443,https://marketplace.securityscorecard.io:443,https,AmazonS3,text/html,GET,18.66.147.20,/,1716415891,18.66.147.87,HSTS,382,False,True,,,
meet.securityscorecard.io,,204,,,meet.securityscorecard.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-04T09:20:07Z,2023-09-02T09:20:06Z,CN=meet.securityscorecard.io,meet.securityscorecard.io,meet.securityscorecard.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6d4d4c6f3c7ae4a139360a4baf6dbe09,993b6d8766f30ec5ed1adc555967d18bf4179e5062682cbd96658210f15d294b,,ctls,meet.securityscorecard.io,,443,https://meet.securityscorecard.io:443,https,,,GET,52.87.30.234,/,-1840324437,52.200.134.121,HSTS,1,False,,,,
partners.securityscorecard.com,SecurityScorecard Partner Portal | Home,200,79127,,partners.securityscorecard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-08T18:55:50Z,2023-10-06T18:55:49Z,CN=partners.securityscorecard.com,partners.securityscorecard.com,partners.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74e84ba54ca3166acf7b03ee4b4feb70,f0ac1e703976d5602454381fabccdb14b4f8098a81eb0973a85013415cf43c4b,,ctls,partners.securityscorecard.com,,443,https://partners.securityscorecard.com:443,https,,text/html,GET,209.170.205.126,/,1688248701,209.170.205.126,Microsoft ASP.NET,748,False,,,,https://partners.securityscorecard.com/English/
pendo-io-static.storage.googleapis.com,,403,300,,pendo-io-static.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:20:45Z,2023-10-02T08:20:44Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9d5e73d1096c1083b4cdc56c4b67b5ef,d5a622cd5f19e24627f819f7e5feb337f7431391afa8954bc2cd2a02cb7024b8,True,ctls,pendo-io-static.storage.googleapis.com,,443,https://pendo-io-static.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.184.240,/,501560377,2a00:1450:4001:811::2010,HTTP/3,1,False,,,,
pendo-static-5689581948633088.storage.googleapis.com,,404,133,,pendo-static-5689581948633088.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:20:45Z,2023-10-02T08:20:44Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9d5e73d1096c1083b4cdc56c4b67b5ef,d5a622cd5f19e24627f819f7e5feb337f7431391afa8954bc2cd2a02cb7024b8,True,ctls,pendo-static-5689581948633088.storage.googleapis.com,,443,https://pendo-static-5689581948633088.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.74.208,/,867864438,2a00:1450:4001:831::2010,HTTP/3,1,False,,,,
platform-api.securityscorecard.io,Error,404,139,,platform-api.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,platform-api.securityscorecard.io,cloudfront,443,https://platform-api.securityscorecard.io:443,https,,text/html,GET,99.86.4.27,/,1593207841,99.86.4.82,HSTS,11,False,True,,,
