input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,final_url,tls_expired,tls_self_signed,csp_domains_,location
adfs.t2mail.myoas.com,Not Found,404,315,adfs.t2mail.myoas.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-07T00:00:00Z,2023-07-06T23:59:59Z,CN=*.t2mail.myoas.com,*.t2mail.myoas.com,,t2mail.myoas.com,"CN=TrustAsia RSA DV TLS CA G2, O=TrustAsia Technologies\, Inc., C=CN",TrustAsia RSA DV TLS CA G2,"TrustAsia Technologies, Inc.",fe7b1c1931a2ec59c7de20c878f1aaa5,a65bc2f9f2a948ea03668c3d026b4670789c2eedd190c53660db2c151fddbc15,True,ctls,adfs.t2mail.myoas.com,443,https://adfs.t2mail.myoas.com:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,125.93.80.47,/,225052475,125.93.80.47,Microsoft HTTPAPI:2.0,7,False,,,,,,,,
adminwx.oppo.cn,Title,200,233,adminwx.oppo.cn,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,adminwx.oppo.cn,443,https://adminwx.oppo.cn:443,https,nginx,text/html,GET,106.38.236.226,/,-2071231309,106.38.236.226,Nginx,13,False,True,,,,,,,
adsbdfs.heytapdownload.com,,400,181,,,,,,,,,,,,,,,,,,,,80,http://adsbdfs.heytapdownload.com:80,http,openresty,application/xml,GET,182.40.45.95,/,894498973,182.40.45.98,OpenResty,1,False,,,,,,,,
adsfs-ads-test.wanyol.com,403 Forbidden,403,555,adsfs-ads-test.wanyol.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-11-17T23:59:59Z,"CN=www.wanyol.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.wanyol.com,广东欢太科技有限公司,*.pay-test.wanyol.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,45f00a609da5b5d3e3b4953b7a67d8e4,3593f8517897c1b869f51d0e2fea479e3e5d4b0fca1d7a655ccfe145b1580774,True,ctls,adsfs-ads-test.wanyol.com,443,https://adsfs-ads-test.wanyol.com:443,https,nginx,text/html,GET,120.233.120.15,/,-2071003260,120.233.120.15,Nginx,14,False,,,,,,,,
adsfs-id.oppomobile.com,,403,301,adsfs-id.oppomobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-09-24T23:59:59Z,"CN=www.oppo.com, O=Guangdong Huantai Technology Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",www.oppo.com,"Guangdong Huantai Technology Co., Ltd.",www.oneplus.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,45c9cca69394a1aab5b88aedc6480741,5d3bebd3c415cc9a4c89032085c086058880402c3a952d91215f29eba9978c14,,ctls,adsfs-id.oppomobile.com,443,https://adsfs-id.oppomobile.com:443,https,AliyunOSS,application/xml,GET,2.17.100.202,/,-1714441091,2.17.100.171,,9,False,,,,,,,,
adsfs-in.oppomobile.com,,403,243,adsfs-in.oppomobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,"CN=oppomobile.com, O=广东欢太科技有限公司, L=Dongguan, ST=Guangdong Province, C=CN",oppomobile.com,广东欢太科技有限公司,yearparty.myoas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ba3387b4b60581a87c22f53df639d32b,012b83528fc2b963e06048f0d30a5af878bc6f0a15237e00632812e6c4f0616d,True,ctls,adsfs-in.oppomobile.com,443,https://adsfs-in.oppomobile.com:443,https,AmazonS3,application/xml,GET,2.19.126.99,/,-1604911189,2.19.126.77,Amazon Web Services,2,False,True,,,,,,,
adsfs-sdkconfig.heytapimage.com,,400,187,adsfs-sdkconfig.heytapimage.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,adsfs-sdkconfig.heytapimage.com,443,https://adsfs-sdkconfig.heytapimage.com:443,https,openresty,application/xml,GET,218.67.91.86,/,,218.67.91.82,OpenResty,1,False,True,,,,,,,
adx-ads.realmemobile.com,,404,31,adx-ads.realmemobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-22T00:00:00Z,2023-07-23T23:59:59Z,"CN=www.realmemobile.com, O=深圳市锐尔觅移动通信有限公司, L=深圳市, ST=广东省, C=CN",www.realmemobile.com,深圳市锐尔觅移动通信有限公司,*.realme.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,a11bce1ebc65e96f32768063552bbd79,1224748675da69a2e59e8343912fd5a87716572d92a7bae00978d0f399d679c5,True,ctls,adx-ads.realmemobile.com,443,https://adx-ads.realmemobile.com:443,https,nginx,,GET,106.39.247.6,/,1401299030,106.3.18.153,Nginx,1,False,,,,,,,,
adx-f.ads.heytapmobi.com,,404,31,adx-f.ads.heytapmobi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,adx-f.ads.heytapmobi.com,443,https://adx-f.ads.heytapmobi.com:443,https,nginx,,GET,18.139.207.75,/,1401299030,52.220.128.43,Nginx,1,False,True,,,,,,,
adx-f.ads.heytapmobile.com,,404,31,adx-f.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-f.ads.heytapmobile.com,443,https://adx-f.ads.heytapmobile.com:443,https,nginx,,GET,18.141.252.248,/,1401299030,54.251.154.222,Nginx,1,False,True,,,,,,,
adx-id.ads.heytapmobi.com,,404,31,adx-id.ads.heytapmobi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,adx-id.ads.heytapmobi.com,443,https://adx-id.ads.heytapmobi.com:443,https,nginx,,GET,13.214.17.188,/,1401299030,3.1.250.40,Nginx,1,False,True,,,,,,,
adx-id.ads.heytapmobile.com,,404,31,adx-id.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-id.ads.heytapmobile.com,443,https://adx-id.ads.heytapmobile.com:443,https,nginx,,GET,3.1.130.8,/,1401299030,54.251.154.222,Nginx,1,False,True,,,,,,,
adx-id.ads.oppomobile.com,,404,31,adx-id.ads.oppomobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,adx-id.ads.oppomobile.com,443,https://adx-id.ads.oppomobile.com:443,https,nginx,,GET,18.142.232.240,/,1401299030,54.255.148.235,Nginx,1,False,True,,,,,,,
adx-in-ads.realmemobile.com,,404,31,adx-in-ads.realmemobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-22T00:00:00Z,2023-07-23T23:59:59Z,"CN=www.realmemobile.com, O=深圳市锐尔觅移动通信有限公司, L=深圳市, ST=广东省, C=CN",www.realmemobile.com,深圳市锐尔觅移动通信有限公司,*.realme.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,a11bce1ebc65e96f32768063552bbd79,1224748675da69a2e59e8343912fd5a87716572d92a7bae00978d0f399d679c5,True,ctls,adx-in-ads.realmemobile.com,443,https://adx-in-ads.realmemobile.com:443,https,nginx,,GET,129.227.29.63,/,1401299030,129.227.29.63,Nginx,1,False,,,,,,,,
adx-in.ads.oppomobile.com,,404,31,adx-in.ads.oppomobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,adx-in.ads.oppomobile.com,443,https://adx-in.ads.oppomobile.com:443,https,nginx,,GET,129.227.29.61,/,1401299030,129.227.29.61,Nginx,1,False,True,,,,,,,
adx-kh.ads.heytapmobile.com,,404,31,adx-kh.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-kh.ads.heytapmobile.com,443,https://adx-kh.ads.heytapmobile.com:443,https,nginx,,GET,54.179.238.90,/,1401299030,54.254.207.70,Nginx,1,False,True,,,,,,,
adx-mm.ads.heytapmobile.com,,404,31,adx-mm.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-mm.ads.heytapmobile.com,443,https://adx-mm.ads.heytapmobile.com:443,https,nginx,,GET,3.0.126.224,/,1401299030,52.76.48.238,Nginx,1,False,True,,,,,,,
adx-my.ads.heytapmobile.com,,404,31,adx-my.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-my.ads.heytapmobile.com,443,https://adx-my.ads.heytapmobile.com:443,https,nginx,,GET,18.138.84.248,/,1401299030,52.76.29.188,Nginx,1,False,True,,,,,,,
adx-ph.ads.heytapmobile.com,,404,31,adx-ph.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-ph.ads.heytapmobile.com,443,https://adx-ph.ads.heytapmobile.com:443,https,nginx,,GET,13.213.208.19,/,1401299030,54.254.207.70,Nginx,1,False,True,,,,,,,
adx-sg.ads.heytapmobi.com,,404,31,adx-sg.ads.heytapmobi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,adx-sg.ads.heytapmobi.com,443,https://adx-sg.ads.heytapmobi.com:443,https,nginx,,GET,13.214.17.188,/,1401299030,54.251.154.236,Nginx,1,False,True,,,,,,,
adx-sg.ads.heytapmobile.com,,404,31,adx-sg.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-sg.ads.heytapmobile.com,443,https://adx-sg.ads.heytapmobile.com:443,https,nginx,,GET,13.250.192.254,/,1401299030,18.136.229.152,Nginx,1,False,True,,,,,,,
adx-th.ads.heytapmobile.com,,404,31,adx-th.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-th.ads.heytapmobile.com,443,https://adx-th.ads.heytapmobile.com:443,https,nginx,,GET,54.254.207.70,/,1401299030,18.138.84.248,Nginx,1,False,True,,,,,,,
adx-tw.ads.heytapmobile.com,,404,31,adx-tw.ads.heytapmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-09T23:59:59Z,"CN=www.heytapmobile.com, O=BRAVO UNICORN PTE. LTD., L=Singapore, C=SG",www.heytapmobile.com,BRAVO UNICORN PTE. LTD.,*.cubefs.io,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,5101a12f593d62db3e7d2f6346642fbe,0fd1d51c82529941f4496031c8799262f74ab82a6baf641f7ad57a1fb9d4068b,True,ctls,adx-tw.ads.heytapmobile.com,443,https://adx-tw.ads.heytapmobile.com:443,https,nginx,,GET,18.138.84.248,/,1401299030,54.254.207.70,Nginx,1,False,True,,,,,,,
